prediction,facts,exp,exp_length,original_score,original_rank,new_scores,new_ranks,new_score,new_rank
"(5660, 136, 6402)",[],[],0,6.9425015,1,[7.7069893],[1],7.7069893,1.0
"(2258, 14, 160)","[({(1174, 102, 2258)}, 2.8019082813980796, 'baseline'), ({(1017, 7, 2258)}, 1.3534974554306063, 'baseline'), ({(2608, 38, 2258)}, 1.1939808156794898, 'baseline'), ({(1237, 7, 2258)}, 0.48434601269267324, 'baseline'), ({(2167, 7, 2258)}, -0.2346695136816421, 'baseline'), ({(6185, 7, 2258)}, -0.4498215204269959, 'baseline'), ({(3542, 38, 2258)}, -1.8312609454026654, 'baseline')]","[(1174, 102, 2258), (2973, 14, 160), (2973, 84, 1174)]",3,8.303699,1,[8.443269],[1],8.443269,1.0
"(3742, 25, 62)","[({(1017, 7, 3742)}, 2.06268389164285, 'baseline'), ({(178, 102, 3742)}, 0.46348696941712186, 'baseline'), ({(2743, 103, 3742)}, -0.14645438965751917, 'baseline'), ({(1303, 97, 3742)}, -0.344867526218401, 'baseline'), ({(179, 7, 3742)}, -0.7652484615297968, 'baseline'), ({(441, 32, 3742)}, -0.9429798518563515, 'baseline'), ({(371, 7, 3742)}, -1.0057237566906012, 'baseline'), ({(11183, 7, 3742)}, -1.028323089790732, 'baseline')]","[(1017, 7, 3742), (7738, 25, 62), (1017, 47, 7738)]",3,3.8423574,1,[3.9792309],[1],3.9792309,1.0
"(1445, 148, 9623)","[({(4021, 24, 1445)}, -3.894167259289547, 'baseline')]","[(4021, 160, 249), (249, 148, 9623), (4021, 24, 1445)]",3,7.140051,1,[7.3914795],[1],7.3914795,1.0
"(10634, 43, 141)","[({(881, 3, 10634)}, 4.591301111234451, 'baseline'), ({(7487, 27, 10634)}, 3.360792567846944, 'baseline'), ({(881, 8, 10634)}, 1.0511770156991862, 'baseline'), ({(3681, 12, 10634)}, 0.6823239956485169, 'baseline')]","[(881, 3, 10634), (881, 43, 141)]",2,7.3984365,1,[7.565048],[1],7.565048,1.0
"(7412, 14, 160)","[({(377, 7, 7412)}, -0.2134498037161975, 'baseline')]","[(418, 14, 160), (377, 7, 418), (377, 7, 7412)]",3,8.902123,1,[9.112712],[1],9.112712,1.0
"(7435, 35, 7238)","[({(10355, 64, 7435)}, 0.9838663767374417, 'baseline'), ({(7434, 64, 7435)}, -0.13288944378166379, 'baseline')]","[(10355, 35, 7238), (10355, 64, 7435)]",2,6.9823084,1,[6.6658125],[1],6.6658125,1.0
"(1329, 13, 1163)","[({(928, 32, 1329)}, 0.30775885330132713, 'baseline'), ({(2434, 6, 1329)}, -1.7201146643858785, 'baseline')]","[(928, 32, 1329), (1163, 59, 2067), (2067, 86, 928)]",3,5.9050293,1,[6.085605],[1],6.085605,1.0
"(409, 17, 862)","[({(2381, 8, 409)}, 0.30682217631310854, 'baseline'), ({(3778, 8, 409)}, 0.21595788057028592, 'baseline'), ({(1061, 8, 409)}, -0.0600507084399751, 'baseline'), ({(1027, 192, 409)}, -0.8340025107067668, 'baseline')]","[(2381, 17, 862), (2381, 8, 409)]",2,6.73506,1,[7.1999865],[1],7.1999865,1.0
"(12882, 25, 62)","[({(1748, 83, 12882)}, -0.6912004197503565, 'baseline')]","[(1748, 83, 12882), (1748, 25, 62)]",2,6.162185,1,[7.092861],[1],7.092861,1.0
"(7706, 17, 1002)","[({(735, 42, 7706)}, 2.050933015312459, 'baseline'), ({(5392, 76, 7706)}, -0.27382862387816537, 'baseline'), ({(5314, 196, 7706)}, -0.6886184795530025, 'baseline'), ({(3330, 71, 7706)}, -0.765232413592327, 'baseline'), ({(5933, 20, 7706)}, -1.4295608124698425, 'baseline')]","[(6558, 17, 1002), (6558, 41, 735), (735, 42, 7706)]",3,8.005735,1,[8.337394],[1],8.337394,1.0
"(2494, 85, 434)","[({(1127, 47, 2494)}, 2.7096970093121344, 'baseline'), ({(2934, 8, 2494)}, 1.0924349645065172, 'baseline'), ({(5540, 8, 2494)}, 0.6749600492069358, 'baseline'), ({(360, 8, 2494)}, 0.25412112089546474, 'baseline'), ({(1909, 27, 2494)}, 0.2480554787770034, 'baseline'), ({(9484, 47, 2494)}, -0.31183606736390396, 'baseline'), ({(4181, 84, 2494)}, -1.3367442595373362, 'baseline'), ({(879, 71, 2494)}, -1.9128463621013005, 'baseline')]","[(12251, 85, 434), (1127, 47, 2494), (12251, 19, 1127)]",3,8.090952,1,[8.084363],[1],8.084363,1.0
"(5672, 26, 64)","[({(4974, 38, 5672)}, 2.05335415144231, 'baseline'), ({(425, 38, 5672)}, 1.2325524695926693, 'baseline'), ({(268, 32, 5672)}, 1.0909657043199252, 'baseline'), ({(7481, 38, 5672)}, -0.7580624783531754, 'baseline'), ({(425, 6, 5672)}, -3.90927889156658, 'baseline')]","[(4974, 38, 5672), (7442, 26, 64), (4974, 6, 7442)]",3,7.616864,1,[7.6595364],[1],7.6595364,1.0
"(3350, 48, 32)","[({(2810, 164, 3350)}, -7.67356911745467, 'baseline')]","[(2810, 164, 3350), (2810, 48, 32)]",2,8.392536,1,[8.625137],[1],8.625137,1.0
"(6933, 25, 62)","[({(434, 161, 6933)}, 3.606171848057861, 'baseline'), ({(2833, 24, 6933)}, 2.1020571273949162, 'baseline'), ({(2833, 66, 6933)}, 0.6752212065159784, 'baseline'), ({(8925, 160, 6933)}, -0.9974136857364342, 'baseline'), ({(4529, 24, 6933)}, -1.3764702320302555, 'baseline')]","[(434, 161, 6933), (434, 161, 14143), (14143, 25, 62)]",3,5.3587217,1,[5.6120763],[1],5.6120763,1.0
"(10762, 25, 62)","[({(7983, 15, 10762)}, 1.2858268471558154, 'baseline'), ({(1080, 15, 10762)}, 1.225848386822524, 'baseline')]","[(7983, 25, 62), (7983, 15, 10762)]",2,7.438649,1,[8.890421],[1],8.890421,1.0
"(1892, 26, 1098)","[({(10583, 38, 1892)}, 2.201787493640126, 'baseline'), ({(3826, 7, 1892)}, 0.5929985684929567, 'baseline'), ({(5651, 97, 1892)}, -0.6907584353692967, 'baseline'), ({(327, 7, 1892)}, -1.3167014670179304, 'baseline'), ({(10583, 6, 1892)}, -1.4660689672886829, 'baseline')]","[(10583, 6, 12681), (10583, 38, 1892), (12681, 26, 1098)]",3,7.2906313,1,[7.2845564],[1],7.2845564,1.0
"(6342, 13, 1682)","[({(7622, 102, 6342)}, 2.456723813857211, 'baseline'), ({(4133, 6, 6342)}, 1.46103393638148, 'baseline'), ({(2031, 7, 6342)}, 0.9788052556301822, 'baseline'), ({(5634, 38, 6342)}, 0.4712493732326523, 'baseline'), ({(268, 32, 6342)}, -0.6240364010428041, 'baseline'), ({(4133, 38, 6342)}, -1.3457350219723059, 'baseline')]","[(7622, 85, 434), (434, 161, 1682), (7622, 102, 6342)]",3,5.9206314,1,[5.762744],[1],5.762744,1.0
"(12508, 17, 2123)","[({(1374, 20, 12508)}, 1.897746162942475, 'baseline')]","[(7484, 17, 2123), (1374, 20, 7484), (1374, 20, 12508)]",3,6.6341934,1,[6.4215617],[1],6.4215617,1.0
"(2457, 13, 382)","[({(5263, 6, 2457)}, 1.2675142305495442, 'baseline'), ({(410, 32, 2457)}, 1.0865889486290636, 'baseline'), ({(2250, 2, 2457)}, -3.3264949304724865, 'baseline')]","[(5263, 6, 2457), (434, 161, 382), (5263, 85, 434)]",3,6.046425,1,[5.9832463],[1],5.9832463,1.0
