new_rank,new_score,new_scores,prediction,facts,new_ranks,exp_length,original_score,exp,original_rank
559.0,1.16477,[1.16477],"(45, 1, 44)","[({(44, 1, 45)}, 9.368158384677596, 'baseline')]",[559],1,8.879241,"[(44, 1, 45)]",1
531.0,0.7969524,[0.7969524],"(4050, 1, 5908)","[({(5908, 1, 4050)}, 10.54178526947081, 'baseline')]",[531],1,10.466581,"[(5908, 1, 4050)]",1
26655.0,-0.43931627,[-0.43931627],"(496, 1, 32512)","[({(32512, 1, 496)}, 9.77129162944506, 'baseline')]",[26655],1,9.354602,"[(32512, 1, 496)]",1
1.0,6.50449,[6.50449],"(9372, 1, 1508)","[({(1508, 1, 9372)}, 9.903594741372048, 'baseline')]",[1],1,9.9936285,"[(1508, 1, 9372)]",1
2.0,6.995608,[6.995608],"(11686, 1, 5336)","[({(5336, 1, 11686)}, 9.23235530309824, 'baseline'), ({(26261, 1, 11686)}, 0.49299275492927974, 'baseline'), ({(1528, 1, 11686)}, -0.7442107910926866, 'baseline')]",[2],1,9.1733055,"[(5336, 1, 11686)]",1
98.0,1.1869849,[1.1869849],"(36078, 1, 7833)","[({(7833, 1, 36078)}, 10.596599321074827, 'baseline')]",[98],1,10.850468,"[(7833, 1, 36078)]",1
397.0,0.7617155,[0.7617155],"(2869, 1, 15125)","[({(15125, 1, 2869)}, 8.754144672411197, 'baseline')]",[397],1,8.738957,"[(15125, 1, 2869)]",1
130.0,1.4733956,[1.4733956],"(4359, 1, 29197)","[({(29197, 1, 4359)}, 8.637724539185756, 'baseline')]",[130],1,8.654919,"[(29197, 1, 4359)]",1
37118.0,-2.3032613,[-2.3032613],"(26984, 1, 38840)","[({(38840, 1, 26984)}, 9.709085350089499, 'baseline')]",[37118],1,9.220281,"[(38840, 1, 26984)]",1
3.0,6.9005203,[6.9005203],"(14768, 6, 24252)",[],[3],0,7.281294,[],1
1.0,7.487328,[7.487328],"(2035, 1, 8589)","[({(8589, 1, 2035)}, 8.805526893797056, 'baseline'), ({(23638, 1, 2035)}, 1.2809282493881782, 'baseline'), ({(25494, 0, 2035)}, 0.7191777488584479, 'baseline'), ({(647, 0, 2035)}, 0.542888089709803, 'baseline'), ({(3839, 1, 2035)}, -0.9658394113352575, 'baseline')]",[1],1,8.747489,"[(8589, 1, 2035)]",1
23.0,4.147674,[4.147674],"(16865, 1, 8774)","[({(8774, 1, 16865)}, 10.081836818685845, 'baseline')]",[23],1,10.44133,"[(8774, 1, 16865)]",1
30544.0,-2.4604511,[-2.4604511],"(26185, 1, 15249)","[({(15249, 1, 26185)}, 10.90905062681137, 'baseline')]",[30544],1,11.001265,"[(15249, 1, 26185)]",1
20.0,1.9231563,[1.9231563],"(7708, 1, 7707)","[({(7707, 1, 7708)}, 8.73937261036769, 'baseline'), ({(9498, 1, 7708)}, -1.833227120878652, 'baseline')]",[20],1,8.797766,"[(7707, 1, 7708)]",1
19190.0,-1.8963976,[-1.8963976],"(37429, 1, 32885)","[({(32885, 1, 37429)}, 10.555241393485037, 'baseline')]",[19190],1,10.5282135,"[(32885, 1, 37429)]",1
5219.0,-0.33280483,[-0.33280483],"(5826, 1, 10722)","[({(10722, 1, 5826)}, 9.010831591207747, 'baseline')]",[5219],1,9.052063,"[(10722, 1, 5826)]",1
