prediction,facts,exp,exp_length,original_score,original_rank,new_scores,new_ranks,new_score,new_rank
"(7788, 11, 7956)",[],[],0,6.464199395850301e-05,1,[0.6921178102493286],[1],0.6921178102493286,1.0
"(7328, 10, 7830)",[],[],0,5.031374872288552e-09,1,[0.9913186430931091],[1],0.9913186430931091,1.0
"(7125, 11, 8038)",[],[],0,1.2816738490073476e-05,1,[0.17858241498470306],[2],0.17858241498470306,2.0
"(7788, 11, 8038)",[],[],0,0.00025431104586459696,1,[0.206943079829216],[2],0.206943079829216,2.0
"(6105, 8, 7393)",[],[],0,0.0003303271369077265,1,[0.7756096720695496],[1],0.7756096720695496,1.0
"(6853, 10, 7830)",[],[],0,1.7677559416284794e-09,1,[0.9449417591094971],[1],0.9449417591094971,1.0
"(6427, 8, 7410)",[],[],0,0.006617997772991657,1,[0.38260573148727417],[7],0.38260573148727417,7.0
"(5269, 8, 7410)",[],[],0,0.0001737351849442348,1,[0.5267613530158997],[3],0.5267613530158997,3.0
"(5073, 10, 7830)",[],[],0,2.7475641761753877e-09,1,[0.8720498085021973],[1],0.8720498085021973,1.0
"(6766, 8, 7410)",[],[],0,0.00013452144048642367,1,[0.4412325918674469],[6],0.4412325918674469,6.0
"(5110, 8, 7408)",[],[],0,0.00016445291112177074,1,[0.5952907204627991],[3],0.5952907204627991,3.0
"(7177, 11, 7956)",[],[],0,5.2181261708028615e-05,1,[0.5631383657455444],[1],0.5631383657455444,1.0
"(7536, 12, 4492)",[],[],0,0.00012008265184704214,1,[0.007538481615483761],[79],0.007538481615483761,79.0
"(7182, 10, 7830)",[],[],0,5.526598068072985e-10,1,[0.9629223942756653],[1],0.9629223942756653,1.0
"(5234, 8, 7567)",[],[],0,0.07745267450809479,1,[0.5308758616447449],[8],0.5308758616447449,8.0
"(5110, 8, 7593)",[],[],0,0.00010146859858650714,1,[0.18148177862167358],[6],0.18148177862167358,6.0
"(7365, 10, 7830)",[],[],0,4.245953633130739e-08,1,[0.971639096736908],[1],0.971639096736908,1.0
