prediction,facts,exp,exp_length,original_score,original_rank,new_scores,new_ranks,new_score,new_rank
"(8776, 1, 1347)","[({(4276, 0, 8776)}, -5.333624470552445, 'baseline')]","[(4276, 1, 1347), (4276, 0, 8776)]",2,0.7884548306465149,1,[0.6825085878372192],[1],0.6825085878372192,1.0
"(39499, 0, 292)","[({(1864, 4, 39499)}, -1.4927046188194881, 'baseline')]","[(2148, 0, 292), (1864, 4, 39499), (1864, 4, 2148)]",3,0.6023808717727661,1,[8.430393791059032e-05],[120],8.430393791059032e-05,120.0
"(28640, 2, 741)",[],[],0,0.6571306586265564,1,[0.9452932476997375],[1],0.9452932476997375,1.0
"(34777, 1, 14753)",[],[],0,0.9449015259742737,1,[0.9571914672851562],[1],0.9571914672851562,1.0
"(26770, 5, 6829)",[],[],0,0.45097658038139343,1,[0.5756531953811646],[1],0.5756531953811646,1.0
"(11565, 1, 12441)",[],[],0,0.9488105773925781,1,[0.8246856927871704],[1],0.8246856927871704,1.0
"(903, 5, 5742)",[],[],0,0.4814486503601074,1,[0.19206883013248444],[2],0.19206883013248444,2.0
"(14612, 1, 19739)","[({(14613, 1, 14612)}, -0.02511194877180079, 'baseline')]","[(19739, 1, 17887), (14613, 1, 14612), (17887, 1, 14613)]",3,0.8138606548309326,1,[0.9532513618469238],[1],0.9532513618469238,1.0
"(24146, 1, 36079)",[],[],0,0.8771597146987915,1,[0.8088058233261108],[1],0.8088058233261108,1.0
"(31393, 0, 292)",[],[],0,0.512271523475647,1,[0.6857283115386963],[1],0.6857283115386963,1.0
"(14940, 1, 12227)","[({(5927, 1, 14940)}, -0.13195341237326513, 'baseline')]","[(13800, 1, 12227), (5927, 1, 14940), (13800, 1, 5927)]",3,0.8385334610939026,1,[0.7600476741790771],[1],0.7600476741790771,1.0
"(2949, 1, 8019)","[({(9188, 1, 2949)}, 0.15334853921086414, 'baseline')]","[(9188, 1, 2949), (9188, 1, 30805), (30805, 1, 8019)]",3,0.8824633359909058,1,[0.974675714969635],[1],0.974675714969635,1.0
"(15729, 1, 12999)","[({(15730, 1, 15729)}, -0.787963209457642, 'baseline'), ({(16455, 1, 15729)}, -1.22003144178122, 'baseline')]","[(15171, 1, 12999), (15730, 1, 15171), (15730, 1, 15729)]",3,0.19728238880634308,1,[0.013383250683546066],[8],0.013383250683546066,8.0
"(20124, 1, 18592)",[],[],0,0.9615100622177124,1,[0.9829078316688538],[1],0.9829078316688538,1.0
"(9536, 0, 265)",[],[],0,0.6587778329849243,1,[0.39717110991477966],[1],0.39717110991477966,1.0
"(23468, 1, 1116)",[],[],0,0.9318868517875671,1,[0.9162001609802246],[1],0.9162001609802246,1.0
"(1419, 1, 22014)","[({(19671, 1, 1419)}, 3.2810832634268383, 'baseline')]","[(13051, 1, 22014), (19671, 1, 13051), (19671, 1, 1419)]",3,0.8030797243118286,1,[0.9506125450134277],[1],0.9506125450134277,1.0
"(16918, 1, 2507)","[({(16476, 1, 16918)}, 1.2213193282207442, 'baseline')]","[(2507, 3, 16476), (16476, 1, 16918)]",2,0.9153757691383362,1,[0.9715315103530884],[1],0.9715315103530884,1.0
"(12356, 1, 20726)",[],[],0,0.8214631676673889,1,[0.9130332469940186],[1],0.9130332469940186,1.0
"(31721, 1, 24228)","[({(7056, 1, 31721)}, -2.5632743113495295, 'baseline')]","[(7056, 1, 31721), (24228, 0, 7056)]",2,0.8690681457519531,1,[0.8098763227462769],[1],0.8098763227462769,1.0
"(7982, 1, 20572)","[({(14618, 3, 7982)}, -1.5980878373587752, 'baseline')]","[(14618, 3, 7982), (20572, 1, 7983), (7983, 3, 14618)]",3,0.9877474308013916,1,[0.9940062761306763],[1],0.9940062761306763,1.0
