original_score,exp,original_rank,facts,exp_length,new_score,new_rank,prediction,new_scores,new_ranks
6.9425015,[],1,[],0,7.7234497,1.0,"(5660, 136, 6402)",[7.7234497],[1]
8.303699,"[(1174, 102, 2258), (2973, 14, 160), (2973, 84, 1174)]",1,"[({(1174, 102, 2258)}, 2.8019082813980796, 'baseline'), ({(1017, 7, 2258)}, 1.3534974554306063, 'baseline'), ({(2608, 38, 2258)}, 1.1939808156794898, 'baseline'), ({(1237, 7, 2258)}, 0.48434601269267324, 'baseline'), ({(2167, 7, 2258)}, -0.2346695136816421, 'baseline'), ({(6185, 7, 2258)}, -0.4498215204269959, 'baseline'), ({(3542, 38, 2258)}, -1.8312609454026654, 'baseline')]",3,8.44363,1.0,"(2258, 14, 160)",[8.44363],[1]
7.3984365,"[(881, 3, 10634), (881, 43, 141)]",1,"[({(881, 3, 10634)}, 4.591301111234451, 'baseline'), ({(7487, 27, 10634)}, 3.360792567846944, 'baseline'), ({(881, 8, 10634)}, 1.0511770156991862, 'baseline'), ({(3681, 12, 10634)}, 0.6823239956485169, 'baseline')]",2,7.5664487,1.0,"(10634, 43, 141)",[7.5664487],[1]
7.140051,"[(4021, 160, 249), (249, 148, 9623), (4021, 24, 1445)]",1,"[({(4021, 24, 1445)}, -3.894167259289547, 'baseline')]",3,7.3845677,1.0,"(1445, 148, 9623)",[7.3845677],[1]
3.8423574,"[(1017, 7, 3742), (7738, 25, 62), (1017, 47, 7738)]",1,"[({(1017, 7, 3742)}, 2.06268389164285, 'baseline'), ({(178, 102, 3742)}, 0.46348696941712186, 'baseline'), ({(2743, 103, 3742)}, -0.14645438965751917, 'baseline'), ({(1303, 97, 3742)}, -0.344867526218401, 'baseline'), ({(179, 7, 3742)}, -0.7652484615297968, 'baseline'), ({(441, 32, 3742)}, -0.9429798518563515, 'baseline'), ({(371, 7, 3742)}, -1.0057237566906012, 'baseline'), ({(11183, 7, 3742)}, -1.028323089790732, 'baseline')]",3,3.9764447,1.0,"(3742, 25, 62)",[3.9764447],[1]
8.902123,"[(418, 14, 160), (377, 7, 418), (377, 7, 7412)]",1,"[({(377, 7, 7412)}, -0.2134498037161975, 'baseline')]",3,9.110725,1.0,"(7412, 14, 160)",[9.110725],[1]
6.9823084,"[(10355, 35, 7238), (10355, 64, 7435)]",1,"[({(10355, 64, 7435)}, 0.9838663767374417, 'baseline'), ({(7434, 64, 7435)}, -0.13288944378166379, 'baseline')]",2,6.666215,1.0,"(7435, 35, 7238)",[6.666215],[1]
5.9050293,"[(928, 32, 1329), (1163, 59, 2067), (2067, 86, 928)]",1,"[({(928, 32, 1329)}, 0.30775885330132713, 'baseline'), ({(2434, 6, 1329)}, -1.7201146643858785, 'baseline')]",3,6.086576,1.0,"(1329, 13, 1163)",[6.086576],[1]
6.73506,"[(2381, 17, 862), (2381, 8, 409)]",1,"[({(2381, 8, 409)}, 0.30682217631310854, 'baseline'), ({(3778, 8, 409)}, 0.21595788057028592, 'baseline'), ({(1061, 8, 409)}, -0.0600507084399751, 'baseline'), ({(1027, 192, 409)}, -0.8340025107067668, 'baseline')]",2,7.1990623,1.0,"(409, 17, 862)",[7.1990623],[1]
6.162185,"[(1748, 83, 12882), (1748, 25, 62)]",1,"[({(1748, 83, 12882)}, -0.6912004197503565, 'baseline')]",2,7.094216,1.0,"(12882, 25, 62)",[7.094216],[1]
