exp,facts,exp_length,original_score,new_rank,new_ranks,new_score,original_rank,prediction,new_scores
[],[],0,9.176514,1.0,[1],9.350128,1,"(6427, 9, 7790)",[9.350128]
[],[],0,5.990065,1.0,[1],5.786831,1,"(7125, 11, 8038)",[5.786831]
[],[],0,6.493819,1.0,[1],6.5946174,1,"(5822, 11, 7992)",[6.5946174]
[],[],0,7.2885904,1.0,[1],7.369148,1,"(7788, 11, 8038)",[7.369148]
[],[],0,5.8608837,1.0,[1],6.0008745,1,"(5279, 11, 7992)",[6.0008745]
[],[],0,5.854315,2.0,[2],6.200688,1,"(6848, 11, 7992)",[6.200688]
[],[],0,6.829075,2.0,[2],6.1448393,1,"(7058, 9, 9349)",[6.1448393]
[],[],0,8.200344,3.0,[3],6.7902603,1,"(5822, 12, 8676)",[6.7902603]
[],[],0,6.2528124,1.0,[1],7.1217613,2,"(5849, 11, 7869)",[7.1217613]
[],[],0,6.5734153,1.0,[1],6.6487617,1,"(5696, 11, 7992)",[6.6487617]
[],[],0,6.0124025,1.0,[1],6.735967,1,"(6195, 9, 8721)",[6.735967]
[],[],0,7.6262035,2.0,[2],6.5762424,1,"(5717, 9, 2010)",[6.5762424]
[],[],0,8.899089,1.0,[1],8.66891,1,"(5179, 9, 13676)",[8.66891]
[],[],0,7.3935227,1.0,[1],7.1589727,1,"(4912, 11, 7869)",[7.1589727]
[],[],0,8.629868,1.0,[1],8.142022,1,"(6162, 9, 2010)",[8.142022]
[],[],0,8.731943,1.0,[1],8.861126,1,"(7517, 9, 7759)",[8.861126]
[],[],0,9.054642,1.0,[1],8.841734,1,"(5920, 9, 8418)",[8.841734]
[],[],0,6.63501,1.0,[1],6.649686,1,"(6822, 11, 7869)",[6.649686]
[],[],0,7.641706,3.0,[3],7.6677055,2,"(7365, 12, 6095)",[7.6677055]
[],[],0,6.395771,1.0,[1],6.1907635,2,"(5110, 11, 6729)",[6.1907635]
[],[],0,6.992312,1.0,[1],6.735902,1,"(7655, 11, 8038)",[6.735902]
[],[],0,7.1088166,1.0,[1],7.586528,1,"(6812, 12, 13960)",[7.586528]
[],[],0,6.9315023,1.0,[1],6.8644147,1,"(5218, 9, 11980)",[6.8644147]
[],[],0,8.511835,1.0,[1],8.5435095,1,"(7236, 9, 7903)",[8.5435095]
[],[],0,6.1215763,1.0,[1],6.7837477,2,"(5756, 11, 7869)",[6.7837477]
[],[],0,7.2348595,1.0,[1],7.5936413,1,"(6419, 9, 7991)",[7.5936413]
[],[],0,9.2064905,1.0,[1],9.497726,1,"(6323, 9, 8418)",[9.497726]
[],[],0,9.047374,1.0,[1],8.77409,1,"(6885, 9, 1470)",[8.77409]
[],[],0,9.176466,1.0,[1],9.2294655,1,"(5770, 9, 1470)",[9.2294655]
[],[],0,6.8954225,2.0,[2],6.557252,1,"(5575, 11, 8038)",[6.557252]
[],[],0,5.6155605,1.0,[1],5.2575407,1,"(5067, 11, 7992)",[5.2575407]
[],[],0,6.96239,1.0,[1],6.905373,2,"(5645, 9, 11980)",[6.905373]
[],[],0,8.398114,2.0,[2],8.562382,2,"(7628, 12, 4492)",[8.562382]
[],[],0,6.3391323,1.0,[1],6.1309195,1,"(5844, 11, 8038)",[6.1309195]
[],[],0,7.5643873,2.0,[2],7.5816746,2,"(6213, 11, 8038)",[7.5816746]
[],[],0,8.558601,2.0,[2],8.253544,1,"(7574, 12, 8644)",[8.253544]
[],[],0,7.3364105,4.0,[4],6.726829,2,"(6327, 12, 8676)",[6.726829]
[],[],0,6.7241745,3.0,[3],7.14703,1,"(4978, 11, 6729)",[7.14703]
[],[],0,5.7324796,2.0,[2],6.5319247,3,"(6246, 11, 7984)",[6.5319247]
[],[],0,6.4412184,3.0,[3],6.3404264,2,"(7177, 12, 9510)",[6.3404264]
[],[],0,9.283322,1.0,[1],9.027121,1,"(7154, 9, 8418)",[9.027121]
[],[],0,9.5396805,1.0,[1],9.90004,1,"(6219, 9, 7790)",[9.90004]
[],[],0,8.565611,1.0,[1],7.707157,1,"(6105, 9, 8339)",[7.707157]
[],[],0,6.271142,2.0,[2],6.1597896,1,"(5334, 11, 6729)",[6.1597896]
[],[],0,6.495025,1.0,[1],7.036352,1,"(6812, 11, 7869)",[7.036352]
[],[],0,6.2951746,1.0,[1],6.71523,1,"(5696, 11, 7984)",[6.71523]
[],[],0,6.7899523,1.0,[1],7.3184423,1,"(5380, 11, 8038)",[7.3184423]
[],[],0,8.735666,1.0,[1],8.811021,1,"(6848, 9, 11980)",[8.811021]
[],[],0,9.299835,1.0,[1],8.833181,1,"(7933, 12, 8340)",[8.833181]
[],[],0,9.0881,1.0,[1],8.518284,1,"(6914, 9, 7790)",[8.518284]
[],[],0,6.3372664,2.0,[2],6.4110727,4,"(6633, 12, 8569)",[6.4110727]
[],[],0,8.065897,1.0,[1],8.41648,1,"(4870, 9, 8151)",[8.41648]
[],[],0,7.925308,1.0,[1],8.426028,1,"(6054, 9, 8151)",[8.426028]
[],[],0,6.122612,1.0,[1],5.9613543,2,"(7426, 11, 7984)",[5.9613543]
[],[],0,7.914914,1.0,[1],7.9692087,1,"(5964, 12, 11744)",[7.9692087]
[],[],0,8.900803,1.0,[1],8.85563,1,"(7382, 9, 8339)",[8.85563]
[],[],0,6.604808,1.0,[1],6.078458,1,"(5844, 11, 7992)",[6.078458]
[],[],0,7.416071,1.0,[1],7.5399075,1,"(6263, 11, 8038)",[7.5399075]
[],[],0,6.5092406,1.0,[1],7.303032,1,"(6246, 11, 90)",[7.303032]
[],[],0,9.47781,1.0,[1],8.796419,1,"(5920, 12, 8676)",[8.796419]
[],[],0,5.4328356,3.0,[3],5.770294,4,"(4757, 11, 7984)",[5.770294]
[],[],0,8.398724,1.0,[1],7.928613,1,"(7769, 12, 8626)",[7.928613]
[],[],0,6.7546163,1.0,[1],6.9849873,1,"(4727, 11, 8038)",[6.9849873]
[],[],0,6.491535,2.0,[2],6.4539595,1,"(6853, 11, 8038)",[6.4539595]
[],[],0,6.6256256,2.0,[2],6.129611,1,"(6437, 11, 8038)",[6.129611]
[],[],0,9.563314,1.0,[1],9.116775,1,"(5517, 9, 7903)",[9.116775]
[],[],0,7.0910316,3.0,[3],6.7791867,2,"(5675, 11, 8038)",[6.7791867]
[],[],0,8.5208435,1.0,[1],8.840437,1,"(6566, 9, 7758)",[8.840437]
[],[],0,7.5059404,1.0,[1],7.2365994,1,"(6619, 11, 6729)",[7.2365994]
[],[],0,5.655415,2.0,[2],5.469816,2,"(5781, 11, 6729)",[5.469816]
[],[],0,5.79963,2.0,[2],6.4502325,3,"(6976, 11, 7992)",[6.4502325]
[],[],0,6.3059583,5.0,[5],6.0734067,2,"(5834, 11, 6729)",[6.0734067]
[],[],0,6.655379,1.0,[1],6.702554,1,"(5133, 9, 10166)",[6.702554]
[],[],0,6.9573603,2.0,[2],6.369766,2,"(5907, 9, 6144)",[6.369766]
[],[],0,6.168879,1.0,[1],6.4097176,1,"(6504, 11, 7992)",[6.4097176]
[],[],0,7.0618706,1.0,[1],7.083996,1,"(5411, 11, 8097)",[7.083996]
[],[],0,6.3387327,1.0,[1],6.590835,1,"(6766, 11, 7992)",[6.590835]
[],[],0,9.634243,1.0,[1],9.687794,1,"(7392, 9, 7790)",[9.687794]
[],[],0,6.138865,1.0,[1],5.7218885,1,"(7281, 11, 7992)",[5.7218885]
[],[],0,8.809921,1.0,[1],8.814265,1,"(6083, 9, 8418)",[8.814265]
[],[],0,6.4506083,1.0,[1],6.525854,1,"(7080, 9, 6144)",[6.525854]
[],[],0,7.26068,1.0,[1],7.5282083,1,"(4777, 9, 6144)",[7.5282083]
[],[],0,7.057395,2.0,[2],7.2683215,1,"(7407, 11, 7869)",[7.2683215]
[],[],0,8.371053,1.0,[1],8.384914,2,"(6300, 9, 8151)",[8.384914]
[],[],0,5.6012373,2.0,[2],5.5944567,2,"(7125, 11, 7869)",[5.5944567]
[],[],0,7.456912,1.0,[1],8.134858,1,"(4978, 11, 90)",[8.134858]
[],[],0,6.6888194,1.0,[1],6.5104856,1,"(7426, 11, 8038)",[6.5104856]
[],[],0,8.089542,1.0,[1],7.742645,1,"(6394, 9, 3917)",[7.742645]
[],[],0,7.079462,2.0,[2],6.9166226,1,"(7868, 11, 6729)",[6.9166226]
[],[],0,7.6898937,1.0,[1],7.051869,1,"(6115, 11, 6729)",[7.051869]
[],[],0,7.2706003,2.0,[2],6.812418,1,"(6263, 9, 9452)",[6.812418]
[],[],0,8.630572,1.0,[1],8.915864,1,"(5834, 9, 1470)",[8.915864]
[],[],0,9.556608,1.0,[1],9.28677,1,"(7610, 9, 7903)",[9.28677]
[],[],0,8.142027,2.0,[2],8.132223,2,"(7628, 12, 8676)",[8.132223]
[],[],0,8.600188,1.0,[1],9.38756,1,"(6766, 9, 11980)",[9.38756]
[],[],0,5.666048,1.0,[1],5.4186587,1,"(5067, 11, 7984)",[5.4186587]
[],[],0,6.3907385,2.0,[2],6.812026,2,"(5200, 11, 7869)",[6.812026]
[],[],0,6.532011,1.0,[1],6.4353023,1,"(6419, 9, 8339)",[6.4353023]
[],[],0,7.808302,1.0,[1],8.103144,1,"(5305, 12, 9444)",[8.103144]
[],[],0,5.530306,1.0,[1],5.7840996,1,"(4952, 11, 7869)",[5.7840996]
