facts,exp,new_ranks,original_rank,prediction,new_score,new_rank,original_score,exp_length,new_scores
[],[],[1],1,"(11761, 113, 5770)",0.505428671836853,1.0,0.393696665763855,0,[0.505428671836853]
[],[],[1],1,"(5914, 137, 9633)",0.9878031611442566,1.0,0.987588107585907,0,[0.9878031611442566]
"[({(1846, 47, 2937)}, 2.1575844268149624, 'baseline'), ({(2269, 8, 2937)}, 0.24391428875963028, 'baseline'), ({(7185, 1, 2937)}, 0.13556859183465136, 'baseline'), ({(8788, 136, 2937)}, 0.1273326322649427, 'baseline'), ({(8193, 12, 2937)}, 0.004583078379155673, 'baseline'), ({(6895, 1, 2937)}, -0.20684624117116754, 'baseline'), ({(6020, 27, 2937)}, -0.40149402744225265, 'baseline'), ({(4622, 47, 2937)}, -0.9448354966251241, 'baseline'), ({(1984, 136, 2937)}, -3.135818436203561, 'baseline')]","[(4671, 48, 32), (1846, 47, 2937), (4671, 19, 1846)]",[1],1,"(2937, 48, 32)",0.9803050756454468,1.0,0.9600799083709717,3,[0.9803050756454468]
"[({(2556, 42, 8617)}, 2.965354137260448, 'baseline'), ({(7550, 45, 8617)}, 1.3771731215660419, 'baseline'), ({(8297, 109, 8617)}, 0.47281165151972593, 'baseline'), ({(755, 119, 8617)}, 0.4259036619037333, 'baseline'), ({(4257, 12, 8617)}, 0.22444917709281573, 'baseline'), ({(4267, 12, 8617)}, -0.4084074349224697, 'baseline'), ({(4656, 8, 8617)}, -0.45384234220058967, 'baseline'), ({(550, 47, 8617)}, -1.2793291222347989, 'baseline'), ({(2522, 77, 8617)}, -1.3563548232356577, 'baseline'), ({(1205, 77, 8617)}, -1.8848844466682568, 'baseline')]","[(10473, 60, 90), (2556, 42, 10473), (2556, 42, 8617)]",[1],1,"(8617, 60, 90)",0.9893690347671509,1.0,0.947867214679718,3,[0.9893690347671509]
"[({(3695, 24, 1803)}, 1.005149227338084, 'baseline')]","[(3695, 24, 1803), (3695, 39, 1327), (1327, 156, 6317)]",[1],1,"(1803, 156, 6317)",0.9457429051399231,1.0,0.9039296507835388,3,[0.9457429051399231]
[],[],[3],1,"(434, 161, 5949)",0.8919678330421448,3.0,0.9906078577041626,0,[0.8919678330421448]
"[({(3876, 21, 2592)}, 4.352033368451785, 'baseline'), ({(5151, 20, 2592)}, 2.0331114204571143, 'baseline'), ({(13289, 20, 2592)}, 0.8544015449818929, 'baseline'), ({(3873, 3, 2592)}, 0.816198008647615, 'baseline'), ({(12341, 50, 2592)}, 0.1801783431747468, 'baseline'), ({(6104, 3, 2592)}, -0.1334760017868554, 'baseline'), ({(3121, 21, 2592)}, -0.6702123058862284, 'baseline'), ({(2202, 27, 2592)}, -1.6828704695233878, 'baseline')]","[(3876, 21, 2592), (3876, 17, 2123)]",[1],1,"(2592, 17, 2123)",0.3393486738204956,1.0,0.7389125823974609,2,[0.3393486738204956]
"[({(3646, 7, 6054)}, 0.9643745514233152, 'baseline'), ({(1060, 7, 6054)}, 0.28075244882872846, 'baseline'), ({(268, 32, 6054)}, 0.12062258163880087, 'baseline'), ({(812, 38, 6054)}, 0.02983325373734, 'baseline'), ({(1124, 59, 6054)}, 0.002233799497625675, 'baseline'), ({(8300, 2, 6054)}, -0.14421395190649525, 'baseline'), ({(1738, 6, 6054)}, -0.652904947495587, 'baseline'), ({(11368, 6, 6054)}, -0.7843756281069583, 'baseline'), ({(2299, 6, 6054)}, -1.4699793598079651, 'baseline'), ({(1792, 97, 6054)}, -3.195173111826861, 'baseline')]","[(3646, 7, 6054), (2604, 14, 160), (3646, 7, 2604)]",[1],1,"(6054, 14, 160)",0.9787452220916748,1.0,0.9868510365486145,3,[0.9787452220916748]
"[({(5840, 8, 5839)}, 1.7367773380388367, 'baseline'), ({(8902, 183, 5839)}, 0.807055149395808, 'baseline'), ({(3044, 183, 5839)}, -0.7707185587318436, 'baseline')]","[(5840, 8, 5839), (5840, 8, 6838), (6838, 48, 32)]",[1],1,"(5839, 48, 32)",0.4490213990211487,1.0,0.846180260181427,3,[0.4490213990211487]
"[({(3684, 83, 7268)}, -0.4151368891755954, 'baseline')]","[(3684, 83, 7268), (791, 25, 62), (3684, 25, 62)]",[1],1,"(7268, 120, 791)",0.9932251572608948,1.0,0.9878473281860352,3,[0.9932251572608948]
