prediction,facts,exp,exp_length,original_score,original_rank,new_scores,new_ranks,new_score,new_rank
"(6427, 9, 7790)",[],[],0,9.176514,1,[9.372059],[1],9.372059,1.0
"(7125, 11, 8038)",[],[],0,5.990065,1,[5.8025923],[1],5.8025923,1.0
"(7788, 11, 8038)",[],[],0,7.2885904,1,[7.3553343],[1],7.3553343,1.0
"(5822, 11, 7992)",[],[],0,6.493819,1,[6.5965476],[1],6.5965476,1.0
"(5279, 11, 7992)",[],[],0,5.8608837,1,[5.983908],[1],5.983908,1.0
"(6848, 11, 7992)",[],[],0,5.854315,1,[6.1959596],[2],6.1959596,2.0
"(7058, 9, 9349)",[],[],0,6.829075,1,[6.164346],[2],6.164346,2.0
"(5822, 12, 8676)",[],[],0,8.200344,1,[6.830802],[3],6.830802,3.0
"(5849, 11, 7869)",[],[],0,6.2528124,2,[7.1127815],[1],7.1127815,1.0
"(5696, 11, 7992)",[],[],0,6.5734153,1,[6.6442103],[1],6.6442103,1.0
"(6195, 9, 8721)",[],[],0,6.0124025,1,[6.7612977],[1],6.7612977,1.0
"(5717, 9, 2010)",[],[],0,7.6262035,1,[6.6226673],[2],6.6226673,2.0
"(5179, 9, 13676)",[],[],0,8.899089,1,[8.658321],[1],8.658321,1.0
"(4912, 11, 7869)",[],[],0,7.3935227,1,[7.1518183],[1],7.1518183,1.0
"(7517, 9, 7759)",[],[],0,8.731943,1,[8.850613],[1],8.850613,1.0
"(6162, 9, 2010)",[],[],0,8.629868,1,[8.147403],[1],8.147403,1.0
"(5920, 9, 8418)",[],[],0,9.054642,1,[8.819753],[1],8.819753,1.0
"(6822, 11, 7869)",[],[],0,6.63501,1,[6.6541424],[1],6.6541424,1.0
"(7365, 12, 6095)",[],[],0,7.641706,2,[7.6073046],[3],7.6073046,3.0
"(5110, 11, 6729)",[],[],0,6.395771,2,[6.1825886],[1],6.1825886,1.0
"(7655, 11, 8038)",[],[],0,6.992312,1,[6.7361746],[1],6.7361746,1.0
"(6812, 12, 13960)",[],[],0,7.1088166,1,[7.559759],[1],7.559759,1.0
"(5218, 9, 11980)",[],[],0,6.9315023,1,[6.8641167],[1],6.8641167,1.0
"(7236, 9, 7903)",[],[],0,8.511835,1,[8.549231],[1],8.549231,1.0
"(5756, 11, 7869)",[],[],0,6.1215763,2,[6.784605],[1],6.784605,1.0
"(6419, 9, 7991)",[],[],0,7.2348595,1,[7.583077],[1],7.583077,1.0
"(6323, 9, 8418)",[],[],0,9.2064905,1,[9.503234],[1],9.503234,1.0
"(6885, 9, 1470)",[],[],0,9.047374,1,[8.7647],[1],8.7647,1.0
"(5770, 9, 1470)",[],[],0,9.176466,1,[9.236755],[1],9.236755,1.0
"(5575, 11, 8038)",[],[],0,6.8954225,1,[6.5645065],[2],6.5645065,2.0
"(5067, 11, 7992)",[],[],0,5.6155605,1,[5.2617493],[1],5.2617493,1.0
"(5645, 9, 11980)",[],[],0,6.96239,2,[6.9220295],[1],6.9220295,1.0
"(7628, 12, 4492)",[],[],0,8.398114,2,[8.571108],[2],8.571108,2.0
"(5844, 11, 8038)",[],[],0,6.3391323,1,[6.1503205],[1],6.1503205,1.0
"(6213, 11, 8038)",[],[],0,7.5643873,2,[7.589263],[2],7.589263,2.0
"(6246, 11, 7984)",[],[],0,5.7324796,3,[6.536639],[2],6.536639,2.0
"(6327, 12, 8676)",[],[],0,7.3364105,2,[6.7282352],[4],6.7282352,4.0
"(4978, 11, 6729)",[],[],0,6.7241745,1,[7.1464396],[3],7.1464396,3.0
"(7574, 12, 8644)",[],[],0,8.558601,1,[8.268229],[2],8.268229,2.0
"(7154, 9, 8418)",[],[],0,9.283322,1,[9.032064],[1],9.032064,1.0
"(7177, 12, 9510)",[],[],0,6.4412184,2,[6.3201714],[3],6.3201714,3.0
"(6219, 9, 7790)",[],[],0,9.5396805,1,[9.9114685],[1],9.9114685,1.0
"(6105, 9, 8339)",[],[],0,8.565611,1,[7.7133083],[1],7.7133083,1.0
"(5334, 11, 6729)",[],[],0,6.271142,1,[6.146274],[2],6.146274,2.0
"(6812, 11, 7869)",[],[],0,6.495025,1,[7.0405874],[1],7.0405874,1.0
"(5696, 11, 7984)",[],[],0,6.2951746,1,[6.714907],[1],6.714907,1.0
"(5380, 11, 8038)",[],[],0,6.7899523,1,[7.329584],[1],7.329584,1.0
"(6848, 9, 11980)",[],[],0,8.735666,1,[8.866533],[1],8.866533,1.0
"(7933, 12, 8340)",[],[],0,9.299835,1,[8.863551],[1],8.863551,1.0
"(6914, 9, 7790)",[],[],0,9.0881,1,[8.518869],[1],8.518869,1.0
"(6633, 12, 8569)",[],[],0,6.3372664,4,[6.458101],[2],6.458101,2.0
"(4870, 9, 8151)",[],[],0,8.065897,1,[8.427444],[1],8.427444,1.0
"(6054, 9, 8151)",[],[],0,7.925308,1,[8.424118],[1],8.424118,1.0
"(7426, 11, 7984)",[],[],0,6.122612,2,[5.976244],[1],5.976244,1.0
"(5964, 12, 11744)",[],[],0,7.914914,1,[7.965927],[1],7.965927,1.0
"(7382, 9, 8339)",[],[],0,8.900803,1,[8.844629],[1],8.844629,1.0
"(5844, 11, 7992)",[],[],0,6.604808,1,[6.0740166],[1],6.0740166,1.0
"(6263, 11, 8038)",[],[],0,7.416071,1,[7.5587053],[1],7.5587053,1.0
"(6246, 11, 90)",[],[],0,6.5092406,1,[7.3059177],[1],7.3059177,1.0
"(5920, 12, 8676)",[],[],0,9.47781,1,[8.811964],[1],8.811964,1.0
"(4757, 11, 7984)",[],[],0,5.4328356,4,[5.760839],[3],5.760839,3.0
"(7769, 12, 8626)",[],[],0,8.398724,1,[7.8860245],[1],7.8860245,1.0
"(4727, 11, 8038)",[],[],0,6.7546163,1,[7.004899],[1],7.004899,1.0
"(6853, 11, 8038)",[],[],0,6.491535,1,[6.455001],[2],6.455001,2.0
"(6437, 11, 8038)",[],[],0,6.6256256,1,[6.1170626],[2],6.1170626,2.0
"(5517, 9, 7903)",[],[],0,9.563314,1,[9.153067],[1],9.153067,1.0
"(5675, 11, 8038)",[],[],0,7.0910316,2,[6.7876663],[3],6.7876663,3.0
"(6566, 9, 7758)",[],[],0,8.5208435,1,[8.835981],[1],8.835981,1.0
"(6619, 11, 6729)",[],[],0,7.5059404,1,[7.23045],[1],7.23045,1.0
"(5781, 11, 6729)",[],[],0,5.655415,2,[5.446446],[2],5.446446,2.0
"(6976, 11, 7992)",[],[],0,5.79963,3,[6.4325066],[2],6.4325066,2.0
"(5834, 11, 6729)",[],[],0,6.3059583,2,[6.069992],[5],6.069992,5.0
"(5133, 9, 10166)",[],[],0,6.655379,1,[6.658573],[1],6.658573,1.0
"(5907, 9, 6144)",[],[],0,6.9573603,2,[6.355509],[2],6.355509,2.0
"(6504, 11, 7992)",[],[],0,6.168879,1,[6.391107],[1],6.391107,1.0
"(5411, 11, 8097)",[],[],0,7.0618706,1,[7.079426],[1],7.079426,1.0
"(6766, 11, 7992)",[],[],0,6.3387327,1,[6.5788403],[1],6.5788403,1.0
"(7392, 9, 7790)",[],[],0,9.634243,1,[9.681782],[1],9.681782,1.0
"(7281, 11, 7992)",[],[],0,6.138865,1,[5.71167],[1],5.71167,1.0
"(6083, 9, 8418)",[],[],0,8.809921,1,[8.809868],[1],8.809868,1.0
"(7080, 9, 6144)",[],[],0,6.4506083,1,[6.506189],[1],6.506189,1.0
"(4777, 9, 6144)",[],[],0,7.26068,1,[7.543459],[1],7.543459,1.0
"(7407, 11, 7869)",[],[],0,7.057395,1,[7.258728],[2],7.258728,2.0
"(6300, 9, 8151)",[],[],0,8.371053,2,[8.36531],[1],8.36531,1.0
"(7125, 11, 7869)",[],[],0,5.6012373,2,[5.6003523],[2],5.6003523,2.0
"(4978, 11, 90)",[],[],0,7.456912,1,[8.131702],[1],8.131702,1.0
"(7426, 11, 8038)",[],[],0,6.6888194,1,[6.532425],[1],6.532425,1.0
"(6394, 9, 3917)",[],[],0,8.089542,1,[7.749052],[1],7.749052,1.0
"(7868, 11, 6729)",[],[],0,7.079462,1,[6.909459],[2],6.909459,2.0
"(6115, 11, 6729)",[],[],0,7.6898937,1,[7.0223837],[1],7.0223837,1.0
"(6263, 9, 9452)",[],[],0,7.2706003,1,[6.815381],[2],6.815381,2.0
"(5834, 9, 1470)",[],[],0,8.630572,1,[8.941353],[1],8.941353,1.0
"(7610, 9, 7903)",[],[],0,9.556608,1,[9.302223],[1],9.302223,1.0
"(6766, 9, 11980)",[],[],0,8.600188,1,[9.420348],[1],9.420348,1.0
"(5067, 11, 7984)",[],[],0,5.666048,1,[5.4177866],[1],5.4177866,1.0
"(7628, 12, 8676)",[],[],0,8.142027,2,[8.146491],[2],8.146491,2.0
"(5200, 11, 7869)",[],[],0,6.3907385,2,[6.811387],[2],6.811387,2.0
"(6419, 9, 8339)",[],[],0,6.532011,1,[6.41566],[1],6.41566,1.0
"(5305, 12, 9444)",[],[],0,7.808302,1,[8.140188],[1],8.140188,1.0
"(4952, 11, 7869)",[],[],0,5.530306,1,[5.783349],[1],5.783349,1.0
