new_ranks,new_rank,new_score,facts,new_scores,original_rank,prediction,original_score,#facts
"[1, 1]",1.0,8.649719,"[(8270, 1, 45), (32501, 0, 45), (2655, 1, 45)]","[8.6971035, 8.602334]",1,"(45, 1, 44)",8.879241,3
"[6262, 466]",3364.0,0.4512294,"[(36580, 0, 4050), (5907, 0, 5908), (5908, 1, 4050)]","[-0.091504365, 0.9939631]",1,"(4050, 1, 5908)",10.466581,3
"[18057, 10671]",14364.0,-0.13929474,"[(31170, 0, 496), (32512, 1, 496), (16168, 1, 496)]","[-0.28654066, 0.00795117]",1,"(496, 1, 32512)",9.354602,3
"[1, 1]",1.0,10.239616,"[(35202, 0, 9372), (10112, 0, 9372), (24028, 0, 1508)]","[10.267792, 10.211441]",1,"(9372, 1, 1508)",9.9936285,3
"[1, 1]",1.0,8.788819,"[(30764, 0, 11686), (5335, 0, 5336), (1528, 1, 11686)]","[9.006748, 8.57089]",1,"(11686, 1, 5336)",9.1733055,3
"[58, 15]",36.5,1.8340344,"[(7833, 1, 36078), (15054, 9, 7833)]","[1.5431337, 2.1249352]",1,"(36078, 1, 7833)",10.850468,2
"[185, 314]",249.5,0.7711114,"[(22777, 1, 2869), (15125, 1, 2869), (3367, 1, 15125)]","[0.9516752, 0.5905477]",1,"(2869, 1, 15125)",8.738957,3
"[1, 1]",1.0,8.436539,"[(13612, 1, 29197), (5219, 0, 29197), (10601, 0, 29197)]","[8.415619, 8.457459]",1,"(4359, 1, 29197)",8.654919,3
"[25148, 28614]",26881.0,-1.9383938,"[(26983, 1, 26984), (38840, 1, 26984)]","[-1.8130679, -2.0637197]",1,"(26984, 1, 38840)",9.220281,2
"[2958, 6875]",4916.5,0.41717628,"[(15788, 6, 14768), (31029, 6, 24252), (21984, 6, 24252)]","[0.58030045, 0.2540521]",1,"(14768, 6, 24252)",7.281294,3
"[1, 1]",1.0,9.019793,"[(647, 1, 8589), (1896, 1, 8589), (647, 0, 2035)]","[9.318608, 8.720978]",1,"(2035, 1, 8589)",8.747489,3
"[13, 68]",40.5,3.0280313,"[(8775, 1, 8774), (8774, 1, 16865)]","[4.373478, 1.6825848]",1,"(16865, 1, 8774)",10.44133,2
"[24642, 29054]",26848.0,-3.1751246,"[(15249, 1, 26185)]","[-2.7356749, -3.6145744]",1,"(26185, 1, 15249)",11.001265,1
"[72, 109]",90.5,1.12328,"[(7707, 1, 7708), (9498, 1, 7707), (9498, 1, 7708)]","[1.3218895, 0.92467046]",1,"(7708, 1, 7707)",8.797766,3
"[40869, 40628]",40748.5,-16.820518,"[(32884, 0, 32885), (32885, 1, 37429)]","[-14.276436, -19.364603]",1,"(37429, 1, 32885)",10.5282135,2
"[14104, 5242]",9673.0,-0.9079851,"[(7628, 1, 10722), (10722, 1, 5826), (33974, 9, 10722)]","[-1.1854683, -0.63050187]",1,"(5826, 1, 10722)",9.052063,3
"[8, 14]",11.0,4.3637104,"[(8489, 0, 20692), (21524, 1, 20692), (1062, 1, 20692)]","[4.7177286, 4.0096917]",1,"(20692, 1, 21524)",9.7515745,3
"[36269, 35718]",35993.5,-3.9144278,"[(31140, 1, 25999), (25998, 0, 25999), (13777, 1, 31140)]","[-2.4758263, -5.3530293]",1,"(25999, 1, 31140)",9.611744,3
"[1, 1]",1.0,9.612459,"[(25081, 0, 22500), (26110, 1, 22500), (6376, 1, 15849)]","[9.782094, 9.442825]",1,"(22500, 1, 15849)",8.751211,3
"[1, 1]",1.0,7.580706,"[(5283, 0, 278), (7246, 0, 278), (4293, 0, 278)]","[8.321606, 6.8398066]",1,"(21811, 0, 278)",7.6046906,3
"[1, 1]",1.0,8.029075,"[(3306, 2, 121), (120, 2, 121), (695, 2, 121)]","[7.944124, 8.114025]",1,"(33440, 2, 121)",7.4783945,3
"[1, 1]",1.0,5.198134,"[(3168, 5, 2971), (4728, 5, 2971), (24244, 5, 2971)]","[5.14334, 5.252928]",1,"(14576, 5, 2971)",5.459032,3
"[2, 2]",2.0,6.594587,"[(28697, 1, 12905), (12904, 1, 12905), (5832, 1, 12905)]","[6.679788, 6.5093856]",1,"(12905, 1, 5832)",9.152345,3
"[21, 23]",22.0,3.0509014,"[(653, 1, 17819), (17820, 1, 17819), (654, 1, 653)]","[2.9377408, 3.164062]",1,"(17819, 1, 653)",9.249761,3
"[2, 1]",1.5,6.6635575,"[(23443, 1, 3167), (19131, 0, 3167), (23745, 1, 3167)]","[6.8185186, 6.5085964]",1,"(17014, 2, 3167)",7.138199,3
