original_rank,new_rank,prediction,new_score,#facts,facts,original_score,new_ranks,new_scores
1,1.0,"(5660, 136, 6402)",7.122801,3,"[(8824, 3, 6402), (13002, 7, 5660), (6651, 136, 6402)]",6.9425015,"[1, 1]","[7.122958, 7.1226435]"
1,1.0,"(2258, 14, 160)",8.401388,3,"[(1237, 7, 2258), (6185, 7, 2258), (1174, 102, 2258)]",8.303699,"[1, 1]","[8.432171, 8.370605]"
1,1.0,"(10634, 43, 141)",7.670982,3,"[(7487, 27, 10634), (3681, 12, 10634), (881, 3, 10634)]",7.3984365,"[1, 1]","[7.751739, 7.5902247]"
1,1.0,"(1445, 148, 9623)",7.561162,3,"[(3922, 106, 1445), (9318, 39, 1445), (4021, 24, 1445)]",7.140051,"[1, 1]","[7.629302, 7.4930215]"
1,1.0,"(3742, 25, 62)",4.1439834,3,"[(11183, 7, 3742), (1303, 97, 3742), (1017, 7, 3742)]",3.8423574,"[1, 1]","[4.2591105, 4.0288563]"
1,1.0,"(7412, 14, 160)",8.729364,3,"[(377, 7, 7412), (1233, 14, 160), (1036, 14, 160)]",8.902123,"[1, 1]","[8.664738, 8.79399]"
1,1.0,"(7435, 35, 7238)",7.1459584,3,"[(10355, 64, 7435), (7434, 64, 7435), (4733, 35, 7238)]",6.9823084,"[1, 1]","[6.897108, 7.394809]"
1,1.0,"(1329, 13, 1163)",6.1036034,3,"[(6324, 13, 1163), (2434, 6, 1329), (928, 32, 1329)]",5.9050293,"[1, 1]","[5.973887, 6.2333198]"
1,1.0,"(409, 17, 862)",6.8728905,3,"[(1027, 192, 409), (2381, 8, 409), (280, 17, 862)]",6.73506,"[1, 1]","[6.8433886, 6.9023924]"
1,1.0,"(12882, 25, 62)",6.997164,3,"[(1748, 83, 12882), (1561, 25, 62), (538, 25, 62)]",6.162185,"[1, 1]","[6.952362, 7.041965]"
1,1.0,"(7706, 17, 1002)",8.106661,3,"[(5314, 196, 7706), (5933, 20, 7706), (3330, 71, 7706)]",8.005735,"[1, 1]","[8.2481785, 7.9651423]"
1,1.0,"(2494, 85, 434)",7.976909,3,"[(4181, 84, 2494), (1127, 47, 2494), (9484, 47, 2494)]",8.090952,"[1, 1]","[7.5698633, 8.383955]"
1,1.0,"(5672, 26, 64)",7.425027,3,"[(5923, 26, 64), (1719, 26, 64), (2676, 26, 64)]",7.616864,"[1, 1]","[7.495988, 7.354066]"
1,1.0,"(3350, 48, 32)",8.246383,3,"[(2810, 164, 3350), (374, 13, 32), (58, 24, 32)]",8.392536,"[1, 1]","[7.952164, 8.540602]"
1,1.0,"(6933, 25, 62)",6.4095993,3,"[(10506, 15, 6933), (8925, 160, 6933), (4529, 24, 6933)]",5.3587217,"[1, 1]","[6.4847016, 6.334497]"
1,1.0,"(10762, 25, 62)",9.011222,3,"[(7983, 15, 10762), (137, 25, 62), (1363, 25, 62)]",7.438649,"[1, 1]","[9.050255, 8.972189]"
1,1.0,"(1892, 26, 1098)",7.4135466,3,"[(3756, 26, 1098), (10583, 38, 1892), (4616, 26, 1098)]",7.2906313,"[1, 1]","[7.509594, 7.317499]"
1,1.0,"(6342, 13, 1682)",5.811514,3,"[(4133, 38, 6342), (7348, 13, 1682), (3170, 13, 1682)]",5.9206314,"[1, 1]","[5.7740126, 5.8490148]"
1,1.5,"(12508, 17, 2123)",6.431431,3,"[(8229, 17, 2123), (3668, 17, 2123), (4705, 17, 2123)]",6.6341934,"[2, 1]","[6.2251735, 6.6376886]"
1,1.0,"(2457, 13, 382)",6.1185045,3,"[(1540, 13, 382), (1305, 48, 382), (3128, 48, 382)]",6.046425,"[1, 1]","[6.099787, 6.1372223]"
1,1.0,"(7327, 17, 215)",6.8803344,3,"[(721, 47, 7327), (333, 47, 7327), (7688, 17, 215)]",6.6937075,"[1, 1]","[6.8957996, 6.864869]"
1,2.0,"(1127, 10, 6315)",6.415694,3,"[(6788, 19, 1127), (1261, 30, 1127), (20, 10, 6315)]",6.301168,"[3, 1]","[6.2943506, 6.5370374]"
1,1.0,"(8758, 19, 1724)",8.033377,3,"[(10467, 19, 1724), (4067, 19, 1724), (11663, 165, 8758)]",7.7758446,"[1, 1]","[8.04955, 8.017202]"
1,1.0,"(9376, 25, 62)",7.7805257,3,"[(587, 89, 9376), (110, 25, 62), (1363, 25, 62)]",7.0566015,"[1, 1]","[7.8521805, 7.708871]"
1,1.0,"(1658, 26, 990)",6.8905773,3,"[(6449, 7, 1658), (2688, 26, 990), (989, 26, 990)]",6.9488378,"[1, 1]","[7.021247, 6.759908]"
1,1.0,"(3577, 48, 32)",6.754608,3,"[(3576, 8, 3577), (255, 8, 3577), (3333, 8, 3577)]",6.6759186,"[1, 1]","[6.637548, 6.871668]"
1,2.0,"(2016, 17, 60)",6.4279633,3,"[(5954, 17, 60), (7578, 3, 2016), (7578, 8, 2016)]",6.498813,"[2, 2]","[6.409957, 6.445969]"
1,1.0,"(5605, 17, 862)",6.6206617,3,"[(5194, 45, 5605), (1893, 17, 862), (1348, 17, 862)]",6.5098124,"[1, 1]","[6.5458894, 6.6954346]"
1,1.0,"(7019, 11, 23)",8.543009,3,"[(3800, 6, 7019), (7291, 38, 7019), (1130, 2, 7019)]",8.85631,"[1, 1]","[8.435376, 8.650641]"
1,1.0,"(868, 26, 342)",7.50031,3,"[(4630, 26, 342), (928, 32, 868), (6357, 26, 342)]",7.565317,"[1, 1]","[7.296864, 7.7037563]"
1,1.0,"(3116, 11, 23)",7.879918,3,"[(1137, 7, 3116), (2229, 11, 23), (598, 7, 3116)]",7.8973103,"[1, 1]","[8.079561, 7.6802745]"
1,1.0,"(3481, 13, 1934)",6.2495,3,"[(1017, 7, 3481), (2977, 13, 1934), (6286, 29, 1934)]",6.271813,"[1, 1]","[6.2588596, 6.24014]"
1,1.0,"(6848, 28, 32)",7.538761,3,"[(5089, 32, 6848), (604, 32, 6848), (8210, 102, 6848)]",7.389966,"[1, 1]","[7.562872, 7.514651]"
1,1.0,"(6079, 220, 8450)",8.136979,3,"[(4557, 220, 8450), (6867, 66, 6079), (2780, 220, 8450)]",8.157777,"[1, 1]","[8.385949, 7.8880086]"
1,1.0,"(4592, 17, 818)",5.8090553,3,"[(7146, 8, 4592), (6375, 17, 818), (317, 3, 4592)]",5.790435,"[1, 1]","[5.6922216, 5.9258885]"
1,1.0,"(8007, 43, 141)",7.9812765,3,"[(2468, 27, 8007), (2558, 43, 141), (1060, 47, 8007)]",7.8901253,"[1, 1]","[7.873314, 8.089239]"
1,1.0,"(3861, 26, 64)",7.841075,3,"[(1819, 6, 3861), (268, 32, 3861), (1126, 7, 3861)]",7.833797,"[1, 1]","[8.054662, 7.627488]"
1,1.5,"(9419, 31, 2512)",6.2800856,3,"[(958, 97, 9419), (3363, 103, 9419), (2030, 31, 2512)]",6.3330984,"[1, 2]","[6.5179825, 6.0421886]"
1,1.0,"(4929, 11, 23)",8.355186,3,"[(2250, 2, 4929), (5173, 6, 4929), (4563, 55, 4929)]",8.66317,"[1, 1]","[8.317804, 8.39257]"
