facts,prediction,new_score,new_rank,original_score,new_ranks,original_rank,#facts,new_scores
"[(4046, 26, 5770), (893, 26, 5770), (11221, 113, 5770)]","(11761, 113, 5770)",0.38304516673088074,1.5,0.393696665763855,"[2, 1]",1,3,"[0.36135825514793396, 0.4047320783138275]"
"[(10329, 137, 9633), (5756, 137, 9633), (8724, 137, 9633)]","(5914, 137, 9633)",0.8951316773891449,1.5,0.987588107585907,"[1, 2]",1,3,"[0.8843598961830139, 0.9059034585952759]"
"[(8788, 136, 2937), (1984, 136, 2937), (6020, 27, 2937)]","(2937, 48, 32)",0.8493929803371429,1.0,0.9600799083709717,"[1, 1]",1,3,"[0.881181001663208, 0.8176049590110779]"
"[(550, 47, 8617), (2556, 42, 8617), (2522, 77, 8617)]","(8617, 60, 90)",0.9951885044574738,1.0,0.947867214679718,"[1, 1]",1,3,"[0.9963318705558777, 0.9940451383590698]"
"[(3695, 24, 1803), (6343, 24, 1803), (8712, 156, 6317)]","(1803, 156, 6317)",0.936943769454956,1.0,0.9039296507835388,"[1, 1]",1,3,"[0.9042006731033325, 0.9696868658065796]"
"[(2187, 66, 5949), (6704, 106, 5949), (11715, 106, 5949)]","(434, 161, 5949)",0.9149807393550873,11.5,0.9906078577041626,"[18, 5]",1,3,"[0.9172496795654297, 0.9127117991447449]"
"[(12341, 50, 2592), (488, 192, 2592), (3873, 3, 2592)]","(2592, 17, 2123)",0.20111650973558426,4.0,0.7389125823974609,"[4, 4]",1,3,"[0.19205260276794434, 0.21018041670322418]"
"[(1124, 59, 6054), (1738, 6, 6054), (8300, 2, 6054)]","(6054, 14, 160)",0.9793076813220978,1.0,0.9868510365486145,"[1, 1]",1,3,"[0.9788116812705994, 0.9798036813735962]"
"[(3044, 183, 5839), (8902, 183, 5839), (5840, 8, 5839)]","(5839, 48, 32)",0.7373907268047333,1.0,0.846180260181427,"[1, 1]",1,3,"[0.5709707140922546, 0.9038107395172119]"
"[(9731, 39, 7268), (3684, 83, 7268), (3500, 120, 791)]","(7268, 120, 791)",0.9942407011985779,1.0,0.9878473281860352,"[1, 1]",1,3,"[0.9917677640914917, 0.9967136383056641]"
"[(4082, 6, 5818), (9173, 6, 5818), (9377, 38, 5818)]","(5818, 34, 90)",0.9921758472919464,1.0,0.9906631708145142,"[1, 1]",1,3,"[0.992790699005127, 0.9915609955787659]"
"[(58, 24, 32), (1138, 48, 32), (155, 28, 32)]","(7681, 48, 32)",0.9100571870803833,1.0,0.9179816246032715,"[1, 1]",1,3,"[0.9091958403587341, 0.9109185338020325]"
"[(58, 24, 32), (8357, 123, 9201), (1138, 48, 32)]","(9201, 48, 32)",0.8675923049449921,1.0,0.6412914395332336,"[1, 1]",1,3,"[0.930316686630249, 0.8048679232597351]"
"[(8955, 8, 2062), (6906, 8, 2062), (5181, 8, 2062)]","(2062, 43, 384)",0.7060767412185669,2.0,0.8457817435264587,"[2, 2]",1,3,"[0.783174455165863, 0.6289790272712708]"
"[(4171, 77, 409), (1027, 192, 409), (5653, 153, 409)]","(409, 100, 160)",0.9853574931621552,1.0,0.9844846725463867,"[1, 1]",1,3,"[0.9753028154373169, 0.9954121708869934]"
"[(5113, 1, 7739), (9821, 45, 7739), (8084, 123, 7739)]","(7739, 48, 32)",0.6909323632717133,1.0,0.8271660208702087,"[1, 1]",1,3,"[0.4580661654472351, 0.9237985610961914]"
"[(156, 25, 62), (1429, 25, 62), (963, 25, 62)]","(8557, 25, 62)",0.9923235177993774,1.0,0.9874509572982788,"[1, 1]",1,3,"[0.9897297620773315, 0.9949172735214233]"
"[(6677, 192, 6678), (6162, 8, 6678), (13513, 71, 6678)]","(6678, 43, 384)",0.7708987891674042,2.0,0.9217239618301392,"[2, 2]",1,3,"[0.8536035418510437, 0.6881940364837646]"
"[(3210, 47, 5361), (8105, 20, 5361), (1374, 20, 5361)]","(5361, 177, 1271)",0.6918772459030151,1.0,0.6285704970359802,"[1, 1]",1,3,"[0.7511317729949951, 0.6326227188110352]"
