original_rank,original_score,#facts,new_score,new_ranks,facts,new_rank,new_scores,prediction
1,6.464199395850301e-05,3,0.2595019042491913,"[1, 1]","[(8140, 11, 7956), (8351, 11, 7956), (8036, 11, 7956)]",1.0,"[0.4034900665283203, 0.11551374197006226]","(7788, 11, 7956)"
1,5.031374872288552e-09,3,8.112825256034739e-08,"[4, 4]","[(7833, 10, 7830), (8557, 10, 7830), (8048, 10, 7830)]",4.0,"[1.0116315252162167e-07, 6.109335259907311e-08]","(7328, 10, 7830)"
1,1.2816738490073476e-05,3,0.0009466107994187123,"[1, 4]","[(10240, 11, 8038), (10280, 11, 8038), (9941, 11, 8038)]",2.5,"[0.0018932147650048137, 6.83383261090853e-09]","(7125, 11, 8038)"
1,0.00025431104586459696,3,0.0011379414643784003,"[1, 4]","[(10240, 11, 8038), (10280, 11, 8038), (9941, 11, 8038)]",2.5,"[0.002275002421811223, 8.805069455775083e-07]","(7788, 11, 8038)"
1,0.0003303271369077265,3,7.677733037425583e-05,"[22, 4]","[(8059, 8, 7393), (7392, 8, 7393), (8104, 8, 7393)]",13.0,"[8.127152995029974e-08, 0.00015347338921856135]","(6105, 8, 7393)"
1,1.7677559416284794e-09,3,1.732323191561136e-07,"[1, 2]","[(7833, 10, 7830), (8557, 10, 7830), (8048, 10, 7830)]",1.5,"[3.087969560056081e-07, 3.76676823066191e-08]","(6853, 10, 7830)"
1,0.006617997772991657,3,0.000584615899470009,"[2, 3]","[(8007, 8, 7410), (8092, 8, 7410), (7955, 8, 7410)]",2.5,"[6.392793238774175e-06, 0.0011628390057012439]","(6427, 8, 7410)"
1,0.0001737351849442348,3,2.6546671506366692e-05,"[3, 6]","[(8007, 8, 7410), (8092, 8, 7410), (7955, 8, 7410)]",4.5,"[3.1463088816963136e-05, 2.163025419577025e-05]","(5269, 8, 7410)"
1,2.7475641761753877e-09,3,2.315980474065782e-08,"[1, 1]","[(7955, 10, 7830), (8338, 10, 7830), (8287, 10, 7830)]",1.0,"[2.0893606844651913e-08, 2.5426002636663725e-08]","(5073, 10, 7830)"
1,0.00013452144048642367,3,0.00012005771327494585,"[2, 5]","[(8007, 8, 7410), (8092, 8, 7410), (7955, 8, 7410)]",3.5,"[5.9749359024863224e-06, 0.00023414049064740539]","(6766, 8, 7410)"
1,0.00016445291112177074,3,4.9445487775301444e-05,"[4, 3]","[(8347, 8, 7408), (8185, 8, 7408), (8704, 8, 7408)]",3.5,"[7.32704847905552e-07, 9.815827070269734e-05]","(5110, 8, 7408)"
