prediction,original_score,facts,#facts,new_score,new_scores,new_rank,original_rank,new_ranks
"(8776, 1, 1347)",0.7884548306465149,"[(4276, 1, 1347), (4276, 0, 8776), (1347, 1, 8776)]",3,5.531953866011463e-05,"[5.029309613746591e-05, 6.034598118276335e-05]",12098.0,1,"[13610, 10586]"
"(39499, 0, 292)",0.6023808717727661,"[(1864, 4, 39499), (2549, 0, 292), (620, 0, 292)]",3,0.00014721660227223765,"[0.00024901589495129883, 4.541730959317647e-05]",557.5,1,"[8, 1107]"
"(28640, 2, 741)",0.6571306586265564,"[(9254, 2, 741), (18878, 2, 741), (5091, 2, 741)]",3,0.7590081095695496,"[0.810751736164093, 0.7072644829750061]",1.0,1,"[1, 1]"
"(34777, 1, 14753)",0.9449015259742737,"[(27720, 1, 14753), (14753, 1, 34777)]",2,0.00010662390559446067,"[5.958083784207702e-05, 0.00015366697334684432]",4266.5,1,"[7167, 1366]"
"(26770, 5, 6829)",0.45097658038139343,"[(15379, 1, 6829), (22239, 5, 6829), (26771, 5, 6829)]",3,0.10169138014316559,"[0.1408696472644806, 0.06251311302185059]",3.5,1,"[3, 4]"
"(11565, 1, 12441)",0.9488105773925781,"[(26015, 0, 11565), (5675, 1, 11565), (26203, 0, 11565)]",3,0.8890275359153748,"[0.9484423995018005, 0.829612672328949]",1.0,1,"[1, 1]"
"(903, 5, 5742)",0.4814486503601074,"[(28130, 5, 5742), (15423, 5, 5742), (23782, 5, 5742)]",3,0.21372623182833195,"[0.03813238814473152, 0.3893200755119324]",5.5,1,"[8, 3]"
"(14612, 1, 19739)",0.8138606548309326,"[(14613, 1, 14612), (17887, 1, 19739), (19739, 1, 14612)]",3,0.11343627981841564,"[0.17129278182983398, 0.0555797778069973]",3.0,1,"[2, 4]"
"(24146, 1, 36079)",0.8771597146987915,"[(9979, 0, 36079), (29584, 9, 36079), (36079, 1, 24146)]",3,5.912501683269511e-05,"[1.203216288558906e-05, 0.00010621787077980116]",18766.0,1,"[34281, 3251]"
"(31393, 0, 292)",0.512271523475647,"[(2549, 0, 292), (620, 0, 292), (5264, 0, 292)]",3,0.7442379891872406,"[0.8918933272361755, 0.5965826511383057]",1.0,1,"[1, 1]"
