prediction,facts,exp,exp_length,original_score,original_rank,new_scores,new_ranks,new_score,new_rank
"(45, 1, 44)",[],[],0,8.879241,1,[8.966033],[1],8.966033,1.0
"(4050, 1, 5908)",[],[],0,10.466581,1,[10.38332],[1],10.38332,1.0
"(496, 1, 32512)",[],[],0,9.354602,1,[9.444126],[1],9.444126,1.0
"(9372, 1, 1508)",[],[],0,9.9936285,1,[9.69961],[1],9.69961,1.0
"(11686, 1, 5336)","[({(26261, 1, 11686)}, 0.49299275492927974, 'baseline'), ({(1528, 1, 11686)}, -0.7442107910926866, 'baseline')]","[(2296, 1, 1528), (5336, 0, 16668), (2296, 1, 5336), (26261, 1, 11686), (26261, 0, 16668), (1528, 1, 11686)]",6,9.1733055,1,[9.204117],[1],9.204117,1.0
"(36078, 1, 7833)",[],[],0,10.850468,1,[10.389321],[1],10.389321,1.0
"(2869, 1, 15125)",[],[],0,8.738957,1,[8.982137],[1],8.982137,1.0
"(4359, 1, 29197)",[],[],0,8.654919,1,[8.501807],[1],8.501807,1.0
"(26984, 1, 38840)",[],[],0,9.220281,1,[9.552491],[1],9.552491,1.0
"(14768, 6, 24252)",[],[],0,7.281294,1,[7.283065],[2],7.283065,2.0
"(2035, 1, 8589)","[({(23638, 1, 2035)}, 1.2809282493881782, 'baseline'), ({(25494, 0, 2035)}, 0.7191777488584479, 'baseline'), ({(647, 0, 2035)}, 0.542888089709803, 'baseline'), ({(3839, 1, 2035)}, -0.9658394113352575, 'baseline')]","[(25494, 0, 2035), (1896, 1, 3839), (23638, 1, 647), (3839, 1, 2035), (1896, 1, 8589), (647, 0, 2035), (23638, 1, 2035), (8589, 1, 25494), (8589, 1, 647)]",9,8.747489,1,[9.420024],[1],9.420024,1.0
"(16865, 1, 8774)",[],[],0,10.44133,1,[9.807306],[1],9.807306,1.0
"(7708, 1, 7707)","[({(9498, 1, 7708)}, -1.833227120878652, 'baseline')]","[(9498, 1, 7707), (9498, 1, 7708)]",2,8.797766,1,[9.246454],[1],9.246454,1.0
"(26185, 1, 15249)",[],[],0,11.001265,1,[10.743643],[1],10.743643,1.0
"(37429, 1, 32885)",[],[],0,10.5282135,1,[9.999247],[1],9.999247,1.0
"(5826, 1, 10722)",[],[],0,9.052063,1,[9.072523],[1],9.072523,1.0
"(20692, 1, 21524)","[({(1062, 1, 20692)}, 1.8222681258130644, 'baseline')]","[(21524, 0, 1062), (1062, 1, 20692)]",2,9.7515745,1,[10.772889],[1],10.772889,1.0
"(25999, 1, 31140)",[],[],0,9.611744,1,[9.70574],[1],9.70574,1.0
"(22500, 1, 15849)",[],[],0,8.751211,1,[9.43568],[1],9.43568,1.0
"(21811, 0, 278)",[],[],0,7.6046906,1,[6.9091473],[1],6.9091473,1.0
"(33440, 2, 121)","[({(4170, 6, 33440)}, 0.9051678240490071, 'baseline')]","[(4170, 6, 20535), (4170, 6, 33440), (20535, 2, 121)]",3,7.4783945,1,[10.253572],[4],10.253572,4.0
"(14576, 5, 2971)",[],[],0,5.459032,1,[5.3812485],[1],5.3812485,1.0
"(12905, 1, 5832)","[({(12904, 1, 12905)}, -1.1639607508609566, 'baseline'), ({(28697, 1, 12905)}, -3.3921723708397393, 'baseline')]","[(12904, 1, 1757), (1757, 1, 5832), (28697, 1, 12905), (28697, 1, 1757), (12904, 1, 12905)]",5,9.152345,1,[9.532509],[1],9.532509,1.0
"(17819, 1, 653)","[({(17820, 1, 17819)}, -2.68697051783761, 'baseline')]","[(17820, 1, 17819), (17820, 0, 12901), (653, 0, 12901)]",3,9.249761,1,[9.057169],[1],9.057169,1.0
"(32701, 0, 522)",[],[],0,6.671388,1,[6.760338],[2],6.760338,2.0
"(17014, 2, 3167)",[],[],0,7.138199,1,[6.872032],[1],6.872032,1.0
"(3104, 1, 3103)",[],[],0,9.955729,1,[9.648731],[1],9.648731,1.0
"(17011, 3, 17169)",[],[],0,8.8337755,1,[8.054925],[1],8.054925,1.0
"(4765, 1, 4764)","[({(29462, 1, 4765)}, 2.706207480957237, 'baseline')]","[(4764, 1, 21665), (21665, 1, 29462), (29462, 1, 4765)]",3,9.360676,1,[9.305526],[1],9.305526,1.0
"(8742, 1, 19068)","[({(1897, 1, 8742)}, 0.4216070271114826, 'baseline')]","[(1897, 1, 8742), (5674, 1, 19068), (1897, 1, 5674)]",3,8.114485,1,[8.184063],[1],8.184063,1.0
"(3210, 5, 1819)","[({(5796, 0, 3210)}, -0.5788362762021939, 'baseline')]","[(5796, 0, 3210), (5796, 5, 1819)]",2,6.574163,1,[6.5160885],[1],6.5160885,1.0
"(13806, 1, 28087)",[],[],0,9.769687,1,[9.337982],[1],9.337982,1.0
"(11480, 2, 1534)",[],[],0,5.108136,1,[5.630745],[1],5.630745,1.0
"(26647, 1, 3407)","[({(12197, 9, 26647)}, -0.18208287378990665, 'baseline')]","[(12197, 1, 3407), (12197, 9, 26647)]",2,8.59272,1,[9.181484],[1],9.181484,1.0
"(12274, 1, 9268)",[],[],0,10.34638,1,[9.975275],[1],9.975275,1.0
"(17578, 1, 8885)","[({(3300, 1, 17578)}, 0.8937441353362439, 'baseline')]","[(3300, 1, 17578), (8885, 1, 26393), (26393, 1, 3300)]",3,9.063567,1,[9.744017],[1],9.744017,1.0
"(3152, 1, 34834)",[],[],0,9.688642,1,[9.81222],[1],9.81222,1.0
"(36104, 0, 81)",[],[],0,7.7996135,1,[8.754815],[1],8.754815,1.0
"(25305, 0, 2099)","[({(1620, 6, 25305)}, 0.724537577052428, 'baseline')]","[(1620, 6, 25305), (1620, 4, 35819), (35819, 0, 2099)]",3,7.398238,1,[1.5758479],[270],1.5758479,270.0
