new_ranks,exp,new_rank,original_score,new_scores,facts,new_score,original_rank,prediction,exp_length
[1],[],1.0,6.464199395850301e-05,[0.459074467420578],[],0.459074467420578,1,"(7788, 11, 7956)",0
[3],[],3.0,5.031374872288552e-09,[6.409835009435483e-07],[],6.409835009435483e-07,1,"(7328, 10, 7830)",0
[2],[],2.0,1.2816738490073476e-05,[0.0001267611951334402],[],0.0001267611951334402,1,"(7125, 11, 8038)",0
[2],[],2.0,0.00025431104586459696,[0.002197254216298461],[],0.002197254216298461,1,"(7788, 11, 8038)",0
[5],[],5.0,0.0003303271369077265,[6.856551772216335e-05],[],6.856551772216335e-05,1,"(6105, 8, 7393)",0
[4],[],4.0,1.7677559416284794e-09,[1.0799636385172562e-07],[],1.0799636385172562e-07,1,"(6853, 10, 7830)",0
[14],[],14.0,0.006617997772991657,[8.441995305474848e-06],[],8.441995305474848e-06,1,"(6427, 8, 7410)",0
[6],[],6.0,0.0001737351849442348,[6.104971362219658e-06],[],6.104971362219658e-06,1,"(5269, 8, 7410)",0
[9],[],9.0,2.7475641761753877e-09,[2.2645043173952217e-08],[],2.2645043173952217e-08,1,"(5073, 10, 7830)",0
[9],[],9.0,0.00013452144048642367,[1.8411628843750805e-05],[],1.8411628843750805e-05,1,"(6766, 8, 7410)",0
[5],[],5.0,0.00016445291112177074,[2.6186868126387708e-05],[],2.6186868126387708e-05,1,"(5110, 8, 7408)",0
[2],[],2.0,5.2181261708028615e-05,[0.05782290920615196],[],0.05782290920615196,1,"(7177, 11, 7956)",0
[3],[],3.0,0.00012008265184704214,[0.07761114835739136],[],0.07761114835739136,1,"(7536, 12, 4492)",0
[6],[],6.0,5.526598068072985e-10,[2.1534100369535736e-07],[],2.1534100369535736e-07,1,"(7182, 10, 7830)",0
[13],[],13.0,0.07745267450809479,[6.856984327896498e-06],[],6.856984327896498e-06,1,"(5234, 8, 7567)",0
[5],[],5.0,0.00010146859858650714,[2.7073790988652036e-05],[],2.7073790988652036e-05,1,"(5110, 8, 7593)",0
[5],[],5.0,4.245953633130739e-08,[2.2716298531122447e-07],[],2.2716298531122447e-07,1,"(7365, 10, 7830)",0
[10],[],10.0,4.635970981325954e-05,[4.122628979530418e-06],[],4.122628979530418e-06,1,"(6383, 8, 7429)",0
[3],[],3.0,0.013211838901042938,[0.0001715389807941392],[],0.0001715389807941392,1,"(5849, 8, 7410)",0
[6],[],6.0,3.285558847210268e-08,[4.702057054828401e-08],[],4.702057054828401e-08,1,"(6004, 10, 7830)",0
[2],[],2.0,0.026959797367453575,[0.0006265272968448699],[],0.0006265272968448699,1,"(5781, 8, 7410)",0
[3],[],3.0,0.00015194447769317776,[0.0018742887768894434],[],0.0018742887768894434,1,"(5575, 11, 8038)",0
[6],[],6.0,0.0005842457758262753,[3.3484713640064e-05],[],3.3484713640064e-05,1,"(4882, 8, 7410)",0
[2],[],2.0,0.0006460305885411799,[0.0037764699663966894],[],0.0037764699663966894,1,"(6323, 8, 7427)",0
[3],[],3.0,6.148118458781937e-09,[3.7355275139816513e-07],[],3.7355275139816513e-07,1,"(6373, 10, 7830)",0
[5],[],5.0,0.0015577415470033884,[3.403185837669298e-05],[],3.403185837669298e-05,1,"(4912, 8, 7410)",0
[1],[],1.0,0.022079473361372948,[0.14558926224708557],[],0.14558926224708557,1,"(7628, 12, 4492)",0
[6],[],6.0,1.0917164061652329e-08,[2.0342822892871482e-07],[],2.0342822892871482e-07,1,"(5133, 10, 7830)",0
[5],[],5.0,5.487277832116888e-08,[6.147206477180589e-07],[],6.147206477180589e-07,1,"(7201, 10, 7830)",0
[16],[],16.0,0.0004571357276290655,[9.66718403105915e-07],[],9.66718403105915e-07,1,"(5110, 8, 7567)",0
[3],[],3.0,0.00026256981072947383,[0.0034717214293777943],[],0.0034717214293777943,1,"(6213, 11, 8038)",0
[5],[],5.0,4.969827660517012e-09,[3.74441242456669e-07],[],3.74441242456669e-07,1,"(5593, 10, 7830)",0
[13],[],13.0,0.0007456682506017387,[1.7185915567097254e-05],[],1.7185915567097254e-05,1,"(5558, 8, 7393)",0
[5],[],5.0,3.580371910061331e-08,[3.6533953107209527e-07],[],3.6533953107209527e-07,1,"(6320, 10, 7830)",0
[7],[],7.0,0.00022191622701939195,[1.6939279703365173e-06],[],1.6939279703365173e-06,1,"(4870, 8, 7593)",0
[5],[],5.0,2.7909027977557344e-08,[1.3118730635142128e-07],[],1.3118730635142128e-07,1,"(4882, 10, 7830)",0
[4],[],4.0,9.861518712739326e-09,[9.14367106474856e-08],[],9.14367106474856e-08,1,"(7125, 10, 7830)",0
[6],[],6.0,8.774312831860698e-09,[1.409653407336009e-07],[],1.409653407336009e-07,1,"(5269, 10, 7830)",0
[5],[],5.0,3.598073616828401e-09,[1.1561527912817837e-07],[],1.1561527912817837e-07,1,"(6383, 10, 7830)",0
[5],[],5.0,9.406750933749208e-09,[3.580638860967156e-07],[],3.580638860967156e-07,1,"(5380, 10, 7830)",0
[5],[],5.0,3.679509363863076e-09,[2.894291242228064e-07],[],2.894291242228064e-07,1,"(7097, 10, 7830)",0
[6],[],6.0,1.1674138988837512e-07,[2.1148225926026498e-07],[],2.1148225926026498e-07,1,"(5665, 10, 7830)",0
