original_score,prediction,new_ranks,exp,original_rank,new_rank,facts,exp_length,new_scores,new_score
0.7884548306465149,"(8776, 1, 1347)",[5571],"[(4276, 1, 1347), (1347, 1, 8776), (4276, 0, 8776)]",1,5571.0,"[({(1347, 1, 8776)}, 1.478985795618265, 'baseline'), ({(4276, 0, 8776)}, -5.333624470552445, 'baseline')]",3,[9.80632976279594e-05],9.80632976279594e-05
0.6023808717727661,"(39499, 0, 292)",[51],"[(2148, 0, 292), (1864, 4, 39499), (1864, 4, 2148)]",1,51.0,"[({(1864, 4, 39499)}, -1.4927046188194881, 'baseline')]",3,[0.00013090691936668009],0.00013090691936668009
0.6571306586265564,"(28640, 2, 741)",[1],[],1,1.0,[],0,[0.8377014398574829],0.8377014398574829
0.9449015259742737,"(34777, 1, 14753)",[1598],"[(14753, 1, 34777)]",1,1598.0,"[({(14753, 1, 34777)}, 0.9694508822837977, 'baseline')]",1,[0.00011127703328384086],0.00011127703328384086
0.45097658038139343,"(26770, 5, 6829)",[2],[],1,2.0,[],0,[0.4220501184463501],0.4220501184463501
0.9488105773925781,"(11565, 1, 12441)",[12733],"[(12441, 1, 11565)]",1,12733.0,"[({(12441, 1, 11565)}, 5.800762993325892, 'baseline')]",1,[8.848001743899658e-05],8.848001743899658e-05
0.4814486503601074,"(903, 5, 5742)",[1],[],1,1.0,[],0,[0.3509807288646698],0.3509807288646698
0.8138606548309326,"(14612, 1, 19739)",[3],"[(19739, 1, 17887), (19739, 1, 14612), (17887, 1, 14613), (14613, 1, 14612)]",1,3.0,"[({(19739, 1, 14612)}, 2.0300874826097566, 'baseline'), ({(14613, 1, 14612)}, -0.02511194877180079, 'baseline')]",4,[0.048540741205215454],0.048540741205215454
0.8771597146987915,"(24146, 1, 36079)",[22119],"[(36079, 1, 24146)]",1,22119.0,"[({(36079, 1, 24146)}, 3.3183940923247954, 'baseline')]",1,[3.229808498872444e-05],3.229808498872444e-05
0.512271523475647,"(31393, 0, 292)",[1],[],1,1.0,[],0,[0.3676345944404602],0.3676345944404602
0.8385334610939026,"(14940, 1, 12227)",[7],"[(13800, 1, 12227), (5927, 1, 14940), (13800, 1, 5927), (12227, 1, 14940)]",1,7.0,"[({(12227, 1, 14940)}, 1.716267447810417, 'baseline'), ({(5927, 1, 14940)}, -0.13195341237326513, 'baseline')]",4,[0.013845770619809628],0.013845770619809628
0.8824633359909058,"(2949, 1, 8019)",[37],"[(8019, 1, 2949), (9188, 1, 2949), (9188, 1, 30805), (30805, 1, 8019)]",1,37.0,"[({(8019, 1, 2949)}, 2.0915324263591675, 'baseline'), ({(9188, 1, 2949)}, 0.15334853921086414, 'baseline')]",4,[0.0037925131618976593],0.0037925131618976593
0.19728238880634308,"(15729, 1, 12999)",[6],"[(15730, 1, 15171), (15730, 1, 15729), (15171, 1, 16455), (15171, 1, 12999), (16455, 1, 15729)]",1,6.0,"[({(15730, 1, 15729)}, -0.787963209457642, 'baseline'), ({(16455, 1, 15729)}, -1.22003144178122, 'baseline')]",5,[0.05433475598692894],0.05433475598692894
