prediction,new_score,new_rank,original_score,new_ranks,facts,exp,original_rank,new_scores,exp_length
"(6427, 9, 7790)",9.350128,1.0,9.176514,[1],[],[],1,[9.350128],0
"(7125, 11, 8038)",5.786831,1.0,5.990065,[1],[],[],1,[5.786831],0
"(5822, 11, 7992)",6.5946174,1.0,6.493819,[1],[],[],1,[6.5946174],0
"(7788, 11, 8038)",7.369148,1.0,7.2885904,[1],[],[],1,[7.369148],0
"(5279, 11, 7992)",6.0008745,1.0,5.8608837,[1],[],[],1,[6.0008745],0
"(6848, 11, 7992)",6.200688,2.0,5.854315,[2],[],[],1,[6.200688],0
"(7058, 9, 9349)",6.1448393,2.0,6.829075,[2],[],[],1,[6.1448393],0
"(5822, 12, 8676)",6.7902603,3.0,8.200344,[3],[],[],1,[6.7902603],0
"(5849, 11, 7869)",7.1217613,1.0,6.2528124,[1],[],[],2,[7.1217613],0
"(5696, 11, 7992)",6.6487617,1.0,6.5734153,[1],[],[],1,[6.6487617],0
"(6195, 9, 8721)",6.735967,1.0,6.0124025,[1],[],[],1,[6.735967],0
"(5717, 9, 2010)",6.5762424,2.0,7.6262035,[2],[],[],1,[6.5762424],0
"(5179, 9, 13676)",8.66891,1.0,8.899089,[1],[],[],1,[8.66891],0
"(4912, 11, 7869)",7.1589727,1.0,7.3935227,[1],[],[],1,[7.1589727],0
"(6162, 9, 2010)",8.142022,1.0,8.629868,[1],[],[],1,[8.142022],0
"(7517, 9, 7759)",8.861126,1.0,8.731943,[1],[],[],1,[8.861126],0
"(5920, 9, 8418)",8.841734,1.0,9.054642,[1],[],[],1,[8.841734],0
"(6822, 11, 7869)",6.649686,1.0,6.63501,[1],[],[],1,[6.649686],0
"(7365, 12, 6095)",7.6677055,3.0,7.641706,[3],[],[],2,[7.6677055],0
"(5110, 11, 6729)",6.1907635,1.0,6.395771,[1],[],[],2,[6.1907635],0
"(7655, 11, 8038)",6.735902,1.0,6.992312,[1],[],[],1,[6.735902],0
"(6812, 12, 13960)",7.586528,1.0,7.1088166,[1],[],[],1,[7.586528],0
"(5218, 9, 11980)",6.8644147,1.0,6.9315023,[1],[],[],1,[6.8644147],0
"(7236, 9, 7903)",8.5435095,1.0,8.511835,[1],[],[],1,[8.5435095],0
"(5756, 11, 7869)",6.7837477,1.0,6.1215763,[1],[],[],2,[6.7837477],0
"(6419, 9, 7991)",7.5936413,1.0,7.2348595,[1],[],[],1,[7.5936413],0
"(6323, 9, 8418)",9.497726,1.0,9.2064905,[1],[],[],1,[9.497726],0
"(6885, 9, 1470)",8.77409,1.0,9.047374,[1],[],[],1,[8.77409],0
"(5770, 9, 1470)",9.2294655,1.0,9.176466,[1],[],[],1,[9.2294655],0
"(5575, 11, 8038)",6.557252,2.0,6.8954225,[2],[],[],1,[6.557252],0
"(5067, 11, 7992)",5.2575407,1.0,5.6155605,[1],[],[],1,[5.2575407],0
"(5645, 9, 11980)",6.905373,1.0,6.96239,[1],[],[],2,[6.905373],0
"(7628, 12, 4492)",8.562382,2.0,8.398114,[2],[],[],2,[8.562382],0
"(5844, 11, 8038)",6.1309195,1.0,6.3391323,[1],[],[],1,[6.1309195],0
"(6213, 11, 8038)",7.5816746,2.0,7.5643873,[2],[],[],2,[7.5816746],0
"(7574, 12, 8644)",8.253544,2.0,8.558601,[2],[],[],1,[8.253544],0
"(6327, 12, 8676)",6.726829,4.0,7.3364105,[4],[],[],2,[6.726829],0
"(4978, 11, 6729)",7.14703,3.0,6.7241745,[3],[],[],1,[7.14703],0
"(6246, 11, 7984)",6.5319247,2.0,5.7324796,[2],[],[],3,[6.5319247],0
"(7177, 12, 9510)",6.3404264,3.0,6.4412184,[3],[],[],2,[6.3404264],0
"(7154, 9, 8418)",9.027121,1.0,9.283322,[1],[],[],1,[9.027121],0
"(6219, 9, 7790)",9.90004,1.0,9.5396805,[1],[],[],1,[9.90004],0
"(6105, 9, 8339)",7.707157,1.0,8.565611,[1],[],[],1,[7.707157],0
"(5334, 11, 6729)",6.1597896,2.0,6.271142,[2],[],[],1,[6.1597896],0
"(6812, 11, 7869)",7.036352,1.0,6.495025,[1],[],[],1,[7.036352],0
"(5696, 11, 7984)",6.71523,1.0,6.2951746,[1],[],[],1,[6.71523],0
"(5380, 11, 8038)",7.3184423,1.0,6.7899523,[1],[],[],1,[7.3184423],0
"(6848, 9, 11980)",8.811021,1.0,8.735666,[1],[],[],1,[8.811021],0
"(7933, 12, 8340)",8.833181,1.0,9.299835,[1],[],[],1,[8.833181],0
"(6914, 9, 7790)",8.518284,1.0,9.0881,[1],[],[],1,[8.518284],0
"(6633, 12, 8569)",6.4110727,2.0,6.3372664,[2],[],[],4,[6.4110727],0
"(4870, 9, 8151)",8.41648,1.0,8.065897,[1],[],[],1,[8.41648],0
"(6054, 9, 8151)",8.426028,1.0,7.925308,[1],[],[],1,[8.426028],0
"(7426, 11, 7984)",5.9613543,1.0,6.122612,[1],[],[],2,[5.9613543],0
"(5964, 12, 11744)",7.9692087,1.0,7.914914,[1],[],[],1,[7.9692087],0
"(7382, 9, 8339)",8.85563,1.0,8.900803,[1],[],[],1,[8.85563],0
"(5844, 11, 7992)",6.078458,1.0,6.604808,[1],[],[],1,[6.078458],0
"(6263, 11, 8038)",7.5399075,1.0,7.416071,[1],[],[],1,[7.5399075],0
"(6246, 11, 90)",7.303032,1.0,6.5092406,[1],[],[],1,[7.303032],0
"(5920, 12, 8676)",8.796419,1.0,9.47781,[1],[],[],1,[8.796419],0
"(4757, 11, 7984)",5.770294,3.0,5.4328356,[3],[],[],4,[5.770294],0
"(7769, 12, 8626)",7.928613,1.0,8.398724,[1],[],[],1,[7.928613],0
"(4727, 11, 8038)",6.9849873,1.0,6.7546163,[1],[],[],1,[6.9849873],0
"(6853, 11, 8038)",6.4539595,2.0,6.491535,[2],[],[],1,[6.4539595],0
"(6437, 11, 8038)",6.129611,2.0,6.6256256,[2],[],[],1,[6.129611],0
"(5517, 9, 7903)",9.116775,1.0,9.563314,[1],[],[],1,[9.116775],0
"(5675, 11, 8038)",6.7791867,3.0,7.0910316,[3],[],[],2,[6.7791867],0
"(6566, 9, 7758)",8.840437,1.0,8.5208435,[1],[],[],1,[8.840437],0
"(6619, 11, 6729)",7.2365994,1.0,7.5059404,[1],[],[],1,[7.2365994],0
"(5781, 11, 6729)",5.469816,2.0,5.655415,[2],[],[],2,[5.469816],0
"(6976, 11, 7992)",6.4502325,2.0,5.79963,[2],[],[],3,[6.4502325],0
"(5834, 11, 6729)",6.0734067,5.0,6.3059583,[5],[],[],2,[6.0734067],0
