prediction,new_ranks,exp,original_rank,original_score,new_scores,new_rank,exp_length,facts,new_score
"(45, 1, 44)",[566],"[(44, 1, 45)]",1,8.879241,[1.3076769],566.0,1,"[({(44, 1, 45)}, -0.6008807846096738, 'baseline')]",1.3076769
"(4050, 1, 5908)",[1514],"[(5908, 1, 4050)]",1,10.466581,[0.52861303],1514.0,1,"[({(5908, 1, 4050)}, -0.20419006575233203, 'baseline')]",0.52861303
"(496, 1, 32512)",[3217],"[(32512, 1, 496)]",1,9.354602,[0.61205184],3217.0,1,"[({(32512, 1, 496)}, -0.45770930866158255, 'baseline')]",0.61205184
"(9372, 1, 1508)",[1],"[(1508, 1, 9372)]",1,9.9936285,[6.3413725],1.0,1,"[({(1508, 1, 9372)}, -0.32042842886593165, 'baseline'), ({(9372, 1, 3795)}, -0.6890058200835272, 'baseline'), ({(3795, 1, 9372)}, -0.6981222976790417, 'baseline')]",6.3413725
"(11686, 1, 5336)",[1],"[(5336, 1, 11686)]",1,9.1733055,[7.128396],1.0,1,"[({(5336, 1, 11686)}, -0.42824465310505166, 'baseline'), ({(11686, 0, 16301)}, -0.7787448622896078, 'baseline'), ({(11686, 1, 26261)}, -0.7823607664883316, 'baseline'), ({(26261, 1, 11686)}, -0.7917086356967042, 'baseline'), ({(11686, 1, 1528)}, -0.8920239104846103, 'baseline'), ({(1528, 1, 11686)}, -0.9010322786582279, 'baseline')]",7.128396
"(36078, 1, 7833)",[10],"[(7833, 1, 36078)]",1,10.850468,[2.7400546],10.0,1,"[({(7833, 1, 36078)}, -0.31400195018460025, 'baseline'), ({(36078, 0, 28742)}, -0.9091432343112917, 'baseline')]",2.7400546
"(2869, 1, 15125)",[99],"[(15125, 1, 2869)]",1,8.738957,[1.2854447],99.0,1,"[({(15125, 1, 2869)}, -0.48977034500857286, 'baseline')]",1.2854447
"(4359, 1, 29197)",[469],"[(29197, 1, 4359)]",1,8.654919,[0.9309548],469.0,1,"[({(29197, 1, 4359)}, -0.4587822404515443, 'baseline')]",0.9309548
"(26984, 1, 38840)",[38293],"[(38840, 1, 26984)]",1,9.220281,[-1.6931361],38293.0,1,"[({(38840, 1, 26984)}, -0.35044790293021516, 'baseline')]",-1.6931361
"(14768, 6, 24252)",[13],"[(21984, 0, 21985), (14768, 0, 21985), (21984, 6, 24252)]",1,7.281294,[3.1848884],13.0,3,"[({(14768, 0, 21985)}, -0.8682341089719049, 'baseline')]",3.1848884
"(2035, 1, 8589)",[2],"[(8589, 1, 2035)]",1,8.747489,[7.2301226],2.0,1,"[({(8589, 1, 2035)}, -0.5817996040786378, 'baseline'), ({(2035, 1, 3839)}, -0.7317883457251041, 'baseline'), ({(3839, 1, 2035)}, -0.7712276072862556, 'baseline'), ({(2035, 1, 23638)}, -0.9140166506032992, 'baseline'), ({(23638, 1, 2035)}, -0.9339993400298772, 'baseline'), ({(25494, 0, 2035)}, -0.9949395439520221, 'baseline'), ({(647, 0, 2035)}, -1.0773223575792634, 'baseline')]",7.2301226
"(16865, 1, 8774)",[19],"[(8774, 1, 16865)]",1,10.44133,[4.4745035],19.0,1,"[({(8774, 1, 16865)}, -0.36128181553175204, 'baseline'), ({(16865, 5, 212)}, -1.2472090471575874, 'baseline')]",4.4745035
"(26185, 1, 15249)",[33243],"[(15249, 1, 26185)]",1,11.001265,[-3.0286567],33243.0,1,"[({(15249, 1, 26185)}, -0.36465595343529955, 'baseline')]",-3.0286567
"(7708, 1, 7707)",[11],"[(7707, 1, 7708)]",1,8.797766,[2.6780643],11.0,1,"[({(7707, 1, 7708)}, -0.4859466801643125, 'baseline'), ({(7708, 1, 9498)}, -1.2394257963794568, 'baseline'), ({(9498, 1, 7708)}, -1.2510581600807587, 'baseline')]",2.6780643
"(37429, 1, 32885)",[23625],"[(32885, 1, 37429)]",1,10.5282135,[-2.053897],23625.0,1,"[({(32885, 1, 37429)}, -0.0793338234809853, 'baseline')]",-2.053897
"(5826, 1, 10722)",[6133],"[(10722, 1, 5826)]",1,9.052063,[-0.36103556],6133.0,1,"[({(10722, 1, 5826)}, -0.43296596235491086, 'baseline')]",-0.36103556
"(20692, 1, 21524)",[20],"[(21524, 1, 20692)]",1,9.7515745,[3.6973865],20.0,1,"[({(21524, 1, 20692)}, -0.6527206376612108, 'baseline'), ({(20692, 1, 1062)}, -0.9645000757282075, 'baseline'), ({(1062, 1, 20692)}, -0.9822974867795968, 'baseline')]",3.6973865
"(25999, 1, 31140)",[12271],"[(31140, 1, 25999)]",1,9.611744,[-0.5236258],12271.0,1,"[({(31140, 1, 25999)}, -0.522667777385248, 'baseline')]",-0.5236258
"(22500, 1, 15849)",[14507],"[(15849, 1, 22500)]",1,8.751211,[-0.7068827],14507.0,1,"[({(15849, 1, 22500)}, -0.40045440125940596, 'baseline')]",-0.7068827
"(21811, 0, 278)",[34],"[(21810, 4, 3388), (21810, 4, 21811), (3388, 0, 278)]",1,7.6046906,[4.7181],34.0,3,"[({(21810, 4, 21811)}, -1.3205159238938813, 'baseline')]",4.7181
"(33440, 2, 121)",[3],"[(4170, 6, 20535), (4170, 6, 33440), (20535, 2, 121)]",1,7.4783945,[7.9254208],3.0,3,"[({(4170, 6, 33440)}, -1.7248537178075518, 'baseline')]",7.9254208
"(14576, 5, 2971)",[2],"[(14576, 1, 904), (24018, 5, 2971), (24018, 0, 904)]",1,5.459032,[4.836877],2.0,3,"[({(14576, 1, 904)}, -1.7463280265621803, 'baseline'), ({(904, 1, 14576)}, -1.8415869066958255, 'baseline'), ({(22518, 0, 14576)}, -2.1965211086220178, 'baseline'), ({(14576, 1, 1156)}, -2.374630213102962, 'baseline'), ({(1156, 1, 14576)}, -2.5340631471987813, 'baseline')]",4.836877
"(12905, 1, 5832)",[3],"[(5832, 1, 12905)]",1,9.152345,[6.964958],3.0,1,"[({(5832, 1, 12905)}, -0.48493973151005365, 'baseline'), ({(12905, 1, 28697)}, -0.6948098665533311, 'baseline'), ({(28697, 1, 12905)}, -0.7062708455120472, 'baseline'), ({(12905, 1, 12904)}, -0.7793198614234975, 'baseline'), ({(12904, 1, 12905)}, -0.7944210194015018, 'baseline')]",6.964958
"(17819, 1, 653)",[1],"[(653, 1, 17819)]",1,9.249761,[6.053174],1.0,1,"[({(653, 1, 17819)}, -0.616942153223565, 'baseline'), ({(17819, 1, 17820)}, -0.700659565034713, 'baseline'), ({(17820, 1, 17819)}, -0.7032420769298058, 'baseline')]",6.053174
"(17014, 2, 3167)",[112],"[(17219, 2, 909), (17219, 2, 3167), (17014, 2, 909)]",1,7.138199,[3.2066264],112.0,3,"[({(17014, 2, 909)}, -1.412591757382719, 'baseline')]",3.2066264
"(32701, 0, 522)",[7],"[(1048, 1, 1049), (32701, 1, 1049), (1048, 0, 522)]",1,6.671388,[4.4954753],7.0,3,"[({(32701, 1, 1049)}, -0.9491082771779906, 'baseline'), ({(1049, 1, 32701)}, -0.9772513813289735, 'baseline')]",4.4954753
"(3104, 1, 3103)",[4691],"[(3103, 1, 3104)]",1,9.955729,[-0.67093736],4691.0,1,"[({(3103, 1, 3104)}, -0.35197013557736173, 'baseline')]",-0.67093736
"(17011, 3, 17169)",[112],"[(17169, 3, 17011)]",1,8.8337755,[1.2996922],112.0,1,"[({(17169, 3, 17011)}, -0.4136670840977485, 'baseline')]",1.2996922
"(23647, 0, 1338)",[404],"[(14302, 0, 1338), (23647, 0, 14302)]",1,7.0427074,[-0.07738751],404.0,2,"[({(23647, 0, 14302)}, -1.0721099876343416, 'baseline')]",-0.07738751
"(4765, 1, 4764)",[2],"[(4764, 1, 4765)]",1,9.360676,[5.3694606],2.0,1,"[({(4764, 1, 4765)}, -0.530454325729127, 'baseline'), ({(4765, 1, 29462)}, -0.7956269638153557, 'baseline'), ({(29462, 1, 4765)}, -0.8186140395219957, 'baseline')]",5.3694606
"(8742, 1, 19068)",[24],"[(19068, 1, 8742)]",1,8.114485,[4.2092066],24.0,1,"[({(19068, 1, 8742)}, -0.3223952838231966, 'baseline'), ({(1897, 1, 8742)}, -1.3913217551539918, 'baseline'), ({(8742, 1, 1897)}, -1.3952303115558216, 'baseline')]",4.2092066
"(13806, 1, 28087)",[4269],"[(28087, 1, 13806)]",1,9.769687,[-0.014367014],4269.0,1,"[({(28087, 1, 13806)}, -0.4403328945945476, 'baseline')]",-0.014367014
"(3210, 5, 1819)",[1],"[(14885, 5, 1819), (3210, 0, 14885)]",1,6.574163,[5.8435683],1.0,2,"[({(3210, 0, 14885)}, -0.9494401314697508, 'baseline'), ({(135, 0, 3210)}, -1.486102909709185, 'baseline'), ({(8242, 0, 3210)}, -1.5236311931209878, 'baseline'), ({(13794, 1, 3210)}, -1.5952751796163116, 'baseline'), ({(5796, 0, 3210)}, -1.6358073852644917, 'baseline'), ({(3210, 1, 13794)}, -1.6388156625628982, 'baseline')]",5.8435683
"(11480, 2, 1534)",[836],"[(8721, 0, 1754), (11480, 2, 8721), (1534, 0, 1754)]",1,5.108136,[-0.7297149],836.0,3,"[({(11480, 2, 8721)}, -1.498108525483522, 'baseline')]",-0.7297149
"(26647, 1, 3407)",[6],"[(3407, 1, 26647)]",1,8.59272,[4.672798],6.0,1,"[({(3407, 1, 26647)}, -0.3736333861558807, 'baseline'), ({(26647, 9, 12197)}, -1.0074220127251534, 'baseline'), ({(12197, 9, 26647)}, -1.0234169741353012, 'baseline')]",4.672798
