prediction,facts,exp,exp_length,original_score,original_rank,new_scores,new_ranks,new_score,new_rank
"(11761, 113, 5770)","[({(11761, 172, 5721)}, -9.029936698924175, 'baseline'), ({(11761, 199, 9277)}, -9.394679217696009, 'baseline'), ({(11761, 143, 9277)}, -9.726550287582098, 'baseline'), ({(11761, 150, 32)}, -9.918685221898324, 'baseline'), ({(4413, 63, 11761)}, -10.04221447848746, 'baseline'), ({(11761, 213, 90)}, -10.495258601697042, 'baseline'), ({(11761, 129, 90)}, -10.67407154793037, 'baseline'), ({(11761, 83, 9277)}, -11.105422674425705, 'baseline'), ({(11761, 113, 737)}, -11.797912266887716, 'baseline'), ({(11761, 25, 62)}, -13.047361727187953, 'baseline')]","[(11761, 172, 5721), (10354, 172, 5721), (10354, 113, 5770)]",3,0.393696665763855,1,[0.7440521121025085],[1],0.7440521121025085,1.0
"(2937, 48, 32)","[({(2937, 8, 2269)}, -9.97213871047008, 'baseline'), ({(2937, 6, 941)}, -10.194280866585142, 'baseline'), ({(2279, 71, 2937)}, -10.31442918548384, 'baseline'), ({(2937, 6, 8193)}, -10.721553928340239, 'baseline'), ({(2937, 6, 5908)}, -10.848867790124292, 'baseline'), ({(2937, 24, 5108)}, -10.90974906820996, 'baseline'), ({(2937, 66, 5108)}, -10.926188032832744, 'baseline'), ({(2937, 6, 10523)}, -11.591016152098103, 'baseline'), ({(2937, 6, 6945)}, -11.80686902422789, 'baseline'), ({(1174, 8, 2937)}, -11.88048995134684, 'baseline')]","[(2269, 48, 32), (2937, 8, 2269)]",2,0.9600799083709717,1,[0.9225763082504272],[1],0.9225763082504272,1.0
"(8617, 60, 90)","[({(11197, 22, 8617)}, 13.424647773781793, 'baseline'), ({(8297, 109, 8617)}, 12.794310465375624, 'baseline'), ({(2222, 119, 8617)}, -10.621382672027957, 'baseline'), ({(2222, 45, 8617)}, -10.93911673427915, 'baseline'), ({(8617, 6, 6493)}, -12.223726325731686, 'baseline'), ({(8617, 6, 1959)}, -12.56470417914944, 'baseline'), ({(5065, 119, 8617)}, -12.58137246598319, 'baseline'), ({(8617, 119, 2222)}, -12.592823831672908, 'baseline'), ({(8617, 6, 4262)}, -13.889927125116122, 'baseline'), ({(8617, 160, 6615)}, -14.126520140343768, 'baseline')]","[(11197, 128, 90), (11197, 22, 8617)]",2,0.947867214679718,1,[0.9862647652626038],[1],0.9862647652626038,1.0
"(1803, 156, 6317)","[({(8246, 163, 1803)}, -8.994964142805072, 'baseline'), ({(10927, 163, 1803)}, -9.253518957548419, 'baseline'), ({(7098, 163, 1803)}, -9.519334475351119, 'baseline'), ({(9674, 163, 1803)}, -9.576130802583906, 'baseline'), ({(1014, 37, 1803)}, -10.159802447258041, 'baseline'), ({(11879, 163, 1803)}, -10.225045298203561, 'baseline'), ({(1803, 156, 4922)}, -10.32891826589035, 'baseline'), ({(10998, 24, 1803)}, -10.345473407939874, 'baseline'), ({(1803, 156, 1503)}, -10.428588639243797, 'baseline'), ({(2197, 66, 1803)}, -10.659366666418649, 'baseline')]","[(8246, 163, 5812), (8246, 163, 1803), (5812, 156, 6317)]",3,0.9039296507835388,1,[0.8939231634140015],[1],0.8939231634140015,1.0
"(434, 161, 5949)","[({(3032, 85, 434)}, -12.038713338474015, 'baseline'), ({(390, 85, 434)}, -12.315805275685438, 'baseline'), ({(383, 85, 434)}, -12.489734331424032, 'baseline'), ({(920, 85, 434)}, -12.917874158516815, 'baseline'), ({(2742, 85, 434)}, -13.020088072059417, 'baseline'), ({(2187, 85, 434)}, -13.333499290355062, 'baseline'), ({(8357, 85, 434)}, -13.450510876228183, 'baseline'), ({(2810, 85, 434)}, -13.492768770630098, 'baseline'), ({(2458, 85, 434)}, -13.536891482505792, 'baseline'), ({(9201, 85, 434)}, -13.682300855564852, 'baseline')]","[(5949, 122, 3032), (3032, 85, 434)]",2,0.9906078577041626,1,[0.9199422001838684],[2],0.9199422001838684,2.0
"(2592, 17, 2123)","[({(5933, 20, 2592)}, -7.395682993518864, 'baseline'), ({(2202, 27, 2592)}, -7.413385237933179, 'baseline'), ({(2592, 17, 1415)}, -7.832437693409044, 'baseline'), ({(1987, 42, 2592)}, -7.917622296964487, 'baseline'), ({(1627, 196, 2592)}, -8.231316099675993, 'baseline'), ({(3121, 21, 2592)}, -8.408557351533691, 'baseline'), ({(3876, 21, 2592)}, -8.548953630350221, 'baseline'), ({(1300, 42, 2592)}, -8.561184604570931, 'baseline'), ({(6104, 3, 2592)}, -8.668022018737014, 'baseline'), ({(10740, 20, 2592)}, -8.789506857239992, 'baseline')]","[(5933, 20, 8473), (8473, 17, 2123), (5933, 20, 2592)]",3,0.7389125823974609,1,[0.2237531542778015],[4],0.2237531542778015,4.0
"(6054, 14, 160)","[({(3646, 7, 6054)}, -10.484543940835016, 'baseline'), ({(2299, 6, 6054)}, -10.782827113299202, 'baseline'), ({(2146, 6, 6054)}, -11.133574959680491, 'baseline'), ({(2694, 6, 6054)}, -11.690901897935207, 'baseline'), ({(7025, 97, 6054)}, -12.018746054133187, 'baseline'), ({(2625, 97, 6054)}, -12.917874158516815, 'baseline'), ({(6054, 97, 7025)}, -12.967675728975339, 'baseline'), ({(6054, 28, 382)}, -13.047361727187953, 'baseline'), ({(1792, 97, 6054)}, -13.333499290355062, 'baseline'), ({(3596, 38, 6054)}, -13.333499290355062, 'baseline')]","[(3646, 7, 6054), (2604, 14, 160), (3646, 7, 2604)]",3,0.9868510365486145,1,[0.9834127426147461],[1],0.9834127426147461,1.0
"(5839, 48, 32)","[({(5839, 19, 1060)}, 14.008530288783534, 'baseline'), ({(5839, 38, 3044)}, 13.552143812739704, 'baseline'), ({(5839, 39, 150)}, -8.524856246416181, 'baseline'), ({(5839, 8, 5840)}, -8.99568541461076, 'baseline'), ({(8902, 183, 5839)}, -9.073558710026846, 'baseline'), ({(2538, 183, 5839)}, -9.158859678219871, 'baseline'), ({(5839, 38, 2538)}, -9.652449695405714, 'baseline'), ({(5839, 8, 6838)}, -9.798500516673721, 'baseline'), ({(3044, 183, 5839)}, -9.884183685732548, 'baseline'), ({(5839, 8, 7257)}, -10.286065972654875, 'baseline')]","[(10437, 48, 32), (10437, 19, 1060), (5839, 19, 1060)]",3,0.846180260181427,1,[0.9407980442047119],[1],0.9407980442047119,1.0
"(7681, 48, 32)","[({(7681, 17, 818)}, -9.0364288379615, 'baseline'), ({(7681, 17, 393)}, -9.544411229651633, 'baseline'), ({(7681, 102, 3044)}, -10.139030446646684, 'baseline'), ({(7681, 39, 10717)}, -10.463192138894957, 'baseline'), ({(7681, 202, 1669)}, -10.826116185278515, 'baseline'), ({(7681, 43, 141)}, -14.53533566034945, 'baseline')]","[(12424, 48, 32), (7681, 17, 818), (12424, 17, 818)]",3,0.9179816246032715,1,[0.8903911113739014],[1],0.8903911113739014,1.0
"(5818, 34, 90)","[({(4624, 38, 5818)}, -12.13385488890842, 'baseline'), ({(9377, 38, 5818)}, -12.68106431133927, 'baseline'), ({(2477, 173, 5818)}, -12.993538559662058, 'baseline'), ({(742, 32, 5818)}, -13.075400137690623, 'baseline'), ({(5818, 31, 1211)}, -13.536891482505792, 'baseline'), ({(5818, 106, 592)}, -13.79249739556116, 'baseline'), ({(5818, 14, 6473)}, -13.896974821186294, 'baseline'), ({(5818, 13, 32)}, -14.136740777924341, 'baseline'), ({(5818, 14, 160)}, -14.816194269272193, 'baseline'), ({(9173, 6, 5818)}, -17.24659794303316, 'baseline')]","[(4624, 38, 5818), (6951, 34, 90), (6951, 223, 4624)]",3,0.9906631708145142,1,[0.986003577709198],[1],0.986003577709198,1.0
