prediction,facts,exp,exp_length,original_score,original_rank,new_scores,new_ranks,new_score,new_rank
"(8776, 1, 1347)","[({(4276, 0, 8776)}, 9.94112978357736, 'baseline')]","[(4276, 1, 1347), (4276, 0, 8776)]",2,0.7884548306465149,1,[0.9668444991111755],[1],0.9668444991111755,1.0
"(39499, 0, 292)","[({(1864, 4, 39499)}, -8.837616242179546, 'baseline')]","[(2148, 0, 292), (1864, 4, 39499), (1864, 4, 2148)]",3,0.6023808717727661,1,[9.433290688320994e-05],[95],9.433290688320994e-05,95.0
"(28640, 2, 741)","[({(193, 6, 28640)}, -9.373402562590044, 'baseline'), ({(28640, 6, 4498)}, -10.898400494228774, 'baseline')]","[(193, 6, 28640), (193, 6, 741)]",2,0.6571306586265564,1,[0.12297841906547546],[2],0.12297841906547546,2.0
"(34777, 1, 14753)",[],[],0,0.9449015259742737,1,[0.9279096126556396],[1],0.9279096126556396,1.0
"(26770, 5, 6829)","[({(26770, 6, 26771)}, -9.187580992043305, 'baseline'), ({(26770, 0, 7635)}, -9.338917396578983, 'baseline')]","[(26770, 6, 26771), (26771, 5, 6829)]",2,0.45097658038139343,1,[0.035104475915431976],[6],0.035104475915431976,6.0
"(11565, 1, 12441)",[],[],0,0.9488105773925781,1,[0.9396961331367493],[1],0.9396961331367493,1.0
"(903, 5, 5742)","[({(903, 1, 34444)}, -7.92123125364322, 'baseline'), ({(34444, 1, 903)}, -7.979249577187366, 'baseline'), ({(903, 0, 904)}, -9.175417435921432, 'baseline')]","[(5211, 6, 34444), (5211, 5, 5742), (903, 1, 34444)]",3,0.4814486503601074,1,[0.028604943305253983],[10],0.028604943305253983,10.0
"(14612, 1, 19739)","[({(14612, 1, 8884)}, -7.945012159187468, 'baseline'), ({(14613, 1, 14612)}, -9.886525266401883, 'baseline'), ({(14612, 1, 14613)}, -9.973416451581215, 'baseline')]","[(19739, 1, 8883), (8884, 1, 8883), (14612, 1, 8884)]",3,0.8138606548309326,1,[0.9360736608505249],[1],0.9360736608505249,1.0
"(24146, 1, 36079)",[],[],0,0.8771597146987915,1,[0.8629831671714783],[1],0.8629831671714783,1.0
"(31393, 0, 292)","[({(1864, 4, 31393)}, -8.796183285233768, 'baseline')]","[(2148, 0, 292), (1864, 4, 31393), (1864, 4, 2148)]",3,0.512271523475647,1,[9.65598737820983e-05],[87],9.65598737820983e-05,87.0
