exp_length,prediction,new_rank,facts,original_score,new_scores,new_ranks,original_rank,new_score,exp
3,"(5660, 136, 6402)",2.0,"[({(5660, 109, 5014)}, -1.0185383499814231, 'baseline'), ({(5660, 116, 404)}, -1.206537577511652, 'baseline'), ({(5660, 12, 5014)}, -1.2323740018737106, 'baseline'), ({(5660, 186, 5014)}, -1.3991781437598951, 'baseline'), ({(5660, 31, 1314)}, -1.5044086477880407, 'baseline'), ({(1314, 2, 5660)}, -1.6286123065647375, 'baseline'), ({(5660, 84, 689)}, -1.665128257240835, 'baseline'), ({(404, 38, 5660)}, -1.7237397276004451, 'baseline'), ({(5660, 227, 10080)}, -1.7679859866185281, 'baseline'), ({(6750, 32, 5660)}, -1.8143408723818188, 'baseline')]",6.9425015,[6.416711],[2],1,6.416711,"[(462, 136, 6402), (462, 136, 5014), (5660, 109, 5014)]"
3,"(2258, 14, 160)",1.0,"[({(2258, 26, 64)}, -0.5774834375251283, 'baseline'), ({(2258, 26, 1098)}, -0.6065373028973163, 'baseline'), ({(2258, 26, 342)}, -0.6492534960569688, 'baseline'), ({(2258, 31, 658)}, -0.7944744342126328, 'baseline'), ({(2258, 86, 1283)}, -1.0377997328981743, 'baseline'), ({(2258, 31, 466)}, -1.055010701722703, 'baseline'), ({(2258, 84, 7557)}, -1.4930330471748108, 'baseline'), ({(2037, 6, 2258)}, -1.6531396372257783, 'baseline'), ({(1174, 102, 2258)}, -1.7031765854736318, 'baseline'), ({(1174, 38, 2258)}, -1.751329322864225, 'baseline')]",8.303699,[8.048392],[1],1,8.048392,"[(5849, 14, 160), (5849, 26, 64), (2258, 26, 64)]"
2,"(3742, 25, 62)",1.0,"[({(3742, 34, 90)}, -0.7856844127115531, 'baseline'), ({(3742, 31, 4)}, -1.1129407416312118, 'baseline'), ({(3742, 26, 342)}, -1.1728958206716162, 'baseline'), ({(3742, 86, 482)}, -2.427641553840093, 'baseline'), ({(3742, 116, 3625)}, -2.6437116167850494, 'baseline'), ({(3742, 30, 3624)}, -2.8205294961248475, 'baseline'), ({(268, 32, 3742)}, -3.1511215179443015, 'baseline'), ({(3742, 12, 482)}, -3.422924120630948, 'baseline'), ({(482, 32, 3742)}, -3.936838996660011, 'baseline'), ({(3742, 106, 7132)}, -3.95008211912773, 'baseline')]",3.8423574,[3.7902236],[1],1,3.7902236,"[(3742, 34, 90), (90, 25, 62)]"
3,"(10634, 43, 141)",1.0,"[({(10634, 48, 32)}, 0.2485073304544947, 'baseline'), ({(10634, 17, 818)}, -0.2584558186047533, 'baseline'), ({(10634, 17, 1730)}, -0.6946359401533804, 'baseline'), ({(10634, 19, 1654)}, -1.027311746515836, 'baseline'), ({(10634, 17, 1753)}, -1.5370876065016847, 'baseline'), ({(10634, 19, 7778)}, -2.0747036896686857, 'baseline'), ({(5439, 155, 10634)}, -2.3937989687415446, 'baseline'), ({(7487, 27, 10634)}, -2.4939220051250377, 'baseline'), ({(10634, 3, 3199)}, -2.520820703560314, 'baseline'), ({(881, 8, 10634)}, -3.2622527330810973, 'baseline')]",7.3984365,[6.9259214],[1],1,6.9259214,"[(14350, 48, 32), (10634, 48, 32), (14350, 43, 141)]"
2,"(1445, 148, 9623)",2.0,"[({(1445, 148, 7018)}, -0.5808107562872531, 'baseline'), ({(1445, 148, 4653)}, -0.5881186486800298, 'baseline'), ({(1445, 148, 6025)}, -0.6158133387258574, 'baseline'), ({(1445, 148, 1264)}, -0.6175119536797761, 'baseline'), ({(1445, 148, 4599)}, -0.6204127222934801, 'baseline'), ({(1445, 148, 1922)}, -0.6353698489351366, 'baseline'), ({(1445, 148, 2861)}, -0.6466059757249453, 'baseline'), ({(1445, 148, 1449)}, -0.6485216384641755, 'baseline'), ({(1080, 54, 1445)}, -1.6530936661476359, 'baseline'), ({(1445, 133, 1080)}, -1.6606934611764834, 'baseline')]",7.140051,[6.8726416],[2],1,6.8726416,"[(9623, 231, 7018), (1445, 148, 7018)]"
3,"(7412, 14, 160)",1.0,"[({(7412, 34, 90)}, -0.14797445956809563, 'baseline'), ({(7412, 13, 382)}, -0.958713437745085, 'baseline'), ({(7412, 13, 119)}, -1.168588855383015, 'baseline'), ({(7412, 13, 158)}, -1.2008705314338566, 'baseline'), ({(7412, 13, 1934)}, -1.2204697719557671, 'baseline'), ({(7412, 86, 1485)}, -1.2470055087322907, 'baseline'), ({(7412, 13, 1046)}, -1.256183737755328, 'baseline'), ({(7412, 136, 4283)}, -1.3600086280661698, 'baseline'), ({(1964, 102, 7412)}, -1.627027361051663, 'baseline'), ({(9418, 6, 7412)}, -1.6896287450300975, 'baseline')]",8.902123,[8.3772955],[1],1,8.3772955,"[(7412, 34, 90), (12902, 129, 90), (12902, 198, 160)]"
2,"(7435, 35, 7238)",2.0,"[({(7435, 35, 6615)}, -1.0487747075581677, 'baseline'), ({(7435, 35, 7125)}, -1.0657570657459052, 'baseline'), ({(7435, 35, 4507)}, -1.078706856836193, 'baseline'), ({(7435, 35, 1551)}, -1.0892930237798992, 'baseline'), ({(7435, 35, 611)}, -1.1104448718833642, 'baseline'), ({(7435, 35, 3408)}, -1.1174156421451165, 'baseline'), ({(7435, 35, 3796)}, -1.1375929083726868, 'baseline'), ({(7435, 35, 1234)}, -1.1562812936881144, 'baseline'), ({(7434, 64, 7435)}, -1.2815073411733535, 'baseline'), ({(4518, 64, 7435)}, -1.3107501138485804, 'baseline')]",6.9823084,[7.0487795],[2],1,7.0487795,"[(6615, 58, 7238), (7435, 35, 6615)]"
2,"(1329, 13, 1163)",1.0,"[({(1329, 13, 75)}, -1.2292395498463706, 'baseline'), ({(1329, 13, 449)}, -1.2386345011956432, 'baseline'), ({(1329, 13, 331)}, -1.2386454659063781, 'baseline'), ({(1329, 13, 92)}, -1.2402146787781791, 'baseline'), ({(1329, 13, 834)}, -1.2447628556861516, 'baseline'), ({(1329, 13, 2282)}, -1.251138044754759, 'baseline'), ({(1329, 13, 1046)}, -1.2631989055313961, 'baseline'), ({(1329, 13, 1405)}, -1.2807841703348053, 'baseline'), ({(1329, 13, 1302)}, -1.288310874849181, 'baseline'), ({(1329, 13, 637)}, -1.3057285504302976, 'baseline')]",5.9050293,[5.7551837],[1],1,5.7551837,"[(1163, 152, 75), (1329, 13, 75)]"
2,"(409, 17, 862)",1.0,"[({(409, 123, 1893)}, -1.7330415146498994, 'baseline'), ({(409, 8, 1440)}, -1.9260777481584874, 'baseline'), ({(409, 8, 6036)}, -1.9795528726547127, 'baseline'), ({(409, 8, 1061)}, -1.9948446897581118, 'baseline'), ({(409, 8, 8871)}, -2.1009550503581345, 'baseline'), ({(409, 8, 2381)}, -2.2691549069675836, 'baseline'), ({(1027, 192, 409)}, -2.3551951393026105, 'baseline'), ({(2380, 8, 409)}, -2.4419722302543625, 'baseline'), ({(3039, 8, 409)}, -2.493191381527371, 'baseline'), ({(8646, 77, 409)}, -2.500994232606057, 'baseline')]",6.73506,[6.9485435],[1],1,6.9485435,"[(409, 123, 1893), (1893, 17, 862)]"
3,"(12882, 25, 62)",1.0,"[({(12882, 133, 10174)}, 4.387940274786015, 'baseline'), ({(1748, 83, 12882)}, 3.0563128700203777, 'baseline'), ({(10174, 54, 12882)}, -2.7333944255643683, 'baseline'), ({(10174, 144, 12882)}, -2.9139376550874947, 'baseline'), ({(10174, 15, 12882)}, -2.945017234808155, 'baseline'), ({(12882, 135, 10174)}, -4.110483379003394, 'baseline')]",6.162185,[7.088736],[1],1,7.088736,"[(10198, 25, 62), (10174, 15, 10198), (12882, 133, 10174)]"
3,"(7706, 17, 1002)",1.0,"[({(7706, 48, 32)}, -0.651661854483936, 'baseline'), ({(7706, 17, 60)}, -0.7380289427175528, 'baseline'), ({(7706, 41, 212)}, -0.9884621945697526, 'baseline'), ({(7706, 41, 310)}, -1.1929602249395048, 'baseline'), ({(138, 42, 7706)}, -1.2640315738490078, 'baseline'), ({(985, 42, 7706)}, -1.362636537417697, 'baseline'), ({(7706, 138, 11268)}, -1.5163712022966538, 'baseline'), ({(1374, 20, 7706)}, -1.5910977304727953, 'baseline'), ({(7706, 21, 4936)}, -1.6291340662020066, 'baseline'), ({(972, 22, 7706)}, -1.7183384159385549, 'baseline')]",8.005735,[7.8486905],[1],1,7.8486905,"[(9380, 17, 1002), (9380, 48, 32), (7706, 48, 32)]"
