original_score,new_rank,new_ranks,original_rank,exp_length,prediction,new_score,new_scores,facts,exp
9.176514,1.0,[1],1,3,"(6427, 9, 7790)",9.09197,[9.09197],"[({(6427, 2, 29)}, -0.4435901569490278, 'baseline'), ({(6427, 3, 278)}, -0.7115430148440011, 'baseline'), ({(6427, 2, 68)}, -0.843500979370954, 'baseline'), ({(6427, 3, 40)}, -1.0440870761092855, 'baseline'), ({(6427, 3, 479)}, -1.0860074865489426, 'baseline'), ({(6427, 3, 10)}, -1.1029504352050559, 'baseline'), ({(6427, 3, 6)}, -1.1040084248488187, 'baseline'), ({(6427, 3, 9)}, -1.1210620894853796, 'baseline'), ({(6427, 2, 312)}, -1.1903344219652503, 'baseline'), ({(6427, 3, 7)}, -1.3440326069491413, 'baseline')]","[(24118, 2, 29), (24118, 9, 7790), (6427, 2, 29)]"
5.990065,2.0,[2],1,3,"(7125, 11, 8038)",5.63696,[5.63696],"[({(7125, 4, 66)}, -0.5188740761771906, 'baseline'), ({(7125, 1, 65)}, -0.5737206425395617, 'baseline'), ({(7125, 2, 68)}, -0.7530128527460099, 'baseline'), ({(7125, 2, 31)}, -0.7917664231976493, 'baseline'), ({(7125, 3, 39)}, -1.069716877351237, 'baseline'), ({(7125, 3, 40)}, -1.0869908201479912, 'baseline'), ({(7125, 3, 9)}, -1.0891968337610534, 'baseline'), ({(7125, 3, 10)}, -1.1004085087357123, 'baseline'), ({(7125, 3, 78)}, -1.123200642331679, 'baseline'), ({(7125, 3, 479)}, -1.150796769198577, 'baseline')]","[(25545, 11, 8038), (25545, 4, 66), (7125, 4, 66)]"
6.493819,1.0,[1],1,3,"(5822, 11, 7992)",6.531013,[6.531013],"[({(5822, 4, 66)}, -0.4665013952821864, 'baseline'), ({(5822, 2, 68)}, -0.7732792773875228, 'baseline'), ({(5822, 3, 9)}, -0.9950920321954482, 'baseline'), ({(5822, 3, 40)}, -1.0984113387389947, 'baseline'), ({(5822, 3, 476)}, -1.1678298117268928, 'baseline'), ({(5822, 3, 6)}, -1.1762860017685568, 'baseline'), ({(5822, 3, 220)}, -1.181809997211973, 'baseline'), ({(5822, 2, 29)}, -1.4408552702812283, 'baseline'), ({(5822, 3, 36)}, -1.8459126784652562, 'baseline'), ({(5822, 3, 33)}, -1.8532369479874746, 'baseline')]","[(13418, 11, 7992), (13418, 4, 66), (5822, 4, 66)]"
7.2885904,1.0,[1],1,3,"(7788, 11, 8038)",7.417953,[7.417953],"[({(7788, 4, 66)}, -0.5188740761771906, 'baseline'), ({(7788, 9, 7790)}, -0.7079998986728726, 'baseline'), ({(7788, 2, 68)}, -0.753010693420466, 'baseline'), ({(7788, 8, 7429)}, -0.7738487176804003, 'baseline'), ({(7788, 2, 30)}, -0.774012091669546, 'baseline'), ({(7788, 3, 40)}, -1.0869933123442044, 'baseline'), ({(7788, 3, 9)}, -1.0891942857706503, 'baseline'), ({(7788, 3, 10)}, -1.1004085087357123, 'baseline'), ({(7788, 3, 479)}, -1.1507941401429458, 'baseline'), ({(7788, 3, 220)}, -1.1880744820025768, 'baseline')]","[(25545, 11, 8038), (25545, 4, 66), (7788, 4, 66)]"
5.8608837,1.0,[1],1,3,"(5279, 11, 7992)",5.7980995,[5.7980995],"[({(5279, 4, 66)}, -0.4664973425304928, 'baseline'), ({(5279, 3, 40)}, -1.0984138451434504, 'baseline'), ({(5279, 3, 6)}, -1.1762833373664885, 'baseline'), ({(5279, 3, 75)}, -1.2675191410249629, 'baseline'), ({(5279, 2, 69)}, -1.4991498827934093, 'baseline'), ({(5279, 3, 20)}, -1.8408080834126692, 'baseline'), ({(5279, 3, 73)}, -2.056809354808147, 'baseline'), ({(5279, 2, 4111)}, -2.289569769711098, 'baseline'), ({(5279, 3, 891)}, -2.318474926961747, 'baseline'), ({(5279, 3, 1878)}, -2.6661345784234394, 'baseline')]","[(13418, 4, 66), (13418, 11, 7992), (5279, 4, 66)]"
5.854315,3.0,[3],1,3,"(6848, 11, 7992)",5.6311584,[5.6311584],"[({(6848, 4, 66)}, -0.4665013952821864, 'baseline'), ({(6848, 1, 65)}, -0.6447801976619429, 'baseline'), ({(6848, 2, 68)}, -0.7732792773875228, 'baseline'), ({(6848, 2, 31)}, -0.8158001876963594, 'baseline'), ({(6848, 3, 9)}, -0.9950895963844801, 'baseline'), ({(6848, 3, 40)}, -1.0984113387389947, 'baseline'), ({(6848, 3, 39)}, -1.1232984912639996, 'baseline'), ({(6848, 3, 6)}, -1.1762833373664885, 'baseline'), ({(6848, 3, 220)}, -1.1818073250854804, 'baseline'), ({(6848, 3, 479)}, -1.2409819464014347, 'baseline')]","[(13418, 11, 7992), (6848, 4, 66), (13418, 4, 66)]"
6.829075,1.0,[1],1,2,"(7058, 9, 9349)",6.347418,[6.347418],"[({(7058, 2, 7059)}, -0.15102411687959752, 'baseline'), ({(7058, 3, 7062)}, -0.4948517381723993, 'baseline'), ({(7058, 2, 2083)}, -0.7674084361740539, 'baseline'), ({(7058, 1, 65)}, -1.3886694283048513, 'baseline'), ({(7058, 3, 40)}, -1.9169422798520945, 'baseline'), ({(7058, 2, 31)}, -1.938445445696573, 'baseline'), ({(7058, 3, 220)}, -2.098708413092602, 'baseline')]","[(7058, 2, 7059), (9349, 2, 7059)]"
8.200344,2.0,[2],1,2,"(5822, 12, 8676)",7.2566376,[7.2566376],"[({(5822, 3, 748)}, -0.4256045559630638, 'baseline'), ({(5822, 4, 66)}, -0.48509741303305487, 'baseline'), ({(5822, 3, 279)}, -0.5883554471128528, 'baseline'), ({(5822, 3, 40)}, -0.7167944367565814, 'baseline'), ({(5822, 2, 31)}, -0.7244160993988159, 'baseline'), ({(5822, 2, 30)}, -0.7286178225103251, 'baseline'), ({(5822, 3, 220)}, -0.734986361126461, 'baseline'), ({(5822, 3, 7)}, -0.7497811913790816, 'baseline'), ({(5822, 3, 39)}, -0.8071846217451656, 'baseline'), ({(5822, 3, 6)}, -0.8312538759322047, 'baseline')]","[(8676, 3, 748), (5822, 3, 748)]"
6.2528124,2.0,[2],2,3,"(5849, 11, 7869)",6.6028676,[6.6028676],"[({(5849, 2, 31)}, -0.7211258558053076, 'baseline'), ({(5849, 2, 68)}, -0.7945433852396686, 'baseline'), ({(5849, 3, 6)}, -0.9628398001208509, 'baseline'), ({(5849, 3, 40)}, -0.9762242856539369, 'baseline'), ({(5849, 3, 149)}, -1.0959741881938045, 'baseline'), ({(5849, 3, 39)}, -1.1030039387065806, 'baseline'), ({(5849, 3, 7)}, -1.1566558257484645, 'baseline'), ({(5849, 3, 88)}, -1.1762489231699862, 'baseline'), ({(5849, 3, 220)}, -1.2249526543287022, 'baseline'), ({(5849, 3, 91)}, -1.3894515387098836, 'baseline')]","[(5849, 2, 31), (14783, 11, 7869), (14783, 2, 31)]"
6.5734153,1.0,[1],1,3,"(5696, 11, 7992)",6.4713764,[6.4713764],"[({(5696, 2, 30)}, -0.8304235982931094, 'baseline'), ({(5696, 3, 78)}, -1.0219316466172808, 'baseline'), ({(5696, 3, 10)}, -1.0430350169620892, 'baseline'), ({(5696, 3, 40)}, -1.0984113387389947, 'baseline'), ({(5696, 3, 7)}, -1.258592910107659, 'baseline'), ({(5696, 2, 27)}, -1.3737009520285546, 'baseline'), ({(5696, 3, 279)}, -1.3985475782282721, 'baseline'), ({(5696, 3, 276)}, -1.5675733156377005, 'baseline'), ({(5696, 3, 706)}, -1.690201597019412, 'baseline'), ({(5696, 5, 5697)}, -1.7727187626180287, 'baseline')]","[(25766, 2, 30), (5696, 2, 30), (25766, 11, 7992)]"
