#facts,original_rank,new_score,prediction,new_ranks,original_score,new_rank,facts,new_scores
1,1,0.863175630569458,"(7788, 11, 7956)","[1, 1]",6.464199395850301e-05,1.0,"[(7788, 3, 37)]","[0.8644079566001892, 0.8619433045387268]"
1,1,0.10477358647176516,"(7328, 10, 7830)","[1, 1]",5.031374872288552e-09,1.0,"[(7328, 3, 954)]","[0.20953385531902313, 1.331762450718088e-05]"
1,1,4.17651936004404e-05,"(7125, 11, 8038)","[2, 2]",1.2816738490073476e-05,2.0,"[(7125, 3, 2593)]","[2.5050372641999274e-05, 5.848001455888152e-05]"
1,1,0.0008098282851278782,"(7788, 11, 8038)","[2, 3]",0.00025431104586459696,2.5,"[(7788, 3, 37)]","[0.00034625246189534664, 0.0012734041083604097]"
1,1,7.461831614818948e-05,"(6105, 8, 7393)","[3, 7]",0.0003303271369077265,5.0,"[(6105, 3, 149)]","[0.00014204422768671066, 7.192404609668301e-06]"
1,1,0.012089340277725569,"(6853, 10, 7830)","[1, 1]",1.7677559416284794e-09,1.0,"[(6853, 2, 172)]","[0.024171166121959686, 7.5144334914512e-06]"
1,1,0.00019520915520843118,"(6427, 8, 7410)","[5, 3]",0.006617997772991657,4.0,"[(6427, 3, 1477)]","[0.00019163530669175088, 0.00019878300372511148]"
1,1,0.00021634873701259494,"(5269, 8, 7410)","[3, 3]",0.0001737351849442348,3.0,"[(5269, 3, 40)]","[0.00021084726904518902, 0.00022185020498000085]"
1,1,0.05639371708684848,"(5073, 10, 7830)","[1, 1]",2.7475641761753877e-09,1.0,"[(5073, 3, 418)]","[0.11278536170721054, 2.0724664864246733e-06]"
1,1,0.0004937564849569753,"(6766, 8, 7410)","[4, 6]",0.00013452144048642367,5.0,"[(6766, 2, 30)]","[0.0009794249199330807, 8.088049980869982e-06]"
1,1,0.002023019680791549,"(5110, 8, 7408)","[1, 6]",0.00016445291112177074,3.5,"[(5110, 3, 276)]","[0.004040128085762262, 5.911275820835726e-06]"
1,1,0.8565709292888641,"(7177, 11, 7956)","[1, 1]",5.2181261708028615e-05,1.0,"[(7177, 2, 30)]","[0.8777769804000854, 0.8353648781776428]"
1,1,0.009694301523268223,"(7536, 12, 4492)","[1, 5]",0.00012008265184704214,3.0,"[(7536, 2, 30)]","[0.017019370570778847, 0.002369232475757599]"
1,1,0.023682700192779294,"(7182, 10, 7830)","[1, 1]",5.526598068072985e-10,1.0,"[(7182, 3, 1)]","[0.04736446216702461, 9.382185339745774e-07]"
1,1,8.585030445829034e-05,"(5234, 8, 7567)","[8, 7]",0.07745267450809479,7.5,"[(5234, 3, 1510)]","[0.00016237911768257618, 9.321491234004498e-06]"
1,1,9.234195772478415e-06,"(5110, 8, 7593)","[5, 10]",0.00010146859858650714,7.5,"[(5110, 3, 5113)]","[1.6522881196578965e-05, 1.9455103483778657e-06]"
1,1,0.13637466559248423,"(7365, 10, 7830)","[1, 1]",4.245953633130739e-08,1.0,"[(7365, 3, 276)]","[0.27274075150489807, 8.579680070397444e-06]"
1,1,0.0008599571605145684,"(6383, 8, 7429)","[2, 7]",4.635970981325954e-05,4.5,"[(6383, 3, 6389)]","[0.0017175390385091305, 2.3752825200062944e-06]"
1,1,0.00013991751256980933,"(5849, 8, 7410)","[5, 3]",0.013211838901042938,4.0,"[(5849, 3, 149)]","[0.00018164033826906234, 9.819468687055632e-05]"
1,1,0.0012311607824813109,"(5781, 8, 7410)","[3, 5]",0.026959797367453575,4.0,"[(5781, 3, 772)]","[0.0024388395249843597, 2.3482039978262037e-05]"
1,1,0.021594545187099357,"(6004, 10, 7830)","[1, 1]",3.285558847210268e-08,1.0,"[(6004, 3, 930)]","[0.043184179812669754, 4.910561528959079e-06]"
1,1,0.00023544060240965337,"(5575, 11, 8038)","[4, 4]",0.00015194447769317776,4.0,"[(5575, 3, 651)]","[9.417830733582377e-05, 0.00037670289748348296]"
1,1,0.00023597538711328525,"(4882, 8, 7410)","[2, 4]",0.0005842457758262753,3.0,"[(4882, 3, 149)]","[0.0004415935545694083, 3.0357219657162204e-05]"
1,1,0.005370894996303832,"(6323, 8, 7427)","[2, 5]",0.0006460305885411799,3.5,"[(6323, 3, 75)]","[0.010649285279214382, 9.250471339328215e-05]"
1,1,0.059632228047291846,"(6373, 10, 7830)","[1, 1]",6.148118458781937e-09,1.0,"[(6373, 3, 115)]","[0.11926373094320297, 7.251513807204901e-07]"
1,1,0.00038518404835485853,"(4912, 8, 7410)","[5, 3]",0.0015577415470033884,4.0,"[(4912, 3, 2044)]","[0.0006736901123076677, 9.667798440204933e-05]"
1,1,0.1537693226709962,"(7628, 12, 4492)","[1, 3]",0.022079473361372948,2.0,"[(7628, 3, 279)]","[0.2821033298969269, 0.0254353154450655]"
1,1,0.11845959780657722,"(5133, 10, 7830)","[1, 1]",1.0917164061652329e-08,1.0,"[(5133, 3, 4866)]","[0.2369130551815033, 6.1404316511470824e-06]"
1,1,0.02197263271182237,"(7201, 10, 7830)","[1, 1]",5.487277832116888e-08,1.0,"[(7201, 3, 5934)]","[0.04393843561410904, 6.829809535702225e-06]"
1,1,2.4590896224196968e-05,"(5110, 8, 7567)","[3, 13]",0.0004571357276290655,8.0,"[(5110, 3, 5113)]","[4.901117426925339e-05, 1.70618179140547e-07]"
1,1,0.0027686730900313705,"(6213, 11, 8038)","[4, 4]",0.00026256981072947383,4.0,"[(6213, 3, 1493)]","[0.0005727365496568382, 0.004964609630405903]"
1,1,0.0005054947002918198,"(5558, 8, 7393)","[3, 8]",0.0007456682506017387,5.5,"[(5558, 3, 149)]","[0.0010067136026918888, 4.275797891750699e-06]"
1,1,0.017068139749198963,"(5593, 10, 7830)","[1, 1]",4.969827660517012e-09,1.0,"[(5593, 3, 46)]","[0.03413531929254532, 9.602058526070323e-07]"
1,1,5.776984664862539e-06,"(4870, 8, 7593)","[8, 12]",0.00022191622701939195,10.0,"[(4870, 3, 10)]","[1.0374141311331186e-05, 1.1798280183938914e-06]"
1,1,0.04574611939119677,"(6320, 10, 7830)","[1, 1]",3.580371910061331e-08,1.0,"[(6320, 3, 2414)]","[0.09148693829774857, 5.300484644976677e-06]"
1,1,0.05135047453848074,"(4882, 10, 7830)","[1, 1]",2.7909027977557344e-08,1.0,"[(4882, 3, 40)]","[0.10269849747419357, 2.4516027679055696e-06]"
1,1,0.09228294874043286,"(7125, 10, 7830)","[1, 1]",9.861518712739326e-09,1.0,"[(7125, 3, 2585)]","[0.18456484377384186, 1.0537070238569868e-06]"
1,1,0.02750858457741856,"(5269, 10, 7830)","[1, 1]",8.774312831860698e-09,1.0,"[(5269, 3, 1969)]","[0.05501636862754822, 8.005272889022308e-07]"
1,1,0.035195441261294036,"(6383, 10, 7830)","[1, 1]",3.598073616828401e-09,1.0,"[(6383, 3, 3058)]","[0.07038892060518265, 1.961917405424174e-06]"
1,1,0.14931383315047242,"(5380, 10, 7830)","[1, 1]",9.406750933749208e-09,1.0,"[(5380, 2, 728)]","[0.29862144589424133, 6.220406703505432e-06]"
1,1,0.13358101760536556,"(7097, 10, 7830)","[1, 1]",3.679509363863076e-09,1.0,"[(7097, 3, 5157)]","[0.26715612411499023, 5.911095740884775e-06]"
1,1,0.014360948365720105,"(5665, 10, 7830)","[1, 1]",1.1674138988837512e-07,1.0,"[(5665, 3, 111)]","[0.028714317828416824, 7.578903023386374e-06]"
1,1,0.7227346897125244,"(6976, 11, 7956)","[1, 1]",1.3795589438814204e-05,1.0,"[(6976, 3, 10)]","[0.582936704158783, 0.8625326752662659]"
1,1,0.02392327357756585,"(5627, 10, 7830)","[1, 1]",2.871291258088604e-07,1.0,"[(5627, 3, 41)]","[0.047840770334005356, 5.776821126346476e-06]"
1,1,0.039530310248323985,"(5586, 10, 7830)","[1, 1]",9.579575355189718e-09,1.0,"[(5586, 1, 65)]","[0.07905799150466919, 2.6289919787814142e-06]"
1,1,0.048565879464149475,"(5586, 12, 4492)","[1, 5]",0.07337050884962082,3.0,"[(5586, 3, 10)]","[0.06049732118844986, 0.03663443773984909]"
1,1,0.0007701840310119223,"(6900, 8, 7393)","[3, 6]",0.00042496295645833015,4.5,"[(6900, 3, 939)]","[0.0015381734119728208, 2.1946500510239275e-06]"
1,1,0.10817938870786747,"(5645, 10, 7830)","[1, 1]",4.1949319573575394e-09,1.0,"[(5645, 2, 266)]","[0.21634893119335175, 9.846222383202985e-06]"
1,1,0.0019033208627661224,"(5844, 8, 7427)","[2, 3]",0.0008862688555382192,2.5,"[(5844, 3, 10)]","[0.0037106007803231478, 9.604094520909712e-05]"
1,1,0.0514774601906538,"(4870, 9, 8151)","[2, 1]",7.97808897914365e-05,1.5,"[(4870, 3, 890)]","[0.03455451503396034, 0.06840040534734726]"
1,1,0.07463371474295855,"(6054, 9, 8151)","[3, 1]",0.00014518971147481352,2.0,"[(6054, 3, 177)]","[0.017049575224518776, 0.13221785426139832]"
1,1,0.00037307215097825974,"(6205, 8, 7410)","[4, 4]",0.014452626928687096,4.0,"[(6205, 3, 40)]","[0.0005939617403782904, 0.00015218256157822907]"
1,1,0.6101940274238586,"(6004, 11, 7956)","[1, 1]",0.00012833354412578046,1.0,"[(6004, 3, 928)]","[0.9431054592132568, 0.27728259563446045]"
1,1,0.008534153457731009,"(6263, 11, 8038)","[3, 4]",0.0002951537608169019,3.5,"[(6263, 3, 1839)]","[0.006542360410094261, 0.010525946505367756]"
1,1,0.9305855929851532,"(6344, 11, 7956)","[1, 1]",4.18413728766609e-05,1.0,"[(6344, 3, 706)]","[0.8907940983772278, 0.9703770875930786]"
1,1,0.014532460443831496,"(6914, 10, 7830)","[1, 1]",1.2131610382937197e-08,1.0,"[(6914, 3, 55)]","[0.02906394563615322, 9.752515097716241e-07]"
1,1,0.09371163777632319,"(7788, 10, 7830)","[1, 1]",1.025166298518343e-07,1.0,"[(7788, 3, 666)]","[0.18741515278816223, 8.122764484141953e-06]"
1,1,0.00017461464449297637,"(6437, 11, 8038)","[2, 4]",0.00044393775169737637,3.0,"[(6437, 2, 68)]","[0.0001505450054537505, 0.00019868428353220224]"
1,1,0.04445869562050575,"(5920, 10, 7830)","[1, 1]",2.1284087381445715e-08,1.0,"[(5920, 3, 5926)]","[0.08891192078590393, 5.47045510757016e-06]"
1,1,2.7749269065679982e-05,"(7080, 8, 7410)","[5, 3]",0.0038276715204119682,4.0,"[(7080, 3, 460)]","[3.369870319147594e-05, 2.1799834939884022e-05]"
1,1,0.07003472755604889,"(6848, 10, 7830)","[1, 1]",3.360280231845536e-08,1.0,"[(6848, 1, 65)]","[0.14005984365940094, 9.611452696844935e-06]"
1,1,0.0007199118745120359,"(5517, 9, 7903)","[8, 5]",0.001694337697699666,6.5,"[(5517, 3, 1123)]","[2.888297058234457e-05, 0.0014109407784417272]"
1,1,1.9119468106509885e-06,"(7097, 8, 7567)","[6, 14]",0.00016190372116398066,10.0,"[(7097, 3, 2173)]","[3.538664032021188e-06, 2.852295892807888e-07]"
1,1,0.0005416027634055354,"(5756, 8, 7410)","[2, 4]",0.011794748716056347,3.0,"[(5756, 3, 6)]","[0.0009226120891980827, 0.00016059343761298805]"
1,1,0.0001198944628413301,"(5447, 8, 7410)","[4, 3]",0.002314773853868246,3.5,"[(5447, 3, 460)]","[0.0001267156476387754, 0.00011307327804388478]"
1,1,0.0002772132938844152,"(6394, 11, 8038)","[4, 4]",1.2339714885456488e-05,4.0,"[(6394, 3, 1839)]","[2.5604575057514012e-05, 0.0005288220127113163]"
1,1,0.8640668392181396,"(5627, 11, 7956)","[1, 1]",0.00013240447151474655,1.0,"[(5627, 3, 7)]","[0.8324525952339172, 0.8956810832023621]"
1,1,0.5885397046804428,"(7125, 11, 7956)","[1, 1]",2.1323852706700563e-05,1.0,"[(7125, 3, 2593)]","[0.707893431186676, 0.4691859781742096]"
1,1,0.0016510148125234991,"(6722, 8, 7427)","[2, 3]",0.0005110133206471801,2.5,"[(6722, 2, 30)]","[0.003050238126888871, 0.00025179149815812707]"
1,1,0.00032385671329393517,"(4870, 8, 7567)","[2, 5]",0.023995403200387955,3.5,"[(4870, 3, 40)]","[0.0006268229335546494, 2.089049303322099e-05]"
1,1,0.1473631105137656,"(6213, 10, 7830)","[1, 1]",2.007188548702743e-08,1.0,"[(6213, 3, 39)]","[0.2947236895561218, 2.531471409383812e-06]"
1,1,0.05606806746300208,"(7499, 10, 7830)","[1, 1]",8.690136610312038e-09,1.0,"[(7499, 3, 39)]","[0.11213552951812744, 6.05407876719255e-07]"
1,1,0.0018670978679438122,"(5930, 8, 7427)","[2, 3]",0.00019900716142728925,2.5,"[(5930, 2, 30)]","[0.003671860322356224, 6.233541353140026e-05]"
1,1,0.03787893428443567,"(6983, 10, 7830)","[1, 1]",8.622164315852388e-09,1.0,"[(6983, 2, 31)]","[0.0757502093911171, 7.659177754248958e-06]"
1,1,0.01465547828831859,"(6300, 10, 7830)","[1, 1]",9.566154979268049e-09,1.0,"[(6300, 3, 500)]","[0.029309261590242386, 1.6949863947957056e-06]"
1,1,0.0004462919696379686,"(7335, 8, 7410)","[3, 5]",0.003208134090527892,4.0,"[(7335, 3, 88)]","[0.00085358478827402, 3.89991510019172e-05]"
1,1,0.00042025031143566594,"(7058, 8, 7410)","[6, 5]",0.0042869639582931995,5.5,"[(7058, 2, 31)]","[0.0008109350455924869, 2.9565577278845012e-05]"
1,1,0.0003350293372932356,"(5897, 8, 7410)","[4, 4]",0.0011432610917836428,4.0,"[(5897, 3, 149)]","[0.0006042032619006932, 6.585541268577799e-05]"
1,1,0.0008226210629800335,"(6083, 9, 8418)","[6, 1]",0.0004672103968914598,3.5,"[(6083, 3, 74)]","[0.0004690476052928716, 0.0011761945206671953]"
1,1,0.09256175251050536,"(7065, 10, 7830)","[1, 1]",1.0907464265130784e-08,1.0,"[(7065, 3, 113)]","[0.18512198328971863, 1.5217312920867698e-06]"
