new_scores,original_score,exp,original_rank,prediction,new_rank,new_score,new_ranks,facts,exp_length
[0.9174062609672546],0.7884548306465149,"[(4276, 1, 1347), (4276, 0, 8776)]",1,"(8776, 1, 1347)",1.0,0.9174062609672546,[1],"[({(4276, 0, 8776)}, 9.94112978357736, 'baseline'), ({(1347, 1, 8776)}, -6.526246884883325, 'baseline')]",2
[5.686934309778735e-05],0.6023808717727661,"[(2148, 0, 292), (1864, 4, 39499), (1864, 4, 2148)]",1,"(39499, 0, 292)",273.0,5.686934309778735e-05,[273],"[({(1864, 4, 39499)}, -8.837616242179546, 'baseline')]",3
[0.7810865044593811],0.6571306586265564,"[(193, 6, 28640), (193, 6, 741)]",1,"(28640, 2, 741)",1.0,0.7810865044593811,[1],"[({(193, 6, 28640)}, -9.373402562590044, 'baseline'), ({(28640, 6, 4498)}, -10.898400494228774, 'baseline')]",2
[7.207466114778072e-05],0.9449015259742737,"[(14753, 1, 34777)]",1,"(34777, 1, 14753)",5024.0,7.207466114778072e-05,[5024],"[({(14753, 1, 34777)}, -7.663720107909032, 'baseline')]",1
[0.095160573720932],0.45097658038139343,"[(26770, 6, 26771), (26771, 5, 6829)]",1,"(26770, 5, 6829)",5.0,0.095160573720932,[5],"[({(26770, 6, 26771)}, -9.187580992043305, 'baseline'), ({(26770, 0, 7635)}, -9.338917396578983, 'baseline')]",2
[9.073626279132441e-05],0.9488105773925781,"[(12441, 1, 11565)]",1,"(11565, 1, 12441)",12311.0,9.073626279132441e-05,[12311],"[({(12441, 1, 11565)}, -12.370488013755823, 'baseline')]",1
[0.166034996509552],0.4814486503601074,"[(5211, 6, 34444), (5211, 5, 5742), (903, 1, 34444)]",1,"(903, 5, 5742)",4.0,0.166034996509552,[4],"[({(903, 1, 34444)}, -7.92123125364322, 'baseline'), ({(34444, 1, 903)}, -7.979249577187366, 'baseline'), ({(903, 0, 904)}, -9.175417435921432, 'baseline')]",3
[0.08798563480377197],0.8138606548309326,"[(19739, 1, 14612)]",1,"(14612, 1, 19739)",3.0,0.08798563480377197,[3],"[({(19739, 1, 14612)}, -7.067913658208901, 'baseline'), ({(14612, 1, 8884)}, -7.945012159187468, 'baseline'), ({(14613, 1, 14612)}, -9.886525266401883, 'baseline'), ({(14612, 1, 14613)}, -9.973416451581215, 'baseline')]",1
[2.167320235457737e-05],0.8771597146987915,"[(36079, 1, 24146)]",1,"(24146, 1, 36079)",24657.0,2.167320235457737e-05,[24657],"[({(36079, 1, 24146)}, -8.352012600724636, 'baseline')]",1
[5.647547004627995e-05],0.512271523475647,"[(2148, 0, 292), (1864, 4, 31393), (1864, 4, 2148)]",1,"(31393, 0, 292)",286.0,5.647547004627995e-05,[286],"[({(1864, 4, 31393)}, -8.796183285233768, 'baseline')]",3
[0.07911810278892517],0.8385334610939026,"[(12227, 1, 14940)]",1,"(14940, 1, 12227)",2.0,0.07911810278892517,[2],"[({(12227, 1, 14940)}, -7.272621149979938, 'baseline'), ({(14940, 1, 5927)}, -9.786231934656492, 'baseline'), ({(5927, 1, 14940)}, -9.97086259974607, 'baseline')]",1
[0.08029793202877045],0.8824633359909058,"[(8019, 1, 2949)]",1,"(2949, 1, 8019)",3.0,0.08029793202877045,[3],"[({(8019, 1, 2949)}, -7.627412980129336, 'baseline'), ({(2949, 1, 9188)}, -10.651149868798253, 'baseline'), ({(9188, 1, 2949)}, -11.287613679582488, 'baseline')]",1
[0.017536120489239693],0.19728238880634308,"[(15171, 1, 31425), (15171, 1, 12999), (15729, 1, 31425)]",1,"(15729, 1, 12999)",7.0,0.017536120489239693,[7],"[({(15729, 1, 31425)}, -7.781568532206823, 'baseline'), ({(15729, 1, 16455)}, -9.822948496368506, 'baseline'), ({(16455, 1, 15729)}, -10.058786318673942, 'baseline'), ({(15730, 1, 15729)}, -10.203894098314382, 'baseline'), ({(15729, 1, 15730)}, -10.838945146755796, 'baseline')]",3
[9.615301678422838e-05],0.9615100622177124,"[(18592, 1, 20124)]",1,"(20124, 1, 18592)",6937.0,9.615301678422838e-05,[6937],"[({(18592, 1, 20124)}, -7.96558550194109, 'baseline')]",1
[6.316790677374229e-05],0.9318868517875671,"[(1116, 1, 23468)]",1,"(23468, 1, 1116)",11508.0,6.316790677374229e-05,[11508],"[({(1116, 1, 23468)}, -8.126646976603451, 'baseline')]",1
[0.019012410193681717],0.6587778329849243,"[(9535, 4, 9536), (9535, 4, 25282), (25282, 0, 265)]",1,"(9536, 0, 265)",4.0,0.019012410193681717,[4],"[({(9535, 4, 9536)}, -7.915332446158568, 'baseline')]",3
[0.06077917292714119],0.8030797243118286,"[(22014, 1, 1419)]",1,"(1419, 1, 22014)",3.0,0.06077917292714119,[3],"[({(22014, 1, 1419)}, -7.494289549963864, 'baseline'), ({(1419, 1, 19671)}, -9.17082233340385, 'baseline'), ({(19671, 1, 1419)}, -10.06577312711672, 'baseline')]",1
[0.8949912786483765],0.9153757691383362,"[(16918, 0, 2256), (2507, 1, 2256)]",1,"(16918, 1, 2507)",1.0,0.8949912786483765,[1],"[({(16918, 0, 2256)}, 11.673853110347768, 'baseline'), ({(2507, 1, 16918)}, -7.885872940974878, 'baseline'), ({(16918, 1, 20126)}, -8.239753089356203, 'baseline'), ({(16918, 1, 16919)}, -10.420558934212117, 'baseline'), ({(16919, 1, 16918)}, -10.702819744786437, 'baseline'), ({(16918, 1, 6789)}, -10.985950584795011, 'baseline'), ({(16476, 1, 16918)}, -11.07804126477106, 'baseline'), ({(6789, 1, 16918)}, -11.24568175048902, 'baseline'), ({(16918, 1, 16476)}, -12.30258935777889, 'baseline')]",2
[3.880079384543933e-05],0.8214631676673889,"[(20726, 1, 12356)]",1,"(12356, 1, 20726)",18801.0,3.880079384543933e-05,[18801],"[({(20726, 1, 12356)}, -8.970510763687384, 'baseline')]",1
[4.312136661610566e-05],0.8690681457519531,"[(24228, 1, 31721)]",1,"(31721, 1, 24228)",17900.0,4.312136661610566e-05,[17900],"[({(24228, 1, 31721)}, -8.473044410508296, 'baseline'), ({(7056, 1, 31721)}, -11.63717827450689, 'baseline'), ({(31721, 1, 7056)}, -12.13385488890842, 'baseline')]",1
[0.0019012719858437777],0.9877474308013916,"[(20572, 1, 7982)]",1,"(7982, 1, 20572)",13.0,0.0019012719858437777,[13],"[({(20572, 1, 7982)}, -10.414578684304374, 'baseline'), ({(7982, 3, 7983)}, -11.01450732123739, 'baseline'), ({(14618, 3, 7982)}, -13.333499290355062, 'baseline'), ({(7982, 3, 14618)}, -13.536891482505792, 'baseline')]",1
[6.804423173889518e-05],0.9519976377487183,"[(39891, 1, 20097)]",1,"(20097, 1, 39891)",13383.0,6.804423173889518e-05,[13383],"[({(39891, 1, 20097)}, -10.101458651512525, 'baseline')]",1
[3.760978506761603e-05],0.5863993167877197,"[(21273, 4, 27089), (21273, 4, 25460)]",1,"(27089, 0, 25460)",1053.0,3.760978506761603e-05,[1053],"[({(21273, 4, 27089)}, -7.416109943787814, 'baseline')]",2
[0.00022176730271894485],0.9422932267189026,"[(21041, 1, 522)]",1,"(522, 1, 21041)",2883.0,0.00022176730271894485,[2883],"[({(21041, 1, 522)}, -9.57484251554674, 'baseline'), ({(21899, 0, 522)}, -15.208150446170634, 'baseline')]",1
[2.6696625354816206e-05],0.9746934175491333,"[(26855, 1, 26856)]",1,"(26856, 1, 26855)",16105.0,2.6696625354816206e-05,[16105],"[({(26855, 1, 26856)}, -9.809835243347658, 'baseline')]",1
[4.782217729371041e-05],0.9498961567878723,"[(38175, 1, 29520)]",1,"(29520, 1, 38175)",10303.0,4.782217729371041e-05,[10303],"[({(38175, 1, 29520)}, -9.192253916737453, 'baseline')]",1
[3.700312163346098e-06],0.9860931038856506,"[(2643, 1, 11856)]",1,"(11856, 1, 2643)",39427.0,3.700312163346098e-06,[39427],"[({(2643, 1, 11856)}, -8.879554118351793, 'baseline')]",1
[0.00013519062486011535],0.867676854133606,"[(26217, 1, 6787)]",1,"(6787, 1, 26217)",6456.0,0.00013519062486011535,[6456],"[({(26217, 1, 6787)}, -7.21401945980477, 'baseline')]",1
[0.0006018952699378133],0.92377108335495,"[(16161, 1, 3136)]",1,"(3136, 1, 16161)",368.0,0.0006018952699378133,[368],"[({(16161, 1, 3136)}, -8.439384514180224, 'baseline'), ({(3136, 1, 3137)}, -12.122825440211372, 'baseline'), ({(3137, 1, 3136)}, -13.10424743158934, 'baseline')]",1
[0.18771186470985413],0.9543496966362,"[(11603, 1, 22752)]",1,"(22752, 1, 11603)",2.0,0.18771186470985413,[2],"[({(11603, 1, 22752)}, -9.049033411926356, 'baseline'), ({(22752, 1, 25306)}, -10.92784689021923, 'baseline'), ({(22752, 0, 7968)}, -11.125450255419512, 'baseline'), ({(22752, 1, 2392)}, -11.232086264217603, 'baseline'), ({(25306, 1, 22752)}, -11.398187147722936, 'baseline'), ({(2392, 1, 22752)}, -11.782184568338955, 'baseline')]",1
[0.0075915721245110035],0.8592720627784729,"[(2415, 1, 20944)]",1,"(20944, 1, 2415)",22.0,0.0075915721245110035,[22],"[({(2415, 1, 20944)}, -6.847338933353467, 'baseline'), ({(20944, 1, 2994)}, -8.977099337266182, 'baseline'), ({(2994, 1, 20944)}, -9.310182365800447, 'baseline')]",1
[0.0014517680974677205],0.9776057600975037,"[(19068, 1, 8742)]",1,"(8742, 1, 19068)",291.0,0.0014517680974677205,[291],"[({(19068, 1, 8742)}, -10.17532726118775, 'baseline'), ({(8742, 1, 1897)}, -13.735881986560829, 'baseline')]",1
[7.979288966453169e-06],0.9656851887702942,"[(15794, 9, 16624)]",1,"(16624, 9, 15794)",31254.0,7.979288966453169e-06,[31254],"[({(15794, 9, 16624)}, -9.964506357040168, 'baseline'), ({(15793, 1, 16624)}, -12.413556366125231, 'baseline'), ({(16624, 1, 15793)}, -12.538391884367126, 'baseline')]",1
[0.9152246713638306],0.9287481307983398,"[(15587, 1, 2739), (15588, 0, 3978), (2739, 0, 3978)]",1,"(15588, 1, 15587)",1.0,0.9152246713638306,[1],"[({(15588, 0, 3978)}, 13.648222868139062, 'baseline'), ({(15587, 1, 15588)}, -8.377354662930866, 'baseline'), ({(31654, 1, 15588)}, -11.179480542357785, 'baseline'), ({(15588, 1, 31654)}, -11.366798169787195, 'baseline'), ({(15588, 1, 27163)}, -11.774412515663142, 'baseline'), ({(27163, 1, 15588)}, -11.93352136159767, 'baseline'), ({(15588, 1, 14064)}, -12.489734331424032, 'baseline'), ({(14064, 1, 15588)}, -12.720156511511995, 'baseline')]",3
[8.268941746791825e-05],0.957123875617981,"[(4244, 1, 8754)]",1,"(8754, 1, 4244)",9876.0,8.268941746791825e-05,[9876],"[({(4244, 1, 8754)}, -9.558666244183264, 'baseline'), ({(8754, 0, 1668)}, -14.136740777924341, 'baseline')]",1
[0.016897009685635567],0.8962762355804443,"[(8885, 1, 17578)]",1,"(17578, 1, 8885)",4.0,0.016897009685635567,[4],"[({(8885, 1, 17578)}, -7.700602665007378, 'baseline'), ({(3300, 1, 17578)}, -10.702819744786437, 'baseline'), ({(17578, 1, 3300)}, -10.921227907297553, 'baseline')]",1
[0.15005411207675934],0.23917707800865173,"[(16669, 2, 121), (13030, 6, 16669), (13030, 6, 30007)]",1,"(30007, 2, 121)",1.0,0.15005411207675934,[1],"[({(13030, 6, 30007)}, 11.238115907552741, 'baseline'), ({(30007, 2, 916)}, -7.944002917752552, 'baseline'), ({(20016, 4, 30007)}, -9.541916595061597, 'baseline')]",3
[0.865816056728363],0.8929891586303711,"[(815, 1, 29585), (8573, 1, 815), (8574, 1, 29585)]",1,"(8574, 1, 8573)",1.0,0.865816056728363,[1],"[({(8574, 1, 29585)}, -7.340922704383432, 'baseline'), ({(8573, 1, 8574)}, -7.505291663933256, 'baseline'), ({(8574, 1, 814)}, -10.97544859980911, 'baseline'), ({(814, 1, 8574)}, -10.996564029274946, 'baseline'), ({(8574, 1, 12655)}, -11.297175574095682, 'baseline'), ({(12655, 1, 8574)}, -12.398993176798639, 'baseline')]",3
[0.025204241275787354],0.970401406288147,"[(18755, 1, 24115)]",1,"(24115, 1, 18755)",3.0,0.025204241275787354,[3],"[({(18755, 1, 24115)}, -9.618705721170658, 'baseline'), ({(2300, 1, 24115)}, -13.450510876228183, 'baseline'), ({(24115, 1, 2300)}, -13.536891482505792, 'baseline')]",1
[8.101467392407358e-05],0.8879063725471497,"[(29649, 1, 11590)]",1,"(11590, 1, 29649)",12303.0,8.101467392407358e-05,[12303],"[({(29649, 1, 11590)}, -9.884183685732548, 'baseline')]",1
[0.33051833510398865],0.9558466672897339,"[(16314, 1, 15028)]",1,"(15028, 1, 16314)",1.0,0.33051833510398865,[1],"[({(16314, 1, 15028)}, -8.549184476764609, 'baseline'), ({(5116, 1, 15028)}, -8.929611572698098, 'baseline'), ({(15028, 1, 6422)}, -11.250254965676236, 'baseline'), ({(15028, 1, 21701)}, -11.46977767984817, 'baseline'), ({(21701, 1, 15028)}, -11.714319366662721, 'baseline'), ({(6422, 1, 15028)}, -11.906654161089447, 'baseline')]",1
[0.17961573600769043],0.8736011981964111,"[(6944, 1, 6572)]",1,"(6572, 1, 6944)",3.0,0.17961573600769043,[3],"[({(6944, 1, 6572)}, -6.797487104636437, 'baseline'), ({(6572, 1, 2450)}, -9.522180404600078, 'baseline'), ({(3377, 1, 6572)}, -9.95819025735428, 'baseline'), ({(6572, 1, 3377)}, -10.124984297999381, 'baseline'), ({(11955, 1, 6572)}, -10.1490767155374, 'baseline'), ({(6572, 1, 11955)}, -11.301991026681556, 'baseline')]",1
[0.876571536064148],0.8004068732261658,"[(11202, 0, 21993), (19504, 0, 17245), (11202, 1, 17245)]",1,"(21993, 1, 19504)",1.0,0.876571536064148,[1],"[({(11202, 0, 21993)}, -8.55970585664385, 'baseline'), ({(19504, 1, 21993)}, -8.569396286399703, 'baseline')]",3
[3.322543307149317e-06],0.8398572206497192,"[(13829, 1, 4185)]",1,"(4185, 1, 13829)",38986.0,3.322543307149317e-06,[38986],"[({(13829, 1, 4185)}, -8.17332295678857, 'baseline')]",1
[1.1304741747153457e-05],0.956963837146759,"[(6657, 1, 18566)]",1,"(18566, 1, 6657)",34925.0,1.1304741747153457e-05,[34925],"[({(6657, 1, 18566)}, -8.317969526851119, 'baseline')]",1
[6.053985543985618e-06],0.9941294193267822,"[(11565, 1, 29689)]",1,"(29689, 1, 11565)",34442.0,6.053985543985618e-06,[34442],"[({(11565, 1, 29689)}, -11.27814234736336, 'baseline')]",1
[9.4736045866739e-05],0.9594130516052246,"[(39790, 1, 137)]",1,"(137, 1, 39790)",8522.0,9.4736045866739e-05,[8522],"[({(39790, 1, 137)}, -10.268738958427111, 'baseline')]",1
[0.0062768529169261456],0.9403150677680969,"[(26814, 1, 13298)]",1,"(13298, 1, 26814)",11.0,0.0062768529169261456,[11],"[({(26814, 1, 13298)}, -8.731712695796073, 'baseline'), ({(1848, 1, 13298)}, -11.657633557793618, 'baseline'), ({(13298, 1, 1848)}, -11.846636303173957, 'baseline')]",1
[0.10870656371116638],0.9723116159439087,"[(20544, 1, 3291)]",1,"(3291, 1, 20544)",9.0,0.10870656371116638,[9],"[({(20544, 1, 3291)}, -10.231644393743709, 'baseline'), ({(3291, 1, 25943)}, -12.214667457300756, 'baseline'), ({(25943, 1, 3291)}, -12.760839292371934, 'baseline'), ({(2276, 0, 3291)}, -13.450510876228183, 'baseline')]",1
[0.0037881629541516304],0.9245367050170898,"[(20104, 1, 2502)]",1,"(2502, 1, 20104)",45.0,0.0037881629541516304,[45],"[({(20104, 1, 2502)}, -7.391995755779607, 'baseline'), ({(10452, 1, 2502)}, -10.70547466541656, 'baseline'), ({(2502, 1, 10452)}, -11.897856476345456, 'baseline')]",1
[0.07834484428167343],0.41509827971458435,"[(21702, 1, 5110), (21702, 0, 14834)]",1,"(14834, 1, 5110)",5.0,0.07834484428167343,[5],"[({(21702, 0, 14834)}, 8.637075924973551, 'baseline'), ({(8390, 1, 14834)}, -7.2115899283851785, 'baseline'), ({(1690, 1, 14834)}, -9.420087924831256, 'baseline'), ({(14834, 1, 1690)}, -10.098556479294057, 'baseline')]",2
[0.00013757366104982793],0.9296045303344727,"[(13633, 1, 4225)]",1,"(4225, 1, 13633)",5827.0,0.00013757366104982793,[5827],"[({(13633, 1, 4225)}, -7.844693745811151, 'baseline')]",1
[2.1763546101283282e-05],0.09593500196933746,"[(4747, 5, 3149), (22951, 5, 3149)]",1,"(4747, 0, 22951)",6335.0,2.1763546101283282e-05,[6335],"[({(4747, 5, 3149)}, -9.27841361613961, 'baseline')]",2
[0.0013648583553731441],0.9246744513511658,"[(20593, 1, 25852)]",1,"(25852, 1, 20593)",41.0,0.0013648583553731441,[41],"[({(20593, 1, 25852)}, -8.106075760157626, 'baseline'), ({(20592, 6, 25852)}, -10.424565727707867, 'baseline')]",1
[0.0005080734263174236],0.9354263544082642,"[(18417, 1, 3453)]",1,"(3453, 1, 18417)",1838.0,0.0005080734263174236,[1838],"[({(18417, 1, 3453)}, -10.495258601697042, 'baseline')]",1
[0.0017156809335574508],0.8634375929832458,"[(33665, 1, 22848)]",1,"(22848, 1, 33665)",79.0,0.0017156809335574508,[79],"[({(33665, 1, 22848)}, -7.648463061034804, 'baseline'), ({(22848, 0, 239)}, -13.536891482505792, 'baseline')]",1
[0.2745775282382965],0.9404630661010742,"[(5116, 1, 15028)]",1,"(15028, 1, 5116)",1.0,0.2745775282382965,[1],"[({(5116, 1, 15028)}, -8.35911518973181, 'baseline'), ({(16314, 1, 15028)}, -8.4502002500007, 'baseline'), ({(15028, 1, 6422)}, -11.08968447470808, 'baseline'), ({(15028, 1, 21701)}, -11.179480542357785, 'baseline'), ({(21701, 1, 15028)}, -11.356550367363576, 'baseline'), ({(6422, 1, 15028)}, -11.597481705254944, 'baseline')]",1
[6.538790330523625e-06],0.9744139909744263,"[(19664, 1, 6144)]",1,"(6144, 1, 19664)",35309.0,6.538790330523625e-06,[35309],"[({(19664, 1, 6144)}, -9.076813797508605, 'baseline')]",1
[2.287607276230119e-05],0.9725252389907837,"[(15106, 1, 15107)]",1,"(15107, 1, 15106)",25580.0,2.287607276230119e-05,[25580],"[({(15106, 1, 15107)}, -10.495258601697042, 'baseline')]",1
[2.116921496053692e-05],0.9631841778755188,"[(10360, 1, 758)]",1,"(758, 1, 10360)",25061.0,2.116921496053692e-05,[25061],"[({(10360, 1, 758)}, -8.732821658332922, 'baseline')]",1
[1.7328469766653143e-05],0.9073452353477478,"[(10508, 1, 24179)]",1,"(24179, 1, 10508)",31264.0,1.7328469766653143e-05,[31264],"[({(10508, 1, 24179)}, -8.28978602799835, 'baseline')]",1
[3.7533936847466975e-05],0.9587638974189758,"[(21981, 9, 9303)]",1,"(9303, 9, 21981)",15448.0,3.7533936847466975e-05,[15448],"[({(21981, 9, 9303)}, -8.533303993936784, 'baseline'), ({(9303, 1, 26071)}, -9.586063190322138, 'baseline'), ({(9303, 0, 6139)}, -12.342772919308844, 'baseline')]",1
[0.36339130997657776],0.28957507014274597,"[(22365, 5, 19257), (33711, 5, 9528), (22365, 5, 9528)]",1,"(33711, 5, 19257)",1.0,0.36339130997657776,[1],"[({(33711, 5, 9528)}, -7.0946873450033365, 'baseline'), ({(33711, 0, 21113)}, -7.403098457933443, 'baseline')]",3
[9.139589383266866e-05],0.9478031992912292,"[(33545, 1, 18247)]",1,"(18247, 1, 33545)",2322.0,9.139589383266866e-05,[2322],"[({(33545, 1, 18247)}, -9.037431379234572, 'baseline')]",1
[0.009650645777583122],0.19860407710075378,"[(39563, 2, 2580), (20114, 6, 20115), (20114, 6, 39563)]",1,"(20115, 2, 2580)",4.0,0.009650645777583122,[4],"[({(20114, 6, 20115)}, -9.322110683531154, 'baseline')]",3
[0.0007608065498061478],0.9537962079048157,"[(15927, 1, 23239)]",1,"(23239, 1, 15927)",250.0,0.0007608065498061478,[250],"[({(15927, 1, 23239)}, -8.521856398809936, 'baseline'), ({(1786, 1, 23239)}, -11.766700401322671, 'baseline'), ({(23239, 0, 708)}, -11.790017498338024, 'baseline'), ({(23239, 1, 1786)}, -11.942639933498826, 'baseline')]",1
[7.617399387527257e-05],0.926688015460968,"[(18054, 1, 13338)]",1,"(13338, 1, 18054)",15507.0,7.617399387527257e-05,[15507],"[({(18054, 1, 13338)}, -9.591284729577156, 'baseline'), ({(35743, 0, 13338)}, -9.9333173510105, 'baseline'), ({(14307, 0, 13338)}, -10.153659379364246, 'baseline')]",1
