#facts,new_ranks,prediction,new_scores,facts,original_score,new_score,new_rank,original_rank
1,"[1, 1]","(11375, 120, 791)","[3.3053954, 2.3233387]","[(32, 87, 11375)]",8.543635,2.814367,1.0,1
1,"[1, 1]","(1716, 25, 62)","[1.3863561, 1.7214956]","[(831, 20, 1716)]",9.869648,1.5539259,1.0,1
1,"[4, 1]","(9418, 66, 592)","[0.43200076, 0.38711083]","[(9418, 48, 32)]",5.6099863,0.4095558,2.5,6
1,"[6, 5]","(3027, 106, 1652)","[0.3009591, 0.2651347]","[(3027, 28, 32)]",5.009362,0.2830469,5.5,30
1,"[7, 1]","(12150, 154, 2438)","[4.762602, 4.1032343]","[(12150, 120, 791)]",8.832844,4.432918,4.0,1
1,"[1, 1]","(3683, 172, 1978)","[0.48672867, 0.7506175]","[(3683, 198, 160)]",3.1848176,0.6186731,1.0,1
1,"[3, 1]","(688, 35, 3840)","[0.43144888, 0.2907694]","[(3282, 64, 688)]",2.8549852,0.36110914,2.0,2
1,"[1, 1]","(5017, 14, 160)","[0.19879854, 0.2819089]","[(5017, 26, 64)]",5.5344553,0.24035372,1.0,4
1,"[2, 22]","(9148, 74, 1769)","[0.24950393, 0.43893936]","[(9148, 74, 524)]",3.6906297,0.34422165,12.0,21
1,"[8, 3]","(10459, 26, 1098)","[0.44503742, 0.42832124]","[(10459, 26, 64)]",3.8340824,0.43667933,5.5,2
1,"[1, 1]","(6847, 25, 62)","[2.1584964, 1.6122327]","[(6847, 61, 3111)]",9.888962,1.8853645,1.0,1
1,"[1, 1]","(6298, 25, 62)","[1.5758326, 1.192695]","[(3814, 76, 6298)]",8.882477,1.3842638,1.0,1
1,"[1, 1]","(5672, 26, 64)","[0.19072571, 0.23532444]","[(5672, 26, 1098)]",3.2678545,0.21302508,1.0,1
1,"[1, 1]","(11754, 85, 434)","[0.36799347, 0.3856585]","[(1253, 71, 11754)]",5.255939,0.376826,1.0,1
1,"[2, 2]","(2145, 43, 141)","[0.54189616, 0.5991848]","[(5981, 8, 2145)]",11.156679,0.5705405,2.0,2
1,"[1, 1]","(3120, 148, 3021)","[0.90204364, 0.5079071]","[(3120, 148, 4558)]",3.7750387,0.70497537,1.0,1
1,"[1, 1]","(9475, 25, 62)","[1.4259326, 1.3034254]","[(212, 92, 9475)]",11.078495,1.3646791,1.0,1
1,"[1, 1]","(5649, 48, 32)","[0.27254167, 0.26383707]","[(5649, 77, 386)]",5.5329022,0.26818937,1.0,1
1,"[1, 81]","(13632, 25, 62)","[6.2564745, 5.852275]","[(13632, 83, 9277)]",12.986469,6.0543747,41.0,1
1,"[1, 1]","(11272, 25, 62)","[2.4187531, 2.5542698]","[(11272, 124, 2846)]",9.799974,2.4865115,1.0,1
1,"[1, 1]","(8386, 85, 434)","[0.59255075, 1.2513806]","[(8386, 85, 1665)]",5.5377464,0.92196566,1.0,1
1,"[1, 1]","(80, 19, 559)","[0.103788465, 0.1061218]","[(5649, 8, 80)]",1.2048147,0.10495514,1.0,1
1,"[1, 1]","(2446, 48, 32)","[0.30914727, 0.49819255]","[(2446, 19, 955)]",5.6463876,0.4036699,1.0,1
1,"[1882, 1]","(11737, 43, 141)","[4.994862, 1.0491037]","[(595, 71, 11737)]",9.008254,3.021983,941.5,2
1,"[1, 1]","(2899, 25, 62)","[5.633702, 4.672826]","[(2899, 16, 32)]",9.085274,5.153264,1.0,1
1,"[1, 1]","(6597, 48, 32)","[0.31446934, 0.45963502]","[(6597, 66, 592)]",5.3139343,0.38705218,1.0,1
1,"[2, 1]","(12379, 120, 791)","[4.8084035, 3.5284665]","[(12379, 25, 62)]",8.62182,4.168435,1.5,1
1,"[2, 2]","(4551, 26, 1098)","[0.30042487, 0.1497304]","[(4551, 26, 342)]",3.7558599,0.22507763,2.0,2
1,"[4, 12]","(5745, 35, 2589)","[0.33860612, 0.46736717]","[(5745, 35, 2792)]",3.4511123,0.40298665,8.0,9
1,"[1, 1]","(6443, 43, 141)","[2.2469044, 1.4558574]","[(6443, 21, 859)]",9.557828,1.8513808,1.0,1
1,"[1, 1]","(8572, 25, 62)","[3.61403, 2.6886961]","[(8572, 120, 791)]",12.060263,3.151363,1.0,1
1,"[1, 1]","(8630, 56, 8630)","[0.013738805, 0.0143446475]","[(8630, 25, 62)]",0.2021465,0.0140417265,1.0,1
1,"[1, 4]","(6404, 13, 449)","[0.2562184, 0.18355876]","[(6404, 13, 1080)]",4.6080956,0.21988858,2.5,6
1,"[1, 1]","(11326, 25, 62)","[6.799807, 6.5995665]","[(3466, 15, 11326)]",13.831659,6.699687,1.0,1
1,"[1, 1]","(6089, 56, 6089)","[0.013738811, 0.014344625]","[(10156, 39, 6089)]",0.2021465,0.014041718,1.0,1
1,"[1, 1]","(9896, 167, 1768)","[0.80955493, 1.2393205]","[(9896, 213, 90)]",3.695775,1.0244377,1.0,1
1,"[2, 3]","(3785, 14, 5334)","[1.3708133, 0.48641056]","[(3785, 14, 160)]",3.9198654,0.9286119,2.5,3
1,"[1, 1]","(6223, 167, 1768)","[1.3128579, 0.76565135]","[(6223, 16, 32)]",3.145742,1.0392547,1.0,1
1,"[1, 2]","(3592, 26, 342)","[0.26079232, 0.33356017]","[(3592, 26, 1881)]",5.4018598,0.29717624,1.5,12
1,"[1, 1]","(6787, 25, 62)","[6.25984, 5.8903823]","[(1014, 37, 6787)]",10.881088,6.0751114,1.0,1
1,"[1, 1]","(2789, 11, 23)","[0.16976324, 0.17916833]","[(1121, 7, 2789)]",5.030762,0.17446578,1.0,3
1,"[1, 2]","(2552, 43, 141)","[0.5386511, 0.48724443]","[(6491, 3, 2552)]",5.0243015,0.5129478,1.5,1
1,"[5, 3]","(7221, 106, 592)","[0.31372154, 0.36730576]","[(7221, 13, 32)]",3.3159878,0.34051365,4.0,3
1,"[1, 1]","(1477, 60, 90)","[0.5317848, 0.98271286]","[(1477, 17, 215)]",6.757516,0.7572488,1.0,1
1,"[1, 1]","(10456, 25, 62)","[5.528067, 6.666074]","[(10456, 154, 2620)]",11.303192,6.0970707,1.0,1
1,"[1, 1]","(848, 17, 862)","[0.6198324, 0.27505025]","[(848, 43, 141)]",6.0524263,0.44744134,1.0,2
1,"[1, 1]","(4583, 11, 23)","[0.330916, 0.18810257]","[(4583, 31, 470)]",3.5137227,0.25950927,1.0,1
1,"[3, 2]","(5481, 95, 521)","[1.0900447, 2.692071]","[(5481, 95, 2940)]",4.4272175,1.8910578,2.5,7
1,"[2, 3]","(8913, 13, 4474)","[0.14101478, 0.15836482]","[(8913, 13, 27)]",2.5623288,0.1496898,2.5,2
