new_rank,new_scores,facts,#facts,original_rank,prediction,new_ranks,new_score,original_score
2.0,"[2.610525, 3.7924352]","[(7125, 4, 66)]",1,12,"(7125, 11, 8038)","[2, 2]",3.20148,4.0142155
1.0,"[2.8425035, 3.0393255]","[(6853, 2, 31)]",1,5,"(6853, 10, 7830)","[1, 1]",2.9409146,4.188182
4.5,"[2.367378, 2.6425579]","[(4799, 1, 65)]",1,2,"(4799, 8, 7566)","[4, 5]",2.504968,5.118734
1.0,"[2.144857, 2.4835901]","[(6320, 4, 66)]",1,4,"(6320, 8, 7410)","[1, 1]",2.3142235,4.6576195
1.0,"[2.6714356, 3.0186074]","[(6323, 3, 9)]",1,5,"(6323, 10, 7830)","[1, 1]",2.8450215,2.9513865
2.5,"[2.4244177, 3.7586346]","[(7080, 2, 31)]",1,4,"(7080, 11, 7956)","[1, 4]",3.091526,3.5308044
3.0,"[2.195281, 2.513062]","[(4870, 3, 7)]",1,2,"(4870, 8, 7566)","[3, 3]",2.3541715,5.064227
2.5,"[2.5027723, 3.7135448]","[(5533, 1, 1054)]",1,2,"(5533, 11, 7956)","[1, 4]",3.1081586,3.551628
1.0,"[2.826387, 3.1510377]","[(6602, 3, 695)]",1,5,"(6602, 10, 7830)","[1, 1]",2.9887123,4.149314
2.5,"[2.616425, 3.866506]","[(7499, 3, 279)]",1,4,"(7499, 11, 7956)","[1, 4]",3.2414656,3.4054344
3.5,"[2.2943444, 2.601856]","[(5305, 4, 485)]",1,3,"(5305, 8, 7410)","[2, 5]",2.4481,5.182078
1.5,"[2.155292, 2.5404456]","[(6766, 4, 66)]",1,4,"(6766, 8, 7410)","[1, 2]",2.347869,4.9720592
4.5,"[2.6493788, 2.9176693]","[(6730, 3, 6738)]",1,1,"(6730, 8, 7408)","[4, 5]",2.783524,5.244982
1.0,"[4.613179, 3.613515]","[(7536, 3, 732)]",1,5,"(7536, 12, 4492)","[1, 1]",4.113347,2.8666697
1.5,"[2.3718662, 2.613266]","[(6162, 2, 31)]",1,6,"(6162, 8, 7427)","[1, 2]",2.492566,5.207631
2.5,"[2.1674743, 2.4514382]","[(5041, 2, 68)]",1,11,"(5041, 8, 7427)","[3, 2]",2.3094563,4.879652
2.5,"[2.6614394, 3.6205802]","[(6822, 4, 66)]",1,2,"(6822, 11, 7869)","[3, 2]",3.1410098,3.2896733
2.5,"[2.5129216, 3.822013]","[(7769, 4, 66)]",1,3,"(7769, 11, 7956)","[1, 4]",3.167467,3.0966597
2.0,"[2.5624146, 3.730782]","[(7469, 3, 9)]",1,5,"(7469, 11, 7956)","[1, 3]",3.1465983,3.213222
1.5,"[2.3136742, 2.5068913]","[(5110, 4, 1893)]",1,3,"(5110, 8, 7410)","[1, 2]",2.4102826,4.852529
1.0,"[2.6695862, 3.083636]","[(6766, 4, 66)]",1,5,"(6766, 10, 7830)","[1, 1]",2.8766112,3.4640522
2.5,"[2.432276, 3.6624038]","[(7838, 2, 309)]",1,2,"(7838, 11, 7956)","[1, 4]",3.04734,3.4227931
1.0,"[2.876189, 3.0203376]","[(5770, 1, 65)]",1,5,"(5770, 10, 7830)","[1, 1]",2.9482632,4.1098666
4.5,"[3.7094195, 3.6295757]","[(7236, 3, 7246)]",1,9,"(7236, 9, 7903)","[3, 6]",3.6694975,2.871933
