new_ranks,original_score,new_score,new_rank,#facts,prediction,facts,new_scores,original_rank
"[1, 1]",1.701146,0.5626646,1.0,1,"(9620, 0, 3716)","[(9620, 1, 8502)]","[0.49775833, 0.62757087]",1
"[603, 508]",2.045721,2.3295302,555.5,1,"(21026, 0, 306)","[(21026, 1, 9857)]","[2.4131172, 2.245943]",1
"[14, 9]",1.6729352,0.95565534,11.5,1,"(23212, 0, 2918)","[(23212, 1, 13209)]","[1.0304286, 0.880882]",1
"[5, 10]",1.6250241,1.4321826,7.5,1,"(35194, 0, 1027)","[(35194, 4, 35195)]","[1.3220203, 1.5423447]",1
"[6219, 6539]",0.9429634,4.995307,6379.0,1,"(22017, 0, 883)","[(22016, 4, 22017)]","[4.7011814, 5.2894325]",1
"[6058, 90]",1.5084891,5.0907207,3074.0,1,"(40030, 0, 184)","[(1038, 4, 40030)]","[5.0697565, 5.111685]",1
"[13990, 1040]",1.4777615,5.4101043,7515.0,1,"(31393, 0, 292)","[(1864, 4, 31393)]","[5.8335395, 4.986669]",1
"[1, 1]",0.8107544,0.62517637,1.0,1,"(7324, 2, 12273)","[(4808, 6, 7324)]","[0.6291145, 0.62123823]",1
"[665, 114]",2.3381553,2.7087193,389.5,1,"(14768, 6, 24252)","[(14768, 0, 21985)]","[2.7543244, 2.663114]",1
"[7, 11]",1.168735,1.6414281,9.0,1,"(3395, 0, 184)","[(1038, 4, 3395)]","[1.3716657, 1.9111905]",1
"[12, 22]",2.3237505,4.853798,17.0,1,"(78, 5, 172)","[(78, 0, 79)]","[4.992412, 4.7151833]",1
"[17, 50]",1.1613934,2.0395293,33.5,1,"(16074, 0, 18268)","[(18847, 6, 16074)]","[2.1923149, 1.8867438]",1
"[3, 3]",0.55414593,0.9786334,3.0,1,"(34189, 2, 916)","[(34189, 2, 121)]","[1.0028354, 0.9544314]",1
"[1, 1]",1.4543347,2.9573503,1.0,1,"(3034, 2, 1137)","[(3034, 5, 774)]","[3.1627192, 2.7519813]",1
"[205, 8199]",2.947596,5.501952,4202.0,1,"(33413, 0, 292)","[(33413, 4, 27450)]","[5.1191483, 5.8847556]",1
"[5, 1]",0.86834943,0.76996684,3.0,1,"(22133, 0, 1730)","[(22133, 4, 37093)]","[0.8715506, 0.6683831]",1
"[589, 20454]",1.2848617,5.1418786,10521.5,1,"(21811, 0, 278)","[(21810, 4, 21811)]","[4.8849382, 5.398819]",1
"[668, 3]",0.7448149,4.69293,335.5,1,"(39206, 0, 12650)","[(11149, 6, 39206)]","[4.928009, 4.457852]",1
"[120, 174]",2.0156152,6.0905147,147.0,1,"(37417, 5, 774)","[(37417, 2, 1137)]","[6.189846, 5.9911833]",1
"[2, 6]",1.4397378,0.70325196,4.0,1,"(829, 0, 1677)","[(830, 1, 829)]","[0.7148554, 0.6916486]",1
"[113, 16]",1.7267122,5.155794,64.5,1,"(37929, 2, 121)","[(1349, 6, 37929)]","[5.6387835, 4.6728044]",1
"[1, 1]",2.4129827,1.0471175,1.0,1,"(7848, 5, 914)","[(20491, 1, 7848)]","[1.2087052, 0.8855297]",1
"[6749, 3407]",2.14187,3.3840475,5078.0,1,"(14487, 0, 1244)","[(4979, 4, 14487)]","[3.665452, 3.1026428]",1
"[14, 2]",0.74327976,1.6207427,8.0,1,"(32164, 0, 184)","[(1038, 4, 32164)]","[1.6574554, 1.5840299]",1
"[196, 24551]",0.94464505,5.0160804,12373.5,1,"(15205, 0, 265)","[(3750, 4, 15205)]","[4.8301787, 5.201982]",1
"[27, 30]",2.8685713,5.412431,28.5,1,"(35945, 5, 914)","[(35945, 0, 5108)]","[4.877112, 5.9477496]",1
"[493, 982]",2.725429,2.5367458,737.5,1,"(11600, 0, 13047)","[(7326, 4, 11600)]","[2.4018674, 2.6716242]",1
"[4, 2]",0.51211566,1.4636002,3.0,1,"(5134, 2, 4633)","[(2724, 4, 5134)]","[1.8593106, 1.0678898]",1
"[15, 13]",0.67443144,1.5656431,14.0,1,"(26845, 0, 292)","[(1864, 4, 26845)]","[1.7955391, 1.3357469]",1
"[5376, 689]",1.988281,3.1773973,3032.5,1,"(4037, 0, 16708)","[(23563, 6, 4037)]","[3.9542284, 2.400566]",1
"[72, 63]",1.4664829,5.242316,67.5,1,"(8306, 2, 25327)","[(8306, 2, 499)]","[5.78421, 4.7004213]",1
"[204, 258]",1.4167567,4.9349966,231.0,1,"(37285, 0, 184)","[(1906, 4, 37285)]","[4.9063168, 4.9636765]",1
"[5, 2]",0.6540674,0.9652626,3.5,1,"(30007, 2, 121)","[(30007, 2, 916)]","[0.88706243, 1.0434628]",1
"[4558, 1397]",1.0805113,1.4941847,2977.5,1,"(12266, 4, 18612)","[(12266, 4, 14219)]","[1.7710915, 1.2172779]",1
"[74, 1086]",1.3141148,5.1354976,580.0,1,"(31237, 0, 2110)","[(1073, 4, 31237)]","[5.163189, 5.107806]",1
"[1971, 5839]",1.9245131,3.2664347,3905.0,1,"(24513, 0, 4550)","[(17178, 4, 24513)]","[2.997696, 3.5351734]",1
"[9, 3]",0.6697103,1.5717951,6.0,1,"(9258, 2, 916)","[(9258, 2, 121)]","[2.178289, 0.9653012]",1
"[4089, 2268]",2.4774587,5.2693567,3178.5,1,"(36270, 0, 265)","[(12825, 4, 36270)]","[5.463606, 5.075107]",1
"[2397, 2939]",2.9325104,5.25377,2668.0,1,"(36297, 0, 16303)","[(25916, 6, 36297)]","[5.1312933, 5.376247]",1
"[5, 4]",0.7776886,1.7413607,4.5,1,"(15734, 0, 184)","[(1131, 4, 15734)]","[1.5226359, 1.9600855]",1
"[3785, 15209]",3.1222603,5.5600753,9497.0,1,"(4747, 0, 22951)","[(4747, 5, 3149)]","[6.4159384, 4.704212]",1
"[1, 1]",0.6120101,0.5223742,1.0,1,"(18961, 2, 7)","[(272, 6, 18961)]","[0.2971659, 0.7475825]",1
"[7961, 20893]",0.8926251,5.6390357,14427.0,1,"(39279, 0, 184)","[(1038, 4, 39279)]","[5.717943, 5.560128]",1
"[30931, 6]",1.4126594,5.0761642,15468.5,1,"(17933, 0, 160)","[(17932, 4, 17933)]","[5.286523, 4.865806]",1
"[20, 99]",1.6869034,5.6076107,59.5,1,"(22077, 5, 6956)","[(22077, 0, 3517)]","[5.6600666, 5.555155]",1
"[2, 1]",0.86584294,0.8818922,1.5,1,"(10506, 0, 296)","[(10506, 4, 14076)]","[0.947449, 0.8163353]",1
"[1464, 10]",1.3730358,4.731472,737.0,1,"(33666, 0, 278)","[(3239, 4, 33666)]","[4.612269, 4.8506746]",1
"[1, 47]",1.6838268,5.094013,24.0,1,"(22501, 2, 1326)","[(2899, 6, 22501)]","[4.5343966, 5.6536293]",1
"[3417, 12703]",1.8926018,5.5044794,8060.0,1,"(31737, 0, 16660)","[(31737, 0, 4448)]","[5.9264894, 5.082469]",1
"[667, 257]",1.5232298,5.246216,462.0,1,"(13521, 0, 427)","[(13520, 4, 13521)]","[5.3002377, 5.1921935]",1
"[4, 1]",1.0595998,1.2180978,2.5,1,"(16507, 0, 184)","[(12815, 4, 16507)]","[1.0791326, 1.357063]",1
"[1, 1]",1.4715588,2.0490105,1.0,1,"(29963, 5, 774)","[(29963, 2, 1137)]","[2.4468353, 1.6511856]",1
