original_rank,new_scores,original_score,new_rank,new_score,#facts,new_ranks,facts,prediction
1,"[9.059718, 8.891456]",9.176514,1.0,8.975587,3,"[1, 1]","[(6427, 2, 29), (6427, 3, 278), (6427, 2, 68)]","(6427, 9, 7790)"
1,"[4.927271, 6.171797]",5.990065,1.0,5.549534,3,"[1, 1]","[(7125, 4, 66), (7125, 1, 65), (7125, 2, 68)]","(7125, 11, 8038)"
1,"[6.1853986, 6.398158]",6.493819,1.0,6.2917786,3,"[1, 1]","[(5822, 4, 66), (5822, 2, 68), (5822, 3, 9)]","(5822, 11, 7992)"
1,"[6.8473783, 7.0937915]",7.2885904,1.0,6.970585,3,"[1, 1]","[(7788, 4, 66), (7788, 9, 7790), (7788, 2, 68)]","(7788, 11, 8038)"
1,"[5.5988894, 5.4291544]",5.8608837,1.0,5.514022,3,"[1, 1]","[(5279, 4, 66), (5279, 3, 40), (5279, 3, 6)]","(5279, 11, 7992)"
1,"[5.162578, 5.358699]",5.854315,2.5,5.260638,3,"[1, 4]","[(6848, 4, 66), (6848, 1, 65), (6848, 2, 68)]","(6848, 11, 7992)"
1,"[2.9144993, 4.2025056]",6.829075,41.0,3.5585024,3,"[59, 23]","[(7058, 2, 7059), (7058, 3, 7062), (7058, 2, 2083)]","(7058, 9, 9349)"
1,"[6.9611683, 5.8696823]",8.200344,4.5,6.4154253,3,"[4, 5]","[(5822, 3, 748), (5822, 4, 66), (5822, 3, 279)]","(5822, 12, 8676)"
2,"[6.579138, 6.135479]",6.2528124,1.5,6.3573084,3,"[2, 1]","[(5849, 2, 31), (5849, 2, 68), (5849, 3, 6)]","(5849, 11, 7869)"
1,"[6.167324, 6.7620583]",6.5734153,1.0,6.464691,3,"[1, 1]","[(5696, 2, 30), (5696, 3, 78), (5696, 3, 10)]","(5696, 11, 7992)"
1,"[5.8058705, 6.079402]",6.0124025,2.0,5.9426365,3,"[2, 2]","[(6195, 2, 3219), (6195, 3, 6197), (6195, 2, 68)]","(6195, 9, 8721)"
1,"[6.8890076, 7.8347044]",7.6262035,1.5,7.361856,3,"[2, 1]","[(5717, 2, 2011), (5717, 2, 4760), (5717, 3, 2014)]","(5717, 9, 2010)"
1,"[8.762205, 8.746126]",8.899089,1.0,8.754166,3,"[1, 1]","[(5179, 5, 5180), (5179, 2, 5181), (5179, 2, 2584)]","(5179, 9, 13676)"
1,"[7.1569138, 6.611904]",7.3935227,1.0,6.884409,3,"[1, 1]","[(4912, 4, 66), (4912, 2, 68), (4912, 3, 6)]","(4912, 11, 7869)"
1,"[7.2809534, 8.391728]",8.629868,1.0,7.836341,3,"[1, 1]","[(6162, 2, 2011), (6162, 3, 5727), (6162, 2, 4760)]","(6162, 9, 2010)"
1,"[8.690631, 8.600769]",8.731943,1.0,8.6457,3,"[1, 1]","[(7517, 1, 168), (7517, 2, 2271), (7517, 3, 4)]","(7517, 9, 7759)"
1,"[8.520956, 8.60581]",9.054642,1.0,8.563383,3,"[1, 1]","[(5920, 2, 69), (5920, 3, 111), (5920, 3, 74)]","(5920, 9, 8418)"
1,"[6.816455, 6.329999]",6.63501,1.0,6.573227,3,"[1, 1]","[(6822, 4, 66), (6822, 1, 65), (6822, 2, 30)]","(6822, 11, 7869)"
2,"[7.7889557, 7.5987988]",7.641706,2.0,7.693877,3,"[2, 2]","[(7365, 3, 277), (7365, 3, 276), (7365, 3, 6)]","(7365, 12, 6095)"
2,"[5.3385606, 6.5355062]",6.395771,1.5,5.9370337,3,"[2, 1]","[(5110, 1, 65), (5110, 2, 31), (5110, 2, 30)]","(5110, 11, 6729)"
1,"[5.841917, 6.5984325]",6.992312,1.0,6.220175,3,"[1, 1]","[(7655, 8, 7427), (7655, 2, 68), (7655, 2, 31)]","(7655, 11, 8038)"
1,"[6.181429, 6.718743]",7.1088166,2.5,6.4500856,3,"[2, 3]","[(6812, 5, 6813), (6812, 3, 6815), (6812, 3, 6818)]","(6812, 12, 13960)"
1,"[5.940626, 5.295024]",6.9315023,2.5,5.617825,3,"[1, 4]","[(5218, 2, 2083), (5218, 2, 2082), (5218, 3, 2085)]","(5218, 9, 11980)"
1,"[7.529053, 8.108027]",8.511835,1.0,7.8185406,3,"[1, 1]","[(7236, 2, 1188), (7236, 3, 418), (7236, 2, 31)]","(7236, 9, 7903)"
2,"[5.971093, 5.9793906]",6.1215763,1.0,5.9752417,3,"[1, 1]","[(5756, 4, 924), (5756, 2, 30), (5756, 2, 31)]","(5756, 11, 7869)"
1,"[7.268857, 7.9530773]",7.2348595,1.0,7.610967,3,"[1, 1]","[(6419, 2, 729), (6419, 3, 506), (6419, 3, 1348)]","(6419, 9, 7991)"
1,"[8.215452, 8.577383]",9.2064905,1.0,8.396418,3,"[1, 1]","[(6323, 2, 70), (6323, 3, 2638), (6323, 3, 111)]","(6323, 9, 8418)"
1,"[8.279544, 7.951991]",9.047374,1.0,8.1157675,3,"[1, 1]","[(6885, 2, 1166), (6885, 1, 65), (6885, 3, 516)]","(6885, 9, 1470)"
1,"[8.591081, 9.1993065]",9.176466,1.0,8.895193,3,"[1, 1]","[(5770, 2, 789), (5770, 1, 65), (5770, 2, 30)]","(5770, 9, 1470)"
1,"[5.589882, 6.473461]",6.8954225,1.0,6.0316715,3,"[1, 1]","[(5575, 4, 66), (5575, 2, 68), (5575, 2, 30)]","(5575, 11, 8038)"
1,"[5.3465905, 5.5362473]",5.6155605,1.0,5.4414186,3,"[1, 1]","[(5067, 2, 68), (5067, 2, 30), (5067, 3, 9)]","(5067, 11, 7992)"
2,"[6.567115, 6.413779]",6.96239,3.0,6.490447,3,"[4, 2]","[(5645, 2, 2083), (5645, 2, 2082), (5645, 3, 2085)]","(5645, 9, 11980)"
2,"[6.641032, 7.565277]",8.398114,3.0,7.1031547,3,"[4, 2]","[(7628, 4, 66), (7628, 3, 279), (7628, 3, 149)]","(7628, 12, 4492)"
1,"[5.4145336, 6.291687]",6.3391323,1.5,5.8531103,3,"[2, 1]","[(5844, 2, 68), (5844, 2, 30), (5844, 2, 31)]","(5844, 11, 8038)"
2,"[6.494218, 7.663503]",7.5643873,1.5,7.0788603,3,"[2, 1]","[(6213, 2, 68), (6213, 2, 30), (6213, 2, 31)]","(6213, 11, 8038)"
