facts,new_ranks,#facts,new_rank,prediction,new_score,new_scores,original_score,original_rank
"[(5660, 109, 5014), (5660, 116, 404), (5660, 12, 5014)]","[1, 1]",3,1.0,"(5660, 136, 6402)",7.316476,"[7.0435205, 7.589431]",6.9425015,1
"[(2258, 26, 64), (2258, 26, 1098), (2258, 26, 342)]","[1, 1]",3,1.0,"(2258, 14, 160)",8.229321,"[8.296358, 8.162283]",8.303699,1
"[(3742, 34, 90), (3742, 31, 4), (3742, 26, 342)]","[1, 1]",3,1.0,"(3742, 25, 62)",4.083376,"[4.131016, 4.0357356]",3.8423574,1
"[(10634, 48, 32), (10634, 17, 818), (10634, 17, 1730)]","[1, 1]",3,1.0,"(10634, 43, 141)",6.091376,"[6.24971, 5.9330416]",7.3984365,1
"[(1445, 148, 7018), (1445, 148, 4653), (1445, 148, 6025)]","[1, 2]",3,1.5,"(1445, 148, 9623)",7.220989,"[7.330492, 7.111487]",7.140051,1
"[(7412, 34, 90), (7412, 13, 382), (7412, 13, 119)]","[1, 1]",3,1.0,"(7412, 14, 160)",9.111391,"[9.027495, 9.195286]",8.902123,1
"[(7435, 35, 6615), (7435, 35, 7125), (7435, 35, 4507)]","[3, 1]",3,2.0,"(7435, 35, 7238)",6.5580745,"[6.4718447, 6.6443043]",6.9823084,1
"[(1329, 13, 75), (1329, 13, 449), (1329, 13, 331)]","[5, 4]",3,4.5,"(1329, 13, 1163)",5.6206427,"[5.671892, 5.569393]",5.9050293,1
"[(409, 123, 1893), (409, 8, 1440), (409, 8, 6036)]","[1, 1]",3,1.0,"(409, 17, 862)",6.947648,"[6.823561, 7.0717354]",6.73506,1
"[(10174, 54, 12882), (10174, 144, 12882), (10174, 15, 12882)]","[1, 1]",3,1.0,"(12882, 25, 62)",7.581346,"[7.459421, 7.703271]",6.162185,1
"[(7706, 48, 32), (7706, 17, 60), (7706, 41, 212)]","[1, 1]",3,1.0,"(7706, 17, 1002)",7.8621464,"[7.9093504, 7.8149424]",8.005735,1
"[(2494, 48, 32), (2494, 48, 1080), (2494, 24, 1445)]","[1, 1]",3,1.0,"(2494, 85, 434)",7.5591426,"[7.570775, 7.54751]",8.090952,1
"[(5672, 34, 90), (5672, 14, 160), (5672, 28, 32)]","[1, 1]",3,1.0,"(5672, 26, 64)",7.41895,"[7.455937, 7.381963]",7.616864,1
"[(3350, 85, 434), (3350, 43, 384), (3350, 17, 862)]","[1, 1]",3,1.0,"(3350, 48, 32)",7.6417274,"[7.8419046, 7.4415503]",8.392536,1
"[(6933, 133, 1124), (6933, 135, 382), (6933, 154, 5054)]","[1, 1]",3,1.0,"(6933, 25, 62)",5.775551,"[5.775007, 5.7760954]",5.3587217,1
"[(10762, 154, 2620), (1080, 15, 10762), (10762, 62, 7983)]","[1, 1]",3,1.0,"(10762, 25, 62)",9.342795,"[9.390448, 9.295143]",7.438649,1
"[(1892, 28, 32), (1892, 26, 990), (1892, 26, 1881)]","[1, 1]",3,1.0,"(1892, 26, 1098)",6.8523216,"[6.9938107, 6.710832]",7.2906313,1
"[(6342, 13, 202), (6342, 13, 834), (6342, 13, 1046)]","[4, 3]",3,3.5,"(6342, 13, 1682)",5.8597527,"[6.0521774, 5.667328]",5.9206314,1
"[(12508, 43, 141), (12508, 17, 60), (12508, 17, 1002)]","[3, 2]",3,2.5,"(12508, 17, 2123)",5.9465914,"[5.9189105, 5.9742723]",6.6341934,1
"[(2457, 34, 90), (2457, 28, 32), (2457, 13, 1080)]","[2, 2]",3,2.0,"(2457, 13, 382)",5.834424,"[5.927905, 5.7409434]",6.046425,1
"[(7327, 85, 434), (7327, 43, 141), (7327, 48, 32)]","[1, 1]",3,1.0,"(7327, 17, 215)",6.2306805,"[6.3697214, 6.091639]",6.6937075,1
"[(1127, 10, 6066), (1127, 10, 4121), (1127, 10, 468)]","[2, 5]",3,3.5,"(1127, 10, 6315)",6.208786,"[6.1424537, 6.275119]",6.301168,1
