facts,new_score,new_rank,original_score,new_ranks,#facts,prediction,original_rank,new_scores
"[(44, 1, 45), (45, 1, 18368), (45, 1, 5282)]",1.1698171,795.5,8.879241,"[1112, 479]",3,"(45, 1, 44)",1,"[1.0648036, 1.2748306]"
"[(5908, 1, 4050), (36580, 0, 4050), (4050, 1, 4051)]",0.8415806,643.0,10.466581,"[417, 869]",3,"(4050, 1, 5908)",1,"[0.90720415, 0.77595717]"
"[(20456, 0, 496), (32512, 1, 496), (24559, 0, 496)]",0.06782193,12155.5,9.354602,"[7230, 17081]",3,"(496, 1, 32512)",1,"[0.2751209, -0.13947706]"
"[(1508, 1, 9372), (9372, 1, 3795), (3795, 1, 9372)]",1.4593909,119.5,9.9936285,"[162, 77]",3,"(9372, 1, 1508)",1,"[1.2806247, 1.6381569]"
"[(5336, 1, 11686), (11686, 0, 16301), (11686, 1, 26261)]",6.6570587,3.0,9.1733055,"[3, 3]",3,"(11686, 1, 5336)",1,"[6.738164, 6.5759535]"
"[(7833, 1, 36078), (36078, 0, 28742)]",-6.0649195,27824.0,10.850468,"[34770, 20878]",2,"(36078, 1, 7833)",1,"[-8.651518, -3.4783213]"
"[(15125, 1, 2869), (2869, 1, 22777), (22777, 1, 2869)]",-0.6104703,9151.5,8.738957,"[15786, 2517]",3,"(2869, 1, 15125)",1,"[-1.1331657, -0.08777481]"
"[(29197, 1, 4359), (37436, 0, 4359), (4358, 0, 4359)]",1.1484408,255.5,8.654919,"[314, 197]",3,"(4359, 1, 29197)",1,"[0.9845136, 1.3123682]"
"[(38840, 1, 26984), (26984, 1, 26983), (26983, 1, 26984)]",-2.0193622,33585.5,9.220281,"[35215, 31956]",3,"(26984, 1, 38840)",1,"[-1.9797215, -2.0590029]"
"[(14768, 0, 21985), (15788, 6, 14768), (14768, 6, 14769)]",-2.3506665,22671.0,7.281294,"[34748, 10594]",3,"(14768, 6, 24252)",1,"[-3.7313576, -0.96997523]"
"[(8589, 1, 2035), (2035, 1, 3839), (3839, 1, 2035)]",5.9268985,3.0,8.747489,"[2, 4]",3,"(2035, 1, 8589)",1,"[5.743004, 6.110793]"
"[(8774, 1, 16865), (16865, 0, 8663), (16865, 5, 212)]",-2.79487,9781.5,10.44133,"[14148, 5415]",3,"(16865, 1, 8774)",1,"[-4.063935, -1.5258048]"
"[(15249, 1, 26185), (26185, 0, 17196)]",-7.413093,35034.0,11.001265,"[37505, 32563]",2,"(26185, 1, 15249)",1,"[-9.884439, -4.9417467]"
"[(7707, 1, 7708), (7708, 1, 9498), (9498, 1, 7708)]",-6.386914,32078.0,8.797766,"[32674, 31482]",3,"(7708, 1, 7707)",1,"[-8.003155, -4.770673]"
"[(32885, 1, 37429), (37429, 0, 300)]",-6.271819,32249.0,10.5282135,"[29755, 34743]",2,"(37429, 1, 32885)",1,"[-7.189926, -5.3537116]"
"[(10722, 1, 5826), (5826, 1, 3775), (3775, 1, 5826)]",-0.8575202,7019.5,9.052063,"[8300, 5739]",3,"(5826, 1, 10722)",1,"[-0.9755136, -0.73952687]"
"[(21524, 1, 20692), (20692, 0, 7755), (20692, 1, 1062)]",2.479195,38.0,9.7515745,"[35, 41]",3,"(20692, 1, 21524)",1,"[2.5115898, 2.4468002]"
"[(31140, 1, 25999), (25998, 0, 25999), (25999, 0, 12912)]",-3.65544,14808.0,9.611744,"[20526, 9090]",3,"(25999, 1, 31140)",1,"[-5.1775947, -2.1332855]"
"[(15849, 1, 22500), (22500, 1, 26110), (26110, 1, 22500)]",-1.1843207,23234.0,8.751211,"[21942, 24526]",3,"(22500, 1, 15849)",1,"[-1.2407365, -1.1279049]"
"[(21810, 4, 21811)]",5.4091654,20.0,7.6046906,"[14, 26]",1,"(21811, 0, 278)",1,"[6.0093365, 4.8089943]"
"[(4170, 6, 33440)]",9.332914,1.5,7.4783945,"[1, 2]",1,"(33440, 2, 121)",1,"[11.095072, 7.5707564]"
"[(14576, 1, 904), (904, 1, 14576), (22518, 0, 14576)]",3.9106264,2.0,5.459032,"[2, 2]",3,"(14576, 5, 2971)",1,"[3.8824263, 3.9388268]"
"[(5832, 1, 12905), (12905, 1, 28697), (28697, 1, 12905)]",6.1798687,3.0,9.152345,"[3, 3]",3,"(12905, 1, 5832)",1,"[5.975726, 6.3840113]"
"[(653, 1, 17819), (17819, 1, 17820), (17820, 1, 17819)]",-0.881786,8806.0,9.249761,"[4287, 13325]",3,"(17819, 1, 653)",1,"[-0.56655324, -1.1970187]"
"[(17014, 2, 909)]",2.9206462,124.5,7.138199,"[134, 115]",1,"(17014, 2, 3167)",1,"[3.3023548, 2.5389376]"
"[(32701, 1, 1049), (1049, 1, 32701), (32701, 1, 730)]",0.9799562,620.0,6.671388,"[1074, 166]",3,"(32701, 0, 522)",1,"[0.25481832, 1.7050941]"
"[(3103, 1, 3104), (3104, 5, 1981)]",-6.3733234,30787.0,9.955729,"[34574, 27000]",2,"(3104, 1, 3103)",1,"[-8.58385, -4.1627965]"
"[(17169, 3, 17011), (17011, 3, 17012), (17012, 3, 17011)]",0.19280091,3959.5,8.8337755,"[1712, 6207]",3,"(17011, 3, 17169)",1,"[0.40877324, -0.023171425]"
"[(23647, 0, 14302)]",1.588289,193.5,7.0427074,"[224, 163]",1,"(23647, 0, 1338)",1,"[1.248758, 1.92782]"
"[(4764, 1, 4765), (4765, 1, 29462), (29462, 1, 4765)]",-0.3513113,14086.0,9.360676,"[10872, 17300]",3,"(4765, 1, 4764)",1,"[-0.22893715, -0.47368544]"
"[(19068, 1, 8742), (15432, 0, 8742), (8742, 1, 9355)]",3.8837829,36.5,8.114485,"[19, 54]",3,"(8742, 1, 19068)",1,"[4.353717, 3.4138489]"
"[(28087, 1, 13806), (13805, 4, 13806), (13806, 0, 1380)]",-1.1928664,11389.5,9.769687,"[14516, 8263]",3,"(13806, 1, 28087)",1,"[-1.4905641, -0.89516884]"
"[(3210, 0, 14885), (135, 0, 3210), (8242, 0, 3210)]",4.5327635,2.0,6.574163,"[1, 3]",3,"(3210, 5, 1819)",1,"[4.4352465, 4.6302805]"
"[(11480, 2, 8721)]",-0.71160716,866.0,5.108136,"[423, 1309]",1,"(11480, 2, 1534)",1,"[0.4068974, -1.8301117]"
"[(3407, 1, 26647), (26647, 9, 12197), (12197, 9, 26647)]",-0.53372705,10565.5,8.59272,"[16231, 4900]",3,"(26647, 1, 3407)",1,"[-0.89039856, -0.17705554]"
"[(9268, 1, 12274), (12274, 0, 9960)]",-3.4860492,14535.5,10.34638,"[15314, 13757]",2,"(12274, 1, 9268)",1,"[-4.2600737, -2.7120247]"
"[(8885, 1, 17578), (3300, 1, 17578), (17578, 1, 3300)]",0.526596,685.0,9.063567,"[1074, 296]",3,"(17578, 1, 8885)",1,"[0.22225663, 0.83093536]"
"[(34834, 1, 3152), (3152, 1, 3151), (3152, 1, 8251)]",-1.6371281,34998.0,9.688642,"[33433, 36563]",3,"(3152, 1, 34834)",1,"[-1.0132018, -2.2610545]"
"[(16415, 4, 36104)]",2.0407324,147.5,7.7996135,"[136, 159]",1,"(36104, 0, 81)",1,"[2.131887, 1.949578]"
"[(1620, 6, 25305)]",0.35640553,436.0,7.398238,"[226, 646]",1,"(25305, 0, 2099)",1,"[1.2306464, -0.5178353]"
"[(24859, 1, 24512), (24512, 0, 14773)]",-4.2053356,18510.5,10.221,"[23106, 13915]",2,"(24512, 1, 24859)",1,"[-5.6808276, -2.7298436]"
"[(3340, 1, 13731), (13731, 1, 11130), (11130, 1, 13731)]",7.0518274,2.0,9.419868,"[2, 2]",3,"(13731, 1, 3340)",1,"[6.9990416, 7.1046133]"
