#facts,new_ranks,original_rank,prediction,new_scores,facts,new_rank,new_score,original_score
3,"[2, 1]",1,"(11761, 113, 5770)","[0.37830230593681335, 0.3569748103618622]","[(11761, 172, 5721), (11761, 199, 9277), (11761, 143, 9277)]",1.5,0.36763855814933777,0.393696665763855
3,"[1, 1]",1,"(2937, 48, 32)","[0.9367582201957703, 0.9596216082572937]","[(2937, 8, 2269), (2937, 6, 941), (2279, 71, 2937)]",1.0,0.948189914226532,0.9600799083709717
3,"[1, 1]",1,"(8617, 60, 90)","[0.9961978793144226, 0.9960967898368835]","[(2222, 119, 8617), (2222, 45, 8617), (8617, 6, 6493)]",1.0,0.9961473345756531,0.947867214679718
3,"[1, 1]",1,"(1803, 156, 6317)","[0.7081406712532043, 0.9647451043128967]","[(8246, 163, 1803), (10927, 163, 1803), (7098, 163, 1803)]",1.0,0.8364428877830505,0.9039296507835388
3,"[1, 2]",1,"(434, 161, 5949)","[0.9525916576385498, 0.9563446044921875]","[(3032, 85, 434), (390, 85, 434), (383, 85, 434)]",1.5,0.9544681310653687,0.9906078577041626
3,"[2, 4]",1,"(2592, 17, 2123)","[0.5125702023506165, 0.1013227105140686]","[(5933, 20, 2592), (2202, 27, 2592), (2592, 17, 1415)]",3.0,0.30694645643234253,0.7389125823974609
3,"[1, 1]",1,"(6054, 14, 160)","[0.9771867394447327, 0.970283031463623]","[(3646, 7, 6054), (2299, 6, 6054), (2146, 6, 6054)]",1.0,0.9737348854541779,0.9868510365486145
3,"[1, 1]",1,"(5839, 48, 32)","[0.9174426794052124, 0.8246904611587524]","[(5839, 39, 150), (5839, 8, 5840), (8902, 183, 5839)]",1.0,0.8710665702819824,0.846180260181427
3,"[1, 1]",1,"(7268, 120, 791)","[0.9823066592216492, 0.9899925589561462]","[(32, 87, 7268), (7268, 154, 2438), (7268, 33, 90)]",1.0,0.9861496090888977,0.9878473281860352
3,"[1, 1]",1,"(5818, 34, 90)","[0.9896256327629089, 0.9924058318138123]","[(4624, 38, 5818), (9377, 38, 5818), (2477, 173, 5818)]",1.0,0.9910157322883606,0.9906631708145142
3,"[1, 1]",1,"(7681, 48, 32)","[0.9058940410614014, 0.8891858458518982]","[(7681, 17, 818), (7681, 17, 393), (7681, 102, 3044)]",1.0,0.8975399434566498,0.9179816246032715
3,"[1, 1]",1,"(9201, 48, 32)","[0.7356188893318176, 0.5411589741706848]","[(9201, 17, 862), (9201, 224, 5949), (9201, 85, 434)]",1.0,0.6383889317512512,0.6412914395332336
3,"[2, 2]",1,"(2062, 43, 384)","[0.5798294544219971, 0.5683072209358215]","[(2062, 6, 8452), (361, 8, 2062), (2062, 8, 1352)]",2.0,0.5740683376789093,0.8457817435264587
3,"[1, 1]",1,"(409, 100, 160)","[0.9738501906394958, 0.9490673542022705]","[(409, 8, 1440), (409, 8, 6036), (6036, 8, 409)]",1.0,0.9614587724208832,0.9844846725463867
3,"[1, 1]",1,"(7739, 48, 32)","[0.9583868980407715, 0.8501378893852234]","[(7739, 45, 920), (920, 45, 7739), (7739, 45, 8804)]",1.0,0.9042623937129974,0.8271660208702087
1,"[1, 1]",1,"(8557, 25, 62)","[0.9912729859352112, 0.992552638053894]","[(8139, 15, 8557)]",1.0,0.9919128119945526,0.9874509572982788
3,"[2, 2]",1,"(6678, 43, 384)","[0.4584282636642456, 0.7217553853988647]","[(6678, 19, 601), (6678, 19, 1062), (3637, 47, 6678)]",2.0,0.5900918245315552,0.9217239618301392
3,"[1, 1]",1,"(5361, 177, 1271)","[0.5523378849029541, 0.7308892607688904]","[(2750, 20, 5361), (5361, 19, 153), (1834, 42, 5361)]",1.0,0.6416135728359222,0.6285704970359802
3,"[1, 1]",1,"(9774, 25, 62)","[0.9948049187660217, 0.9965862035751343]","[(3086, 47, 9774), (13930, 47, 9774), (9774, 17, 243)]",1.0,0.995695561170578,0.9894706010818481
3,"[1, 1]",1,"(3039, 85, 434)","[0.9863913059234619, 0.9739136099815369]","[(3039, 17, 818), (6036, 8, 3039), (3039, 48, 32)]",1.0,0.9801524579524994,0.988152801990509
3,"[2, 1]",1,"(4878, 39, 592)","[0.23624922335147858, 0.09243562072515488]","[(879, 71, 4878), (4878, 19, 2099), (4878, 8, 4853)]",1.5,0.16434242203831673,0.1647690385580063
3,"[1, 1]",1,"(7614, 91, 494)","[0.994397759437561, 0.9853436350822449]","[(7570, 7, 7614), (7614, 136, 8550), (3127, 2, 7614)]",1.0,0.989870697259903,0.9964919686317444
3,"[1, 1]",1,"(13452, 212, 4563)","[0.8685745596885681, 0.9305390119552612]","[(4055, 50, 13452), (13452, 82, 1771), (13452, 39, 1327)]",1.0,0.8995567858219147,0.9722623825073242
3,"[1, 1]",1,"(7417, 33, 90)","[0.989821195602417, 0.9797415733337402]","[(32, 87, 7417), (32, 15, 7417), (961, 144, 7417)]",1.0,0.9847813844680786,0.9863195419311523
3,"[1, 1]",1,"(4550, 60, 90)","[0.995248019695282, 0.994860053062439]","[(4550, 8, 3289), (3289, 8, 4550), (2458, 175, 4550)]",1.0,0.9950540363788605,0.9950908422470093
