new_rank,#facts,new_scores,new_ranks,facts,prediction,original_score,new_score,original_rank
1.5,3,"[0.0010726357577368617, 0.9583967328071594]","[2, 1]","[(7788, 3, 37), (7788, 3, 10), (7788, 3, 1239)]","(7788, 11, 7956)",6.464199395850301e-05,0.47973468428244814,1
8.0,3,"[3.2906291580481195e-10, 6.2338876887224615e-06]","[15, 1]","[(7328, 3, 954), (7328, 3, 1839), (7328, 3, 75)]","(7328, 10, 7830)",5.031374872288552e-09,3.117108375819133e-06,1
4.5,3,"[4.932908836963179e-07, 2.0585398488037754e-06]","[4, 5]","[(7125, 3, 2593), (7125, 3, 9), (7125, 3, 40)]","(7125, 11, 8038)",1.2816738490073476e-05,1.2759153662500466e-06,1
3.5,3,"[6.846999167464674e-05, 3.924044358427636e-05]","[4, 3]","[(7788, 3, 37), (7788, 3, 1321), (7788, 2, 30)]","(7788, 11, 8038)",0.00025431104586459696,5.385521762946155e-05,1
14.0,3,"[2.284692851572956e-10, 3.593222936615348e-05]","[22, 6]","[(6105, 3, 149), (6105, 3, 276), (6105, 3, 6)]","(6105, 8, 7393)",0.0003303271369077265,1.7966228917719318e-05,1
4.5,3,"[1.5708621903254283e-10, 7.022156751190778e-06]","[8, 1]","[(6853, 2, 172), (6853, 2, 68), (6853, 3, 6867)]","(6853, 10, 7830)",1.7677559416284794e-09,3.511156918704905e-06,1
7.5,3,"[1.3555796840591938e-06, 5.356601104722358e-05]","[5, 10]","[(6427, 3, 1477), (6427, 3, 2414), (6427, 3, 7)]","(6427, 8, 7410)",0.006617997772991657,2.746079536564139e-05,1
9.0,3,"[1.6532901270238654e-08, 5.372670784709044e-06]","[8, 10]","[(5269, 3, 40), (5269, 3, 6), (5269, 2, 31)]","(5269, 8, 7410)",0.0001737351849442348,2.6946018429896412e-06,1
10.5,3,"[4.2888251977624137e-11, 2.4622329419798916e-07]","[20, 1]","[(5073, 3, 418), (5073, 3, 6), (5073, 3, 1336)]","(5073, 10, 7830)",2.7475641761753877e-09,1.231330912249834e-07,1
7.0,3,"[1.3060309811407933e-07, 9.30647183849942e-06]","[7, 7]","[(6766, 2, 30), (6766, 3, 83), (6766, 4, 66)]","(6766, 8, 7410)",0.00013452144048642367,4.718537468306749e-06,1
9.5,3,"[1.4223980215888332e-08, 3.6419436355572543e-07]","[6, 13]","[(5110, 3, 276), (5110, 2, 30), (5110, 2, 31)]","(5110, 8, 7408)",0.00016445291112177074,1.8920917188580688e-07,1
2.0,3,"[0.00216145277954638, 0.878114640712738]","[3, 1]","[(7177, 2, 30), (7177, 3, 75), (7177, 3, 100)]","(7177, 11, 7956)",5.2181261708028615e-05,0.4401380467461422,1
8.5,3,"[0.0003186514077242464, 0.005782496649771929]","[10, 7]","[(7536, 2, 30), (7536, 2, 68), (7536, 3, 651)]","(7536, 12, 4492)",0.00012008265184704214,0.0030505740287480876,1
9.0,3,"[2.3435066387467174e-11, 2.2079809696151642e-06]","[17, 1]","[(7182, 3, 1), (7182, 3, 7), (7182, 3, 4735)]","(7182, 10, 7830)",5.526598068072985e-10,1.1040022023407758e-06,1
6.0,3,"[4.71045495942235e-06, 0.00011118814290966839]","[2, 10]","[(5234, 3, 1510), (5234, 3, 5245), (5234, 3, 5239)]","(5234, 8, 7567)",0.07745267450809479,5.794929893454537e-05,1
6.0,3,"[3.759387912083412e-09, 1.8769065718515776e-05]","[9, 3]","[(5110, 3, 5113), (5110, 3, 276), (5110, 2, 31)]","(5110, 8, 7593)",0.00010146859858650714,9.38641255321393e-06,1
5.5,3,"[2.8270297561250324e-11, 1.5353447224697447e-07]","[10, 1]","[(7365, 3, 276), (7365, 3, 5316), (7365, 3, 279)]","(7365, 10, 7830)",4.245953633130739e-08,7.678137127226786e-08,1
8.0,3,"[5.393852919866049e-09, 0.00011299922334728763]","[13, 3]","[(6383, 3, 6389), (6383, 3, 56), (6383, 3, 10)]","(6383, 8, 7429)",4.635970981325954e-05,5.6502308600103746e-05,1
2.5,3,"[1.0715015150708496e-06, 0.0002520261623430997]","[2, 3]","[(5849, 3, 149), (5849, 3, 88), (5849, 3, 418)]","(5849, 8, 7410)",0.013211838901042938,0.00012654883192908528,1
8.0,3,"[1.1245641218238234e-07, 3.438221028773114e-06]","[8, 8]","[(5781, 3, 772), (5781, 3, 1126), (5781, 2, 31)]","(5781, 8, 7410)",0.026959797367453575,1.7753387204777482e-06,1
8.5,3,"[4.1494495339744475e-11, 5.206847504268808e-07]","[16, 1]","[(6004, 3, 930), (6004, 2, 68), (6004, 3, 39)]","(6004, 10, 7830)",3.285558847210268e-08,2.6036312246111026e-07,1
4.5,3,"[0.0002687215164769441, 9.296029747929424e-05]","[3, 6]","[(5575, 3, 651), (5575, 3, 115), (5575, 3, 1407)]","(5575, 11, 8038)",0.00015194447769317776,0.00018084090697811916,1
7.5,3,"[1.6287985715734976e-07, 5.275253715808503e-05]","[10, 5]","[(4882, 3, 149), (4882, 3, 6), (4882, 3, 40)]","(4882, 8, 7410)",0.0005842457758262753,2.645770850762119e-05,1
11.0,3,"[1.196595822428037e-09, 0.00015352139598689973]","[19, 3]","[(6323, 3, 75), (6323, 3, 706), (6323, 3, 78)]","(6323, 8, 7427)",0.0006460305885411799,7.676129629136108e-05,1
3.0,3,"[5.516961887330751e-10, 9.042451551977138e-07]","[5, 1]","[(6373, 3, 115), (6373, 2, 68), (6373, 3, 243)]","(6373, 10, 7830)",6.148118458781937e-09,4.523984256932234e-07,1
5.5,3,"[2.520663997529482e-07, 0.00011205572809558362]","[7, 4]","[(4912, 3, 2044), (4912, 3, 436), (4912, 3, 1019)]","(4912, 8, 7410)",0.0015577415470033884,5.615389724766828e-05,1
2.0,3,"[0.019875414669513702, 0.4960286319255829]","[2, 2]","[(7628, 3, 279), (7628, 3, 40), (7628, 3, 6)]","(7628, 12, 4492)",0.022079473361372948,0.2579520232975483,1
6.0,3,"[1.6397780355781322e-10, 2.9469546802829427e-07]","[11, 1]","[(5133, 3, 4866), (5133, 3, 9), (5133, 3, 2730)]","(5133, 10, 7830)",1.0917164061652329e-08,1.4742972291592604e-07,1
6.0,3,"[5.428577726229733e-11, 2.842332946784154e-07]","[11, 1]","[(7201, 3, 5934), (7201, 3, 119), (7201, 3, 2279)]","(7201, 10, 7830)",5.487277832116888e-08,1.4214379022783885e-07,1
15.5,3,"[3.1488863783124543e-07, 3.9235182214270026e-08]","[4, 27]","[(5110, 3, 5113), (5110, 2, 30), (5110, 2, 31)]","(5110, 8, 7567)",0.0004571357276290655,1.7706191002275773e-07,1
6.5,3,"[1.858170799096115e-05, 7.041222124826163e-05]","[7, 6]","[(6213, 3, 1493), (6213, 3, 1840), (6213, 3, 1839)]","(6213, 11, 8038)",0.00026256981072947383,4.449696461961139e-05,1
19.0,3,"[1.4836924744354718e-10, 5.178311766940169e-06]","[31, 7]","[(5558, 3, 149), (5558, 2, 68), (5558, 2, 31)]","(5558, 8, 7393)",0.0007456682506017387,2.5892300680938063e-06,1
12.5,3,"[6.473629271530612e-11, 1.0695116543502081e-06]","[24, 1]","[(5593, 3, 46), (5593, 3, 1019), (5593, 3, 9)]","(5593, 10, 7830)",4.969827660517012e-09,5.347881953214617e-07,1
4.0,3,"[7.362647380659837e-08, 0.0019473712891340256]","[7, 1]","[(4870, 3, 10), (4870, 3, 41), (4870, 3, 40)]","(4870, 8, 7593)",0.00022191622701939195,0.0009737224578039161,1
6.5,3,"[1.197992954837801e-10, 5.550334662984824e-07]","[12, 1]","[(6320, 3, 2414), (6320, 2, 69), (6320, 3, 34)]","(6320, 10, 7830)",3.580371910061331e-08,2.775766327969831e-07,1
9.0,3,"[5.217317550210154e-11, 1.3958014051240752e-06]","[17, 1]","[(4882, 3, 40), (4882, 3, 470), (4882, 3, 6)]","(4882, 10, 7830)",2.7909027977557344e-08,6.979267891497887e-07,1
