original_rank,facts,prediction,new_scores,new_rank,new_score,new_ranks,#facts,original_score
1,"[(1347, 1, 8776), (8776, 0, 12836), (8776, 1, 8777)]","(8776, 1, 1347)","[8.355378668056801e-05, 0.00020936541841365397]",4918.0,0.000146459602547111,"[7544, 2292]",3,0.7884548306465149
1,"[(1864, 4, 39499)]","(39499, 0, 292)","[5.2444611355895177e-05, 7.635034853592515e-05]",206.0,6.439747994591016e-05,"[273, 139]",1,0.6023808717727661
1,"[(193, 6, 28640), (28640, 6, 4498), (28640, 6, 7593)]","(28640, 2, 741)","[0.0004597217484842986, 0.0004129134176764637]",46.5,0.00043631758308038116,"[47, 46]",3,0.6571306586265564
1,"[(14753, 1, 34777), (34777, 0, 11327)]","(34777, 1, 14753)","[1.4723192180099431e-05, 2.595792648207862e-05]",4457.0,2.0340559331089025e-05,"[7425, 1489]",2,0.9449015259742737
1,"[(26770, 6, 26771), (26770, 0, 7635)]","(26770, 5, 6829)","[0.00044864026131108403, 0.0009066499187611043]",86.0,0.0006776450900360942,"[88, 84]",2,0.45097658038139343
1,"[(11565, 1, 29689), (37185, 1, 11565), (12441, 1, 11565)]","(11565, 1, 12441)","[1.2170266927569173e-05, 0.0003707554133143276]",17387.5,0.00019146284012094839,"[31282, 3493]",3,0.9488105773925781
1,"[(903, 1, 34444), (34444, 1, 903), (903, 0, 904)]","(903, 5, 5742)","[0.0033682528883218765, 0.005994732491672039]",11.5,0.004681492689996958,"[14, 9]",3,0.4814486503601074
1,"[(19739, 1, 14612), (14612, 1, 8884), (14613, 1, 14612)]","(14612, 1, 19739)","[0.02876405045390129, 0.003969951998442411]",11.0,0.01636700122617185,"[5, 17]",3,0.8138606548309326
1,"[(36079, 1, 24146), (24146, 1, 12197)]","(24146, 1, 36079)","[2.8717288387269946e-06, 2.700497134355828e-06]",38661.5,2.7861129865414114e-06,"[38256, 39067]",2,0.8771597146987915
1,"[(1864, 4, 31393)]","(31393, 0, 292)","[5.258588498691097e-05, 7.640686817467213e-05]",210.5,6.449637658079155e-05,"[280, 141]",1,0.512271523475647
