new_score,original_score,facts,#facts,prediction,new_ranks,new_scores,original_rank,new_rank
3.7714152,8.543635,"[(32, 87, 11375), (11375, 58, 1750), (11375, 58, 9852)]",3,"(11375, 120, 791)","[1, 1]","[4.285759, 3.2570715]",1,1.0
1.6506501,9.869648,"[(831, 20, 1716), (1374, 20, 1716), (6196, 76, 1716)]",3,"(1716, 25, 62)","[1, 1]","[1.5752171, 1.7260832]",1,1.0
1.0065494,5.6099863,"[(9418, 48, 32), (9418, 6, 7412), (2031, 47, 9418)]",3,"(9418, 66, 592)","[13, 1]","[1.4053984, 0.6077002]",6,7.0
0.43721327,5.009362,"[(3027, 28, 32), (3027, 26, 990), (166, 6, 3027)]",3,"(3027, 106, 1652)","[5, 9]","[0.35160995, 0.5228166]",30,7.0
6.374445,8.832844,"[(12150, 120, 791), (32, 87, 12150), (582, 15, 12150)]",3,"(12150, 154, 2438)","[8, 4]","[5.8275905, 6.9212995]",1,6.0
0.56545615,3.1848176,"[(3683, 198, 160), (3683, 113, 5770), (164, 68, 3683)]",3,"(3683, 172, 1978)","[1, 1]","[0.46624234, 0.66466993]",1,1.0
0.36848545,2.8549852,"[(3282, 64, 688), (688, 64, 6653), (6448, 64, 688)]",3,"(688, 35, 3840)","[1, 3]","[0.31982377, 0.41714713]",2,2.0
0.26575184,5.5344553,"[(5017, 26, 64), (5017, 34, 90), (5017, 11, 23)]",3,"(5017, 14, 160)","[1, 1]","[0.30459654, 0.22690713]",4,1.0
0.4397695,3.6906297,"[(9148, 74, 524), (9148, 31, 4), (9148, 13, 32)]",3,"(9148, 74, 1769)","[12, 2]","[0.52821755, 0.35132146]",21,7.0
0.6837761,3.8340824,"[(10459, 26, 64), (10459, 28, 32), (10459, 11, 23)]",3,"(10459, 26, 1098)","[4, 3]","[0.45053232, 0.91701984]",2,3.5
2.2399344,9.888962,"[(6847, 61, 3111), (6847, 22, 2428), (32, 15, 6847)]",3,"(6847, 25, 62)","[1, 1]","[2.2367952, 2.243074]",1,1.0
1.5698652,8.882477,"[(3814, 76, 6298), (6298, 77, 1267), (6298, 60, 90)]",3,"(6298, 25, 62)","[1, 1]","[1.4528655, 1.686865]",1,1.0
