prediction,original_rank,facts,#facts,new_scores,original_score,new_score,new_ranks,new_rank
"(7125, 11, 8038)",12,"[(7125, 4, 66), (7125, 2, 172), (7125, 2, 68)]",3,"[2.645247, 3.8795412]",4.0142155,3.262394,"[2, 3]",2.5
"(6853, 10, 7830)",5,"[(6853, 2, 31), (6853, 2, 68), (6853, 2, 30)]",3,"[2.7819922, 2.9801955]",4.188182,2.881094,"[1, 1]",1.0
"(4799, 8, 7566)",2,"[(4799, 1, 65), (4799, 3, 20), (4799, 2, 30)]",3,"[2.486205, 2.6389737]",5.118734,2.5625894,"[7, 4]",5.5
"(6320, 8, 7410)",4,"[(6320, 4, 66), (6320, 2, 69), (6320, 2, 28)]",3,"[2.1201015, 2.462544]",4.6576195,2.2913227,"[1, 1]",1.0
"(6323, 10, 7830)",5,"[(6323, 3, 9), (6323, 3, 75), (6323, 3, 38)]",3,"[2.7908368, 2.9033616]",2.9513865,2.8470993,"[1, 1]",1.0
"(7080, 11, 7956)",4,"[(7080, 2, 31), (7080, 2, 30), (7080, 4, 485)]",3,"[2.2155871, 3.5486915]",3.5308044,2.8821392,"[1, 1]",1.0
"(4870, 8, 7566)",2,"[(4870, 3, 7), (4870, 3, 40), (4870, 1, 864)]",3,"[2.3258991, 2.4075072]",5.064227,2.366703,"[4, 3]",3.5
"(5533, 11, 7956)",2,"[(5533, 1, 1054), (5533, 2, 30), (5533, 2, 305)]",3,"[2.4175863, 3.4752226]",3.551628,2.9464045,"[1, 1]",1.0
"(6602, 10, 7830)",5,"[(6602, 3, 695), (6602, 3, 772), (6602, 3, 78)]",3,"[2.8758652, 3.003699]",4.149314,2.9397821,"[1, 1]",1.0
"(7499, 11, 7956)",4,"[(7499, 3, 279), (7499, 3, 7), (7499, 3, 39)]",3,"[2.6496432, 3.6756077]",3.4054344,3.1626253,"[1, 1]",1.0
"(5305, 8, 7410)",3,"[(5305, 4, 485), (5305, 3, 41), (5305, 3, 772)]",3,"[2.3412104, 2.5162108]",5.182078,2.4287105,"[1, 1]",1.0
"(6766, 8, 7410)",4,"[(6766, 4, 66), (6766, 3, 7), (6766, 3, 40)]",3,"[2.1569524, 2.425035]",4.9720592,2.2909937,"[1, 1]",1.0
"(6730, 8, 7408)",1,"[(6730, 3, 6738), (6730, 3, 1149), (6730, 3, 2213)]",3,"[2.660846, 2.789339]",5.244982,2.7250924,"[6, 5]",5.5
"(7536, 12, 4492)",5,"[(7536, 3, 732), (7536, 1, 65), (7536, 3, 1493)]",3,"[4.627437, 3.5967596]",2.8666697,4.112098,"[2, 2]",2.0
"(6162, 8, 7427)",6,"[(6162, 2, 31), (6162, 3, 149), (6162, 3, 88)]",3,"[2.42509, 2.5149715]",5.207631,2.4700308,"[2, 2]",2.0
"(5041, 8, 7427)",11,"[(5041, 2, 68), (5041, 4, 1055), (5041, 2, 28)]",3,"[2.1898532, 2.4419558]",4.879652,2.3159046,"[2, 2]",2.0
"(6822, 11, 7869)",2,"[(6822, 4, 66), (6822, 2, 68), (6822, 2, 30)]",3,"[2.4845586, 3.5859487]",3.2896733,3.0352535,"[3, 1]",2.0
"(7769, 11, 7956)",3,"[(7769, 4, 66), (7769, 3, 39), (7769, 2, 31)]",3,"[2.4013968, 3.5191622]",3.0966597,2.9602795,"[1, 1]",1.0
"(7469, 11, 7956)",5,"[(7469, 3, 9), (7469, 3, 339), (7469, 3, 115)]",3,"[2.5283473, 3.6330914]",3.213222,3.0807195,"[1, 1]",1.0
"(5110, 8, 7410)",3,"[(5110, 4, 1893), (5110, 3, 39), (5110, 1, 65)]",3,"[2.2402377, 2.5710273]",4.852529,2.4056325,"[1, 1]",1.0
"(6766, 10, 7830)",5,"[(6766, 4, 66), (6766, 1, 65), (6766, 3, 7)]",3,"[2.6508985, 2.997157]",3.4640522,2.8240278,"[1, 1]",1.0
"(7838, 11, 7956)",2,"[(7838, 2, 309), (7838, 2, 68), (7838, 2, 1323)]",3,"[2.2547472, 3.4669294]",3.4227931,2.8608384,"[1, 1]",1.0
"(5770, 10, 7830)",5,"[(5770, 1, 65), (5770, 3, 7), (5770, 3, 75)]",3,"[2.6836872, 3.045796]",4.1098666,2.8647416,"[1, 1]",1.0
"(7236, 9, 7903)",9,"[(7236, 3, 7246), (7236, 3, 7242), (7236, 3, 220)]",3,"[3.6988206, 3.8977394]",2.871933,3.79828,"[5, 8]",6.5
"(5920, 11, 7956)",3,"[(5920, 2, 69), (5920, 2, 30), (5920, 2, 68)]",3,"[2.2915173, 3.6004229]",3.3415859,2.94597,"[1, 1]",1.0
"(6492, 8, 7429)",1,"[(6492, 3, 41), (6492, 3, 10), (6492, 3, 40)]",3,"[2.3092484, 2.5111494]",5.1737347,2.410199,"[2, 2]",2.0
"(6300, 11, 7869)",2,"[(6300, 3, 10), (6300, 3, 41), (6300, 3, 7)]",3,"[2.60733, 3.697884]",3.1339943,3.152607,"[3, 1]",2.0
