original_rank,facts,original_score,new_score,new_scores,new_rank,new_ranks,prediction,#facts
1,"[(9620, 1, 8502), (8502, 1, 9620), (12662, 1, 9620)]",1.701146,1.2441963,"[1.360754, 1.1276386]",127.5,"[249, 6]","(9620, 0, 3716)",3
1,"[(21026, 1, 9857), (34418, 1, 21026), (21026, 1, 34418)]",2.045721,3.3459535,"[3.472003, 3.2199037]",1071.5,"[1057, 1086]","(21026, 0, 306)",3
1,"[(23212, 1, 13209), (23212, 9, 1122), (13209, 1, 23212)]",1.6729352,2.8849344,"[2.8425226, 2.927346]",15.0,"[19, 11]","(23212, 0, 2918)",3
1,"[(35194, 4, 35195), (35194, 4, 14146)]",1.6250241,4.884613,"[4.628509, 5.1407175]",6275.5,"[3685, 8866]","(35194, 0, 1027)",2
1,"[(22016, 4, 22017)]",0.9429634,4.78613,"[4.6065803, 4.96568]",7384.0,"[9579, 5189]","(22017, 0, 883)",1
1,"[(1038, 4, 40030)]",1.5084891,4.893443,"[4.6157675, 5.1711187]",2563.0,"[440, 4686]","(40030, 0, 184)",1
1,"[(1864, 4, 31393)]",1.4777615,5.3571024,"[5.9124284, 4.801777]",4169.5,"[8333, 6]","(31393, 0, 292)",1
1,"[(4808, 6, 7324), (7324, 6, 15701), (7324, 6, 12734)]",0.8107544,1.0029644,"[0.9217797, 1.0841491]",1.0,"[1, 1]","(7324, 2, 12273)",3
1,"[(14768, 0, 21985), (14768, 6, 14769), (15788, 6, 14768)]",2.3381553,5.5639634,"[5.5962734, 5.5316534]",404.5,"[674, 135]","(14768, 6, 24252)",3
1,"[(1038, 4, 3395), (3395, 4, 3396)]",1.168735,5.478149,"[5.6610374, 5.2952604]",5884.0,"[10777, 991]","(3395, 0, 184)",2
1,"[(78, 0, 79)]",2.3237505,5.8462534,"[5.8622375, 5.83027]",34.5,"[26, 43]","(78, 5, 172)",1
1,"[(18847, 6, 16074), (16074, 5, 10754)]",1.1613934,5.516361,"[4.998974, 6.0337486]",2092.0,"[2507, 1677]","(16074, 0, 18268)",2
1,"[(34189, 2, 121), (1914, 6, 34189)]",0.55414593,4.798756,"[4.4561586, 5.1413536]",17.0,"[24, 10]","(34189, 2, 916)",2
1,"[(3034, 5, 774), (3033, 8, 3034)]",1.4543347,5.1446304,"[4.6282187, 5.6610427]",2.0,"[1, 3]","(3034, 2, 1137)",2
1,"[(33413, 4, 27450)]",2.947596,5.194519,"[4.9859543, 5.4030843]",5119.5,"[9291, 948]","(33413, 0, 292)",1
1,"[(22133, 4, 37093), (10222, 4, 22133), (22133, 4, 23643)]",0.86834943,2.4282131,"[2.5837023, 2.2727242]",1420.0,"[2815, 25]","(22133, 0, 1730)",3
1,"[(21810, 4, 21811)]",1.2848617,5.1020813,"[4.800488, 5.403674]",10311.5,"[789, 19834]","(21811, 0, 278)",1
1,"[(11149, 6, 39206)]",0.7448149,4.757987,"[4.8494987, 4.666476]",349.5,"[620, 79]","(39206, 0, 12650)",1
1,"[(37417, 2, 1137)]",2.0156152,5.8427486,"[5.5581694, 6.1273284]",75.5,"[1, 150]","(37417, 5, 774)",1
1,"[(830, 1, 829), (829, 1, 830), (1014, 1, 829)]",1.4397378,1.529078,"[1.2028413, 1.8553146]",133.0,"[11, 255]","(829, 0, 1677)",3
1,"[(1349, 6, 37929)]",1.7267122,5.4839287,"[6.23359, 4.734267]",88.5,"[118, 59]","(37929, 2, 121)",1
1,"[(20491, 1, 7848), (7848, 1, 20491), (7848, 0, 9103)]",2.4129827,1.338788,"[1.3717108, 1.3058653]",1.5,"[2, 1]","(7848, 5, 914)",3
1,"[(4979, 4, 14487), (14487, 4, 32746)]",2.14187,4.9800653,"[5.3804097, 4.5797215]",13347.5,"[26583, 112]","(14487, 0, 1244)",2
1,"[(1038, 4, 32164), (32164, 4, 32165)]",0.74327976,5.122526,"[5.7136908, 4.531361]",12625.0,"[25042, 208]","(32164, 0, 184)",2
1,"[(3750, 4, 15205)]",0.94464505,5.1524763,"[4.9548225, 5.3501306]",11292.0,"[2811, 19773]","(15205, 0, 265)",1
1,"[(35945, 0, 5108)]",2.8685713,4.7578287,"[4.5830226, 4.9326353]",33.0,"[50, 16]","(35945, 5, 914)",1
1,"[(7326, 4, 11600), (11600, 4, 15695)]",2.725429,4.9790688,"[4.8488636, 5.109274]",2391.5,"[2928, 1855]","(11600, 0, 13047)",2
1,"[(2724, 4, 5134), (1167, 6, 5134), (5134, 6, 11942)]",0.51211566,3.5319915,"[3.5978417, 3.4661415]",3.0,"[2, 4]","(5134, 2, 4633)",3
1,"[(1864, 4, 26845), (26845, 4, 32126)]",0.67443144,4.790399,"[4.3039646, 5.2768335]",2167.5,"[11, 4324]","(26845, 0, 292)",2
1,"[(23563, 6, 4037), (4036, 6, 4037)]",1.988281,5.0587835,"[5.6466484, 4.4709187]",6208.0,"[9717, 2699]","(4037, 0, 16708)",2
1,"[(8306, 2, 499)]",1.4664829,5.065133,"[5.3120155, 4.8182507]",90.5,"[64, 117]","(8306, 2, 25327)",1
1,"[(1906, 4, 37285)]",1.4167567,5.138516,"[4.7791142, 5.4979177]",3329.0,"[180, 6478]","(37285, 0, 184)",1
1,"[(30007, 2, 916), (13030, 6, 30007), (20016, 4, 30007)]",0.6540674,5.3620543,"[5.421731, 5.3023777]",74.5,"[21, 128]","(30007, 2, 121)",3
1,"[(12266, 4, 14219), (12266, 4, 16385), (12266, 4, 1862)]",1.0805113,2.5314612,"[2.9551687, 2.1077538]",25820.5,"[32572, 19069]","(12266, 4, 18612)",3
1,"[(1073, 4, 31237)]",1.3141148,4.7953434,"[4.727582, 4.863105]",4348.5,"[22, 8675]","(31237, 0, 2110)",1
1,"[(17178, 4, 24513), (24513, 4, 24514)]",1.9245131,4.9358015,"[5.173938, 4.6976647]",6176.5,"[6851, 5502]","(24513, 0, 4550)",2
1,"[(9258, 2, 121), (3766, 6, 9258)]",0.6697103,5.6231184,"[6.293468, 4.9527683]",73.5,"[113, 34]","(9258, 2, 916)",2
1,"[(12825, 4, 36270)]",2.4774587,5.423983,"[5.6080465, 5.2399197]",4502.0,"[8174, 830]","(36270, 0, 265)",1
1,"[(25916, 6, 36297)]",2.9325104,5.39534,"[5.27391, 5.5167704]",1192.5,"[225, 2160]","(36297, 0, 16303)",1
1,"[(1131, 4, 15734), (15734, 4, 18885)]",0.7776886,5.189364,"[5.0756855, 5.3030424]",129.5,"[229, 30]","(15734, 0, 184)",2
1,"[(4747, 5, 3149)]",3.1222603,5.4840574,"[5.588476, 5.379638]",5018.0,"[706, 9330]","(4747, 0, 22951)",1
1,"[(272, 6, 18961), (2930, 6, 18961), (3402, 6, 18961)]",0.6120101,5.1181774,"[4.5447006, 5.6916537]",18.5,"[9, 28]","(18961, 2, 7)",3
1,"[(1038, 4, 39279)]",0.8926251,4.86788,"[5.327795, 4.407964]",10034.5,"[20062, 7]","(39279, 0, 184)",1
1,"[(17932, 4, 17933)]",1.4126594,4.8923235,"[4.718627, 5.06602]",9599.5,"[11596, 7603]","(17933, 0, 160)",1
1,"[(22077, 0, 3517)]",1.6869034,5.412017,"[5.840461, 4.983573]",46.5,"[34, 59]","(22077, 5, 6956)",1
1,"[(10506, 4, 14076), (10506, 4, 31801), (10506, 4, 15765)]",0.86584294,2.4315047,"[2.7511733, 2.111836]",851.5,"[1186, 517]","(10506, 0, 296)",3
1,"[(3239, 4, 33666)]",1.3730358,5.001856,"[5.280414, 4.723298]",538.0,"[1068, 8]","(33666, 0, 278)",1
1,"[(2899, 6, 22501)]",1.6838268,5.2312155,"[5.66765, 4.794781]",49.0,"[97, 1]","(22501, 2, 1326)",1
1,"[(31737, 0, 4448)]",1.8926018,5.231674,"[5.341649, 5.121699]",6691.5,"[425, 12958]","(31737, 0, 16660)",1
1,"[(13520, 4, 13521)]",1.5232298,4.9460716,"[4.84437, 5.0477734]",121.0,"[138, 104]","(13521, 0, 427)",1
1,"[(12815, 4, 16507), (16507, 4, 37560)]",1.0595998,5.4230113,"[5.3528166, 5.493206]",6697.5,"[9698, 3697]","(16507, 0, 184)",2
1,"[(29963, 2, 1137), (1914, 8, 29963)]",1.4715588,5.1492367,"[5.3970294, 4.9014444]",214.0,"[422, 6]","(29963, 5, 774)",2
1,"[(2173, 6, 25880), (2173, 6, 7021), (2173, 6, 30945)]",0.16975777,0.24544883,"[0.31832573, 0.17257193]",6.5,"[10, 3]","(2173, 6, 38083)",3
1,"[(10444, 4, 38386)]",3.1416736,5.766224,"[6.7749095, 4.757538]",2858.5,"[3344, 2373]","(38386, 0, 1904)",1
1,"[(33711, 5, 9528), (33711, 0, 21113)]",1.6178828,5.3332334,"[4.960595, 5.7058716]",66.0,"[39, 93]","(33711, 5, 19257)",2
