prediction,new_ranks,new_rank,exp_length,exp,original_rank,new_scores,facts,new_score,original_score
"(8776, 1, 1347)",[8941],8941.0,3,"[(4276, 1, 1347), (1347, 1, 8776), (4276, 0, 8776)]",1,[9.131888509728014e-05],"[({(4276, 0, 8776)}, 9.94112978357736, 'baseline'), ({(1347, 1, 8776)}, -6.526246884883325, 'baseline')]",9.131888509728014e-05,0.7884548306465149
"(39499, 0, 292)",[1223],1223.0,3,"[(2148, 0, 292), (1864, 4, 39499), (1864, 4, 2148)]",1,[5.102312206872739e-05],"[({(1864, 4, 39499)}, -8.837616242179546, 'baseline')]",5.102312206872739e-05,0.6023808717727661
"(28640, 2, 741)",[29],29.0,5,"[(18035, 2, 741), (193, 6, 28640), (18035, 6, 4498), (28640, 6, 4498), (193, 6, 741)]",1,[0.002362234750762582],"[({(193, 6, 28640)}, -9.373402562590044, 'baseline'), ({(28640, 6, 4498)}, -10.898400494228774, 'baseline')]",0.002362234750762582,0.6571306586265564
"(34777, 1, 14753)",[18329],18329.0,1,"[(14753, 1, 34777)]",1,[2.520517045923043e-05],"[({(14753, 1, 34777)}, -7.663720107909032, 'baseline')]",2.520517045923043e-05,0.9449015259742737
"(26770, 5, 6829)",[77],77.0,5,"[(26770, 6, 26771), (26770, 0, 7635), (26771, 5, 6829), (24162, 0, 7635), (24162, 5, 6829)]",1,[0.0006249543512240052],"[({(26770, 6, 26771)}, -9.187580992043305, 'baseline'), ({(26770, 0, 7635)}, -9.338917396578983, 'baseline')]",0.0006249543512240052,0.45097658038139343
"(11565, 1, 12441)",[2420],2420.0,1,"[(12441, 1, 11565)]",1,[0.0006115617579780519],"[({(12441, 1, 11565)}, -12.370488013755823, 'baseline')]",0.0006115617579780519,0.9488105773925781
"(903, 5, 5742)",[21],21.0,7,"[(5211, 5, 5742), (5211, 6, 34444), (903, 0, 904), (23276, 5, 5742), (903, 1, 34444), (23276, 0, 904), (34444, 1, 903)]",1,[0.0025036989245563745],"[({(903, 1, 34444)}, -7.92123125364322, 'baseline'), ({(34444, 1, 903)}, -7.979249577187366, 'baseline'), ({(903, 0, 904)}, -9.175417435921432, 'baseline')]",0.0025036989245563745,0.4814486503601074
"(14612, 1, 19739)",[16690],16690.0,8,"[(19739, 1, 8883), (8884, 1, 8883), (14612, 1, 14613), (19739, 1, 14612), (17887, 1, 14613), (14613, 1, 14612), (14612, 1, 8884), (19739, 1, 17887)]",1,[2.6433359380462207e-05],"[({(19739, 1, 14612)}, -7.067913658208901, 'baseline'), ({(14612, 1, 8884)}, -7.945012159187468, 'baseline'), ({(14613, 1, 14612)}, -9.886525266401883, 'baseline'), ({(14612, 1, 14613)}, -9.973416451581215, 'baseline')]",2.6433359380462207e-05,0.8138606548309326
"(24146, 1, 36079)",[15189],15189.0,1,"[(36079, 1, 24146)]",1,[4.753160465043038e-05],"[({(36079, 1, 24146)}, -8.352012600724636, 'baseline')]",4.753160465043038e-05,0.8771597146987915
"(31393, 0, 292)",[1204],1204.0,3,"[(2148, 0, 292), (1864, 4, 31393), (1864, 4, 2148)]",1,[5.132504884386435e-05],"[({(1864, 4, 31393)}, -8.796183285233768, 'baseline')]",5.132504884386435e-05,0.512271523475647
"(14940, 1, 12227)",[27022],27022.0,5,"[(12227, 1, 14940), (13800, 1, 12227), (13800, 1, 5927), (5927, 1, 14940), (14940, 1, 5927)]",1,[1.0685345841920935e-05],"[({(12227, 1, 14940)}, -7.272621149979938, 'baseline'), ({(14940, 1, 5927)}, -9.786231934656492, 'baseline'), ({(5927, 1, 14940)}, -9.97086259974607, 'baseline')]",1.0685345841920935e-05,0.8385334610939026
"(2949, 1, 8019)",[6809],6809.0,5,"[(9188, 1, 30805), (9188, 1, 2949), (2949, 1, 9188), (8019, 1, 2949), (30805, 1, 8019)]",1,[0.00012731213064398617],"[({(8019, 1, 2949)}, -7.627412980129336, 'baseline'), ({(2949, 1, 9188)}, -10.651149868798253, 'baseline'), ({(9188, 1, 2949)}, -11.287613679582488, 'baseline')]",0.00012731213064398617,0.8824633359909058
"(15729, 1, 12999)",[11851],11851.0,9,"[(15171, 1, 31425), (15730, 1, 15171), (15729, 1, 16455), (15730, 1, 15729), (15171, 1, 16455), (15171, 1, 12999), (15729, 1, 15730), (16455, 1, 15729), (15729, 1, 31425)]",1,[2.371609298279509e-05],"[({(15729, 1, 31425)}, -7.781568532206823, 'baseline'), ({(15729, 1, 16455)}, -9.822948496368506, 'baseline'), ({(16455, 1, 15729)}, -10.058786318673942, 'baseline'), ({(15730, 1, 15729)}, -10.203894098314382, 'baseline'), ({(15729, 1, 15730)}, -10.838945146755796, 'baseline')]",2.371609298279509e-05,0.19728238880634308
"(20124, 1, 18592)",[290],290.0,1,"[(18592, 1, 20124)]",1,[0.0009867657208815217],"[({(18592, 1, 20124)}, -7.96558550194109, 'baseline')]",0.0009867657208815217,0.9615100622177124
"(23468, 1, 1116)",[39745],39745.0,1,"[(1116, 1, 23468)]",1,[2.491050963726593e-06],"[({(1116, 1, 23468)}, -8.126646976603451, 'baseline')]",2.491050963726593e-06,0.9318868517875671
"(9536, 0, 265)",[13],13.0,3,"[(9535, 4, 9536), (9535, 4, 25282), (25282, 0, 265)]",1,[0.0028143227100372314],"[({(9535, 4, 9536)}, -7.915332446158568, 'baseline')]",0.0028143227100372314,0.6587778329849243
"(1419, 1, 22014)",[8016],8016.0,5,"[(13051, 1, 22014), (1419, 1, 19671), (19671, 1, 1419), (19671, 1, 13051), (22014, 1, 1419)]",1,[7.222402928164229e-05],"[({(22014, 1, 1419)}, -7.494289549963864, 'baseline'), ({(1419, 1, 19671)}, -9.17082233340385, 'baseline'), ({(19671, 1, 1419)}, -10.06577312711672, 'baseline')]",7.222402928164229e-05,0.8030797243118286
"(16918, 1, 2507)",[1],1.0,9,"[(16918, 1, 16919), (22108, 1, 20126), (16918, 0, 2256), (16918, 1, 20126), (16919, 1, 16918), (22108, 1, 2507), (2507, 1, 16918), (16919, 1, 22108), (2507, 1, 2256)]",1,[0.2552350163459778],"[({(16918, 0, 2256)}, 11.673853110347768, 'baseline'), ({(2507, 1, 16918)}, -7.885872940974878, 'baseline'), ({(16918, 1, 20126)}, -8.239753089356203, 'baseline'), ({(16918, 1, 16919)}, -10.420558934212117, 'baseline'), ({(16919, 1, 16918)}, -10.702819744786437, 'baseline'), ({(16918, 1, 6789)}, -10.985950584795011, 'baseline'), ({(16476, 1, 16918)}, -11.07804126477106, 'baseline'), ({(6789, 1, 16918)}, -11.24568175048902, 'baseline'), ({(16918, 1, 16476)}, -12.30258935777889, 'baseline')]",0.2552350163459778,0.9153757691383362
