prediction,facts,exp,exp_length,original_score,original_rank,new_scores,new_ranks,new_score,new_rank
"(45, 1, 44)",[],[],0,8.879241,1,[8.838381],[1],8.838381,1.0
"(4050, 1, 5908)",[],[],0,10.466581,1,[9.641306],[1],9.641306,1.0
"(496, 1, 32512)",[],[],0,9.354602,1,[8.993006],[1],8.993006,1.0
"(9372, 1, 1508)","[({(9372, 1, 3795)}, -0.03329940608757565, 'baseline'), ({(3795, 1, 9372)}, -0.0340852337111189, 'baseline')]","[(3795, 9, 1508), (9372, 1, 3795)]",2,9.9936285,1,[9.778775],[2],9.778775,2.0
"(11686, 1, 5336)","[({(11686, 0, 16301)}, 0.10835556228320861, 'baseline'), ({(1528, 1, 11686)}, 0.0415420932366181, 'baseline'), ({(11686, 1, 1528)}, 0.040854494043408206, 'baseline'), ({(11686, 1, 26261)}, 0.037552873590767775, 'baseline'), ({(26261, 1, 11686)}, 0.03481010623713926, 'baseline')]","[(5336, 0, 16668), (11686, 0, 16301), (16668, 1, 16301)]",3,9.1733055,1,[8.971701],[1],8.971701,1.0
"(36078, 1, 7833)","[({(36078, 0, 28742)}, -0.31580539416286657, 'baseline')]","[(36078, 0, 28742), (28742, 1, 15054), (7833, 9, 15054)]",3,10.850468,1,[10.715263],[1],10.715263,1.0
"(2869, 1, 15125)",[],[],0,8.738957,1,[8.79053],[1],8.79053,1.0
"(4359, 1, 29197)",[],[],0,8.654919,1,[8.20727],[1],8.20727,1.0
"(26984, 1, 38840)",[],[],0,9.220281,1,[8.892683],[1],8.892683,1.0
"(14768, 6, 24252)","[({(14768, 0, 21985)}, 1.5872274154715031, 'baseline')]","[(21984, 0, 21985), (14768, 0, 21985), (21984, 6, 24252)]",3,7.281294,1,[2.935193],[14],2.935193,14.0
"(2035, 1, 8589)","[({(3839, 1, 2035)}, 0.10278228952964456, 'baseline'), ({(2035, 1, 3839)}, 0.10188011366355783, 'baseline'), ({(23638, 1, 2035)}, 0.0489378375740064, 'baseline'), ({(2035, 1, 23638)}, 0.04749206732883123, 'baseline'), ({(647, 0, 2035)}, 0.034263650853629174, 'baseline'), ({(25494, 0, 2035)}, -0.020290334745436372, 'baseline')]","[(1896, 1, 3839), (3839, 1, 2035), (1896, 1, 8589)]",3,8.747489,1,[8.800711],[1],8.800711,1.0
"(16865, 1, 8774)","[({(16865, 5, 212)}, -0.3286351746726941, 'baseline')]","[(8775, 1, 8774), (16865, 5, 212), (8775, 5, 212)]",3,10.44133,1,[10.146055],[1],10.146055,1.0
"(26185, 1, 15249)",[],[],0,11.001265,1,[10.363243],[1],10.363243,1.0
"(7708, 1, 7707)","[({(7708, 1, 9498)}, -0.6051997700480136, 'baseline'), ({(9498, 1, 7708)}, -0.6072949925062008, 'baseline')]","[(7708, 1, 9498), (9498, 1, 7707)]",2,8.797766,1,[9.571941],[2],9.571941,2.0
"(37429, 1, 32885)",[],[],0,10.5282135,1,[10.521809],[1],10.521809,1.0
"(5826, 1, 10722)",[],[],0,9.052063,1,[8.628368],[1],8.628368,1.0
"(20692, 1, 21524)","[({(20692, 1, 1062)}, -0.13900752815335604, 'baseline'), ({(1062, 1, 20692)}, -0.14155669963311843, 'baseline')]","[(21524, 0, 1062), (20692, 1, 1062)]",2,9.7515745,1,[9.370398],[1],9.370398,1.0
"(25999, 1, 31140)",[],[],0,9.611744,1,[10.467243],[1],10.467243,1.0
"(22500, 1, 15849)",[],[],0,8.751211,1,[9.725615],[1],9.725615,1.0
"(21811, 0, 278)","[({(21810, 4, 21811)}, 7.868524021619627, 'baseline')]","[(21810, 4, 3388), (21810, 4, 21811), (3388, 0, 278)]",3,7.6046906,1,[6.1298227],[18],6.1298227,18.0
"(33440, 2, 121)","[({(4170, 6, 33440)}, 5.3997777369614335, 'baseline')]","[(4170, 6, 20535), (4170, 6, 33440), (20535, 2, 121)]",3,7.4783945,1,[8.522884],[6],8.522884,6.0
"(14576, 5, 2971)","[({(904, 1, 14576)}, 0.16616110063684594, 'baseline'), ({(14576, 1, 904)}, 0.16605285857646587, 'baseline'), ({(22518, 0, 14576)}, 0.12404731952284571, 'baseline'), ({(1156, 1, 14576)}, -0.09079166220433084, 'baseline'), ({(14576, 1, 1156)}, -0.09343286319992104, 'baseline')]","[(24018, 0, 904), (24018, 5, 2971), (904, 1, 14576)]",3,5.459032,1,[5.3490734],[1],5.3490734,1.0
"(12905, 1, 5832)","[({(28697, 1, 12905)}, -0.021558721571455764, 'baseline'), ({(12905, 1, 28697)}, -0.02266498380157672, 'baseline'), ({(12905, 1, 12904)}, -0.06778808402725484, 'baseline'), ({(12904, 1, 12905)}, -0.07023902701339717, 'baseline')]","[(28697, 1, 12905), (28697, 1, 1757), (1757, 1, 5832)]",3,9.152345,1,[9.236694],[1],9.236694,1.0
"(17819, 1, 653)","[({(17819, 1, 17820)}, -0.07451244166116351, 'baseline'), ({(17820, 1, 17819)}, -0.10173412127263899, 'baseline')]","[(17819, 1, 17820), (17820, 0, 12901), (653, 0, 12901)]",3,9.249761,1,[9.581448],[1],9.581448,1.0
"(32701, 0, 522)","[({(32701, 1, 1049)}, 0.7189226604336729, 'baseline'), ({(1049, 1, 32701)}, 0.7175627208304095, 'baseline')]","[(1048, 1, 1049), (32701, 1, 1049), (1048, 0, 522)]",3,6.671388,1,[4.6182613],[4],4.6182613,4.0
