#facts,new_rank,original_rank,new_ranks,original_score,new_scores,prediction,facts,new_score
1,1.0,1,"[1, 1]",8.543635,"[3.166967, 2.6135955]","(11375, 120, 791)","[(12925, 111, 11375)]",2.8902812
1,1.0,1,"[1, 1]",9.869648,"[1.9788413, 1.683469]","(1716, 25, 62)","[(831, 20, 1716)]",1.8311552
1,1.0,6,"[1, 1]",5.6099863,"[0.43667835, 0.35726318]","(9418, 66, 592)","[(9418, 48, 32)]",0.39697075
1,4.0,30,"[3, 5]",5.009362,"[0.2157147, 0.27981243]","(3027, 106, 1652)","[(3027, 26, 990)]",0.24776356
1,3.5,1,"[5, 2]",8.832844,"[4.8586273, 4.4219947]","(12150, 154, 2438)","[(32, 87, 12150)]",4.6403112
1,1.0,1,"[1, 1]",3.1848176,"[0.45555788, 0.55871594]","(3683, 172, 1978)","[(1566, 89, 3683)]",0.50713694
1,1.5,2,"[1, 2]",2.8549852,"[0.25963464, 0.4351709]","(688, 35, 3840)","[(688, 64, 6448)]",0.34740275
1,1.0,4,"[1, 1]",5.5344553,"[0.23696424, 0.27795488]","(5017, 14, 160)","[(5017, 26, 64)]",0.25745955
1,11.0,21,"[12, 10]",3.6906297,"[0.55366004, 0.388316]","(9148, 74, 1769)","[(9148, 90, 1793)]",0.47098804
1,3.0,2,"[5, 1]",3.8340824,"[0.3292128, 0.21697523]","(10459, 26, 1098)","[(371, 7, 10459)]",0.27309403
1,1.0,1,"[1, 1]",9.888962,"[2.6187658, 2.6880002]","(6847, 25, 62)","[(6847, 22, 3807)]",2.653383
1,1.0,1,"[1, 1]",8.882477,"[1.3116893, 1.2700171]","(6298, 25, 62)","[(6298, 119, 3815)]",1.2908533
1,1.0,1,"[1, 1]",3.2678545,"[0.18455413, 0.33880484]","(5672, 26, 64)","[(5672, 12, 10115)]",0.26167947
1,2.0,1,"[2, 2]",5.255939,"[0.84616834, 0.93014264]","(11754, 85, 434)","[(11754, 202, 2904)]",0.88815546
1,1.5,2,"[1, 2]",11.156679,"[0.6343017, 0.54018676]","(2145, 43, 141)","[(2145, 8, 3454)]",0.5872443
1,1.0,1,"[1, 1]",3.7750387,"[0.49537554, 0.68181926]","(3120, 148, 3021)","[(5293, 160, 3120)]",0.5885974
1,1.0,1,"[1, 1]",11.078495,"[1.450002, 1.2394198]","(9475, 25, 62)","[(138, 92, 9475)]",1.3447108
1,1.0,1,"[1, 1]",5.5329022,"[0.3300258, 0.31395614]","(5649, 48, 32)","[(4144, 77, 5649)]",0.32199097
1,1.0,1,"[1, 1]",12.986469,"[5.900201, 4.369066]","(13632, 25, 62)","[(13632, 199, 9277)]",5.1346335
1,1.0,1,"[1, 1]",9.799974,"[1.5897443, 1.8636856]","(11272, 25, 62)","[(11272, 101, 2371)]",1.726715
1,1.0,1,"[1, 1]",5.5377464,"[0.6868421, 2.0391927]","(8386, 85, 434)","[(8386, 38, 753)]",1.3630173
1,1.5,1,"[2, 1]",1.2048147,"[0.10348257, 0.101474866]","(80, 19, 559)","[(80, 8, 6697)]",0.10247871
1,1.0,1,"[1, 1]",5.6463876,"[0.29569274, 0.42546278]","(2446, 48, 32)","[(2446, 38, 5945)]",0.36057776
1,1.0,2,"[1, 1]",9.008254,"[2.4369073, 2.5155618]","(11737, 43, 141)","[(11737, 24, 249)]",2.4762344
1,1.0,2,"[1, 1]",3.7558599,"[0.18823448, 0.34091863]","(4551, 26, 1098)","[(77, 7, 4551)]",0.26457655
1,1.0,1,"[1, 1]",9.085274,"[5.4490633, 5.5159388]","(2899, 25, 62)","[(2899, 16, 32)]",5.482501
1,1.0,1,"[1, 1]",5.3139343,"[0.31691986, 0.41960225]","(6597, 48, 32)","[(6597, 19, 1661)]",0.36826104
1,1.5,1,"[2, 1]",8.62182,"[4.5913124, 3.022378]","(12379, 120, 791)","[(12379, 133, 32)]",3.8068452
1,9.0,9,"[4, 14]",3.4511123,"[0.33747602, 0.47356808]","(5745, 35, 2589)","[(4733, 64, 5745)]",0.40552205
1,1.0,1,"[1, 1]",9.557828,"[3.5315175, 3.4414835]","(6443, 43, 141)","[(6443, 196, 3593)]",3.4865005
1,1.0,1,"[1, 1]",12.060263,"[4.2539425, 2.8378527]","(8572, 25, 62)","[(8572, 56, 8572)]",3.5458975
1,1.0,1,"[1, 1]",0.2021465,"[0.059942022, 0.015519539]","(8630, 56, 8630)","[(3389, 66, 8630)]",0.03773078
1,1.0,1,"[1, 1]",13.831659,"[6.8932896, 6.670724]","(11326, 25, 62)","[(3466, 15, 11326)]",6.7820067
1,10.0,6,"[13, 7]",4.6080956,"[0.28316367, 0.30312878]","(6404, 13, 449)","[(6404, 13, 2410)]",0.29314622
1,1.0,1,"[1, 1]",0.2021465,"[0.059942015, 0.015519531]","(6089, 56, 6089)","[(1591, 24, 6089)]",0.037730772
1,1.0,1,"[1, 1]",3.695775,"[0.82304937, 1.0529037]","(9896, 167, 1768)","[(9896, 108, 90)]",0.9379765
1,2.5,3,"[4, 1]",3.9198654,"[0.53639174, 0.4297883]","(3785, 14, 5334)","[(3785, 14, 2646)]",0.48309
1,1.0,1,"[1, 1]",3.145742,"[1.2012819, 0.86605316]","(6223, 167, 1768)","[(6223, 25, 62)]",1.0336676
1,5.0,12,"[5, 5]",5.4018598,"[0.36582947, 0.5380068]","(3592, 26, 342)","[(3592, 28, 32)]",0.45191813
1,1.0,1,"[1, 1]",10.881088,"[5.6073084, 5.2482214]","(6787, 25, 62)","[(6787, 120, 791)]",5.427765
1,1.0,3,"[1, 1]",5.030762,"[0.1853658, 0.29333428]","(2789, 11, 23)","[(2789, 13, 419)]",0.23935004
1,1.5,1,"[1, 2]",5.0243015,"[0.40601456, 0.6673645]","(2552, 43, 141)","[(2552, 17, 818)]",0.5366895
1,1.0,3,"[1, 1]",3.3159878,"[0.21973619, 0.22429787]","(7221, 106, 592)","[(7221, 13, 32)]",0.22201702
1,1.0,1,"[1, 1]",6.757516,"[0.42575312, 0.68361783]","(1477, 60, 90)","[(1477, 6, 6074)]",0.5546855
1,1.0,1,"[1, 1]",11.303192,"[6.9397416, 6.113713]","(10456, 25, 62)","[(6550, 226, 10456)]",6.526727
1,1.0,2,"[1, 1]",6.0524263,"[0.2551906, 0.28406718]","(848, 17, 862)","[(848, 19, 3250)]",0.26962888
1,1.0,1,"[1, 1]",3.5137227,"[0.22335812, 0.17071927]","(4583, 11, 23)","[(4, 2, 4583)]",0.1970387
1,1.0,7,"[1, 1]",4.4272175,"[1.3594408, 1.6244313]","(5481, 95, 521)","[(5481, 96, 8305)]",1.491936
1,2.5,2,"[3, 2]",2.5623288,"[0.23690365, 0.16340941]","(8913, 13, 4474)","[(8913, 13, 4468)]",0.20015654
1,1.0,4,"[1, 1]",5.5365562,"[0.30849513, 0.41291416]","(3196, 11, 23)","[(3196, 13, 293)]",0.36070466
1,7.5,60,"[4, 11]",9.786621,"[0.8768735, 0.9666364]","(2181, 17, 818)","[(2181, 85, 434)]",0.92175496
1,70.5,1,"[139, 2]",6.379358,"[4.0179977, 3.0481443]","(12232, 33, 90)","[(11950, 58, 12232)]",3.533071
1,1.0,1,"[1, 1]",2.8489885,"[0.75743437, 0.7501424]","(9329, 172, 2759)","[(9329, 30, 467)]",0.75378835
1,1.0,1,"[1, 1]",5.4222198,"[0.19567375, 0.24388124]","(738, 115, 6114)","[(483, 7, 738)]",0.2197775
1,2.0,1,"[1, 3]",3.1120298,"[0.9552856, 1.4073086]","(8753, 10, 2875)","[(8753, 10, 2465)]",1.1812971
1,1.0,1,"[1, 1]",6.4752617,"[0.2773707, 0.4624024]","(5263, 48, 32)","[(948, 8, 5263)]",0.36988655
1,3.0,2,"[3, 3]",4.163462,"[0.2181884, 0.3453843]","(148, 26, 1098)","[(804, 6, 148)]",0.28178635
1,385.5,2,"[2, 769]",8.3503,"[1.8256681, 2.378952]","(1927, 212, 4563)","[(2159, 175, 1927)]",2.1023102
1,2.5,3,"[1, 4]",2.024353,"[0.1391023, 0.1665668]","(5819, 13, 68)","[(5819, 13, 419)]",0.15283455
1,1.5,3,"[2, 1]",3.294287,"[0.26370624, 0.45517832]","(8165, 106, 592)","[(3352, 2, 8165)]",0.3594423
1,1.0,1,"[1, 1]",7.7777796,"[2.0305343, 3.225377]","(8023, 120, 791)","[(8023, 111, 11792)]",2.6279557
1,1.0,1,"[1, 1]",5.6515408,"[0.18928589, 0.73092914]","(8848, 34, 90)","[(7318, 6, 8848)]",0.4601075
1,1.0,1,"[1, 1]",11.653254,"[2.9561598, 2.9369185]","(10221, 25, 62)","[(10221, 76, 10706)]",2.9465392
1,3.0,6,"[2, 4]",3.449703,"[0.23983985, 0.5408739]","(7664, 26, 342)","[(6580, 7, 7664)]",0.39035687
1,830.0,338,"[100, 1560]",5.7174397,"[0.75742507, 0.8910234]","(5302, 122, 3325)","[(3694, 37, 5302)]",0.82422423
1,7.5,1,"[3, 12]",3.8528743,"[1.6627194, 2.419434]","(8397, 80, 344)","[(12164, 170, 8397)]",2.0410767
1,4.0,6,"[2, 6]",7.1802206,"[2.1680799, 1.2903605]","(4945, 17, 871)","[(4945, 85, 434)]",1.7292202
1,3.0,2,"[3, 3]",4.1493998,"[0.14757301, 0.1666015]","(552, 26, 64)","[(552, 31, 11181)]",0.15708725
1,1.0,2,"[1, 1]",9.394058,"[0.5399952, 0.36879182]","(9906, 43, 141)","[(7366, 8, 9906)]",0.4543935
1,1.5,1,"[1, 2]",8.240005,"[3.4910674, 3.0714846]","(9530, 48, 32)","[(9530, 17, 871)]",3.281276
1,1.0,3,"[1, 1]",15.6308975,"[6.566609, 5.9537935]","(7155, 25, 62)","[(7155, 47, 996)]",6.2602015
1,1.0,1,"[1, 1]",2.8738413,"[0.23102033, 0.19195968]","(3861, 14, 160)","[(3861, 31, 568)]",0.21149
1,1.5,1,"[2, 1]",9.411259,"[2.954052, 2.4806263]","(1392, 43, 141)","[(4784, 71, 1392)]",2.717339
1,1.0,2,"[1, 1]",4.157199,"[0.1695068, 0.22828554]","(1897, 14, 160)","[(1897, 12, 9802)]",0.19889617
1,2.0,2,"[2, 2]",7.8994675,"[1.7059184, 1.2700396]","(10238, 85, 434)","[(10238, 19, 1759)]",1.4879789
1,1.0,1,"[1, 1]",3.708118,"[1.1529154, 1.0339365]","(1432, 98, 8236)","[(5453, 130, 1432)]",1.093426
1,1.0,26,"[1, 1]",6.1907783,"[0.3640304, 0.3949261]","(8789, 17, 862)","[(2534, 22, 8789)]",0.37947825
1,4.0,7,"[5, 3]",4.5881968,"[0.3102644, 0.303891]","(1259, 13, 202)","[(1259, 13, 158)]",0.3070777
1,1.0,1,"[1, 1]",7.894772,"[1.4338692, 0.9116605]","(4819, 85, 434)","[(4819, 82, 2456)]",1.1727649
1,1.0,1,"[1, 1]",3.0339537,"[0.85481226, 0.6896558]","(4123, 172, 1978)","[(2401, 89, 4123)]",0.772234
1,65.0,1,"[129, 1]",12.2361145,"[6.0597525, 2.8527813]","(1309, 25, 62)","[(1309, 56, 1309)]",4.456267
1,23.5,14,"[26, 21]",5.9332037,"[0.6714395, 0.67857045]","(3866, 28, 274)","[(10603, 6, 3866)]",0.67500496
1,2.5,5,"[4, 1]",3.366718,"[0.8662843, 0.566988]","(8425, 124, 4722)","[(8425, 217, 3433)]",0.7166362
1,1.5,1,"[1, 2]",5.5954394,"[0.3720849, 0.8608453]","(11039, 43, 141)","[(4908, 47, 11039)]",0.6164651
1,2.0,3,"[2, 2]",9.356104,"[0.88763905, 5.4547186]","(7474, 85, 434)","[(6912, 47, 7474)]",3.1711788
1,1.0,1,"[1, 1]",4.5499496,"[0.7225334, 0.5437386]","(1431, 91, 494)","[(1431, 12, 7263)]",0.63313603
1,2.5,4,"[2, 3]",4.9227076,"[0.22372948, 0.23560953]","(1598, 26, 342)","[(1598, 13, 4474)]",0.22966951
1,1.5,1,"[1, 2]",8.570226,"[0.51198006, 1.086131]","(6433, 85, 434)","[(6433, 17, 393)]",0.7990555
1,1.0,1,"[1, 1]",3.3958833,"[1.1684753, 1.4753103]","(1956, 98, 8986)","[(1956, 68, 2704)]",1.3218927
1,3.0,1,"[3, 3]",2.8390942,"[1.5155625, 0.93916357]","(9448, 0, 4494)","[(434, 161, 9448)]",1.2273631
1,1.0,1,"[1, 1]",13.760386,"[1.7356489, 1.5753306]","(4282, 25, 62)","[(4282, 116, 527)]",1.6554897
1,3.5,19,"[5, 2]",2.5320902,"[0.24232881, 0.1799657]","(5958, 13, 308)","[(5958, 13, 853)]",0.21114725
1,1.0,1,"[1, 1]",6.228981,"[1.0813881, 0.7399181]","(7729, 43, 141)","[(7729, 17, 862)]",0.9106531
1,1.0,2,"[1, 1]",5.4507256,"[0.15959227, 0.21220417]","(7349, 11, 23)","[(13785, 59, 7349)]",0.18589821
1,1.0,1,"[1, 1]",5.48673,"[0.26281774, 0.24672756]","(4270, 14, 160)","[(6800, 97, 4270)]",0.25477266
1,1.0,1,"[1, 1]",3.426412,"[0.5949013, 0.22425598]","(5563, 34, 90)","[(2678, 6, 5563)]",0.40957865
1,1.0,1,"[1, 1]",5.8760414,"[0.21358949, 0.17883177]","(1174, 60, 90)","[(941, 84, 1174)]",0.19621062
1,1.5,2102,"[1, 2]",14.561535,"[1.6433768, 1.2241273]","(7448, 43, 141)","[(441, 32, 7448)]",1.4337521
1,1.5,1,"[2, 1]",8.304846,"[3.4539068, 2.578442]","(12589, 43, 141)","[(12589, 48, 32)]",3.0161743
1,1.0,1,"[1, 1]",3.670332,"[0.24368933, 0.21060684]","(2302, 60, 90)","[(2302, 6, 230)]",0.22714809
