prediction,new_score,new_rank,facts,original_rank,original_score,new_ranks,new_scores,#facts
"(7125, 11, 8038)",3.296001,2.5,"[(7125, 3, 39)]",12,4.0142155,"[2, 3]","[2.768927, 3.8230748]",1
"(6853, 10, 7830)",3.0457325,1.0,"[(6853, 3, 6867)]",5,4.188182,"[1, 1]","[2.9830174, 3.1084476]",1
"(4799, 8, 7566)",2.408146,4.5,"[(4799, 3, 4812)]",2,5.118734,"[4, 5]","[2.2304046, 2.5858874]",1
"(6323, 10, 7830)",2.986914,1.0,"[(6323, 3, 1878)]",5,2.9513865,"[1, 1]","[2.8446174, 3.1292105]",1
"(6320, 8, 7410)",2.233899,1.0,"[(6320, 3, 40)]",4,4.6576195,"[1, 1]","[2.013921, 2.4538774]",1
"(7080, 11, 7956)",3.0036347,1.0,"[(7080, 2, 30)]",4,3.5308044,"[1, 1]","[2.3798418, 3.6274276]",1
"(4870, 8, 7566)",2.277124,2.5,"[(4870, 3, 1101)]",2,5.064227,"[2, 3]","[2.1371922, 2.4170556]",1
"(5533, 11, 7956)",2.981689,1.0,"[(5533, 3, 663)]",2,3.551628,"[1, 1]","[2.403757, 3.559621]",1
"(6602, 10, 7830)",3.0891461,1.0,"[(6602, 3, 40)]",5,4.149314,"[1, 1]","[3.0130064, 3.1652856]",1
"(7499, 11, 7956)",2.986542,1.0,"[(7499, 4, 485)]",4,3.4054344,"[1, 1]","[2.4319654, 3.5411186]",1
"(5305, 8, 7410)",2.509018,1.0,"[(5305, 3, 772)]",3,5.182078,"[1, 1]","[2.2967246, 2.7213113]",1
"(6766, 8, 7410)",2.2675085,1.0,"[(6766, 3, 1417)]",4,4.9720592,"[1, 1]","[2.0154974, 2.5195196]",1
"(6730, 8, 7408)",2.6472816,5.5,"[(6730, 2, 309)]",1,5.244982,"[5, 6]","[2.5078182, 2.786745]",1
"(6162, 8, 7427)",2.37619,1.0,"[(6162, 2, 2011)]",6,5.207631,"[1, 1]","[2.3219843, 2.4303956]",1
"(7536, 12, 4492)",4.102582,1.0,"[(7536, 2, 68)]",5,2.8666697,"[1, 1]","[4.6538677, 3.5512967]",1
"(5041, 8, 7427)",2.2107983,2.0,"[(5041, 3, 370)]",11,4.879652,"[1, 3]","[2.017849, 2.4037473]",1
"(6822, 11, 7869)",3.1537964,1.5,"[(6822, 3, 9)]",2,3.2896733,"[2, 1]","[2.7168322, 3.5907607]",1
