new_rank,#facts,new_score,new_ranks,original_rank,original_score,facts,prediction,new_scores
1.0,1,0.7334089,"[1, 1]",1,1.701146,"[(21261, 1, 9620)]","(9620, 0, 3716)","[0.71005857, 0.7567593]"
583.0,1,2.2248807,"[513, 653]",1,2.045721,"[(21026, 1, 9857)]","(21026, 0, 306)","[2.118717, 2.3310447]"
10.5,1,0.9373618,"[7, 14]",1,1.6729352,"[(23212, 1, 13209)]","(23212, 0, 2918)","[0.8151239, 1.0595996]"
1.5,1,1.3074913,"[2, 1]",1,1.6250241,"[(35194, 4, 14146)]","(35194, 0, 1027)","[1.3229206, 1.2920619]"
4800.5,1,4.675043,"[9207, 394]",1,0.9429634,"[(22016, 4, 22017)]","(22017, 0, 883)","[4.670169, 4.679918]"
1631.5,1,5.1690836,"[2865, 398]",1,1.5084891,"[(1038, 4, 40030)]","(40030, 0, 184)","[4.9260464, 5.4121203]"
270.5,1,3.9957952,"[351, 190]",1,2.3381553,"[(14768, 6, 14769)]","(14768, 6, 24252)","[4.0458126, 3.9457781]"
1.0,1,0.766636,"[1, 1]",1,0.8107544,"[(3408, 6, 7324)]","(7324, 2, 12273)","[0.80033374, 0.73293835]"
977.5,1,4.7539687,"[1909, 46]",1,1.4777615,"[(1864, 4, 31393)]","(31393, 0, 292)","[5.136839, 4.3710985]"
18.5,1,1.7750304,"[10, 27]",1,1.168735,"[(1038, 4, 3395)]","(3395, 0, 184)","[1.5511075, 1.9989531]"
72.5,1,5.002944,"[133, 12]",1,2.3237505,"[(78, 0, 79)]","(78, 5, 172)","[4.6738234, 5.3320646]"
60.5,1,1.920969,"[9, 112]",1,1.1613934,"[(18847, 6, 16074)]","(16074, 0, 18268)","[1.7260911, 2.1158469]"
3.0,1,0.90979296,"[3, 3]",1,0.55414593,"[(34189, 2, 121)]","(34189, 2, 916)","[0.96793175, 0.8516542]"
1.0,1,2.7103531,"[1, 1]",1,1.4543347,"[(3034, 5, 774)]","(3034, 2, 1137)","[2.7256818, 2.6950245]"
1816.5,1,5.2833376,"[12, 3621]",1,2.947596,"[(33413, 4, 27450)]","(33413, 0, 292)","[5.085964, 5.480711]"
1.0,1,0.63568693,"[1, 1]",1,0.86834943,"[(22133, 4, 36654)]","(22133, 0, 1730)","[0.65396905, 0.6174048]"
16172.0,1,5.339519,"[4396, 27948]",1,1.2848617,"[(21810, 4, 21811)]","(21811, 0, 278)","[4.9912424, 5.6877956]"
113.0,1,5.06672,"[122, 104]",1,0.7448149,"[(11149, 6, 39206)]","(39206, 0, 12650)","[4.903923, 5.229517]"
101.5,1,6.1126213,"[47, 156]",1,2.0156152,"[(37417, 2, 1137)]","(37417, 5, 774)","[6.1877036, 6.0375395]"
25.0,1,1.4442502,"[26, 24]",1,1.4397378,"[(1014, 1, 829)]","(829, 0, 1677)","[1.4562314, 1.4322691]"
23.0,1,5.040392,"[26, 20]",1,1.7267122,"[(1349, 6, 37929)]","(37929, 2, 121)","[5.3268046, 4.7539797]"
1.0,1,1.170882,"[1, 1]",1,2.4129827,"[(20491, 1, 7848)]","(7848, 5, 914)","[1.2302517, 1.1115124]"
5826.0,1,3.2848344,"[7886, 3766]",1,2.14187,"[(4979, 4, 14487)]","(14487, 0, 1244)","[3.672811, 2.8968577]"
1.0,1,0.5323035,"[1, 1]",1,0.74327976,"[(32164, 4, 32165)]","(32164, 0, 184)","[0.40508485, 0.6595222]"
17.5,1,5.357588,"[18, 17]",1,2.8685713,"[(35945, 0, 5108)]","(35945, 5, 914)","[5.227256, 5.4879203]"
15240.0,1,4.85223,"[30, 30450]",1,0.94464505,"[(3750, 4, 15205)]","(15205, 0, 265)","[4.535651, 5.168809]"
437.0,1,2.4079428,"[619, 255]",1,2.725429,"[(7326, 4, 11600)]","(11600, 0, 13047)","[2.5013142, 2.3145711]"
1.0,1,0.8711494,"[1, 1]",1,0.51211566,"[(5134, 8, 32954)]","(5134, 2, 4633)","[0.8508008, 0.8914981]"
1.0,1,0.6259747,"[1, 1]",1,0.67443144,"[(26845, 4, 32126)]","(26845, 0, 292)","[0.56241393, 0.6895355]"
2106.0,1,2.651753,"[4078, 134]",1,1.988281,"[(23563, 6, 4037)]","(4037, 0, 16708)","[3.2559435, 2.0475626]"
