prediction,facts,exp,exp_length,original_score,original_rank,new_scores,new_ranks,new_score,new_rank
"(8776, 1, 1347)","[({(4276, 0, 8776)}, 0.003857175781862512, 'baseline')]","[(4276, 1, 1347), (4276, 0, 8776)]",2,0.7884548306465149,1,[0.9412997961044312],[1],0.9412997961044312,1.0
"(39499, 0, 292)","[({(1864, 4, 39499)}, 0.6736336201156528, 'baseline')]","[(2148, 0, 292), (1864, 4, 39499), (1864, 4, 2148)]",3,0.6023808717727661,1,[0.0001556350034661591],[21],0.0001556350034661591,21.0
"(28640, 2, 741)","[({(193, 6, 28640)}, 0.7063880418691696, 'baseline'), ({(28640, 6, 4498)}, 0.1980554269177742, 'baseline')]","[(18035, 2, 741), (193, 6, 28640), (18035, 6, 4498), (28640, 6, 4498), (193, 6, 741)]",5,0.6571306586265564,1,[0.02888101525604725],[5],0.02888101525604725,5.0
"(34777, 1, 14753)",[],[],0,0.9449015259742737,1,[0.9232655763626099],[1],0.9232655763626099,1.0
"(26770, 5, 6829)","[({(26770, 0, 7635)}, 0.34908549141943174, 'baseline'), ({(26770, 6, 26771)}, 0.20522193183120221, 'baseline')]","[(26770, 6, 26771), (26770, 0, 7635), (26771, 5, 6829), (24162, 0, 7635), (24162, 5, 6829)]",5,0.45097658038139343,1,[0.00016703586152289063],[264],0.00016703586152289063,264.0
"(11565, 1, 12441)",[],[],0,0.9488105773925781,1,[0.8420441746711731],[1],0.8420441746711731,1.0
"(903, 5, 5742)","[({(903, 1, 34444)}, -0.01187163691091322, 'baseline'), ({(903, 0, 904)}, -0.019074053529040493, 'baseline'), ({(34444, 1, 903)}, -0.10870540601100555, 'baseline')]","[(5211, 5, 5742), (5211, 6, 34444), (903, 0, 904), (23276, 5, 5742), (903, 1, 34444), (23276, 0, 904), (34444, 1, 903)]",7,0.4814486503601074,1,[0.0017187970224767923],[34],0.0017187970224767923,34.0
"(14612, 1, 19739)","[({(14613, 1, 14612)}, 0.048821548921484346, 'baseline'), ({(14612, 1, 8884)}, 0.020939986153734044, 'baseline'), ({(14612, 1, 14613)}, 0.011481086654261083, 'baseline')]","[(19739, 1, 8883), (8884, 1, 8883), (14612, 1, 14613), (14613, 1, 14612), (17887, 1, 14613), (14612, 1, 8884), (19739, 1, 17887)]",7,0.8138606548309326,1,[0.9690471291542053],[1],0.9690471291542053,1.0
"(24146, 1, 36079)",[],[],0,0.8771597146987915,1,[0.9680119752883911],[1],0.9680119752883911,1.0
"(31393, 0, 292)","[({(1864, 4, 31393)}, 0.048292460794302106, 'baseline')]","[(2148, 0, 292), (1864, 4, 31393), (1864, 4, 2148)]",3,0.512271523475647,1,[0.00015462013834621757],[21],0.00015462013834621757,21.0
