#facts,new_rank,facts,new_ranks,prediction,original_score,original_rank,new_scores,new_score
3,1.0,"[(6427, 3, 278), (6427, 2, 29), (6427, 3, 479)]","[1, 1]","(6427, 9, 7790)",9.176514,1,"[9.524069, 9.284925]",9.404497
3,1.5,"[(7125, 3, 479), (7125, 3, 476), (7125, 3, 9)]","[1, 2]","(7125, 11, 8038)",5.990065,1,"[5.7058496, 5.258198]",5.4820237
3,1.0,"[(5822, 4, 66), (5822, 3, 476), (5822, 3, 9)]","[1, 1]","(5822, 11, 7992)",6.493819,1,"[6.1450596, 5.9958754]",6.0704675
3,1.0,"[(7788, 3, 1321), (7788, 3, 651), (7788, 3, 479)]","[1, 1]","(7788, 11, 8038)",7.2885904,1,"[7.3780127, 7.0434723]",7.2107425
3,1.5,"[(5279, 4, 66), (5279, 3, 40), (5279, 3, 6)]","[2, 1]","(5279, 11, 7992)",5.8608837,1,"[5.642455, 5.898592]",5.7705235
3,3.0,"[(6848, 4, 66), (6848, 3, 9), (6848, 3, 479)]","[4, 2]","(6848, 11, 7992)",5.854315,1,"[5.20189, 5.733101]",5.4674954
3,28.0,"[(7058, 3, 7062), (7058, 2, 7059), (7058, 2, 2083)]","[32, 24]","(7058, 9, 9349)",6.829075,1,"[3.606471, 3.7366586]",3.6715648
3,4.5,"[(5822, 3, 748), (5822, 3, 279), (5822, 3, 40)]","[5, 4]","(5822, 12, 8676)",8.200344,1,"[6.250025, 5.954204]",6.1021147
3,1.0,"[(5849, 3, 6), (5849, 3, 88), (5849, 3, 149)]","[1, 1]","(5849, 11, 7869)",6.2528124,2,"[6.5647287, 6.8921623]",6.7284455
3,1.0,"[(5696, 3, 78), (5696, 3, 10), (5696, 3, 40)]","[1, 1]","(5696, 11, 7992)",6.5734153,1,"[6.2776747, 6.548135]",6.4129047
3,5.5,"[(6195, 2, 3219), (6195, 3, 2021), (6195, 2, 31)]","[6, 5]","(6195, 9, 8721)",6.0124025,1,"[4.9903774, 4.676069]",4.8332233
3,1.0,"[(5717, 3, 2013), (5717, 3, 2014), (5717, 2, 2011)]","[1, 1]","(5717, 9, 2010)",7.6262035,1,"[7.3097982, 7.1920033]",7.2509007
3,1.0,"[(5179, 5, 5180), (5179, 3, 2586), (5179, 2, 2584)]","[1, 1]","(5179, 9, 13676)",8.899089,1,"[7.813529, 7.532669]",7.673099
3,2.0,"[(4912, 3, 2044), (4912, 3, 2043), (4912, 3, 436)]","[2, 2]","(4912, 11, 7869)",7.3935227,1,"[5.926607, 6.5703163]",6.2484617
3,1.0,"[(7517, 3, 2279), (7517, 3, 4), (7517, 1, 168)]","[1, 1]","(7517, 9, 7759)",8.731943,1,"[8.750485, 8.578678]",8.664581
3,1.0,"[(6162, 3, 88), (6162, 3, 40), (6162, 3, 149)]","[1, 1]","(6162, 9, 2010)",8.629868,1,"[7.9076586, 7.368037]",7.637848
3,1.0,"[(5920, 3, 111), (5920, 2, 69), (5920, 3, 74)]","[1, 1]","(5920, 9, 8418)",9.054642,1,"[9.139454, 8.67154]",8.905497
3,2.5,"[(6822, 3, 2044), (6822, 3, 2043), (6822, 3, 436)]","[4, 1]","(6822, 11, 7869)",6.63501,1,"[5.976814, 5.857397]",5.9171057
3,1.5,"[(7365, 3, 6), (7365, 3, 279), (7365, 3, 2226)]","[1, 2]","(7365, 12, 6095)",7.641706,2,"[7.6763587, 7.1876574]",7.432008
3,2.5,"[(5110, 2, 788), (5110, 3, 5115), (5110, 3, 2040)]","[2, 3]","(5110, 11, 6729)",6.395771,2,"[5.968827, 5.633089]",5.8009577
3,1.0,"[(7655, 3, 479), (7655, 3, 476), (7655, 3, 10)]","[1, 1]","(7655, 11, 8038)",6.992312,1,"[7.011711, 6.586252]",6.7989817
3,1.5,"[(6812, 3, 6815), (6812, 3, 6818), (6812, 3, 294)]","[2, 1]","(6812, 12, 13960)",7.1088166,1,"[6.945797, 6.8114862]",6.8786416
3,1.5,"[(5218, 2, 2083), (5218, 3, 2085), (5218, 3, 3675)]","[1, 2]","(5218, 9, 11980)",6.9315023,1,"[6.3124533, 5.5541916]",5.9333224
3,1.0,"[(7236, 2, 1188), (7236, 3, 418), (7236, 3, 40)]","[1, 1]","(7236, 9, 7903)",8.511835,1,"[7.674487, 8.311847]",7.993167
3,1.0,"[(5756, 3, 6), (5756, 4, 924), (5756, 3, 5760)]","[1, 1]","(5756, 11, 7869)",6.1215763,2,"[6.5262203, 6.404466]",6.4653435
3,1.0,"[(6419, 3, 1823), (6419, 3, 756), (6419, 3, 506)]","[1, 1]","(6419, 9, 7991)",7.2348595,1,"[7.238002, 7.53207]",7.385036
3,1.0,"[(6323, 3, 2638), (6323, 3, 111), (6323, 2, 70)]","[1, 1]","(6323, 9, 8418)",9.2064905,1,"[9.397129, 8.990321]",9.193726
3,1.0,"[(6885, 2, 1166), (6885, 3, 516), (6885, 3, 1842)]","[1, 1]","(6885, 9, 1470)",9.047374,1,"[7.6231127, 7.9878273]",7.80547
3,1.0,"[(5770, 2, 789), (5770, 3, 75), (5770, 1, 65)]","[1, 1]","(5770, 9, 1470)",9.176466,1,"[8.772556, 9.304065]",9.038311
3,1.0,"[(5575, 3, 651), (5575, 2, 68), (5575, 2, 30)]","[1, 1]","(5575, 11, 8038)",6.8954225,1,"[6.3157725, 5.887087]",6.10143
3,1.0,"[(5067, 3, 9), (5067, 3, 10), (5067, 3, 39)]","[1, 1]","(5067, 11, 7992)",5.6155605,1,"[5.683035, 6.007444]",5.8452396
3,2.0,"[(5645, 2, 2083), (5645, 2, 2082), (5645, 3, 2085)]","[1, 3]","(5645, 9, 11980)",6.96239,2,"[6.1119585, 5.814787]",5.9633727
3,3.5,"[(7628, 3, 279), (7628, 3, 149), (7628, 3, 88)]","[5, 2]","(7628, 12, 4492)",8.398114,2,"[6.882285, 7.574892]",7.2285886
3,1.5,"[(5844, 3, 37), (5844, 3, 666), (5844, 3, 185)]","[1, 2]","(5844, 11, 8038)",6.3391323,1,"[6.1667433, 5.1926537]",5.6796985
3,2.0,"[(6213, 3, 1839), (6213, 3, 1321), (6213, 3, 651)]","[2, 2]","(6213, 11, 8038)",7.5643873,2,"[7.5908365, 7.0492344]",7.3200355
3,1.0,"[(7574, 5, 7575), (7574, 3, 1148), (7574, 3, 1149)]","[1, 1]","(7574, 12, 8644)",8.558601,1,"[7.611601, 7.934808]",7.7732043
3,1.0,"[(6246, 4, 66), (6246, 3, 6), (6246, 3, 40)]","[1, 1]","(6246, 11, 7984)",5.7324796,3,"[5.9843044, 5.9273863]",5.9558454
3,3.0,"[(4978, 3, 870), (4978, 4, 924), (4978, 3, 93)]","[3, 3]","(4978, 11, 6729)",6.7241745,1,"[5.93917, 5.8761272]",5.9076486
3,2.0,"[(6327, 3, 279), (6327, 3, 220), (6327, 3, 7)]","[1, 3]","(6327, 12, 8676)",7.3364105,2,"[7.64925, 6.472299]",7.060775
3,2.5,"[(7177, 3, 84), (7177, 3, 79), (7177, 3, 7180)]","[4, 1]","(7177, 12, 9510)",6.4412184,2,"[6.647673, 6.9467316]",6.797202
3,1.0,"[(7154, 2, 69), (7154, 1, 65), (7154, 3, 73)]","[1, 1]","(7154, 9, 8418)",9.283322,1,"[9.069376, 8.374783]",8.722079
3,1.0,"[(6219, 3, 2558), (6219, 3, 78), (6219, 3, 75)]","[1, 1]","(6219, 9, 7790)",9.5396805,1,"[10.021513, 9.658739]",9.840126
3,1.0,"[(6105, 3, 506), (6105, 2, 728), (6105, 1, 65)]","[1, 1]","(6105, 9, 8339)",8.565611,1,"[7.591172, 8.15041]",7.870791
3,2.5,"[(5334, 3, 149), (5334, 3, 4514), (5334, 1, 264)]","[1, 4]","(5334, 11, 6729)",6.271142,1,"[5.7917824, 5.592699]",5.6922407
3,1.0,"[(6812, 3, 7), (6812, 3, 10), (6812, 2, 30)]","[1, 1]","(6812, 11, 7869)",6.495025,1,"[6.633136, 6.650426]",6.641781
3,1.5,"[(5696, 3, 10), (5696, 3, 78), (5696, 3, 20)]","[2, 1]","(5696, 11, 7984)",6.2951746,1,"[5.9881577, 6.079238]",6.033698
3,1.0,"[(5380, 3, 37), (5380, 3, 476), (5380, 3, 220)]","[1, 1]","(5380, 11, 8038)",6.7899523,1,"[6.8036265, 6.896272]",6.8499494
3,1.0,"[(6848, 3, 629), (6848, 2, 2083), (6848, 2, 2082)]","[1, 1]","(6848, 9, 11980)",8.735666,1,"[7.0804844, 7.3022265]",7.1913557
3,2.5,"[(7933, 3, 94), (7933, 3, 1335), (7933, 3, 41)]","[3, 2]","(7933, 12, 8340)",9.299835,1,"[7.8876443, 7.519761]",7.703703
3,1.0,"[(6914, 3, 33), (6914, 3, 36), (6914, 2, 29)]","[1, 1]","(6914, 9, 7790)",9.0881,1,"[8.125529, 8.474584]",8.300056
3,4.0,"[(6633, 3, 1529), (6633, 3, 914), (6633, 3, 1855)]","[3, 5]","(6633, 12, 8569)",6.3372664,4,"[6.0247326, 5.5586247]",5.7916784
