#facts,original_rank,prediction,new_score,new_scores,new_rank,facts,original_score,new_ranks
3,1,"(45, 1, 44)",8.946034,"[8.649284, 9.2427845]",3.0,"[(45, 1, 18368), (45, 1, 5282), (45, 1, 5907)]",8.879241,"[4, 2]"
3,1,"(4050, 1, 5908)",1.0932808,"[1.4328334, 0.75372803]",431.0,"[(5908, 1, 4050), (36580, 0, 4050), (4050, 9, 8687)]",10.466581,"[220, 642]"
3,1,"(496, 1, 32512)",0.23037605,"[0.7896434, -0.3288913]",15301.0,"[(496, 1, 16168), (496, 1, 497), (32512, 1, 496)]",9.354602,"[2880, 27722]"
3,1,"(9372, 1, 1508)",6.301103,"[6.6129427, 5.9892635]",2.0,"[(9372, 1, 3795), (1508, 1, 9372), (9372, 5, 3293)]",9.9936285,"[2, 2]"
3,1,"(11686, 1, 5336)",7.1462703,"[7.2424994, 7.050041]",3.0,"[(11686, 1, 26261), (11686, 1, 3393), (5336, 1, 11686)]",9.1733055,"[3, 3]"
3,1,"(2869, 1, 15125)",1.5415274,"[1.2268777, 1.8561771]",85.0,"[(2869, 1, 22777), (2869, 1, 2868), (15125, 1, 2869)]",8.738957,"[133, 37]"
2,1,"(36078, 1, 7833)",-4.8068604,"[-5.674379, -3.939342]",26045.0,"[(7833, 1, 36078), (36078, 0, 28742)]",10.850468,"[33995, 18095]"
3,1,"(4359, 1, 29197)",1.2724733,"[1.5850096, 0.95993704]",224.5,"[(4359, 1, 17493), (29197, 1, 4359), (21993, 1, 4359)]",8.654919,"[170, 279]"
3,1,"(26984, 1, 38840)",-1.3949745,"[-2.1351063, -0.6548426]",25242.0,"[(26984, 1, 26983), (38840, 1, 26984), (26984, 1, 24328)]",9.220281,"[37809, 12675]"
3,1,"(14768, 6, 24252)",-1.2955092,"[-2.450387, -0.14063144]",20547.5,"[(14768, 0, 21985), (15788, 6, 14768), (14768, 6, 14769)]",7.281294,"[36982, 4113]"
3,1,"(2035, 1, 8589)",9.081205,"[9.308316, 8.8540945]",2.5,"[(2035, 1, 3839), (2035, 1, 23638), (2035, 1, 1012)]",8.747489,"[2, 3]"
3,1,"(16865, 1, 8774)",-4.1831346,"[-5.346717, -3.0195522]",22292.5,"[(8774, 1, 16865), (16865, 0, 8663), (16865, 5, 212)]",10.44133,"[32624, 11961]"
2,1,"(26185, 1, 15249)",-7.996587,"[-7.4697485, -8.523425]",36663.0,"[(15249, 1, 26185), (26185, 0, 17196)]",11.001265,"[38629, 34697]"
3,1,"(7708, 1, 7707)",-3.4232554,"[-3.5307527, -3.3157582]",17764.5,"[(7707, 1, 7708), (7708, 1, 9498), (9498, 1, 7708)]",8.797766,"[21616, 13913]"
2,1,"(37429, 1, 32885)",-6.034954,"[-4.9613185, -7.10859]",31216.5,"[(32885, 1, 37429), (37429, 0, 300)]",10.5282135,"[30841, 31592]"
3,1,"(5826, 1, 10722)",-0.11632748,"[-0.5948949, 0.36223993]",3710.5,"[(10722, 1, 5826), (5826, 1, 3775), (3775, 1, 5826)]",9.052063,"[6670, 751]"
3,1,"(20692, 1, 21524)",2.9926157,"[3.1014943, 2.8837373]",29.0,"[(21524, 1, 20692), (12703, 0, 20692), (20692, 0, 7755)]",9.7515745,"[27, 31]"
