new_scores,facts,new_ranks,prediction,new_score,new_rank,original_score,original_rank,#facts
"[2.584210960776545e-05, 6.100850077928044e-05]","[(1347, 1, 8776), (8776, 1, 8777), (15424, 0, 8776)]","[22196, 9887]","(8776, 1, 1347)",4.3425305193522945e-05,16041.5,0.7884548306465149,1,3
"[5.16265063197352e-05, 4.58114554930944e-05]","[(1864, 4, 39499)]","[558, 678]","(39499, 0, 292)",4.87189809064148e-05,618.0,0.6023808717727661,1,1
"[6.267916614888236e-05, 0.0007051340071484447]","[(193, 6, 28640), (28640, 6, 4498), (28640, 6, 7593)]","[361, 30]","(28640, 2, 741)",0.0003839065866486635,195.5,0.6571306586265564,1,3
"[1.4236693459679373e-05, 1.387996871926589e-05]","[(14753, 1, 34777), (34777, 0, 11327)]","[2959, 11877]","(34777, 1, 14753)",1.4058331089472631e-05,7418.0,0.9449015259742737,1,2
"[0.0007076531182974577, 0.00044994440395385027]","[(26770, 0, 7635), (26770, 6, 26771)]","[74, 93]","(26770, 5, 6829)",0.000578798761125654,83.5,0.45097658038139343,1,2
"[0.9683788418769836, 0.8094443678855896]","[(11565, 1, 17450), (11565, 1, 8276), (11565, 1, 13729)]","[4, 3]","(11565, 1, 12441)",0.8889116048812866,3.5,0.9488105773925781,1,3
"[0.001407614559866488, 0.0004408167442306876]","[(903, 0, 904), (903, 1, 34444), (34444, 1, 903)]","[31, 97]","(903, 5, 5742)",0.0009242156520485878,64.0,0.4814486503601074,1,3
"[0.00976551603525877, 0.01684107631444931]","[(19739, 1, 14612), (14612, 1, 14613), (14613, 1, 14612)]","[5, 3]","(14612, 1, 19739)",0.01330329617485404,4.0,0.8138606548309326,1,3
"[3.3166677440021886e-06, 5.0936373554577585e-06]","[(36079, 1, 24146), (24146, 1, 12197)]","[34469, 36324]","(24146, 1, 36079)",4.2051525497299735e-06,35396.5,0.8771597146987915,1,2
"[5.091303319204599e-05, 4.4447802793001756e-05]","[(1864, 4, 31393)]","[582, 754]","(31393, 0, 292)",4.768041799252387e-05,668.0,0.512271523475647,1,1
