new_ranks,prediction,new_rank,new_scores,new_score,#facts,facts,original_score,original_rank
"[1, 1]","(11375, 120, 791)",1.0,"[3.466698, 2.4484391]",2.9575686,3,"[(12925, 111, 11375), (3554, 15, 11375), (12145, 111, 11375)]",8.543635,1
"[1, 1]","(1716, 25, 62)",1.0,"[3.6547189, 2.1728482]",2.9137836,3,"[(831, 20, 1716), (354, 20, 1716), (7160, 20, 1716)]",9.869648,1
"[1, 2]","(9418, 66, 592)",1.5,"[0.31896415, 0.5826193]",0.45079172,3,"[(9418, 48, 32), (9418, 6, 7398), (9418, 6, 4971)]",5.6099863,6
"[5, 3]","(3027, 106, 1652)",4.0,"[0.24539654, 0.2920106]",0.26870358,3,"[(3027, 26, 990), (3027, 31, 136), (3027, 13, 816)]",5.009362,30
"[4, 3]","(12150, 154, 2438)",3.5,"[4.457138, 6.167368]",5.312253,3,"[(32, 87, 12150), (12150, 120, 791), (7285, 58, 12150)]",8.832844,1
"[1, 1]","(3683, 172, 1978)",1.0,"[0.58567494, 0.66076815]",0.6232215,3,"[(1566, 89, 3683), (3683, 101, 1650), (1330, 89, 3683)]",3.1848176,1
"[2, 4]","(688, 35, 3840)",3.0,"[0.49613932, 0.49617276]",0.49615604,3,"[(688, 64, 6448), (857, 64, 688), (3282, 64, 688)]",2.8549852,2
"[2, 1]","(5017, 14, 160)",1.5,"[0.21532959, 0.27742353]",0.24637656,3,"[(5017, 26, 64), (5017, 31, 1314), (2694, 6, 5017)]",5.5344553,4
"[24, 2]","(9148, 74, 1769)",13.0,"[0.6668534, 0.30884898]",0.4878512,3,"[(9148, 90, 1793), (8300, 2, 9148), (7699, 32, 9148)]",3.6906297,21
"[1, 2]","(10459, 26, 1098)",1.5,"[0.42760545, 0.2558477]",0.34172657,3,"[(371, 7, 10459), (10459, 74, 524), (10459, 116, 1995)]",3.8340824,2
"[1, 1]","(6847, 25, 62)",1.0,"[2.3735046, 2.1631036]",2.268304,3,"[(6847, 22, 3807), (6847, 22, 9544), (6847, 61, 224)]",9.888962,1
"[1, 1]","(6298, 25, 62)",1.0,"[1.2059166, 1.1428022]",1.1743594,3,"[(6298, 119, 3815), (3814, 76, 6298), (6298, 164, 1267)]",8.882477,1
"[1, 1]","(5672, 26, 64)",1.0,"[0.22708187, 0.46430647]",0.34569418,3,"[(5672, 12, 10115), (5672, 26, 2948), (4974, 6, 5672)]",3.2678545,1
"[1, 1]","(11754, 85, 434)",1.0,"[1.4137056, 0.3296166]",0.87166107,3,"[(11754, 202, 2904), (11754, 66, 592), (11754, 17, 871)]",5.255939,1
"[2, 2]","(2145, 43, 141)",2.0,"[0.48834783, 0.49520525]",0.49177653,3,"[(2145, 8, 3454), (3453, 3, 2145), (2145, 8, 8044)]",11.156679,2
"[1, 1]","(3120, 148, 3021)",1.0,"[0.8811952, 0.6796815]",0.7804383,3,"[(5293, 160, 3120), (3120, 122, 6655), (5293, 66, 3120)]",3.7750387,1
"[1, 1]","(9475, 25, 62)",1.0,"[1.0722492, 0.9652434]",1.0187463,3,"[(138, 92, 9475), (4669, 20, 9475), (10008, 20, 9475)]",11.078495,1
"[1, 1]","(5649, 48, 32)",1.0,"[0.23063634, 0.3090536]",0.26984498,3,"[(4144, 77, 5649), (5649, 8, 7550), (5649, 8, 1662)]",5.5329022,1
"[1, 1]","(13632, 25, 62)",1.0,"[6.609252, 5.865366]",6.237309,3,"[(13632, 199, 9277), (13632, 83, 9277), (13632, 46, 9740)]",12.986469,1
"[1, 1]","(11272, 25, 62)",1.0,"[3.1935282, 4.6156693]",3.9045987,3,"[(11272, 101, 2371), (4896, 15, 11272), (11272, 101, 11875)]",9.799974,1
"[1, 1]","(8386, 85, 434)",1.0,"[1.0235623, 1.0979296]",1.060746,3,"[(8386, 38, 753), (8386, 19, 1126), (8386, 6, 753)]",5.5377464,1
