original_score,#facts,prediction,new_score,facts,new_scores,new_rank,new_ranks,original_rank
4.0142155,3,"(7125, 11, 8038)",3.3953815,"[(7125, 3, 39), (7125, 3, 220), (7125, 2, 31)]","[2.9155972, 3.8751655]",2.0,"[1, 3]",12
4.188182,3,"(6853, 10, 7830)",3.1007905,"[(6853, 3, 6867), (6853, 3, 695), (6853, 3, 780)]","[3.1579475, 3.0436335]",1.0,"[1, 1]",5
5.118734,3,"(4799, 8, 7566)",2.532189,"[(4799, 3, 4812), (4799, 3, 1595), (4799, 3, 4809)]","[2.507166, 2.557212]",5.0,"[7, 3]",2
2.9513865,3,"(6323, 10, 7830)",2.999566,"[(6323, 3, 1878), (6323, 2, 70), (6323, 3, 706)]","[2.9947796, 3.0043523]",1.0,"[1, 1]",5
4.6576195,3,"(6320, 8, 7410)",2.2310839,"[(6320, 3, 40), (6320, 3, 1477), (6320, 2, 28)]","[2.1335487, 2.3286192]",1.0,"[1, 1]",4
3.5308044,3,"(7080, 11, 7956)",2.9135318,"[(7080, 2, 30), (7080, 3, 7089), (7080, 3, 1259)]","[2.319041, 3.5080228]",1.0,"[1, 1]",4
5.064227,3,"(4870, 8, 7566)",2.3380966,"[(4870, 3, 1101), (4870, 3, 892), (4870, 3, 1074)]","[2.3442628, 2.3319306]",2.5,"[3, 2]",2
3.551628,3,"(5533, 11, 7956)",2.9049835,"[(5533, 3, 663), (5533, 3, 5541), (5533, 3, 352)]","[2.2716455, 3.5383215]",1.0,"[1, 1]",2
4.149314,3,"(6602, 10, 7830)",3.1485753,"[(6602, 3, 40), (6602, 1, 65), (6602, 3, 772)]","[3.2278411, 3.0693097]",1.0,"[1, 1]",5
3.4054344,3,"(7499, 11, 7956)",3.090146,"[(7499, 4, 485), (7499, 3, 279), (7499, 3, 7509)]","[2.7125666, 3.4677253]",1.0,"[1, 1]",4
5.182078,3,"(5305, 8, 7410)",2.4488833,"[(5305, 3, 772), (5305, 2, 30), (5305, 3, 6)]","[2.3262, 2.5715666]",1.0,"[1, 1]",3
4.9720592,3,"(6766, 8, 7410)",2.3378959,"[(6766, 3, 1417), (6766, 3, 476), (6766, 2, 30)]","[2.2257712, 2.4500206]",1.0,"[1, 1]",4
5.244982,3,"(6730, 8, 7408)",2.7790635,"[(6730, 2, 309), (6730, 2, 31), (6730, 3, 6738)]","[2.743637, 2.8144898]",4.0,"[3, 5]",1
5.207631,3,"(6162, 8, 7427)",2.424009,"[(6162, 2, 2011), (6162, 3, 2770), (6162, 3, 1517)]","[2.4446917, 2.4033265]",2.5,"[2, 3]",6
2.8666697,3,"(7536, 12, 4492)",4.2589316,"[(7536, 2, 68), (7536, 8, 7393), (7536, 3, 1839)]","[4.9380465, 3.5798168]",2.0,"[2, 2]",5
4.879652,3,"(5041, 8, 7427)",2.269835,"[(5041, 3, 370), (5041, 2, 312), (5041, 3, 5050)]","[2.2150867, 2.3245833]",3.0,"[3, 3]",11
3.2896733,3,"(6822, 11, 7869)",3.0615728,"[(6822, 3, 9), (6822, 3, 10), (6822, 2, 728)]","[2.511088, 3.6120577]",1.5,"[1, 2]",2
3.0966597,3,"(7769, 11, 7956)",2.8907537,"[(7769, 2, 68), (7769, 3, 39), (7769, 8, 7409)]","[2.2446759, 3.5368314]",1.0,"[1, 1]",3
3.213222,3,"(7469, 11, 7956)",2.993684,"[(7469, 3, 368), (7469, 3, 325), (7469, 4, 169)]","[2.4598708, 3.5274973]",1.0,"[1, 1]",5
4.852529,3,"(5110, 8, 7410)",2.3670676,"[(5110, 3, 5114), (5110, 1, 65), (5110, 3, 5113)]","[2.2960527, 2.4380825]",1.0,"[1, 1]",3
3.4640522,3,"(6766, 10, 7830)",3.119824,"[(6766, 3, 78), (6766, 5, 6767), (6766, 1, 65)]","[3.0519526, 3.1876955]",1.0,"[1, 1]",5
3.4227931,3,"(7838, 11, 7956)",2.8453112,"[(7838, 3, 1005), (7838, 2, 68), (7838, 3, 1492)]","[2.2702546, 3.420368]",1.0,"[1, 1]",2
4.1098666,3,"(5770, 10, 7830)",3.0817049,"[(5770, 2, 789), (5770, 3, 5775), (5770, 3, 7)]","[3.0840983, 3.0793114]",1.0,"[1, 1]",5
2.871933,3,"(7236, 9, 7903)",3.7161598,"[(7236, 3, 748), (7236, 3, 220), (7236, 3, 40)]","[3.65832, 3.7739995]",5.0,"[4, 6]",9
3.3415859,3,"(5920, 11, 7956)",2.8548985,"[(5920, 3, 5925), (5920, 3, 74), (5920, 3, 532)]","[2.256753, 3.4530437]",1.0,"[1, 1]",3
5.1737347,3,"(6492, 8, 7429)",2.3280628,"[(6492, 3, 3448), (6492, 2, 68), (6492, 3, 41)]","[2.2247605, 2.431365]",1.0,"[1, 1]",1
3.1339943,3,"(6300, 11, 7869)",3.192349,"[(6300, 1, 168), (6300, 2, 68), (6300, 3, 6304)]","[2.6787946, 3.7059035]",1.5,"[1, 2]",2
3.9591098,3,"(5067, 11, 7956)",3.025023,"[(5067, 3, 40), (5067, 3, 4064), (5067, 3, 5070)]","[2.4785492, 3.571497]",1.0,"[1, 1]",2
5.775256,3,"(5781, 8, 7410)",2.4288225,"[(5781, 3, 434), (5781, 3, 41), (5781, 3, 2977)]","[2.3468802, 2.510765]",1.0,"[1, 1]",3
5.1319237,3,"(4870, 8, 7408)",2.362411,"[(4870, 3, 88), (4870, 3, 1074), (4870, 2, 888)]","[2.3077729, 2.4170494]",3.0,"[3, 3]",2
4.1042304,3,"(6373, 10, 7830)",3.1824694,"[(6373, 2, 4244), (6373, 3, 166), (6373, 3, 6377)]","[3.0841222, 3.2808166]",1.0,"[1, 1]",5
3.9894578,3,"(5107, 11, 7869)",3.2738068,"[(5107, 3, 1061), (5107, 3, 6), (5107, 3, 506)]","[2.7343807, 3.813233]",1.5,"[1, 2]",4
2.7237372,3,"(7628, 12, 4492)",4.1256366,"[(7628, 3, 38), (7628, 3, 40), (7628, 3, 20)]","[4.797128, 3.454145]",1.0,"[1, 1]",3
2.8545017,3,"(7201, 10, 7830)",3.03207,"[(7201, 3, 2279), (7201, 3, 7203), (7201, 3, 7212)]","[3.0449219, 3.019218]",1.0,"[1, 1]",4
2.8960073,3,"(6983, 11, 7956)",2.8233385,"[(6983, 3, 1289), (6983, 2, 31), (6983, 3, 2751)]","[2.2199175, 3.4267597]",1.0,"[1, 1]",2
4.1423807,3,"(5558, 11, 7956)",3.2795415,"[(5558, 2, 2083), (5558, 3, 5561), (5558, 3, 9)]","[2.6823218, 3.8767614]",1.0,"[1, 1]",5
5.1274643,3,"(4870, 8, 7410)",2.2658088,"[(4870, 2, 30), (4870, 2, 888), (4870, 3, 20)]","[2.2297845, 2.3018332]",1.5,"[1, 2]",2
3.7088525,3,"(5073, 11, 7956)",2.9552355,"[(5073, 3, 5076), (5073, 3, 176), (5073, 3, 6)]","[2.331091, 3.5793803]",1.0,"[1, 1]",5
4.007418,3,"(7125, 10, 7830)",3.3187966,"[(7125, 3, 479), (7125, 3, 219), (7125, 3, 0)]","[3.4751325, 3.1624606]",1.0,"[1, 1]",5
3.974818,3,"(5269, 10, 7830)",3.1086082,"[(5269, 3, 46), (5269, 2, 266), (5269, 4, 66)]","[3.1947136, 3.0225027]",1.0,"[1, 1]",5
2.8969355,3,"(6383, 10, 7830)",3.0307832,"[(6383, 3, 3058), (6383, 2, 68), (6383, 3, 56)]","[3.042101, 3.0194652]",1.0,"[1, 1]",4
2.6694508,3,"(5380, 10, 7830)",3.0419214,"[(5380, 3, 476), (5380, 3, 6), (5380, 2, 172)]","[3.0435784, 3.0402644]",1.0,"[1, 1]",2
4.018502,3,"(5620, 8, 7410)",2.2667632,"[(5620, 3, 39), (5620, 3, 277), (5620, 1, 1054)]","[2.2251487, 2.3083775]",1.0,"[1, 1]",1
3.5179758,3,"(6812, 11, 7869)",3.3168082,"[(6812, 3, 519), (6812, 3, 694), (6812, 3, 294)]","[2.8759189, 3.7576973]",1.5,"[1, 2]",3
4.404839,3,"(6115, 8, 7566)",2.3862255,"[(6115, 3, 6129), (6115, 3, 6126), (6115, 3, 6123)]","[2.3108358, 2.461615]",5.0,"[6, 4]",1
5.8348927,3,"(4952, 8, 7410)",2.2982216,"[(4952, 3, 4957), (4952, 3, 4955), (4952, 1, 941)]","[2.1693492, 2.427094]",1.0,"[1, 1]",2
3.447898,3,"(6966, 10, 8697)",4.825907,"[(6966, 2, 68), (6966, 3, 891), (6966, 3, 7)]","[4.597562, 5.0542526]",1.0,"[1, 1]",4
4.3664303,3,"(5279, 8, 7429)",2.3944547,"[(5279, 4, 66), (5279, 3, 6), (5279, 3, 3553)]","[2.3954515, 2.393458]",1.5,"[2, 1]",1
4.519601,3,"(6619, 8, 7410)",2.2819123,"[(6619, 2, 172), (6619, 3, 6626), (6619, 2, 132)]","[2.2130601, 2.3507643]",1.0,"[1, 1]",3
3.2503138,3,"(5498, 10, 7830)",3.0217042,"[(5498, 3, 731), (5498, 3, 914), (5498, 3, 2366)]","[2.9895506, 3.0538578]",1.0,"[1, 1]",5
3.338922,3,"(5586, 12, 4492)",4.2112465,"[(5586, 3, 88), (5586, 3, 2417), (5586, 1, 65)]","[4.9412932, 3.4811995]",2.5,"[3, 2]",2
5.230544,3,"(7335, 8, 7429)",2.3159392,"[(7335, 3, 7346), (7335, 3, 6183), (7335, 2, 31)]","[2.2686057, 2.3632727]",1.0,"[1, 1]",7
3.5500622,3,"(5645, 10, 7830)",3.0710135,"[(5645, 3, 1200), (5645, 2, 30), (5645, 1, 65)]","[3.1076488, 3.0343778]",1.0,"[1, 1]",5
5.7202277,3,"(7058, 8, 7566)",2.5093975,"[(7058, 2, 68), (7058, 3, 10), (7058, 3, 1242)]","[2.460518, 2.558277]",5.5,"[8, 3]",1
3.5952108,3,"(6914, 11, 7869)",3.1141496,"[(6914, 3, 35), (6914, 3, 55), (6914, 3, 38)]","[2.4680135, 3.7602856]",1.5,"[1, 2]",3
5.323513,3,"(6492, 8, 7410)",2.3012624,"[(6492, 3, 733), (6492, 3, 2706), (6492, 3, 40)]","[2.1718488, 2.4306762]",1.0,"[1, 1]",4
3.5309901,3,"(6587, 9, 8151)",3.6407802,"[(6587, 3, 78), (6587, 2, 31), (6587, 3, 5524)]","[3.7107725, 3.570788]",2.0,"[2, 2]",36
3.39451,3,"(5717, 10, 7830)",3.027018,"[(5717, 3, 78), (5717, 3, 192), (5717, 3, 9)]","[3.0217824, 3.032254]",1.0,"[1, 1]",5
4.6961765,3,"(5498, 8, 7429)",2.2443562,"[(5498, 3, 75), (5498, 3, 78), (5498, 2, 30)]","[2.1713624, 2.3173497]",1.5,"[2, 1]",1
