prediction,#facts,new_score,original_score,new_scores,new_rank,original_rank,new_ranks,facts
"(9620, 0, 3716)",3,0.8688656,1.701146,"[0.80209005, 0.9356412]",6.5,1,"[1, 12]","[(21261, 1, 9620), (12662, 1, 9620), (9620, 1, 12662)]"
"(21026, 0, 306)",3,2.125535,2.045721,"[2.1339743, 2.117096]",367.5,1,"[432, 303]","[(21026, 1, 9857), (39981, 6, 21026), (21026, 6, 305)]"
"(23212, 0, 2918)",3,1.5841832,1.6729352,"[1.5379441, 1.6304224]",2.0,1,"[3, 1]","[(23212, 1, 13209), (1123, 0, 23212), (23212, 9, 1122)]"
"(35194, 0, 1027)",2,4.9886885,1.6250241,"[4.997344, 4.9800334]",13770.5,1,"[27494, 47]","[(35194, 4, 14146), (35194, 4, 35195)]"
"(22017, 0, 883)",1,4.716058,0.9429634,"[4.517577, 4.914539]",135.0,1,"[163, 107]","[(22016, 4, 22017)]"
"(40030, 0, 184)",1,5.0230265,1.5084891,"[5.1227674, 4.9232855]",674.0,1,"[563, 785]","[(1038, 4, 40030)]"
"(14768, 6, 24252)",3,5.674685,2.3381553,"[5.325892, 6.023478]",788.0,1,"[1200, 376]","[(14768, 6, 14769), (14768, 0, 21985), (15788, 6, 14768)]"
"(7324, 2, 12273)",3,1.1365387,0.8107544,"[1.1132101, 1.1598673]",1.0,1,"[1, 1]","[(3408, 6, 7324), (7324, 6, 15701), (7324, 6, 26524)]"
"(31393, 0, 292)",1,5.4288855,1.4777615,"[5.9517655, 4.9060054]",7504.0,1,"[14975, 33]","[(1864, 4, 31393)]"
"(3395, 0, 184)",2,5.0549593,1.168735,"[5.1386495, 4.9712687]",4701.5,1,"[6032, 3371]","[(1038, 4, 3395), (3395, 4, 3396)]"
"(78, 5, 172)",1,4.9331026,2.3237505,"[4.9747844, 4.8914213]",21.0,1,"[40, 2]","[(78, 0, 79)]"
"(16074, 0, 18268)",2,4.7448454,1.1613934,"[5.0026407, 4.48705]",2293.5,1,"[469, 4118]","[(18847, 6, 16074), (16074, 5, 10754)]"
"(34189, 2, 916)",2,4.894497,0.55414593,"[5.1308684, 4.6581254]",78.5,1,"[145, 12]","[(34189, 2, 121), (1914, 6, 34189)]"
"(3034, 2, 1137)",2,5.145851,1.4543347,"[5.17271, 5.118993]",1.0,1,"[1, 1]","[(3034, 5, 774), (3033, 8, 3034)]"
"(33413, 0, 292)",1,5.2919607,2.947596,"[5.285897, 5.298025]",9039.0,1,"[12057, 6021]","[(33413, 4, 27450)]"
"(22133, 0, 1730)",3,1.4593635,0.86834943,"[1.0277985, 1.8909283]",1.5,1,"[2, 1]","[(22133, 4, 36654), (22133, 4, 37093), (10222, 4, 22133)]"
"(21811, 0, 278)",1,5.271759,1.2848617,"[5.2613907, 5.282128]",2515.0,1,"[406, 4624]","[(21810, 4, 21811)]"
"(39206, 0, 12650)",1,5.233029,0.7448149,"[5.006551, 5.459507]",344.5,1,"[393, 296]","[(11149, 6, 39206)]"
"(37417, 5, 774)",1,5.751273,2.0156152,"[5.9398184, 5.562728]",194.0,1,"[33, 355]","[(37417, 2, 1137)]"
"(829, 0, 1677)",3,1.7620502,1.4397378,"[1.8457824, 1.6783178]",16.5,1,"[24, 9]","[(1014, 1, 829), (830, 1, 829), (829, 1, 1014)]"
"(37929, 2, 121)",1,5.024474,1.7267122,"[5.79428, 4.254668]",66.5,1,"[127, 6]","[(1349, 6, 37929)]"
"(7848, 5, 914)",3,1.3077157,2.4129827,"[1.2808871, 1.3345442]",1.0,1,"[1, 1]","[(20491, 1, 7848), (7848, 0, 724), (7848, 1, 7847)]"
"(14487, 0, 1244)",2,5.184634,2.14187,"[5.331629, 5.03764]",11114.0,1,"[725, 21503]","[(4979, 4, 14487), (14487, 4, 32746)]"
"(32164, 0, 184)",2,5.1599693,0.74327976,"[5.639637, 4.6803017]",7579.5,1,"[15151, 8]","[(32164, 4, 32165), (1038, 4, 32164)]"
"(35945, 5, 914)",1,5.4808245,2.8685713,"[5.2141395, 5.7475095]",95.0,1,"[169, 21]","[(35945, 0, 5108)]"
