new_ranks,exp_length,exp,new_scores,original_rank,new_score,facts,new_rank,original_score,prediction
[31955],3,"[(4276, 1, 1347), (1347, 1, 8776), (4276, 0, 8776)]",[1.5368903405033052e-05],1,1.5368903405033052e-05,"[({(1347, 1, 8776)}, 0.8353217717767597, 'baseline'), ({(4276, 0, 8776)}, 0.003857175781862512, 'baseline')]",31955.0,0.7884548306465149,"(8776, 1, 1347)"
[2239],3,"[(2148, 0, 292), (1864, 4, 39499), (1864, 4, 2148)]",[3.0386561775230803e-05],1,3.0386561775230803e-05,"[({(1864, 4, 39499)}, 0.6736336201156528, 'baseline')]",2239.0,0.6023808717727661,"(39499, 0, 292)"
[4],5,"[(18035, 2, 741), (193, 6, 28640), (18035, 6, 4498), (28640, 6, 4498), (193, 6, 741)]",[0.020853357389569283],1,0.020853357389569283,"[({(193, 6, 28640)}, 0.7063880418691696, 'baseline'), ({(28640, 6, 4498)}, 0.1980554269177742, 'baseline')]",4.0,0.6571306586265564,"(28640, 2, 741)"
[34078],1,"[(14753, 1, 34777)]",[1.0413174095447175e-05],1,1.0413174095447175e-05,"[({(14753, 1, 34777)}, 0.9826068190621892, 'baseline')]",34078.0,0.9449015259742737,"(34777, 1, 14753)"
[73],5,"[(26770, 6, 26771), (26770, 0, 7635), (26771, 5, 6829), (24162, 0, 7635), (24162, 5, 6829)]",[0.0007374541601166129],1,0.0007374541601166129,"[({(26770, 0, 7635)}, 0.34908549141943174, 'baseline'), ({(26770, 6, 26771)}, 0.20522193183120221, 'baseline')]",73.0,0.45097658038139343,"(26770, 5, 6829)"
[15488],1,"[(12441, 1, 11565)]",[6.897013372508809e-05],1,6.897013372508809e-05,"[({(12441, 1, 11565)}, 0.09227810338088985, 'baseline')]",15488.0,0.9488105773925781,"(11565, 1, 12441)"
[9],7,"[(5211, 5, 5742), (5211, 6, 34444), (903, 0, 904), (23276, 5, 5742), (903, 1, 34444), (23276, 0, 904), (34444, 1, 903)]",[0.005719688255339861],1,0.005719688255339861,"[({(903, 1, 34444)}, -0.01187163691091322, 'baseline'), ({(903, 0, 904)}, -0.019074053529040493, 'baseline'), ({(34444, 1, 903)}, -0.10870540601100555, 'baseline')]",9.0,0.4814486503601074,"(903, 5, 5742)"
[17699],8,"[(19739, 1, 8883), (8884, 1, 8883), (14612, 1, 14613), (19739, 1, 14612), (17887, 1, 14613), (14613, 1, 14612), (14612, 1, 8884), (19739, 1, 17887)]",[2.6928901206701994e-05],1,2.6928901206701994e-05,"[({(19739, 1, 14612)}, 0.7143496728170153, 'baseline'), ({(14613, 1, 14612)}, 0.048821548921484346, 'baseline'), ({(14612, 1, 8884)}, 0.020939986153734044, 'baseline'), ({(14612, 1, 14613)}, 0.011481086654261083, 'baseline')]",17699.0,0.8138606548309326,"(14612, 1, 19739)"
[27779],1,"[(36079, 1, 24146)]",[1.851318302215077e-05],1,1.851318302215077e-05,"[({(36079, 1, 24146)}, 0.9380476969457207, 'baseline')]",27779.0,0.8771597146987915,"(24146, 1, 36079)"
[2298],3,"[(2148, 0, 292), (1864, 4, 31393), (1864, 4, 2148)]",[3.0128312573651783e-05],1,3.0128312573651783e-05,"[({(1864, 4, 31393)}, 0.048292460794302106, 'baseline')]",2298.0,0.512271523475647,"(31393, 0, 292)"
[13943],5,"[(12227, 1, 14940), (13800, 1, 12227), (13800, 1, 5927), (5927, 1, 14940), (14940, 1, 5927)]",[2.4702072551008314e-05],1,2.4702072551008314e-05,"[({(12227, 1, 14940)}, 0.36045036870995967, 'baseline'), ({(5927, 1, 14940)}, 0.026883224922800843, 'baseline'), ({(14940, 1, 5927)}, -0.026874144611402823, 'baseline')]",13943.0,0.8385334610939026,"(14940, 1, 12227)"
[24204],5,"[(9188, 1, 30805), (9188, 1, 2949), (2949, 1, 9188), (8019, 1, 2949), (30805, 1, 8019)]",[3.150250995531678e-05],1,3.150250995531678e-05,"[({(8019, 1, 2949)}, 0.5742899613385365, 'baseline'), ({(9188, 1, 2949)}, 0.052514950752382675, 'baseline'), ({(2949, 1, 9188)}, 0.006195108382389739, 'baseline')]",24204.0,0.8824633359909058,"(2949, 1, 8019)"
[9430],9,"[(15171, 1, 31425), (15730, 1, 15171), (15729, 1, 16455), (15730, 1, 15729), (15171, 1, 16455), (15171, 1, 12999), (15729, 1, 15730), (16455, 1, 15729), (15729, 1, 31425)]",[3.0509732823702507e-05],1,3.0509732823702507e-05,"[({(15729, 1, 31425)}, 0.31902484228410066, 'baseline'), ({(15729, 1, 15730)}, 0.2574143518093881, 'baseline'), ({(15729, 1, 16455)}, 0.21521058254417796, 'baseline'), ({(16455, 1, 15729)}, 0.14421651809757893, 'baseline'), ({(15730, 1, 15729)}, 0.08023024632928534, 'baseline')]",9430.0,0.19728238880634308,"(15729, 1, 12999)"
[5052],1,"[(18592, 1, 20124)]",[0.00015575972793158144],1,0.00015575972793158144,"[({(18592, 1, 20124)}, 0.993439069409135, 'baseline')]",5052.0,0.9615100622177124,"(20124, 1, 18592)"
[23887],1,"[(1116, 1, 23468)]",[3.6398130760062486e-05],1,3.6398130760062486e-05,"[({(1116, 1, 23468)}, 0.6104191980275447, 'baseline')]",23887.0,0.9318868517875671,"(23468, 1, 1116)"
[640],3,"[(9535, 4, 9536), (9535, 4, 25282), (25282, 0, 265)]",[0.00023210672952700406],1,0.00023210672952700406,"[({(9535, 4, 9536)}, 0.001142538928545261, 'baseline')]",640.0,0.6587778329849243,"(9536, 0, 265)"
[29001],5,"[(13051, 1, 22014), (1419, 1, 19671), (19671, 1, 1419), (19671, 1, 13051), (22014, 1, 1419)]",[1.8738055587164126e-05],1,1.8738055587164126e-05,"[({(22014, 1, 1419)}, 0.4022821008227612, 'baseline'), ({(1419, 1, 19671)}, 0.006875435792565208, 'baseline'), ({(19671, 1, 1419)}, 0.005820910420683992, 'baseline')]",29001.0,0.8030797243118286,"(1419, 1, 22014)"
[3],9,"[(22108, 1, 20126), (2507, 3, 16476), (16476, 1, 16918), (16918, 1, 20126), (2507, 9, 6789), (22108, 1, 2507), (16918, 1, 6789), (2507, 1, 16918), (16918, 1, 16476)]",[0.13832955062389374],1,0.13832955062389374,"[({(2507, 1, 16918)}, 0.4779289191991522, 'baseline'), ({(16918, 1, 16476)}, 0.017212907742799453, 'baseline'), ({(16476, 1, 16918)}, 0.013636748287013582, 'baseline'), ({(16918, 1, 6789)}, 0.012401024779470035, 'baseline'), ({(16918, 1, 20126)}, 0.007419804984429249, 'baseline'), ({(16919, 1, 16918)}, 0.006802658485205, 'baseline'), ({(16918, 0, 2256)}, 0.004397372652914212, 'baseline'), ({(16918, 1, 16919)}, 0.0029961270454762984, 'baseline'), ({(6789, 1, 16918)}, -0.0007701711996499208, 'baseline')]",3.0,0.9153757691383362,"(16918, 1, 2507)"
[11645],1,"[(20726, 1, 12356)]",[7.008665124885738e-05],1,7.008665124885738e-05,"[({(20726, 1, 12356)}, 0.7036301349176126, 'baseline')]",11645.0,0.8214631676673889,"(12356, 1, 20726)"
[12175],4,"[(7056, 1, 31721), (24228, 0, 7056), (31721, 1, 7056), (24228, 1, 31721)]",[4.631768024410121e-05],1,4.631768024410121e-05,"[({(24228, 1, 31721)}, 0.7329310634691416, 'baseline'), ({(7056, 1, 31721)}, 0.02775220104411862, 'baseline'), ({(31721, 1, 7056)}, -0.09236683410579029, 'baseline')]",12175.0,0.8690681457519531,"(31721, 1, 24228)"
[27518],6,"[(20572, 1, 7983), (14618, 3, 7982), (20572, 1, 7982), (7982, 3, 14618), (7983, 3, 14618), (7982, 3, 7983)]",[5.726992185373092e-06],1,5.726992185373092e-06,"[({(20572, 1, 7982)}, 0.7352555850972842, 'baseline'), ({(7982, 3, 14618)}, 0.0005414886063706182, 'baseline'), ({(14618, 3, 7982)}, -9.485059455367645e-05, 'baseline'), ({(7982, 3, 7983)}, -0.0009193020475509297, 'baseline')]",27518.0,0.9877474308013916,"(7982, 1, 20572)"
[211],2,"[(21273, 4, 27089), (21273, 4, 25460)]",[6.262312672333792e-05],1,6.262312672333792e-05,"[({(21273, 4, 27089)}, 0.03216310496032333, 'baseline')]",211.0,0.5863993167877197,"(27089, 0, 25460)"
[14242],1,"[(39891, 1, 20097)]",[5.5423508456442505e-05],1,5.5423508456442505e-05,"[({(39891, 1, 20097)}, 0.28508720902036194, 'baseline')]",14242.0,0.9519976377487183,"(20097, 1, 39891)"
[13149],5,"[(21899, 0, 522), (21041, 1, 522), (21041, 1, 17635), (17635, 0, 522), (21899, 1, 21041)]",[4.665197047870606e-05],1,4.665197047870606e-05,"[({(21041, 1, 522)}, 0.5747261481480711, 'baseline'), ({(17635, 0, 522)}, 0.00411097237724223, 'baseline'), ({(21899, 0, 522)}, -0.004310925520346692, 'baseline')]",13149.0,0.9422932267189026,"(522, 1, 21041)"
[11717],1,"[(26855, 1, 26856)]",[4.694092785939574e-05],1,4.694092785939574e-05,"[({(26855, 1, 26856)}, 0.9593080781198754, 'baseline')]",11717.0,0.9746934175491333,"(26856, 1, 26855)"
[6790],1,"[(38175, 1, 29520)]",[7.189391908468679e-05],1,7.189391908468679e-05,"[({(38175, 1, 29520)}, 0.8267801280127453, 'baseline')]",6790.0,0.9498961567878723,"(29520, 1, 38175)"
[5087],1,"[(2643, 1, 11856)]",[0.00014401975204236805],1,0.00014401975204236805,"[({(2643, 1, 11856)}, 0.5049376317709482, 'baseline')]",5087.0,0.9860931038856506,"(11856, 1, 2643)"
[1261],1,"[(26217, 1, 6787)]",[0.0004250502388458699],1,0.0004250502388458699,"[({(26217, 1, 6787)}, 0.5831703382496151, 'baseline')]",1261.0,0.867676854133606,"(6787, 1, 26217)"
[5942],5,"[(16161, 0, 3005), (3137, 1, 3136), (3137, 0, 3005), (16161, 1, 3136), (3136, 1, 3137)]",[0.00011080182594014332],1,0.00011080182594014332,"[({(16161, 1, 3136)}, 0.6415382470324063, 'baseline'), ({(3137, 1, 3136)}, -0.03833248192085335, 'baseline'), ({(3136, 1, 3137)}, -0.10337134166018735, 'baseline')]",5942.0,0.92377108335495,"(3136, 1, 16161)"
[4],10,"[(22752, 1, 2392), (11603, 1, 7967), (25306, 1, 7967), (2392, 1, 22752), (28597, 1, 2392), (22752, 0, 7968), (22752, 1, 25306), (11603, 1, 22752), (28597, 1, 11603), (7967, 0, 7968)]",[0.021464986726641655],1,0.021464986726641655,"[({(11603, 1, 22752)}, 0.27242461938597023, 'baseline'), ({(2392, 1, 22752)}, 0.030200104169305412, 'baseline'), ({(22752, 1, 25306)}, 0.010256628442331382, 'baseline'), ({(22752, 1, 2392)}, -0.0035090046389019474, 'baseline'), ({(22752, 0, 7968)}, -0.008585830272531144, 'baseline'), ({(25306, 1, 22752)}, -0.01295181091713325, 'baseline')]",4.0,0.9543496966362,"(22752, 1, 11603)"
[316],4,"[(8742, 1, 1897), (5674, 1, 19068), (1897, 1, 5674), (19068, 1, 8742)]",[0.0017095713410526514],1,0.0017095713410526514,"[({(19068, 1, 8742)}, 0.6129601440372537, 'baseline'), ({(8742, 1, 1897)}, 0.030479173123996825, 'baseline')]",316.0,0.9776057600975037,"(8742, 1, 19068)"
[1920],5,"[(2415, 1, 20944), (2994, 1, 2993), (20944, 1, 2994), (2994, 1, 20944), (2415, 1, 2993)]",[0.0003566658706404269],1,0.0003566658706404269,"[({(2415, 1, 20944)}, 0.35504530026116815, 'baseline'), ({(2994, 1, 20944)}, 0.00036273426743560976, 'baseline'), ({(20944, 1, 2994)}, -0.006144543232713538, 'baseline')]",1920.0,0.8592720627784729,"(20944, 1, 2415)"
[2111],4,"[(15793, 1, 16624), (15794, 9, 16624), (16624, 1, 15793), (15794, 1, 15793)]",[2.442982622596901e-05],1,2.442982622596901e-05,"[({(15794, 9, 16624)}, 0.9550486109125088, 'baseline'), ({(16624, 1, 15793)}, -0.004913528486890205, 'baseline'), ({(15793, 1, 16624)}, -0.005695243440208163, 'baseline')]",2111.0,0.9656851887702942,"(16624, 9, 15794)"
[6],9,"[(2739, 1, 31654), (15587, 1, 15588), (14064, 1, 15588), (2739, 1, 27163), (15588, 1, 27163), (15587, 1, 2739), (31654, 1, 15588), (2739, 1, 14064), (15588, 1, 14064)]",[0.022926194593310356],1,0.022926194593310356,"[({(15587, 1, 15588)}, 0.12974397385803899, 'baseline'), ({(15588, 1, 27163)}, 0.024200419848009802, 'baseline'), ({(15588, 1, 14064)}, 0.01784233276637078, 'baseline'), ({(31654, 1, 15588)}, 0.013815144951124675, 'baseline'), ({(14064, 1, 15588)}, -0.009700019869169485, 'baseline'), ({(27163, 1, 15588)}, -0.01436259320417592, 'baseline'), ({(15588, 0, 3978)}, -0.01875402503274444, 'baseline'), ({(15588, 1, 31654)}, -0.02076657585499527, 'baseline')]",6.0,0.9287481307983398,"(15588, 1, 15587)"
[3530],4,"[(8754, 0, 1668), (4243, 0, 1668), (4243, 1, 4244), (4244, 1, 8754)]",[0.0002006321301450953],1,0.0002006321301450953,"[({(4244, 1, 8754)}, 0.525248331908301, 'baseline'), ({(8754, 0, 1668)}, 0.014129261451272109, 'baseline')]",3530.0,0.957123875617981,"(8754, 1, 4244)"
[375],5,"[(8885, 1, 17578), (3300, 1, 17578), (26393, 1, 3300), (8885, 1, 26393), (17578, 1, 3300)]",[0.0005746607203036547],1,0.0005746607203036547,"[({(8885, 1, 17578)}, 0.5830516057889199, 'baseline'), ({(3300, 1, 17578)}, -0.059610565212376045, 'baseline'), ({(17578, 1, 3300)}, -0.10025068087428018, 'baseline')]",375.0,0.8962762355804443,"(17578, 1, 8885)"
[1],9,"[(20016, 4, 28966), (20016, 4, 30007), (28966, 2, 121), (30007, 2, 916), (27523, 2, 121), (13030, 6, 16669), (16669, 2, 121), (13030, 6, 30007), (27523, 2, 916)]",[0.08577990531921387],1,0.08577990531921387,"[({(20016, 4, 30007)}, 0.21461867860128803, 'baseline'), ({(30007, 2, 916)}, 0.17772300103971134, 'baseline'), ({(13030, 6, 30007)}, -0.1738870635115372, 'baseline')]",1.0,0.23917707800865173,"(30007, 2, 121)"
[1845],5,"[(24115, 1, 2300), (2300, 1, 9577), (2300, 1, 24115), (18755, 1, 9577), (18755, 1, 24115)]",[0.00011386162077542394],1,0.00011386162077542394,"[({(18755, 1, 24115)}, 0.7622009976752318, 'baseline'), ({(2300, 1, 24115)}, 0.05937705468164407, 'baseline'), ({(24115, 1, 2300)}, -0.0330183105712512, 'baseline')]",1845.0,0.970401406288147,"(24115, 1, 18755)"
[10594],9,"[(814, 1, 815), (8573, 1, 815), (815, 1, 29585), (814, 1, 8574), (8573, 1, 8574), (8574, 1, 814), (8574, 1, 29585), (8574, 1, 12655), (815, 1, 12655)]",[6.168329855427146e-05],1,6.168329855427146e-05,"[({(8573, 1, 8574)}, 0.22766308068495858, 'baseline'), ({(8574, 1, 29585)}, 0.07730249598763626, 'baseline'), ({(814, 1, 8574)}, 0.02820781893862361, 'baseline'), ({(8574, 1, 12655)}, 0.01063446229005047, 'baseline'), ({(8574, 1, 814)}, 0.004039923636684697, 'baseline'), ({(12655, 1, 8574)}, -0.0014966922233100777, 'baseline')]",10594.0,0.8929891586303711,"(8574, 1, 8573)"
[12514],1,"[(29649, 1, 11590)]",[7.820740574970841e-05],1,7.820740574970841e-05,"[({(29649, 1, 11590)}, 0.42675812256286727, 'baseline')]",12514.0,0.8879063725471497,"(11590, 1, 29649)"
[12925],10,"[(15028, 1, 21701), (19324, 0, 21701), (5116, 1, 19324), (19324, 1, 16314), (15527, 1, 16314), (6422, 1, 15527), (15028, 1, 6422), (16314, 1, 15028), (5116, 1, 15028), (21701, 1, 15028)]",[3.541949263308197e-05],1,3.541949263308197e-05,"[({(16314, 1, 15028)}, 0.08962712719913797, 'baseline'), ({(15028, 1, 21701)}, 0.007387797317214265, 'baseline'), ({(5116, 1, 15028)}, -0.00304241950640644, 'baseline'), ({(21701, 1, 15028)}, -0.0043063956045273095, 'baseline'), ({(15028, 1, 6422)}, -0.007711489704066895, 'baseline'), ({(6422, 1, 15028)}, -0.009246130500837826, 'baseline')]",12925.0,0.9558466672897339,"(15028, 1, 16314)"
[28],9,"[(6572, 1, 2450), (2449, 1, 11955), (2449, 1, 6944), (2449, 1, 2450), (3377, 1, 2449), (11955, 1, 6572), (3377, 1, 6572), (6944, 1, 6572), (6572, 1, 3377)]",[0.0028362253215163946],1,0.0028362253215163946,"[({(6944, 1, 6572)}, 0.2739962150995136, 'baseline'), ({(6572, 1, 2450)}, 0.023453216026685875, 'baseline'), ({(3377, 1, 6572)}, -0.007607122011981854, 'baseline'), ({(6572, 1, 3377)}, -0.013204296161788379, 'baseline'), ({(11955, 1, 6572)}, -0.016502280747165338, 'baseline'), ({(6572, 1, 11955)}, -0.01746829323953963, 'baseline')]",28.0,0.8736011981964111,"(6572, 1, 6944)"
[10964],4,"[(11202, 0, 21993), (19504, 0, 17245), (11202, 1, 17245), (19504, 1, 21993)]",[8.992922812467441e-05],1,8.992922812467441e-05,"[({(19504, 1, 21993)}, 0.36329559644193243, 'baseline'), ({(11202, 0, 21993)}, 0.08023045493162492, 'baseline')]",10964.0,0.8004068732261658,"(21993, 1, 19504)"
[970],1,"[(13829, 1, 4185)]",[0.00028938232571817935],1,0.00028938232571817935,"[({(13829, 1, 4185)}, 0.6558821645593006, 'baseline')]",970.0,0.8398572206497192,"(4185, 1, 13829)"
[8535],1,"[(6657, 1, 18566)]",[6.128974928287789e-05],1,6.128974928287789e-05,"[({(6657, 1, 18566)}, 0.6963772628461812, 'baseline')]",8535.0,0.956963837146759,"(18566, 1, 6657)"
[5662],1,"[(11565, 1, 29689)]",[3.9780443330528215e-05],1,3.9780443330528215e-05,"[({(11565, 1, 29689)}, 0.9959276826038789, 'baseline')]",5662.0,0.9941294193267822,"(29689, 1, 11565)"
[1061],1,"[(39790, 1, 137)]",[0.0003872774541378021],1,0.0003872774541378021,"[({(39790, 1, 137)}, 0.5294433068759493, 'baseline')]",1061.0,0.9594130516052246,"(137, 1, 39790)"
[3505],5,"[(20544, 1, 3291), (25943, 1, 3291), (25943, 1, 28902), (28902, 1, 20544), (3291, 1, 25943)]",[0.00018820595869328827],1,0.00018820595869328827,"[({(20544, 1, 3291)}, 0.12170175753559986, 'baseline'), ({(25943, 1, 3291)}, 0.0091201466986316, 'baseline'), ({(3291, 1, 25943)}, 0.007776598416336657, 'baseline')]",3505.0,0.9723116159439087,"(3291, 1, 20544)"
[2705],5,"[(2612, 1, 1848), (2612, 1, 26814), (13298, 1, 1848), (26814, 1, 13298), (1848, 1, 13298)]",[0.00015863288717810065],1,0.00015863288717810065,"[({(26814, 1, 13298)}, 0.28896395473290515, 'baseline'), ({(1848, 1, 13298)}, 0.09052024319284765, 'baseline'), ({(13298, 1, 1848)}, -0.05739482212991487, 'baseline')]",2705.0,0.9403150677680969,"(13298, 1, 26814)"
[523],5,"[(5307, 1, 20104), (10452, 1, 5307), (2502, 1, 10452), (10452, 1, 2502), (20104, 1, 2502)]",[0.0006840393180027604],1,0.0006840393180027604,"[({(20104, 1, 2502)}, 0.3070214800446219, 'baseline'), ({(2502, 1, 10452)}, -0.009878893444550164, 'baseline'), ({(10452, 1, 2502)}, -0.017088075238966022, 'baseline')]",523.0,0.9245367050170898,"(2502, 1, 20104)"
[30],9,"[(21702, 1, 5110), (8389, 1, 8390), (21702, 0, 14834), (14834, 1, 1690), (1690, 1, 14834), (8389, 1, 5110), (5110, 1, 28345), (28345, 1, 1690), (8390, 1, 14834)]",[0.0037584209349006414],1,0.0037584209349006414,"[({(8390, 1, 14834)}, 0.3910860834841146, 'baseline'), ({(1690, 1, 14834)}, 0.31088704985568033, 'baseline'), ({(14834, 1, 1690)}, 0.11207817036474486, 'baseline'), ({(21702, 0, 14834)}, -0.06048284940294427, 'baseline')]",30.0,0.41509827971458435,"(14834, 1, 5110)"
[257],1,"[(13633, 1, 4225)]",[0.0019315602257847786],1,0.0019315602257847786,"[({(13633, 1, 4225)}, 0.4964061506340075, 'baseline')]",257.0,0.9296045303344727,"(4225, 1, 13633)"
[1377],2,"[(4747, 5, 3149), (22951, 5, 3149)]",[3.501640821923502e-05],1,3.501640821923502e-05,"[({(4747, 5, 3149)}, 0.00044501673668538686, 'baseline')]",1377.0,0.09593500196933746,"(4747, 0, 22951)"
