exp,exp_length,new_scores,facts,new_ranks,original_score,original_rank,new_score,new_rank,prediction
"[(44, 1, 45)]",1,[1.6260204],"[({(44, 1, 45)}, 0.21499923936502763, 'baseline')]",[240],8.879241,1,1.6260204,240.0,"(45, 1, 44)"
"[(5908, 1, 4050)]",1,[0.53334427],"[({(5908, 1, 4050)}, 1.3720970773380408, 'baseline')]",[2103],10.466581,1,0.53334427,2103.0,"(4050, 1, 5908)"
"[(32512, 1, 496)]",1,[-0.603236],"[({(32512, 1, 496)}, 0.4109163701699776, 'baseline')]",[31280],9.354602,1,-0.603236,31280.0,"(496, 1, 32512)"
"[(3795, 9, 1508), (3795, 1, 9372), (1508, 1, 9372), (9372, 1, 3795)]",4,[1.906616],"[({(1508, 1, 9372)}, 1.0309172192699734, 'baseline'), ({(9372, 1, 3795)}, -0.03329940608757565, 'baseline'), ({(3795, 1, 9372)}, -0.0340852337111189, 'baseline')]",[15],9.9936285,1,1.906616,15.0,"(9372, 1, 1508)"
"[(2296, 1, 1528), (11686, 1, 26261), (5336, 1, 11686), (5336, 0, 16668), (2296, 1, 5336), (11686, 0, 16301), (16668, 1, 16301), (26261, 0, 16668), (1528, 1, 11686), (11686, 1, 1528)]",10,[4.539002],"[({(5336, 1, 11686)}, 0.5129776428138336, 'baseline'), ({(11686, 0, 16301)}, 0.10835556228320861, 'baseline'), ({(1528, 1, 11686)}, 0.0415420932366181, 'baseline'), ({(11686, 1, 1528)}, 0.040854494043408206, 'baseline'), ({(11686, 1, 26261)}, 0.037552873590767775, 'baseline'), ({(26261, 1, 11686)}, 0.03481010623713926, 'baseline')]",[11],9.1733055,1,4.539002,11.0,"(11686, 1, 5336)"
"[(15125, 1, 2869)]",1,[0.8011187],"[({(15125, 1, 2869)}, 2.339693194280637, 'baseline')]",[333],8.738957,1,0.8011187,333.0,"(2869, 1, 15125)"
"[(7833, 1, 36078), (36078, 0, 28742), (28742, 1, 15054), (7833, 9, 15054)]",4,[-7.015523],"[({(7833, 1, 36078)}, 3.575584789093904, 'baseline'), ({(36078, 0, 28742)}, -0.31580539416286657, 'baseline')]",[30801],10.850468,1,-7.015523,30801.0,"(36078, 1, 7833)"
"[(29197, 1, 4359)]",1,[1.021066],"[({(29197, 1, 4359)}, 1.7015553287760405, 'baseline')]",[256],8.654919,1,1.021066,256.0,"(4359, 1, 29197)"
"[(38840, 1, 26984)]",1,[-2.563307],"[({(38840, 1, 26984)}, 1.240980205761834, 'baseline')]",[35498],9.220281,1,-2.563307,35498.0,"(26984, 1, 38840)"
"[(21984, 0, 21985), (14768, 0, 21985), (21984, 6, 24252)]",3,[3.0550752],"[({(14768, 0, 21985)}, 1.5872274154715031, 'baseline')]",[13],7.281294,1,3.0550752,13.0,"(14768, 6, 24252)"
"[(23638, 1, 647), (1896, 1, 3839), (3839, 1, 2035), (1896, 1, 8589), (23638, 1, 2035), (2035, 1, 23638), (8589, 1, 647), (8589, 1, 2035), (2035, 1, 3839)]",9,[5.0461187],"[({(8589, 1, 2035)}, 0.4139833867606492, 'baseline'), ({(3839, 1, 2035)}, 0.10278228952964456, 'baseline'), ({(2035, 1, 3839)}, 0.10188011366355783, 'baseline'), ({(23638, 1, 2035)}, 0.0489378375740064, 'baseline'), ({(2035, 1, 23638)}, 0.04749206732883123, 'baseline'), ({(647, 0, 2035)}, 0.034263650853629174, 'baseline'), ({(25494, 0, 2035)}, -0.020290334745436372, 'baseline')]",[7],8.747489,1,5.0461187,7.0,"(2035, 1, 8589)"
"[(8775, 1, 8774), (16865, 5, 212), (8774, 1, 16865), (8775, 5, 212)]",4,[3.2438083],"[({(8774, 1, 16865)}, 2.5836173636282465, 'baseline'), ({(16865, 5, 212)}, -0.3286351746726941, 'baseline')]",[36],10.44133,1,3.2438083,36.0,"(16865, 1, 8774)"
"[(15249, 1, 26185)]",1,[-3.9972005],"[({(15249, 1, 26185)}, 5.114186062293291, 'baseline')]",[31446],11.001265,1,-3.9972005,31446.0,"(26185, 1, 15249)"
