facts,exp,original_rank,new_scores,new_ranks,new_score,exp_length,new_rank,prediction,original_score
"[([(462, 136, 6402), (1938, 32, 462), (1938, 32, 5660)], 0.7449999, 'xrule'), ({(1314, 2, 5660)}, 0.08725456428183884, 'baseline'), ({(5660, 31, 1314)}, 0.06664089390740541, 'baseline'), ({(5660, 227, 10080)}, 0.037439386339050786, 'baseline'), ({(5660, 227, 7800)}, 0.024980585052828175, 'baseline'), ({(5660, 13, 32)}, 0.01970867339841078, 'baseline'), ({(5660, 12, 5014)}, 0.0173607272452796, 'baseline'), ({(5660, 109, 5014)}, 0.005025903633044625, 'baseline'), ({(5660, 186, 5014)}, 0.004067460979281933, 'baseline'), ({(5660, 227, 11801)}, -0.005968053890891553, 'baseline'), ({(5660, 116, 404)}, -0.007349927982221312, 'baseline')]","[(462, 136, 6402), (1938, 32, 462), (1938, 32, 5660)]",1,[5.6672106],[3],5.6672106,3,3.0,"(5660, 136, 6402)",6.9425015
"[([(2258, 31, 4), (4, 2, 1097), (1097, 14, 160), (1097, 31, 4)], 0.42109966, 'xrule'), ({(2258, 26, 64)}, 0.07954696844076913, 'baseline'), ({(2258, 26, 1098)}, 0.07262615392159173, 'baseline'), ({(2258, 31, 658)}, 0.059712449985391804, 'baseline'), ({(2258, 26, 342)}, 0.05766777225448766, 'baseline'), ({(2258, 86, 1283)}, 0.04588226505313488, 'baseline'), ({(2258, 31, 466)}, 0.0125551623953061, 'baseline'), ({(2037, 6, 2258)}, 0.00893119996827957, 'baseline'), ({(2258, 84, 7557)}, 0.0023165149027273694, 'baseline'), ({(1017, 7, 2258)}, 0.000829736644669651, 'baseline'), ({(4839, 6, 2258)}, -0.004473646228779849, 'baseline')]","[(2258, 31, 4), (4, 2, 1097), (1097, 14, 160), (1097, 31, 4)]",1,[8.359082],[1],8.359082,4,1.0,"(2258, 14, 160)",8.303699
"[({(10634, 48, 32)}, 0.8260503287333976, 'baseline'), ([(10634, 48, 32), (4943, 43, 141), (4943, 48, 32)], 0.76010036, 'xrule'), ({(10634, 17, 818)}, 0.4251213492196818, 'baseline'), ({(10634, 19, 1654)}, 0.31727127361561186, 'baseline'), ({(10634, 17, 1730)}, 0.19495634300776324, 'baseline'), ({(10634, 3, 3199)}, -0.03674693871723527, 'baseline'), ({(7487, 27, 10634)}, -0.039050062225095654, 'baseline'), ({(5439, 155, 10634)}, -0.05448146631338964, 'baseline'), ({(881, 8, 10634)}, -0.1326102808623549, 'baseline'), ({(881, 3, 10634)}, -0.13424487862851311, 'baseline'), ({(3681, 12, 10634)}, -0.15095706733249767, 'baseline')]","[(14350, 48, 32), (10634, 48, 32), (14350, 43, 141)]",1,[7.3178525],[1],7.3178525,3,1.0,"(10634, 43, 141)",7.3984365
"[([(1080, 54, 1445), (1080, 15, 2376), (1445, 205, 1080), (1445, 62, 1080), (1445, 133, 1080), (2376, 148, 9623), (1080, 15, 1445), (2376, 135, 1080)], 0.22370052, 'xrule'), ({(1445, 148, 7018)}, 0.0819569034738087, 'baseline'), ({(1445, 148, 6025)}, 0.07814697456069446, 'baseline'), ({(1445, 148, 4653)}, 0.07635597423035302, 'baseline'), ({(1445, 148, 1264)}, 0.07591537665379743, 'baseline'), ({(1445, 148, 1449)}, 0.07524875833849029, 'baseline'), ({(1445, 148, 4599)}, 0.07523063851789362, 'baseline'), ({(1445, 148, 1922)}, 0.07373527715474566, 'baseline'), ({(1445, 148, 2861)}, 0.07188038064361904, 'baseline'), ({(1445, 133, 1080)}, 0.030873338632481085, 'baseline'), ({(1445, 122, 4359)}, 0.011569063120936389, 'baseline')]","[(1080, 54, 1445), (1080, 15, 2376), (1445, 205, 1080), (1445, 62, 1080), (1445, 133, 1080), (2376, 148, 9623), (1080, 15, 1445), (2376, 135, 1080)]",1,[7.1869936],[1],7.1869936,8,1.0,"(1445, 148, 9623)",7.140051
"[([(3742, 14, 160), (167, 25, 62), (167, 101, 160)], 0.4268, 'xrule'), ({(3742, 31, 4)}, 0.04228631682947653, 'baseline'), ({(3742, 26, 342)}, 0.04150108526634786, 'baseline'), ({(268, 32, 3742)}, 0.039128224357012124, 'baseline'), ({(1303, 97, 3742)}, 0.032657067229136125, 'baseline'), ({(3742, 34, 90)}, 0.03155211637745313, 'baseline'), ({(482, 38, 3742)}, 0.03075496382709701, 'baseline'), ({(3742, 106, 7132)}, 0.030233542381403744, 'baseline'), ({(3742, 12, 482)}, 0.025878707866411024, 'baseline'), ({(3742, 86, 482)}, 0.01744369690564487, 'baseline'), ({(3742, 116, 3625)}, 0.009771983088070757, 'baseline'), ({(3742, 12, 3625)}, 0.007604042979490389, 'baseline'), ({(482, 32, 3742)}, 0.006374756751458981, 'baseline'), ({(3625, 38, 3742)}, 0.003942768027986054, 'baseline'), ({(3742, 12, 8855)}, -0.0033232765476555685, 'baseline'), ({(11164, 6, 3742)}, -0.0038796263051625087, 'baseline'), ({(3742, 12, 11164)}, -0.006893714006908627, 'baseline'), ({(270, 7, 3742)}, -0.007306893374766281, 'baseline'), ({(2636, 7, 3742)}, -0.00991602711631027, 'baseline'), ({(3742, 30, 3624)}, -0.023042519612694, 'baseline'), ({(6629, 7, 3742)}, -0.025929291800877725, 'baseline')]","[(3742, 14, 160), (167, 25, 62), (167, 101, 160)]",1,[4.015194],[1],4.015194,3,1.0,"(3742, 25, 62)",3.8423574
"[([(3922, 14, 160), (377, 7, 3922), (377, 7, 7412)], 0.91799927, 'xrule'), ({(7412, 34, 90)}, 0.05553058812009035, 'baseline'), ({(7412, 13, 382)}, 0.0506878299556508, 'baseline'), ({(1654, 7, 7412)}, 0.02370075411285007, 'baseline'), ({(7412, 13, 1934)}, 0.016589204726276025, 'baseline'), ({(371, 7, 7412)}, 0.015057603758912082, 'baseline'), ({(3179, 7, 7412)}, 0.013281862224729865, 'baseline'), ({(7412, 13, 158)}, 0.010637323335702564, 'baseline'), ({(7412, 13, 1046)}, 0.008337060851380805, 'baseline'), ({(7412, 12, 1917)}, 0.007953683818937109, 'baseline'), ({(7412, 13, 119)}, 0.004854242256408449, 'baseline')]","[(3922, 14, 160), (377, 7, 3922), (377, 7, 7412)]",1,[8.658178],[1],8.658178,3,1.0,"(7412, 14, 160)",8.902123
"[([(7238, 18, 6851), (7435, 35, 582), (582, 18, 6851)], 0.10720062, 'xrule'), ({(7435, 35, 3408)}, 0.06436828805481877, 'baseline'), ({(7435, 35, 611)}, 0.0490684909531207, 'baseline'), ({(7435, 35, 6615)}, 0.043384592016476264, 'baseline'), ({(7435, 35, 1234)}, 0.033774415909753566, 'baseline'), ({(7435, 35, 3796)}, 0.02142242618281675, 'baseline'), ({(7435, 35, 4507)}, 0.012017290036248095, 'baseline'), ({(7435, 35, 7125)}, 0.010719339336578796, 'baseline'), ({(7434, 64, 7435)}, 0.007338563853602053, 'baseline'), ({(7435, 64, 7434)}, 0.007292787514224876, 'baseline'), ({(7435, 64, 4983)}, -0.00089546018473319, 'baseline')]","[(7238, 18, 6851), (7435, 35, 582), (582, 18, 6851)]",1,[7.0379105],[1],7.0379105,3,1.0,"(7435, 35, 7238)",6.9823084
"[({(1329, 13, 92)}, 0.03296570012890194, 'baseline'), ({(1329, 13, 75)}, 0.03250316806564405, 'baseline'), ({(1329, 13, 449)}, 0.031958620015220866, 'baseline'), ({(1329, 13, 1302)}, 0.03137973969196547, 'baseline'), ({(1329, 13, 834)}, 0.026106874389602797, 'baseline'), ({(1329, 13, 331)}, 0.024375001868524055, 'baseline'), ({(1329, 13, 2282)}, 0.024272958700305408, 'baseline'), ({(1329, 13, 1046)}, 0.02290538973016473, 'baseline'), ({(1329, 13, 1405)}, 0.02115349000115929, 'baseline'), ({(1329, 13, 637)}, 0.016927759130043248, 'baseline'), ([(1302, 152, 1163), (1302, 58, 1163), (1163, 58, 1302), (1302, 152, 274), (1329, 13, 274)], 0.014200211, 'xrule')]","[(1329, 13, 92), (92, 152, 1163)]",1,[5.587771],[1],5.587771,2,1.0,"(1329, 13, 1163)",5.9050293
"[([(6036, 17, 862), (409, 48, 32), (6036, 48, 32)], 0.46639967, 'xrule'), ({(1027, 192, 409)}, -0.0006188946511021526, 'baseline'), ({(8646, 77, 409)}, -0.007603605345295917, 'baseline'), ({(4171, 77, 409)}, -0.009196718247630629, 'baseline'), ({(409, 8, 1440)}, -0.012218435367008944, 'baseline'), ({(1440, 8, 409)}, -0.013269384432723314, 'baseline'), ({(409, 8, 8871)}, -0.01599021727265457, 'baseline'), ({(3778, 8, 409)}, -0.01701589400604166, 'baseline'), ({(2380, 8, 409)}, -0.018159349487027913, 'baseline'), ({(3039, 8, 409)}, -0.020013292345857303, 'baseline'), ({(409, 123, 1893)}, -0.020394762117459393, 'baseline')]","[(6036, 17, 862), (409, 48, 32), (6036, 48, 32)]",1,[6.674497],[1],6.674497,3,1.0,"(409, 17, 862)",6.73506
"[([(10198, 25, 62), (10198, 135, 10174), (12882, 135, 10174), (10174, 54, 12882), (10174, 144, 12882), (12882, 133, 10174), (10174, 15, 10198), (10174, 15, 12882)], 1.3320999, 'xrule'), ({(10174, 144, 12882)}, 0.28400520592147793, 'baseline'), ({(12882, 135, 10174)}, 0.13908986298296588, 'baseline'), ({(10174, 54, 12882)}, 0.05600647163600312, 'baseline'), ({(10174, 15, 12882)}, -0.04220243265470052, 'baseline'), ({(12882, 133, 10174)}, -0.18645044107048594, 'baseline'), ({(1748, 83, 12882)}, -0.2887141296237021, 'baseline')]","[(10198, 25, 62), (10198, 135, 10174), (12882, 135, 10174), (10174, 54, 12882), (10174, 144, 12882), (12882, 133, 10174), (10174, 15, 10198), (10174, 15, 12882)]",1,[9.822446],[1],9.822446,8,1.0,"(12882, 25, 62)",6.162185
