new_scores,new_score,original_rank,new_rank,new_ranks,exp,facts,original_score,prediction,exp_length
[0.924971],0.924971,1,1878.0,[1878],"[(44, 1, 45)]","[([(44, 1, 45)], 6.651, 'xrule'), ({(44, 1, 45)}, 0.21499923936502763, 'baseline')]",8.879241,"(45, 1, 44)",1
[-0.7554718],-0.7554718,1,24539.0,[24539],"[(5908, 1, 4050)]","[([(5908, 1, 4050)], 4.327, 'xrule'), ({(5908, 1, 4050)}, 1.3720970773380408, 'baseline')]",10.466581,"(4050, 1, 5908)",1
[-0.050189704],-0.050189704,1,17154.0,[17154],"[(32512, 1, 496)]","[({(32512, 1, 496)}, 0.4109163701699776, 'baseline')]",9.354602,"(496, 1, 32512)",1
[6.9673157],6.9673157,1,1.0,[1],"[(1508, 1, 9372)]","[([(1508, 1, 9372)], 1.5256996, 'xrule'), ({(1508, 1, 9372)}, 1.0309172192699734, 'baseline'), ({(9372, 1, 3795)}, -0.03329940608757565, 'baseline'), ({(3795, 1, 9372)}, -0.0340852337111189, 'baseline')]",9.9936285,"(9372, 1, 1508)",1
[7.3566103],7.3566103,1,1.0,[1],"[(5336, 1, 11686)]","[([(5336, 1, 11686)], 0.8942995, 'xrule'), ({(5336, 1, 11686)}, 0.5129776428138336, 'baseline'), ({(11686, 0, 16301)}, 0.10835556228320861, 'baseline'), ({(1528, 1, 11686)}, 0.0415420932366181, 'baseline'), ({(11686, 1, 1528)}, 0.040854494043408206, 'baseline'), ({(11686, 1, 26261)}, 0.037552873590767775, 'baseline'), ({(26261, 1, 11686)}, 0.03481010623713926, 'baseline')]",9.1733055,"(11686, 1, 5336)",1
[1.5788962],1.5788962,1,63.0,[63],"[(15125, 1, 2869)]","[([(15125, 1, 2869)], 3.3710003, 'xrule'), ({(15125, 1, 2869)}, 2.339693194280637, 'baseline')]",8.738957,"(2869, 1, 15125)",1
[2.7369778],2.7369778,1,10.0,[10],"[(7833, 1, 36078)]","[([(7833, 1, 36078)], 4.4521, 'xrule'), ({(7833, 1, 36078)}, 3.575584789093904, 'baseline'), ({(36078, 0, 28742)}, -0.31580539416286657, 'baseline')]",10.850468,"(36078, 1, 7833)",1
[1.6429507],1.6429507,1,107.0,[107],"[(29197, 1, 4359)]","[([(29197, 1, 4359)], 2.7896996, 'xrule'), ({(29197, 1, 4359)}, 1.7015553287760405, 'baseline')]",8.654919,"(4359, 1, 29197)",1
[-0.9397942],-0.9397942,1,23887.0,[23887],"[(38840, 1, 26984)]","[([(38840, 1, 26984)], 6.5732994, 'xrule'), ({(38840, 1, 26984)}, 1.240980205761834, 'baseline')]",9.220281,"(26984, 1, 38840)",1
[3.3771129],3.3771129,1,12.0,[12],"[(21984, 0, 21985), (14768, 0, 21985), (21984, 6, 24252)]","[([(21984, 0, 21985), (14768, 0, 21985), (21984, 6, 24252)], 2.0496001, 'xrule'), ({(14768, 0, 21985)}, 1.5872274154715031, 'baseline')]",7.281294,"(14768, 6, 24252)",3
[7.1356363],7.1356363,1,1.0,[1],"[(8589, 1, 2035)]","[([(8589, 1, 2035)], 1.1447, 'xrule'), ({(8589, 1, 2035)}, 0.4139833867606492, 'baseline'), ({(3839, 1, 2035)}, 0.10278228952964456, 'baseline'), ({(2035, 1, 3839)}, 0.10188011366355783, 'baseline'), ({(23638, 1, 2035)}, 0.0489378375740064, 'baseline'), ({(2035, 1, 23638)}, 0.04749206732883123, 'baseline'), ({(647, 0, 2035)}, 0.034263650853629174, 'baseline'), ({(25494, 0, 2035)}, -0.020290334745436372, 'baseline')]",8.747489,"(2035, 1, 8589)",1
