prediction,original_score,exp_length,new_scores,original_rank,new_rank,facts,exp,new_ranks,new_score
"(8776, 1, 1347)",0.7884548306465149,1,[4.2580169974826276e-05],1,13511.0,"[({(1347, 1, 8776)}, 0.8353217717767597, 'baseline'), ([(1347, 1, 8776)], 0.18509999, 'xrule'), ({(4276, 0, 8776)}, 0.003857175781862512, 'baseline')]","[(1347, 1, 8776)]",[13511],4.2580169974826276e-05
"(39499, 0, 292)",0.6023808717727661,3,[7.796420686645433e-05],1,90.0,"[({(1864, 4, 39499)}, 0.6736336201156528, 'baseline'), ([(1864, 4, 14380), (14380, 0, 292), (1864, 4, 39499)], -0.9007, 'xrule')]","[(2148, 0, 292), (1864, 4, 39499), (1864, 4, 2148)]",[90],7.796420686645433e-05
"(28640, 2, 741)",0.6571306586265564,2,[0.2579837441444397],1,1.0,"[({(193, 6, 28640)}, 0.7063880418691696, 'baseline'), ({(28640, 6, 4498)}, 0.1980554269177742, 'baseline'), ([(193, 6, 28640), (193, 6, 21829), (21829, 2, 741)], 0.0001, 'xrule')]","[(193, 6, 28640), (193, 6, 741)]",[1],0.2579837441444397
"(34777, 1, 14753)",0.9449015259742737,1,[0.00032212125370278955],1,156.0,"[({(14753, 1, 34777)}, 0.9826068190621892, 'baseline'), ([(14753, 1, 34777)], 0.7542, 'xrule')]","[(14753, 1, 34777)]",[156],0.00032212125370278955
"(26770, 5, 6829)",0.45097658038139343,3,[0.00030088957282714546],1,320.0,"[({(26770, 0, 7635)}, 0.34908549141943174, 'baseline'), ({(26770, 6, 26771)}, 0.20522193183120221, 'baseline'), ([(24162, 6, 26771), (26770, 6, 26771), (24162, 5, 6829)], 0.0141, 'xrule')]","[(26770, 0, 7635), (24162, 0, 7635), (24162, 5, 6829)]",[320],0.00030088957282714546
"(11565, 1, 12441)",0.9488105773925781,1,[7.040584023343399e-05],1,16537.0,"[({(12441, 1, 11565)}, 0.09227810338088985, 'baseline'), ([(12441, 1, 11565)], 0.0481, 'xrule')]","[(12441, 1, 11565)]",[16537],7.040584023343399e-05
"(903, 5, 5742)",0.4814486503601074,4,[0.029309632256627083],1,5.0,"[([(5211, 5, 5742), (34444, 1, 903), (5211, 6, 34444), (903, 1, 34444)], 0.0034999999, 'xrule'), ({(903, 1, 34444)}, -0.01187163691091322, 'baseline'), ({(903, 0, 904)}, -0.019074053529040493, 'baseline'), ({(34444, 1, 903)}, -0.10870540601100555, 'baseline')]","[(903, 1, 34444), (34444, 1, 903), (5211, 6, 34444), (5211, 5, 5742)]",[5],0.029309632256627083
"(14612, 1, 19739)",0.8138606548309326,1,[0.04237793758511543],1,4.0,"[({(19739, 1, 14612)}, 0.7143496728170153, 'baseline'), ([(19739, 1, 14612)], 0.55799997, 'xrule'), ({(14613, 1, 14612)}, 0.048821548921484346, 'baseline'), ({(14612, 1, 8884)}, 0.020939986153734044, 'baseline'), ({(14612, 1, 14613)}, 0.011481086654261083, 'baseline')]","[(19739, 1, 14612)]",[4],0.04237793758511543
"(24146, 1, 36079)",0.8771597146987915,1,[2.858944753825199e-05],1,21873.0,"[({(36079, 1, 24146)}, 0.9380476969457207, 'baseline'), ([(36079, 1, 24146)], 0.2896, 'xrule')]","[(36079, 1, 24146)]",[21873],2.858944753825199e-05
"(31393, 0, 292)",0.512271523475647,3,[7.677417306695133e-05],1,94.0,"[({(1864, 4, 31393)}, 0.048292460794302106, 'baseline'), ([(1864, 4, 14380), (14380, 0, 292), (1864, 4, 31393)], -0.5959, 'xrule')]","[(2148, 0, 292), (1864, 4, 31393), (1864, 4, 2148)]",[94],7.677417306695133e-05
"(14940, 1, 12227)",0.8385334610939026,1,[0.026390589773654938],1,6.0,"[([(12227, 1, 14940)], 0.5226, 'xrule'), ({(12227, 1, 14940)}, 0.36045036870995967, 'baseline'), ({(5927, 1, 14940)}, 0.026883224922800843, 'baseline'), ({(14940, 1, 5927)}, -0.026874144611402823, 'baseline')]","[(12227, 1, 14940)]",[6],0.026390589773654938
