prediction,new_rank,new_score,facts,new_scores,#facts,original_rank,new_ranks,original_score
"(7125, 11, 8038)",3.0,3.4810948,"[([(7125, 3, 39)], 0.45034889610791196, 8171.610722173927)]","[2.856642, 4.105548]",1,12,"[3, 3]",4.0142155
"(6853, 10, 7830)",1.0,2.9456766,"[([(6853, 2, 30), (9644, 10, 7830), (9644, 2, 30)], 0.81939983, 'xrule'), ([(9548, 10, 7830), (9548, 3, 9), (6853, 3, 9)], 0.6012001, 'xrule'), ([(6853, 2, 30), (12936, 10, 7830), (12936, 2, 30)], 0.2709999, 'xrule'), ([(12277, 10, 7830), (12277, 3, 9), (6853, 3, 9)], -0.21240044, 'xrule'), ([(6853, 2, 30), (8338, 2, 30), (8338, 10, 7830)], -0.80130005, 'xrule'), ([(12936, 10, 7830), (12936, 2, 68), (6853, 2, 68)], -0.80239964, 'xrule'), ([(6853, 2, 30), (14130, 2, 30), (14130, 10, 7830)], -1.0983, 'xrule'), ([(6853, 3, 6867)], -1.2277383234080699, 2755.2265775071646), ([(9644, 10, 7830), (9644, 3, 9), (6853, 3, 9)], -1.8526001, 'xrule'), ([(9548, 10, 7830), (9548, 2, 68), (6853, 2, 68)], -2.4266996, 'xrule'), ([(9644, 10, 7830), (9644, 2, 68), (6853, 2, 68)], -2.9525003, 'xrule')]","[2.8040807, 3.0872724]",11,5,"[1, 1]",4.188182
"(4799, 8, 7566)",5.5,2.4846625,"[([(4799, 3, 4812)], 0.4610453073768475, 4.613262112787148), ([(4799, 2, 266), (22238, 8, 7566), (22238, 2, 266)], -1.1395006, 'xrule'), ([(22238, 3, 254), (22238, 8, 7566), (4799, 3, 254)], -1.4682007, 'xrule'), ([(13828, 2, 266), (4799, 2, 266), (13828, 8, 7566)], -3.3220005, 'xrule'), ([(13828, 8, 7566), (4799, 3, 254), (13828, 3, 254)], -4.3912, 'xrule'), ([(4799, 2, 266), (21405, 2, 266), (21405, 8, 7566)], -4.4076004, 'xrule')]","[2.3723955, 2.5969296]",6,2,"[6, 5]",5.118734
"(6323, 10, 7830)",1.0,2.9247305,"[([(6323, 3, 75), (18604, 10, 7830), (18604, 3, 75)], 2.7284002, 'xrule'), ([(22184, 2, 31), (22184, 10, 7830), (6323, 2, 31)], 2.5883007, 'xrule'), ([(8826, 3, 479), (8826, 10, 7830), (6323, 3, 479)], 1.7566004, 'xrule'), ([(6323, 3, 9), (8826, 10, 7830), (8826, 3, 9)], 1.6206999, 'xrule'), ([(6323, 3, 1878)], 1.4285050079440078, 10.806668261812108), ([(10456, 2, 31), (6323, 2, 31), (10456, 10, 7830)], 0.7873001, 'xrule'), ([(6323, 3, 279), (8826, 10, 7830), (8826, 3, 279)], 0.4368, 'xrule'), ([(8826, 10, 7830), (8826, 2, 31), (6323, 2, 31)], 0.33600044, 'xrule'), ([(10456, 3, 9), (6323, 3, 9), (10456, 10, 7830)], -0.116799355, 'xrule'), ([(6323, 3, 9), (22184, 10, 7830), (22184, 3, 9)], -0.22429943, 'xrule'), ([(6323, 3, 75), (22184, 3, 75), (22184, 10, 7830)], -0.7142, 'xrule')]","[2.767023, 3.082438]",11,5,"[1, 1]",2.9513865
"(6320, 8, 7410)",1.0,2.3638895,"[([(19383, 3, 40), (19383, 8, 7410), (6320, 3, 40)], 3.8008995, 'xrule'), ([(22576, 3, 40), (22576, 8, 7410), (6320, 3, 40)], 3.6240997, 'xrule'), ([(19383, 2, 68), (19383, 8, 7410), (6320, 2, 68)], 3.2588997, 'xrule'), ([(22576, 8, 7410), (6320, 2, 28), (22576, 2, 28)], 2.8596, 'xrule'), ([(6320, 3, 7), (19383, 8, 7410), (19383, 3, 7)], 2.8269997, 'xrule'), ([(19383, 3, 78), (19383, 8, 7410), (6320, 3, 78)], 2.7845001, 'xrule'), ([(6320, 3, 7), (23039, 3, 7), (23039, 8, 7410)], 2.4456997, 'xrule'), ([(23039, 8, 7410), (6320, 2, 68), (23039, 2, 68)], 1.9712, 'xrule'), ([(19383, 8, 7410), (6320, 3, 476), (19383, 3, 476)], 1.8641996, 'xrule'), ([(23181, 8, 7410), (6320, 2, 68), (23181, 2, 68)], 1.3772001, 'xrule'), ([(23039, 3, 40), (23039, 8, 7410), (6320, 3, 40)], 0.9598999, 'xrule'), ([(6320, 3, 40)], -2.6934817536049533, 3.063359070290555)]","[2.2595594, 2.4682195]",12,4,"[1, 1]",4.6576195
"(7080, 11, 7956)",1.0,2.9958668,"[([(15520, 11, 7956), (15520, 3, 39), (7080, 3, 39)], 1.0946007, 'xrule'), ([(25182, 1, 1054), (7080, 1, 1054), (25182, 11, 7956)], 0.7475004, 'xrule'), ([(7080, 3, 519), (24082, 3, 519), (24082, 11, 7956)], -0.17069912, 'xrule'), ([(19548, 3, 39), (7080, 3, 39), (19548, 11, 7956)], -0.51419926, 'xrule'), ([(25182, 3, 39), (7080, 3, 39), (25182, 11, 7956)], -0.5239992, 'xrule'), ([(21405, 11, 7956), (21405, 1, 1054), (7080, 1, 1054)], -0.73119926, 'xrule'), ([(19413, 3, 39), (7080, 3, 39), (19413, 11, 7956)], -0.95949936, 'xrule'), ([(24949, 11, 7956), (24949, 3, 39), (7080, 3, 39)], -1.0275993, 'xrule'), ([(7080, 2, 30)], -1.07825750791496, 2771.253835898719), ([(19548, 2, 312), (19548, 11, 7956), (7080, 2, 312)], -1.0784998, 'xrule'), ([(24082, 3, 39), (7080, 3, 39), (24082, 11, 7956)], -2.0948992, 'xrule')]","[2.3698535, 3.6218798]",11,4,"[1, 1]",3.5308044
"(4870, 8, 7566)",3.0,2.3844247,"[([(4870, 3, 1101)], 0.6703968494953443, 16982.661592004744)]","[2.2830367, 2.4858127]",1,2,"[3, 3]",5.064227
"(5533, 11, 7956)",1.0,2.9911351,"[([(13224, 11, 7956), (13224, 3, 519), (5533, 3, 519)], 2.9033995, 'xrule'), ([(9011, 11, 7956), (5533, 3, 38), (9011, 3, 38)], 1.3211994, 'xrule'), ([(9011, 11, 7956), (5533, 3, 892), (9011, 3, 892)], 1.1799994, 'xrule'), ([(5533, 3, 663)], 0.6713600605425952, 21636.661807622586), ([(11676, 3, 38), (5533, 3, 38), (11676, 11, 7956)], 0.45049953, 'xrule'), ([(9011, 11, 7956), (9011, 1, 1054), (5533, 1, 1054)], -0.27610016, 'xrule'), ([(13224, 11, 7956), (13224, 1, 1054), (5533, 1, 1054)], -0.48390007, 'xrule'), ([(9011, 11, 7956), (5533, 3, 20), (9011, 3, 20)], -0.55550003, 'xrule'), ([(13224, 11, 7956), (13224, 2, 709), (5533, 2, 709)], -1.6084003, 'xrule'), ([(8557, 11, 7956), (5533, 3, 20), (8557, 3, 20)], -1.6786003, 'xrule'), ([(9011, 11, 7956), (9011, 2, 709), (5533, 2, 709)], -2.4526005, 'xrule')]","[2.4296606, 3.5526094]",11,2,"[1, 1]",3.551628
"(6602, 10, 7830)",1.0,3.0229957,"[([(24026, 10, 7830), (6602, 2, 31), (24026, 2, 31)], 3.8618994, 'xrule'), ([(16149, 2, 31), (6602, 2, 31), (16149, 10, 7830)], 3.3631, 'xrule'), ([(6602, 3, 40)], 2.1727591650965823, 2.897776453912029), ([(16149, 3, 78), (6602, 3, 78), (16149, 10, 7830)], 1.7289, 'xrule'), ([(18322, 2, 31), (6602, 2, 31), (18322, 10, 7830)], 1.5215998, 'xrule'), ([(23374, 2, 31), (23374, 10, 7830), (6602, 2, 31)], 1.4905996, 'xrule'), ([(6602, 3, 78), (23374, 3, 78), (23374, 10, 7830)], 1.2398996, 'xrule'), ([(14908, 10, 7830), (6602, 2, 31), (14908, 2, 31)], 0.83570004, 'xrule'), ([(25744, 2, 31), (6602, 2, 31), (25744, 10, 7830)], 0.27579975, 'xrule'), ([(13772, 10, 7830), (6602, 2, 31), (13772, 2, 31)], 0.10999966, 'xrule'), ([(6602, 3, 78), (18322, 10, 7830), (18322, 3, 78)], -1.1480999, 'xrule')]","[2.8394485, 3.206543]",11,5,"[1, 1]",4.149314
"(7499, 11, 7956)",1.0,3.050327,"[([(7499, 4, 485)], 2.1978527226889715, 11524.90005650888), ([(21542, 3, 220), (21542, 11, 7956), (7499, 3, 220)], 0.89979935, 'xrule'), ([(7499, 3, 149), (18254, 11, 7956), (18254, 3, 149)], 0.6091995, 'xrule'), ([(12647, 3, 39), (7499, 3, 39), (12647, 11, 7956)], -0.13549995, 'xrule'), ([(22150, 3, 220), (22150, 11, 7956), (7499, 3, 220)], -0.59399986, 'xrule'), ([(24604, 11, 7956), (24604, 3, 39), (7499, 3, 39)], -0.6732006, 'xrule'), ([(22150, 11, 7956), (7499, 3, 39), (22150, 3, 39)], -0.8120003, 'xrule'), ([(12647, 11, 7956), (12647, 3, 220), (7499, 3, 220)], -1.2887001, 'xrule'), ([(25448, 3, 220), (25448, 11, 7956), (7499, 3, 220)], -1.3224001, 'xrule'), ([(21542, 3, 39), (21542, 11, 7956), (7499, 3, 39)], -1.3613005, 'xrule'), ([(25448, 3, 39), (25448, 11, 7956), (7499, 3, 39)], -1.5683002, 'xrule')]","[2.4770498, 3.6236043]",11,4,"[1, 1]",3.4054344
