new_ranks,original_rank,new_scores,new_score,#facts,new_rank,facts,prediction,original_score
"[10, 73]",1,"[1.0894349, 1.140635]",1.1150349,3,41.5,"[([(12662, 1, 9620), (9620, 1, 12662), (12662, 1, 17657), (17657, 1, 12662), (17657, 0, 3716)], 1.0465002, 'xrule'), ([(21261, 1, 9620)], 0.19691423640309547, 2168.5490700928203), ([(18308, 0, 3716), (12662, 1, 9620), (9620, 1, 12662), (12662, 1, 18308), (18308, 1, 12662)], -0.97749996, 'xrule')]","(9620, 0, 3716)",1.701146
"[303, 418]",1,"[3.0613382, 2.67238]",2.866859,8,360.5,"[([(27391, 6, 2610), (21026, 6, 27391), (2610, 0, 306)], 1.7403002, 'xrule'), ([(305, 0, 306), (21026, 6, 305)], 0.7695999, 'xrule'), ([(9857, 0, 306), (21026, 1, 9857)], 0.724, 'xrule'), ([(27391, 0, 306), (21026, 6, 27391)], 0.063399315, 'xrule'), ([(21026, 6, 23219), (23219, 0, 306)], -0.13679981, 'xrule'), ([(9857, 1, 25064), (25064, 1, 9857), (25064, 0, 306), (21026, 1, 9857)], -0.3118, 'xrule'), ([(21026, 1, 34418), (34418, 1, 21026), (25064, 0, 306), (25064, 1, 34418)], -0.39620018, 'xrule'), ([(21026, 1, 9857)], -0.8190421586972549, 3045.3059670108296)]","(21026, 0, 306)",2.045721
"[61, 3969]",1,"[4.9498158, 5.323902]",5.136859,4,2015.0,"[([(1122, 9, 1123), (1123, 0, 23212), (1122, 0, 2918), (1123, 9, 1122)], 2.3617, 'xrule'), ([(23212, 9, 1122), (1122, 0, 2918)], 0.9381008, 'xrule'), ([(23212, 1, 13209), (1122, 1, 13209), (13209, 1, 1122), (13209, 1, 23212), (1122, 0, 2918)], 0.59100056, 'xrule'), ([(23212, 1, 13209)], 0.06306842990444342, 5441.5157618732555)]","(23212, 0, 2918)",1.6729352
"[2, 2]",1,"[1.1037681, 1.3509212]",1.2273446,1,2.0,"[([(35194, 4, 14146)], -0.9802140685573147, 17497.272849299843)]","(35194, 0, 1027)",1.6250241
"[38, 1251]",1,"[4.9235363, 5.3824215]",5.152979,3,644.5,"[([(22016, 4, 22017)], 2.6632682534234426, -260.06517593200266), ([(22016, 4, 32466), (32466, 0, 883), (22016, 4, 22017)], 1.2073002, 'xrule'), ([(27376, 0, 883), (22016, 4, 27376), (22016, 4, 22017)], 0.09430027, 'xrule')]","(22017, 0, 883)",0.9429634
"[17, 43]",1,"[4.6984406, 4.947704]",4.8230724,11,30.0,"[([(1038, 4, 29795), (29795, 0, 184), (1038, 4, 40030)], 3.2902002, 'xrule'), ([(9909, 0, 184), (1038, 4, 40030), (1038, 4, 9909)], 2.3133001, 'xrule'), ([(1038, 4, 10518), (1038, 4, 40030), (10518, 0, 184)], 2.2186995, 'xrule'), ([(1038, 4, 5424), (1038, 4, 40030), (5424, 0, 184)], 1.8041, 'xrule'), ([(1905, 0, 184), (1038, 4, 40030), (1038, 4, 1905)], 1.7835999, 'xrule'), ([(1038, 4, 40030)], 1.2530537230023624, 2002.7778280175887), ([(20385, 0, 184), (1038, 4, 20385), (1038, 4, 40030)], 0.99209976, 'xrule'), ([(1038, 4, 13780), (13780, 0, 184), (1038, 4, 40030)], 0.81559944, 'xrule'), ([(7310, 0, 184), (1038, 4, 40030), (1038, 4, 7310)], 0.7623997, 'xrule'), ([(5149, 0, 184), (1038, 4, 40030), (1038, 4, 5149)], 0.6501999, 'xrule'), ([(1038, 4, 40030), (1038, 4, 37195), (37195, 0, 184)], 0.6104994, 'xrule')]","(40030, 0, 184)",1.5084891
"[4473, 2058]",1,"[7.071929, 6.051462]",6.5616956,3,3265.5,"[([(14768, 6, 14769)], -1.019589372771858, -422.73489261654976), ([(21984, 0, 21985), (14768, 0, 21985), (21984, 6, 24252)], -1.7535, 'xrule'), ([(31029, 6, 24252), (14768, 0, 21985), (31029, 0, 21985)], -4.2998, 'xrule')]","(14768, 6, 24252)",2.3381553
"[1, 1]",1,"[1.219765, 0.78804624]",1.0039055,12,1.0,"[([(4808, 6, 7324), (6798, 2, 12273), (4808, 6, 6798)], 4.0448008, 'xrule'), ([(4808, 6, 7324), (12272, 2, 12273), (4808, 6, 12272)], 3.6732006, 'xrule'), ([(3408, 6, 7324), (3408, 6, 12484), (12484, 2, 12273)], 3.4817, 'xrule'), ([(3408, 6, 7324), (7129, 2, 12273), (3408, 6, 7129)], 3.4373007, 'xrule'), ([(3408, 6, 7324), (1322, 2, 12273), (3408, 6, 1322)], 3.0989008, 'xrule'), ([(3408, 6, 7324), (12272, 2, 12273), (3408, 6, 12272)], 2.7632008, 'xrule'), ([(3408, 6, 7324), (3684, 2, 12273), (3408, 6, 3684)], 2.0460005, 'xrule'), ([(3408, 6, 7324), (1349, 2, 12273), (3408, 6, 1349)], 1.6259003, 'xrule'), ([(3408, 6, 7324), (3408, 6, 687), (687, 2, 12273)], 0.58860016, 'xrule'), ([(3408, 6, 7324)], 0.2914047649561671, 384.57233999782096), ([(3408, 6, 7324), (6798, 2, 12273), (3408, 6, 6798)], -0.05629921, 'xrule'), ([(3408, 6, 7324), (8789, 2, 12273), (3408, 6, 8789)], -0.6236992, 'xrule')]","(7324, 2, 12273)",0.8107544
"[3813, 89]",1,"[5.7735543, 5.0623326]",5.4179435,11,1951.0,"[([(1864, 4, 31393)], 4.269428034420656, 8441.986203221255), ([(1864, 4, 14095), (1864, 4, 31393), (14095, 0, 292)], 1.6107006, 'xrule'), ([(1864, 4, 6046), (1864, 4, 31393), (6046, 0, 292)], 1.3983002, 'xrule'), ([(1864, 4, 19890), (1864, 4, 31393), (19890, 0, 292)], 1.2804003, 'xrule'), ([(1864, 4, 26575), (26575, 0, 292), (1864, 4, 31393)], 0.46810055, 'xrule'), ([(1864, 4, 26778), (1864, 4, 31393), (26778, 0, 292)], 0.43060017, 'xrule'), ([(18940, 0, 292), (1864, 4, 31393), (1864, 4, 18940)], 0.24359989, 'xrule'), ([(1864, 4, 31393), (1864, 4, 14023), (14023, 0, 292)], -0.35739994, 'xrule'), ([(38359, 0, 292), (1864, 4, 31393), (1864, 4, 38359)], -0.5703001, 'xrule'), ([(1864, 4, 31393), (20645, 0, 292), (1864, 4, 20645)], -0.8104, 'xrule'), ([(2148, 0, 292), (1864, 4, 31393), (1864, 4, 2148)], -1.4146996, 'xrule')]","(31393, 0, 292)",1.4777615
"[16, 8]",1,"[1.4668946, 2.5379317]",2.0024133,11,12.0,"[([(1038, 4, 3395)], 1.022550634298422, -6726.264530875752), ([(5149, 0, 184), (1038, 4, 5149), (1038, 4, 3395)], 0.11159992, 'xrule'), ([(4508, 0, 184), (1038, 4, 4508), (1038, 4, 3395)], -1.3396997, 'xrule'), ([(1038, 4, 4246), (4246, 0, 184), (1038, 4, 3395)], -1.5054998, 'xrule'), ([(1038, 4, 7423), (7423, 0, 184), (1038, 4, 3395)], -1.8340998, 'xrule'), ([(1038, 4, 1540), (1540, 0, 184), (1038, 4, 3395)], -2.0290003, 'xrule'), ([(1038, 4, 1477), (1477, 0, 184), (1038, 4, 3395)], -2.1148005, 'xrule'), ([(7310, 0, 184), (1038, 4, 7310), (1038, 4, 3395)], -2.1557999, 'xrule'), ([(9131, 0, 184), (1038, 4, 9131), (1038, 4, 3395)], -3.1197996, 'xrule'), ([(1905, 0, 184), (1038, 4, 1905), (1038, 4, 3395)], -3.1209002, 'xrule'), ([(3889, 0, 184), (1038, 4, 3889), (1038, 4, 3395)], -4.3556995, 'xrule')]","(3395, 0, 184)",1.168735
