new_scores,facts,new_rank,prediction,new_score,original_rank,#facts,original_score,new_ranks
"[4.474642, 4.170926]","[([(462, 136, 6402), (1938, 32, 462), (1938, 32, 5660)], 0.7456999, 'xrule'), ([(1938, 32, 1945), (1938, 32, 5660), (1945, 136, 6402)], 0.6852999, 'xrule'), ([(3198, 136, 6402), (1938, 32, 5660), (3198, 86, 1938), (1938, 32, 3198)], 0.4719, 'xrule'), ([(1314, 2, 5660)], 0.08725456428183884, 'kelpie'), ([(5660, 31, 1314)], 0.06664089390740541, 'kelpie'), ([(5660, 227, 10080)], 0.037439386339050786, 'kelpie')]",11.0,"(5660, 136, 6402)",4.322784,1,6,6.9425015,"[11, 11]"
"[8.371567, 7.5785203]","[([(2258, 13, 32), (5423, 14, 160), (5423, 28, 32)], 0.8008003, 'xrule'), ([(11957, 48, 32), (2258, 13, 32), (11957, 232, 160)], 0.38689995, 'xrule'), ([(2258, 13, 32), (5971, 51, 160), (5971, 185, 32)], 0.37240028, 'xrule'), ([(2258, 26, 64)], 0.07954696844076913, 'kelpie'), ([(2258, 26, 1098)], 0.07262615392159173, 'kelpie'), ([(2258, 31, 658)], 0.059712449985391804, 'kelpie')]",1.0,"(2258, 14, 160)",7.9750433,1,6,8.303699,"[1, 1]"
"[6.06604, 6.4169626]","[([(10634, 48, 32), (2725, 43, 141), (2725, 48, 32)], 1.1617999, 'xrule'), ([(10634, 48, 32), (8151, 43, 141), (8151, 48, 32)], 1.1352, 'xrule'), ([(10634, 48, 32), (12072, 48, 32), (12072, 43, 141)], 1.0523, 'xrule'), ([(10634, 48, 32)], 0.8260503287333976, 'kelpie'), ([(10634, 17, 818)], 0.4251213492196818, 'kelpie'), ([(10634, 19, 1654)], 0.31727127361561186, 'kelpie')]",1.0,"(10634, 43, 141)",6.2415013,1,6,7.3984365,"[1, 1]"
"[6.924328, 6.8315663]","[([(1080, 54, 1445), (1080, 15, 2376), (1445, 205, 1080), (1445, 62, 1080), (1445, 133, 1080), (2376, 148, 9623), (1080, 15, 1445), (2376, 135, 1080)], 0.22300053, 'xrule'), ([(8696, 133, 1080), (8696, 148, 9623), (1080, 54, 1445), (1445, 205, 1080), (1445, 62, 1080), (1445, 133, 1080), (1080, 15, 1445), (1080, 15, 8696)], 0.19939995, 'xrule'), ([(2376, 148, 9623), (434, 161, 1445), (434, 161, 2376)], 0.15980053, 'xrule'), ([(1445, 148, 7018)], 0.0819569034738087, 'kelpie'), ([(1445, 148, 6025)], 0.07814697456069446, 'kelpie'), ([(1445, 148, 4653)], 0.07635597423035302, 'kelpie')]",2.5,"(1445, 148, 9623)",6.877947,1,6,7.140051,"[3, 2]"
"[4.1152887, 4.030155]","[([(371, 7, 3742), (1883, 25, 62), (371, 7, 1883), (3742, 30, 371)], 0.06910002, 'xrule'), ([(268, 32, 3742), (4333, 25, 62), (4333, 86, 268)], 0.051800013, 'xrule'), ([(3742, 31, 4)], 0.04228631682947653, 'kelpie'), ([(3742, 26, 342)], 0.04150108526634786, 'kelpie'), ([(482, 38, 3742), (3742, 12, 482), (482, 32, 4333), (3742, 86, 482), (482, 38, 4333), (4333, 25, 62), (482, 32, 3742)], 0.03189999, 'xrule'), ([(3742, 34, 90)], 0.03155211637745313, 'kelpie')]",1.0,"(3742, 25, 62)",4.072722,1,6,3.8423574,"[1, 1]"
"[8.642223, 8.803682]","[([(898, 14, 160), (898, 13, 2739), (7412, 13, 2739)], 0.7163, 'xrule'), ([(7412, 28, 32), (7412, 13, 32), (898, 28, 32), (898, 13, 32), (898, 14, 160), (32, 59, 898)], 0.70300007, 'xrule'), ([(3277, 14, 160), (377, 7, 3277), (377, 7, 7412)], 0.6566, 'xrule'), ([(7412, 34, 90)], 0.05553058812009035, 'kelpie'), ([(7412, 13, 382)], 0.0506878299556508, 'kelpie'), ([(1654, 7, 7412)], 0.02370075411285007, 'kelpie')]",1.0,"(7412, 14, 160)",8.722953,1,6,8.902123,"[1, 1]"
"[6.3488827, 6.947503]","[([(7238, 18, 1771), (7435, 35, 582), (582, 18, 1771)], 0.11460018, 'xrule'), ([(7238, 18, 1771), (6615, 18, 1771), (7435, 35, 6615)], 0.10620022, 'xrule'), ([(10355, 35, 7238), (10355, 35, 6615), (7435, 35, 6615)], 0.10599995, 'xrule'), ([(7435, 35, 611)], 0.0490684909531207, 'kelpie'), ([(7435, 35, 6615)], 0.043384592016476264, 'kelpie'), ([(7435, 35, 4507)], 0.012017290036248095, 'kelpie')]",4.5,"(7435, 35, 7238)",6.648193,1,6,6.9823084,"[5, 4]"
"[5.6283436, 5.866413]","[([(1329, 14, 160), (1163, 122, 2016), (2016, 100, 160)], 0.045599937, 'xrule'), ([(1329, 14, 160), (4268, 100, 160), (4268, 66, 1163)], 0.041799545, 'xrule'), ([(1329, 13, 75)], 0.03250316806564405, 'kelpie'), ([(1329, 13, 449)], 0.031958620015220866, 'kelpie'), ([(1329, 13, 834)], 0.026106874389602797, 'kelpie'), ([(1302, 152, 1163), (1302, 58, 1163), (1163, 58, 1302), (1302, 152, 274), (1329, 13, 274)], 0.014200211, 'xrule')]",4.0,"(1329, 13, 1163)",5.7473783,1,6,5.9050293,"[4, 4]"
"[6.82864, 6.7292094]","[([(9032, 48, 32), (9032, 17, 862), (409, 48, 32)], 0.9499998, 'xrule'), ([(4628, 48, 32), (409, 48, 32), (4628, 17, 862)], 0.93739986, 'xrule'), ([(323, 48, 32), (323, 17, 862), (409, 48, 32)], 0.9197998, 'xrule'), ([(1027, 192, 409)], -0.0006188946511021526, 'kelpie'), ([(8646, 77, 409)], -0.007603605345295917, 'kelpie'), ([(4171, 77, 409)], -0.009196718247630629, 'kelpie')]",1.0,"(409, 17, 862)",6.778925,1,6,6.73506,"[1, 1]"
"[9.513793, 9.953884]","[([(4744, 25, 62), (10174, 15, 12882), (4744, 13, 10174), (10174, 54, 12882), (10174, 144, 12882), (12882, 133, 10174), (12882, 135, 10174)], 1.1949999, 'xrule'), ([(10174, 15, 12882), (10174, 54, 12882), (10174, 144, 12882), (12882, 133, 10174), (526, 29, 10174), (526, 25, 62), (12882, 135, 10174)], 1.1774999, 'xrule'), ([(4136, 25, 62), (10174, 54, 12882), (10174, 144, 12882), (10174, 15, 12882), (12882, 133, 10174), (12882, 135, 10174), (10174, 23, 4136)], 1.1657999, 'xrule'), ([(10174, 144, 12882)], 0.28400520592147793, 'kelpie'), ([(12882, 135, 10174)], 0.13908986298296588, 'kelpie'), ([(10174, 54, 12882)], 0.05600647163600312, 'kelpie')]",1.0,"(12882, 25, 62)",9.733839,1,6,6.162185,"[1, 1]"
