facts,original_score,new_rank,new_scores,prediction,new_score,new_ranks,original_rank,#facts
"[([(44, 1, 45)], 6.651, 'xrule'), ([(45, 1, 18368)], 0.03093723481624835, 'kelpie'), ([(45, 1, 5282)], 0.00035957522115958, 'kelpie'), ([(45, 1, 5907)], -0.019326170009944584, 'kelpie')]",8.879241,1613.5,"[1.2724161, 0.7434709]","(45, 1, 44)",1.0079435,"[598, 2629]",1,4
"[([(5908, 1, 4050)], 4.327, 'xrule'), ([(5908, 1, 4050)], 1.3720970773380408, 'kelpie'), ([(36580, 0, 4050)], -0.07615562245252679, 'kelpie'), ([(4050, 9, 8687)], -0.12426563062103926, 'kelpie')]",10.466581,5315.5,"[0.16467169, -0.17673814]","(4050, 1, 5908)",-0.006033227,"[2555, 8076]",1,4
"[([(32512, 1, 496)], 0.4109163701699776, 'kelpie'), ([(496, 1, 16168)], -0.020118673371089, 'kelpie'), ([(496, 1, 497)], -0.04872318082778774, 'kelpie')]",9.354602,6989.0,"[0.21815518, 0.8475755]","(496, 1, 32512)",0.53286535,"[11871, 2107]",1,3
"[([(1508, 1, 9372)], 1.5256996, 'xrule'), ([(1508, 1, 9372)], 1.0309172192699734, 'kelpie'), ([(9372, 5, 3293)], 0.019319574314388265, 'kelpie'), ([(9372, 1, 3795)], -0.03329940608757565, 'kelpie'), ([(1508, 9, 3795), (3795, 9, 1508), (3795, 1, 9372), (9372, 1, 3795)], -0.13570023, 'xrule'), ([(1508, 1, 3796), (3795, 1, 9372), (3796, 1, 3795), (3796, 1, 1508), (3795, 1, 3796), (9372, 1, 3795)], -0.48700047, 'xrule')]",9.9936285,13458.5,"[-0.7767058, 0.21365598]","(9372, 1, 1508)",-0.2815249,"[24481, 2436]",1,6
"[([(5336, 1, 11686)], 0.8942995, 'xrule'), ([(5336, 1, 11686)], 0.5129776428138336, 'kelpie'), ([(5336, 1, 1527), (11686, 0, 16301), (1527, 1, 5336), (1527, 0, 16301)], 0.26620007, 'xrule'), ([(26261, 1, 11686), (11686, 1, 26261), (1527, 1, 5336), (26261, 1, 1527), (5336, 1, 1527), (1527, 1, 26261)], 0.23329926, 'xrule'), ([(11686, 1, 26261)], 0.037552873590767775, 'kelpie'), ([(11686, 1, 3393)], -0.10189052386747649, 'kelpie')]",9.1733055,17.0,"[4.383347, 4.2479296]","(11686, 1, 5336)",4.3156385,"[17, 17]",1,6
"[([(15125, 1, 2869)], 3.3710003, 'xrule'), ([(15125, 1, 2869)], 2.339693194280637, 'kelpie'), ([(2869, 1, 22777)], -0.2803268024614542, 'kelpie'), ([(2869, 1, 2868)], -0.3179578370867488, 'kelpie')]",8.738957,177.5,"[1.5722103, 0.90007955]","(2869, 1, 15125)",1.2361449,"[52, 303]",1,4
"[([(7833, 1, 36078)], 4.4521, 'xrule'), ([(7833, 1, 36078)], 3.575584789093904, 'kelpie'), ([(7833, 9, 15054), (15054, 1, 28742), (36078, 0, 28742), (28742, 1, 15054), (15054, 9, 7833)], -0.06330013, 'xrule'), ([(36078, 0, 28742)], -0.31580539416286657, 'kelpie')]",10.850468,33425.5,"[-14.83857, -4.70271]","(36078, 1, 7833)",-9.770639,"[40721, 26130]",1,4
"[([(29197, 1, 4359)], 2.7896996, 'xrule'), ([(29197, 1, 4359)], 1.7015553287760405, 'kelpie'), ([(21993, 1, 4359)], -0.05939861107130463, 'kelpie'), ([(4359, 1, 17493)], -0.20244212880645088, 'kelpie')]",8.654919,113.5,"[2.026105, 1.4503382]","(4359, 1, 29197)",1.7382216,"[78, 149]",1,4
"[([(38840, 1, 26984)], 6.5732994, 'xrule'), ([(38840, 1, 26984)], 1.240980205761834, 'kelpie'), ([(26984, 1, 24328)], -0.11231418409245612, 'kelpie'), ([(26984, 1, 26983)], -0.1272077158749255, 'kelpie')]",9.220281,36524.5,"[-2.549281, -3.2690501]","(26984, 1, 38840)",-2.9091654,"[34586, 38463]",1,4
"[([(21984, 0, 21985), (14768, 0, 21985), (21984, 6, 24252)], 2.0496001, 'xrule'), ([(31029, 6, 24252), (14768, 0, 21985), (31029, 0, 21985)], 1.8833003, 'xrule'), ([(14768, 0, 21985)], 1.5872274154715031, 'kelpie'), ([(15788, 6, 14768)], 0.1612911626703221, 'kelpie'), ([(14768, 6, 14769)], -0.46912189076138616, 'kelpie')]",7.281294,34734.0,"[-2.4841619, -2.6338696]","(14768, 6, 24252)",-2.5590158,"[32475, 36993]",1,5
