original_score,new_rank,original_rank,facts,prediction,new_ranks,new_scores,new_score,#facts
0.393696665763855,1.5,1,"[([(3529, 150, 32), (11761, 150, 32), (3529, 113, 5770)], 0.048899997, 'xrule'), ([(11761, 46, 11408)], 0.04124370492349245, 'kelpie'), ([(11761, 143, 9277)], 0.03752157367978488, 'kelpie'), ([(11761, 25, 62)], 0.03589149843137975, 'kelpie'), ([(6451, 13, 32), (11761, 150, 32), (6451, 26, 5770)], 0.032499995, 'xrule'), ([(11761, 129, 90), (3529, 208, 90), (11761, 213, 90), (3529, 113, 5770), (3529, 213, 90)], 0.030799996, 'xrule')]","(11761, 113, 5770)","[2, 1]","[0.1682475209236145, 0.4871867895126343]",0.3277171552181244,6
0.987588107585907,4.0,1,"[([(5914, 137, 1074)], 0.05158553551926858, 'kelpie'), ([(5914, 137, 7372)], 0.04901562163801808, 'kelpie'), ([(5914, 137, 10608)], 0.030282179784530582, 'kelpie'), ([(5100, 137, 4738), (5914, 137, 4738), (5100, 137, 9633)], 0.0056000003, 'xrule'), ([(5914, 137, 9084), (1073, 137, 9633), (1073, 137, 9084)], 0.0038000005, 'xrule'), ([(7439, 137, 9633), (7439, 137, 7440), (5914, 137, 7440)], 0.0037000002, 'xrule')]","(5914, 137, 9633)","[6, 2]","[0.9450365900993347, 0.9592331647872925]",0.9521348774433136,6
0.9600799083709717,1.0,1,"[([(2937, 38, 2144)], 0.3212466650111249, 'kelpie'), ([(2937, 6, 6945)], 0.09642849401220727, 'kelpie'), ([(2269, 8, 2937)], 0.0873035592975789, 'kelpie'), ([(4353, 15, 13460), (32, 15, 13460), (2937, 143, 4353)], 0.07960001, 'xrule'), ([(5900, 28, 32), (2960, 7, 5900), (2937, 19, 2960), (5900, 30, 2960)], 0.07370001, 'xrule'), ([(7642, 48, 32), (7642, 19, 559), (2937, 19, 559)], 0.05770001, 'xrule')]","(2937, 48, 32)","[1, 1]","[0.9420152306556702, 0.9075618982315063]",0.9247885644435883,6
0.947867214679718,1.0,1,"[([(8617, 6, 1959)], 0.04791734642418371, 'kelpie'), ([(5065, 119, 8617)], 0.026877979697991036, 'kelpie'), ([(8617, 8, 281)], 0.007650594185604181, 'kelpie')]","(8617, 60, 90)","[1, 1]","[0.9888303875923157, 0.9925940632820129]",0.9907122254371643,3
0.9039296507835388,3.0,1,"[([(1803, 133, 32)], 0.46975664550009827, 'kelpie'), ([(5963, 66, 1803)], 0.2976542524105418, 'kelpie'), ([(7098, 163, 1803)], 0.27600426577562454, 'kelpie'), ([(1803, 156, 1503), (1652, 156, 6317), (1652, 156, 1503)], 0.012200001, 'xrule'), ([(1803, 156, 4922), (4994, 156, 6317), (4994, 156, 4922)], 0.0112000005, 'xrule'), ([(1803, 156, 1503), (2635, 156, 6317), (2635, 156, 1503)], 0.010800001, 'xrule')]","(1803, 156, 6317)","[3, 3]","[0.9699360132217407, 0.9613759517669678]",0.9656559824943542,6
0.9906078577041626,8.5,1,"[([(920, 85, 434)], 0.006307880366197465, 'kelpie'), ([(2458, 85, 434)], 0.005305866655157505, 'kelpie'), ([(3166, 85, 434)], 0.0010322732134699492, 'kelpie'), ([(5949, 122, 4359), (4027, 8, 4359), (4359, 8, 4027), (4027, 85, 434)], -0.0025000002, 'xrule')]","(434, 161, 5949)","[1, 16]","[0.9690139293670654, 0.8899897336959839]",0.9295018315315247,4
0.7389125823974609,1.5,1,"[([(1627, 196, 2592)], 0.14590256959927575, 'kelpie'), ([(3876, 21, 2592)], 0.13818230771305354, 'kelpie'), ([(2202, 27, 2592)], 0.133119533889366, 'kelpie'), ([(5933, 20, 10154), (10154, 17, 2123), (5933, 20, 2592)], 0.066900015, 'xrule'), ([(6013, 17, 1415), (2592, 17, 1415), (6013, 17, 2123)], 0.018900007, 'xrule'), ([(2592, 17, 1415), (198, 17, 2123), (198, 17, 1415)], -0.0038000047, 'xrule')]","(2592, 17, 2123)","[1, 2]","[0.6504750847816467, 0.24891027808189392]",0.4496926814317703,6
0.9868510365486145,1.0,1,"[([(6054, 230, 7024)], 0.08310763077223876, 'kelpie'), ([(2299, 6, 6054)], 0.02306554743361862, 'kelpie'), ([(6054, 147, 382)], 0.003462473839967035, 'kelpie'), ([(2573, 34, 90), (2573, 14, 160), (6054, 34, 90)], -0.0022999942, 'xrule'), ([(2030, 34, 90), (2030, 14, 160), (6054, 34, 90)], -0.0031999946, 'xrule'), ([(268, 32, 6054), (268, 32, 2573), (2573, 86, 268), (2573, 14, 160)], -0.0075999945, 'xrule')]","(6054, 14, 160)","[1, 1]","[0.950985312461853, 0.956913411617279]",0.953949362039566,6
0.846180260181427,1.0,1,"[([(32, 139, 90), (2538, 183, 5839), (2538, 34, 90), (32, 206, 90), (32, 234, 90), (5839, 38, 2538)], 0.11649999, 'xrule'), ([(10512, 48, 32), (5839, 38, 2538), (2538, 183, 5839), (10512, 6, 2538)], 0.10949999, 'xrule'), ([(3825, 133, 32), (6838, 24, 3825), (5839, 8, 6838)], 0.0952, 'xrule'), ([(5839, 19, 1060)], 0.015016953421605814, 'kelpie'), ([(2538, 183, 5839)], -0.008431811876622121, 'kelpie'), ([(5839, 38, 3044)], -0.06223328876903181, 'kelpie')]","(5839, 48, 32)","[1, 1]","[0.8841924667358398, 0.8018561601638794]",0.8430243134498596,6
0.9878473281860352,1.0,1,"[([(9607, 120, 791), (7268, 33, 90), (9607, 33, 90)], 0.13010001, 'xrule'), ([(10375, 120, 791), (7268, 33, 90), (10375, 33, 90)], 0.1067, 'xrule'), ([(11950, 120, 791), (7268, 33, 90), (11950, 33, 90)], 0.09570001, 'xrule'), ([(7268, 154, 2438)], 0.006894203328994222, 'kelpie'), ([(7268, 15, 3684)], 0.004623423312192176, 'kelpie'), ([(7268, 15, 10902)], -0.04560932614647572, 'kelpie')]","(7268, 120, 791)","[1, 1]","[0.9974588751792908, 0.990262508392334]",0.9938606917858124,6
0.9906631708145142,1.0,1,"[([(6631, 38, 5818)], 0.030067603062454783, 'kelpie'), ([(5818, 13, 32), (3249, 13, 32), (3249, 34, 90), (3249, 28, 32)], 0.02760002, 'xrule'), ([(5818, 86, 742)], 0.010120372239013494, 'kelpie'), ([(742, 32, 5818)], 0.008056263367892435, 'kelpie'), ([(3249, 34, 90), (5818, 11, 23), (3249, 11, 23)], -0.062000006, 'xrule'), ([(226, 219, 90), (5818, 13, 32), (226, 62, 32), (226, 135, 32), (226, 133, 32), (32, 15, 226)], -0.08249998, 'xrule')]","(5818, 34, 90)","[1, 1]","[0.989599347114563, 0.9972432851791382]",0.9934213161468506,6
0.9179816246032715,1.0,1,"[([(7681, 43, 141)], 0.10364649728114185, 'kelpie'), ([(13860, 43, 141), (7681, 43, 141), (13860, 48, 32)], 0.08709997, 'xrule'), ([(7681, 202, 1669)], 0.04546872801685037, 'kelpie'), ([(7681, 17, 818), (9934, 48, 32), (9934, 17, 818)], 0.032999992, 'xrule'), ([(7337, 17, 393), (7337, 48, 32), (7681, 17, 393)], 0.031199992, 'xrule'), ([(7681, 102, 3044)], 0.004641990142244452, 'kelpie')]","(7681, 48, 32)","[1, 1]","[0.8568947315216064, 0.7077528834342957]",0.782323807477951,6
0.6412914395332336,1.0,1,"[([(9201, 53, 8357)], 0.17818532446765156, 'kelpie'), ([(9201, 77, 8290)], 0.16338793489580555, 'kelpie'), ([(8357, 192, 9201)], 0.04024122188214292, 'kelpie'), ([(9201, 85, 434), (3261, 48, 32), (3261, 85, 434)], 0.016900003, 'xrule'), ([(9201, 85, 434), (8914, 48, 32), (8914, 85, 434)], 0.0065999925, 'xrule'), ([(4677, 48, 32), (4677, 85, 1665), (9201, 85, 1665)], 0.004799992, 'xrule')]","(9201, 48, 32)","[1, 1]","[0.9677693247795105, 0.9097137451171875]",0.938741534948349,6
0.8457817435264587,1.5,1,"[([(2062, 8, 8285), (8285, 8, 2062), (2788, 8, 8285), (2788, 43, 384)], 0.18809998, 'xrule'), ([(1039, 8, 2788), (2788, 8, 1039), (2062, 8, 1039), (2788, 43, 384)], 0.045699984, 'xrule'), ([(1352, 8, 2788), (2062, 8, 1352), (2788, 43, 384)], -0.0099000335, 'xrule'), ([(360, 8, 2062)], -0.018223454288803988, 'kelpie'), ([(2062, 8, 1218)], -0.019670059036883385, 'kelpie'), ([(6906, 8, 2062)], -0.2300082337629706, 'kelpie')]","(2062, 43, 384)","[1, 2]","[0.8786982297897339, 0.9230552315711975]",0.9008767306804657,6
0.9844846725463867,1.0,1,"[([(409, 6, 7056), (7056, 13, 158), (160, 70, 158)], 0.07889998, 'xrule'), ([(409, 8, 1440)], 0.05022291371344033, 'kelpie'), ([(5653, 153, 409)], 0.030749539802816923, 'kelpie'), ([(409, 6, 2729)], 0.025805692152985008, 'kelpie')]","(409, 100, 160)","[1, 1]","[0.9700782299041748, 0.9901919364929199]",0.9801350831985474,4
0.8271660208702087,1.0,1,"[([(3142, 45, 7739)], 0.47315896807470575, 'kelpie'), ([(7739, 6, 7849)], 0.08877370788396098, 'kelpie'), ([(6537, 45, 7739)], 0.04209385343385071, 'kelpie')]","(7739, 48, 32)","[1, 1]","[0.7774611115455627, 0.7660084962844849]",0.7717348039150238,3
0.9874509572982788,1.0,1,"[([(8139, 15, 8557)], 0.004118244116474668, 'kelpie'), ([(8139, 15, 8557), (7670, 25, 62), (7670, 160, 8139)], -0.4666, 'xrule'), ([(8139, 15, 8557), (8139, 15, 11478), (11478, 25, 62)], -0.49589998, 'xrule'), ([(8139, 15, 8557), (57, 25, 62), (8139, 23, 57)], -0.49799997, 'xrule')]","(8557, 25, 62)","[1, 1]","[0.9882367253303528, 0.9900348782539368]",0.9891358017921448,4
0.9217239618301392,2.0,1,"[([(6678, 3, 6162)], 0.2996931187110126, 'kelpie'), ([(4130, 77, 6678)], 0.10849807698623036, 'kelpie'), ([(6678, 85, 1665)], 0.08608506159033744, 'kelpie'), ([(6678, 19, 1062), (4967, 43, 384), (1062, 47, 4967)], 0.07369995, 'xrule'), ([(6678, 19, 1062), (3860, 19, 1062), (3860, 43, 384)], 0.022799969, 'xrule'), ([(4269, 77, 4130), (4130, 164, 4269), (4269, 43, 384), (4269, 164, 4130), (4130, 77, 4269), (4130, 77, 6678)], 0.017099977, 'xrule')]","(6678, 43, 384)","[2, 2]","[0.8705412149429321, 0.9215484857559204]",0.8960448503494263,6
0.6285704970359802,1.0,1,"[([(2028, 20, 5361)], 0.3014387897307866, 'kelpie'), ([(5361, 85, 434)], 0.25136012921997974, 'kelpie'), ([(2085, 42, 5361)], 0.1841954098206884, 'kelpie')]","(5361, 177, 1271)","[1, 1]","[0.6949472427368164, 0.7384798526763916]",0.716713547706604,3
0.9894706010818481,1.0,1,"[([(3140, 43, 141), (3140, 25, 62), (9774, 43, 141)], 0.026700005, 'xrule'), ([(3086, 47, 9774)], 0.023099104836035014, 'kelpie'), ([(9774, 85, 434), (3140, 25, 62), (3140, 85, 434)], 0.014000006, 'xrule'), ([(9774, 19, 8599)], 0.010461131993250501, 'kelpie'), ([(9774, 19, 7369)], 0.01003835626022762, 'kelpie'), ([(6669, 43, 141), (6669, 25, 62), (9774, 43, 141)], 0.00500001, 'xrule')]","(9774, 25, 62)","[1, 1]","[0.9878403544425964, 0.9856452345848083]",0.9867427945137024,6
0.988152801990509,1.0,1,"[([(1291, 8, 3039)], 0.049486557956781314, 'kelpie'), ([(3039, 8, 6036)], 0.030358354504583983, 'kelpie'), ([(3039, 8, 2381)], 0.006262044349180673, 'kelpie')]","(3039, 85, 434)","[1, 1]","[0.9940859079360962, 0.9908333420753479]",0.992459625005722,3
0.1647690385580063,2.5,1,"[([(4860, 3, 4878)], 0.36222795802232544, 'kelpie'), ([(6121, 3, 4878)], 0.2981093040621258, 'kelpie'), ([(4878, 3, 4860)], 0.20917148462200605, 'kelpie'), ([(4878, 25, 62), (11544, 24, 592), (11544, 25, 62)], 0.005900003, 'xrule'), ([(879, 71, 4878), (7665, 66, 592), (879, 71, 7665)], -0.009499997, 'xrule'), ([(879, 71, 4878), (4269, 24, 592), (879, 71, 4269)], -0.010699999, 'xrule')]","(4878, 39, 592)","[4, 1]","[0.08618474751710892, 0.11209350824356079]",0.09913912788033485,6
