new_score,original_rank,new_ranks,new_rank,facts,#facts,new_scores,prediction,original_score
0.011056696530431509,1,"[1, 1]",1.0,"[([(7788, 9, 7790)], 0.3649051602998017, 'kelpie'), ([(7788, 4, 66)], 0.1720911071336026, 'kelpie'), ([(7788, 3, 2545)], 0.06653509570346663, 'kelpie'), ([(7788, 3, 666), (9818, 3, 666), (9818, 11, 7956)], 0.0, 'xrule'), ([(7788, 3, 666), (10558, 3, 666), (10558, 11, 7956)], 0.0, 'xrule'), ([(8092, 11, 7956), (8092, 2, 31), (7788, 2, 31)], 0.0, 'xrule')]",6,"[0.009602910839021206, 0.012510482221841812]","(7788, 11, 7956)",6.464199395850301e-05
0.9891329407691956,1,"[1, 1]",1.0,"[([(7328, 1, 65)], 0.0005206980507870618, 'kelpie'), ([(7328, 3, 10)], 0.0005126566036875447, 'kelpie'), ([(7328, 3, 651)], 0.000508498131705525, 'kelpie'), ([(7922, 3, 479), (7328, 3, 479), (7922, 10, 7830)], 0.0, 'xrule'), ([(22881, 3, 479), (7328, 3, 479), (22881, 10, 7830)], 0.0, 'xrule'), ([(8007, 3, 479), (8007, 10, 7830), (7328, 3, 479)], 0.0, 'xrule')]",6,"[0.9999396800994873, 0.9783262014389038]","(7328, 10, 7830)",5.031374872288552e-09
1.2939190895622232e-05,1,"[2, 7]",4.5,"[([(7125, 4, 66)], 0.03773252572007872, 'kelpie'), ([(7125, 3, 7128)], 0.02976776192526079, 'kelpie'), ([(7125, 1, 65)], 0.027556362522937358, 'kelpie'), ([(9267, 11, 8038), (9267, 3, 220), (7125, 3, 220)], 0.0, 'xrule'), ([(16972, 11, 8038), (16972, 3, 220), (7125, 3, 220)], 0.0, 'xrule'), ([(18054, 11, 8038), (18054, 3, 220), (7125, 3, 220)], 0.0, 'xrule')]",6,"[2.5070543415495194e-05, 8.078383757492702e-07]","(7125, 11, 8038)",1.2816738490073476e-05
9.444919487577863e-05,1,"[1, 3]",2.0,"[([(7788, 9, 7790)], 0.8225638145739657, 'kelpie'), ([(7788, 3, 2545)], 0.6468773927629881, 'kelpie'), ([(7788, 4, 66)], 0.5926361520113871, 'kelpie'), ([(25137, 3, 33), (25137, 11, 8038), (7788, 3, 33)], 0.0, 'xrule'), ([(25474, 3, 33), (25474, 11, 8038), (7788, 3, 33)], 0.0, 'xrule'), ([(7788, 2, 27), (25137, 11, 8038), (25137, 2, 27)], 0.0, 'xrule')]",6,"[0.00017546527669765055, 1.3433113053906709e-05]","(7788, 11, 8038)",0.00025431104586459696
0.0015599545604345622,1,"[4, 2]",3.0,"[([(9020, 8, 7393), (6105, 3, 2350), (9020, 3, 2350)], 0.2209, 'xrule'), ([(9020, 8, 7393), (6105, 3, 39), (9020, 3, 39)], 0.20809996, 'xrule'), ([(10833, 3, 6), (10833, 8, 7393), (6105, 3, 6)], 0.08340001, 'xrule'), ([(6105, 3, 40)], 0.0009383359212414719, 'kelpie'), ([(6105, 3, 6112)], 0.0008284994988319624, 'kelpie'), ([(6105, 3, 253)], -0.0004017049736596096, 'kelpie')]",6,"[0.0030592228285968304, 6.068629227229394e-05]","(6105, 8, 7393)",0.0003303271369077265
0.9898163974285126,1,"[1, 1]",1.0,"[([(6853, 1, 65)], 0.0009250052580539152, 'kelpie'), ([(6853, 3, 651)], 0.0008528144146984684, 'kelpie'), ([(6853, 3, 5859)], 0.0008259502356784398, 'kelpie'), ([(8486, 2, 31), (6853, 2, 31), (8486, 10, 7830)], 0.0, 'xrule'), ([(9083, 10, 7830), (6853, 2, 31), (9083, 2, 31)], 0.0, 'xrule'), ([(6853, 2, 31), (16427, 10, 7830), (16427, 2, 31)], 0.0, 'xrule')]",6,"[0.9999105930328369, 0.9797222018241882]","(6853, 10, 7830)",1.7677559416284794e-09
0.08856273872152087,1,"[2, 4]",3.0,"[([(7553, 3, 9), (6427, 3, 9), (7553, 8, 7410)], 0.22960001, 'xrule'), ([(22281, 2, 30), (22281, 8, 7410), (6427, 2, 30)], 0.21829998, 'xrule'), ([(6427, 3, 479), (7553, 8, 7410), (7553, 3, 479)], 0.17010003, 'xrule'), ([(6427, 3, 1315)], 0.02223725891848767, 'kelpie'), ([(6427, 3, 6429)], 0.021571037322188274, 'kelpie'), ([(6427, 2, 68)], 0.01808954679671518, 'kelpie')]",6,"[0.17710065841674805, 2.4819026293698698e-05]","(6427, 8, 7410)",0.006617997772991657
0.0053976606322976295,1,"[2, 2]",2.0,"[([(19185, 2, 30), (19185, 8, 7410), (5269, 2, 30)], 0.004600048, 'xrule'), ([(7688, 3, 20), (5269, 3, 20), (7688, 8, 7410)], 0.0036000013, 'xrule'), ([(5269, 3, 55)], 0.003011812415663618, 'kelpie'), ([(5269, 3, 5275)], 0.002487977922615396, 'kelpie'), ([(5269, 4, 66)], 0.0018840140412044962, 'kelpie'), ([(7688, 8, 7410), (7688, 2, 30), (5269, 2, 30)], 0.00069999695, 'xrule')]",6,"[0.010778026655316353, 1.7294609278906137e-05]","(5269, 8, 7410)",0.0001737351849442348
0.9782998263835907,1,"[1, 1]",1.0,"[([(5073, 4, 485)], 1.511392153196074e-05, 'kelpie'), ([(5073, 2, 1188)], 8.51352203004396e-06, 'kelpie'), ([(5073, 3, 91)], 4.805170160928502e-06, 'kelpie'), ([(8628, 2, 31), (8628, 10, 7830), (5073, 2, 31)], 0.0, 'xrule'), ([(9346, 2, 31), (9346, 10, 7830), (5073, 2, 31)], 0.0, 'xrule'), ([(11233, 10, 7830), (11233, 2, 31), (5073, 2, 31)], 0.0, 'xrule')]",6,"[0.999932050704956, 0.9566676020622253]","(5073, 10, 7830)",2.7475641761753877e-09
0.007032856617115613,1,"[4, 1]",2.5,"[([(6766, 3, 476)], 0.025622357602575373, 'kelpie'), ([(6766, 3, 7)], 0.024594559318867712, 'kelpie'), ([(6766, 3, 56)], 0.02286120404058899, 'kelpie'), ([(6766, 1, 65), (20731, 1, 65), (20731, 8, 7410)], 0.000100016594, 'xrule'), ([(6766, 1, 65), (14458, 8, 7410), (14458, 1, 65)], 0.000100016594, 'xrule'), ([(15227, 8, 7410), (6766, 3, 39), (15227, 3, 39)], 0.000100016594, 'xrule')]",6,"[0.014039844274520874, 2.586895971035119e-05]","(6766, 8, 7410)",0.00013452144048642367
0.0031375493867926707,1,"[2, 1]",1.5,"[([(5110, 3, 2039)], 0.0798770738728885, 'kelpie'), ([(5110, 3, 5115)], 0.07986361070388186, 'kelpie'), ([(5110, 2, 2028)], 0.07879387867442504, 'kelpie'), ([(5110, 2, 30), (24811, 2, 30), (24811, 8, 7408)], 0.0074000005, 'xrule'), ([(24811, 3, 40), (5110, 3, 40), (24811, 8, 7408)], 0.0067000007, 'xrule'), ([(8287, 8, 7408), (5110, 3, 75), (8287, 3, 75)], 0.0062000006, 'xrule')]",6,"[0.00626175245270133, 1.334632088401122e-05]","(5110, 8, 7408)",0.00016445291112177074
0.05490421364083886,1,"[1, 1]",1.0,"[([(7177, 3, 79)], 0.023950881267048776, 'kelpie'), ([(7177, 3, 33)], 0.019280784726002892, 'kelpie'), ([(7177, 4, 169)], 0.01757444715330459, 'kelpie'), ([(12095, 3, 6), (7177, 3, 6), (12095, 11, 7956)], 0.0, 'xrule'), ([(14020, 3, 6), (7177, 3, 6), (14020, 11, 7956)], 0.0, 'xrule'), ([(18317, 3, 6), (18317, 11, 7956), (7177, 3, 6)], 0.0, 'xrule')]",6,"[0.09945523738861084, 0.010353189893066883]","(7177, 11, 7956)",5.2181261708028615e-05
1.5414820742520874e-05,1,"[135, 5]",70.0,"[([(7536, 3, 1077)], 0.0686858175286437, 'kelpie'), ([(7536, 2, 729)], 0.06702284796663777, 'kelpie'), ([(7536, 3, 1321)], 0.0631344272006173, 'kelpie'), ([(22161, 12, 4492), (22161, 2, 30), (7536, 2, 30)], 0.0, 'xrule'), ([(22161, 2, 68), (7536, 2, 68), (22161, 12, 4492)], 0.0, 'xrule'), ([(22161, 3, 506), (22161, 12, 4492), (7536, 3, 506)], 0.0, 'xrule')]",6,"[2.7442450090120474e-08, 3.080219903495163e-05]","(7536, 12, 4492)",0.00012008265184704214
