#facts,original_score,facts,prediction,new_score,original_rank,new_ranks,new_rank,new_scores
5,0.7884548306465149,"[([(1347, 1, 8776)], 0.8353217717767597, 'kelpie'), ([(1347, 1, 8776)], 0.18509999, 'xrule'), ([(4276, 1, 1347), (4276, 0, 8776)], 0.112799995, 'xrule'), ([(15424, 0, 8776)], 0.043124417740205596, 'kelpie'), ([(8776, 1, 8777)], -0.07718940544246798, 'kelpie')]","(8776, 1, 1347)",6.928593029442709e-05,1,"[10868, 6233]",8550.5,"[5.672023326042108e-05, 8.18516273284331e-05]"
4,0.6023808717727661,"[([(1864, 4, 39499)], 0.6736336201156528, 'kelpie'), ([(1864, 4, 14380), (14380, 0, 292), (1864, 4, 39499)], -0.9007, 'xrule'), ([(12084, 0, 292), (1864, 4, 39499), (1864, 4, 12084)], -0.9025, 'xrule'), ([(2463, 0, 292), (1864, 4, 2463), (1864, 4, 39499)], -0.91249996, 'xrule')]","(39499, 0, 292)",0.00014893226034473628,1,"[160, 8]",84.0,"[7.167787407524884e-05, 0.00022618664661422372]"
6,0.6571306586265564,"[([(193, 6, 28640)], 0.7063880418691696, 'kelpie'), ([(28640, 6, 4498)], 0.1980554269177742, 'kelpie'), ([(193, 6, 28640), (193, 6, 21829), (21829, 2, 741)], 0.0001, 'xrule'), ([(193, 6, 28640), (11427, 2, 741), (193, 6, 11427)], 0.0001, 'xrule'), ([(740, 2, 741), (193, 6, 28640), (193, 6, 740)], 0.0, 'xrule'), ([(28640, 6, 7593)], -0.1841055347525347, 'kelpie')]","(28640, 2, 741)",0.0003557489544618875,1,"[31, 138]",84.5,"[0.0004963807878084481, 0.00021511712111532688]"
3,0.9449015259742737,"[([(14753, 1, 34777)], 0.9826068190621892, 'kelpie'), ([(14753, 1, 34777)], 0.7542, 'xrule'), ([(34777, 0, 11327)], -0.003529568246813717, 'kelpie')]","(34777, 1, 14753)",1.3825049791194033e-05,1,"[968, 22110]",11539.0,"[1.901632822409738e-05, 8.633771358290687e-06]"
5,0.45097658038139343,"[([(26770, 0, 7635)], 0.34908549141943174, 'kelpie'), ([(26770, 6, 26771)], 0.20522193183120221, 'kelpie'), ([(24162, 6, 26771), (26770, 6, 26771), (24162, 5, 6829)], 0.0141, 'xrule'), ([(26770, 6, 26771), (26771, 5, 6829)], 0.0055, 'xrule'), ([(26770, 0, 7635), (24162, 0, 7635), (24162, 5, 6829)], -0.0227, 'xrule')]","(26770, 5, 6829)",0.00022390612866729498,1,"[223, 205]",214.0,"[0.00016890623373910785, 0.0002789060235954821]"
4,0.9488105773925781,"[([(12441, 1, 11565)], 0.0481, 'xrule'), ([(11565, 1, 17450)], 0.0420319838119251, 'kelpie'), ([(11565, 1, 8276)], 0.03324196766199215, 'kelpie'), ([(11565, 1, 13729)], 0.022880117367732145, 'kelpie')]","(11565, 1, 12441)",0.0001471911346015986,1,"[18742, 4248]",11495.0,"[6.323950219666585e-05, 0.00023114276700653136]"
5,0.4814486503601074,"[([(5211, 5, 5742), (34444, 1, 903), (5211, 6, 34444), (903, 1, 34444)], 0.0034999999, 'xrule'), ([(23276, 0, 904), (23276, 5, 5742), (903, 0, 904)], -0.0042999997, 'xrule'), ([(903, 1, 34444)], -0.01187163691091322, 'kelpie'), ([(903, 0, 904)], -0.019074053529040493, 'kelpie'), ([(34444, 1, 903)], -0.10870540601100555, 'kelpie')]","(903, 5, 5742)",0.0033125084592029452,1,"[9, 34]",21.5,"[0.004506000783294439, 0.002119016135111451]"
6,0.8138606548309326,"[([(19739, 1, 14612)], 0.7143496728170153, 'kelpie'), ([(19739, 1, 14612)], 0.55799997, 'xrule'), ([(19739, 1, 8883), (8883, 1, 19739), (8884, 1, 8883), (8883, 1, 8884), (14612, 1, 8884)], 0.49159998, 'xrule'), ([(14613, 1, 14612)], 0.048821548921484346, 'kelpie'), ([(14612, 1, 14613)], 0.011481086654261083, 'kelpie'), ([(17887, 1, 8884), (14612, 1, 8884), (8884, 1, 17887), (19739, 1, 17887), (17887, 1, 19739)], -0.031000018, 'xrule')]","(14612, 1, 19739)",4.1228204281651415e-05,1,"[11217, 8294]",9755.5,"[3.139059481327422e-05, 5.106581375002861e-05]"
3,0.8771597146987915,"[([(36079, 1, 24146)], 0.9380476969457207, 'kelpie'), ([(36079, 1, 24146)], 0.2896, 'xrule'), ([(24146, 1, 12197)], -0.045047421984093214, 'kelpie')]","(24146, 1, 36079)",1.5974600842127984e-06,1,"[40187, 38980]",39583.5,"[9.873941735349945e-07, 2.2075259948906023e-06]"
4,0.512271523475647,"[([(1864, 4, 31393)], 0.048292460794302106, 'kelpie'), ([(1864, 4, 14380), (14380, 0, 292), (1864, 4, 31393)], -0.5959, 'xrule'), ([(1864, 4, 31393), (15217, 0, 292), (1864, 4, 15217)], -0.8035, 'xrule'), ([(1864, 4, 9565), (9565, 0, 292), (1864, 4, 31393)], -0.8371, 'xrule')]","(31393, 0, 292)",0.00015050252477522008,1,"[155, 8]",81.5,"[7.278448174474761e-05, 0.00022822056780569255]"
