new_score,new_ranks,original_score,prediction,original_rank,#facts,new_scores,new_rank,facts
3.1626644,"[1, 1]",8.543635,"(11375, 120, 791)",1,14,"[3.1986973, 3.1266313]",1.0,"[([(12925, 111, 11375)], 1.7958451136851088, 9521.85764240051), ([(12145, 111, 11375)], 1.1185246052856954, -1459.2462850666677), ([(3554, 15, 11375)], 1.112178856177587, -1322.2474649156045), ([(32, 87, 11375), (7724, 133, 32), (7724, 120, 791), (32, 15, 7724)], 0.74450016, 'xrule'), ([(12674, 120, 791), (32, 87, 11375), (32, 87, 12674)], 0.36460018, 'xrule'), ([(32, 87, 11375), (5148, 120, 791), (32, 15, 5148)], -0.2776003, 'xrule'), ([(10963, 120, 791), (32, 87, 11375), (32, 15, 10963)], -0.34609985, 'xrule'), ([(8069, 120, 791), (11375, 154, 1437), (8069, 154, 1437)], -1.1702003, 'xrule'), ([(32, 15, 8069), (32, 87, 11375), (32, 87, 8069), (8069, 120, 791)], -1.3200006, 'xrule'), ([(11848, 154, 1437), (11375, 154, 1437), (11848, 120, 791)], -1.4591007, 'xrule'), ([(7505, 120, 791), (32, 87, 11375), (32, 87, 7505)], -1.5558004, 'xrule'), ([(5617, 133, 32), (32, 87, 11375), (32, 15, 5617), (5617, 120, 791)], -2.1042004, 'xrule'), ([(32, 15, 11848), (32, 87, 11375), (11848, 120, 791)], -2.4977007, 'xrule'), ([(10745, 120, 791), (32, 87, 11375), (32, 87, 10745)], -2.5035, 'xrule')]"
1.6772653,"[1, 1]",9.869648,"(1716, 25, 62)",1,3,"[1.5168431, 1.8376875]",1.0,"[([(7160, 20, 1716)], 1.7939101082895896, 18.857405988491447), ([(354, 20, 1716)], 1.2361822701222256, 287.77489877409886), ([(831, 20, 1716)], 0.9815283325721437, 655.7274113556538)]"
0.68456125,"[5, 3]",5.6099863,"(9418, 66, 592)",6,13,"[0.7345709, 0.63455164]",4.0,"[([(9418, 6, 4971)], 2.89652653835475, 5111.947674453971), ([(9418, 6, 7398)], 1.984885786702209, 5448.879201016933), ([(2352, 28, 32), (9418, 48, 32), (2352, 106, 592)], 1.1358004, 'xrule'), ([(9418, 48, 32), (4480, 106, 592), (4480, 28, 32), (4480, 13, 32)], 0.88360023, 'xrule'), ([(9418, 48, 32), (2066, 28, 32), (2066, 106, 592), (2066, 13, 32)], 0.8185005, 'xrule'), ([(9418, 48, 32)], 0.6316051924493606, 6421.652853335557), ([(9418, 48, 32), (32, 15, 2665), (592, 15, 2665), (2665, 83, 592), (2665, 16, 32)], 0.50839996, 'xrule'), ([(9418, 48, 32), (2409, 28, 32), (2409, 106, 592)], 0.39210033, 'xrule'), ([(3807, 66, 592), (9418, 43, 141), (3807, 43, 141)], 0.39080048, 'xrule'), ([(1486, 106, 592), (9418, 48, 32), (1486, 13, 32)], -0.16999912, 'xrule'), ([(9418, 48, 32), (1390, 28, 32), (1390, 106, 592)], -0.4652996, 'xrule'), ([(9418, 48, 32), (9202, 48, 32), (9202, 66, 592), (9202, 24, 592)], -1.4579, 'xrule'), ([(3429, 24, 592), (3429, 43, 141), (9418, 43, 141)], -1.5403996, 'xrule')]"
0.38993633,"[6, 15]",5.009362,"(3027, 106, 1652)",30,3,"[0.32277352, 0.45709914]",10.5,"[([(3027, 31, 136)], 1.1328106469415162, 5724.756357210975), ([(3027, 13, 816)], -0.16561504148948944, 4993.458690607144), ([(3027, 26, 990)], -0.26091809974296604, 7383.435138022356)]"
5.3750815,"[8, 2]",8.832844,"(12150, 154, 2438)",1,13,"[5.843357, 4.906806]",5.0,"[([(12150, 120, 791), (4938, 120, 791), (4938, 154, 2438)], 2.3879004, 'xrule'), ([(32, 87, 12150), (3760, 154, 2438), (32, 15, 3760), (3760, 133, 32)], 1.6000996, 'xrule'), ([(12150, 120, 791), (2437, 120, 791), (2437, 154, 2438)], 1.3583002, 'xrule'), ([(12150, 120, 791), (3329, 154, 2438), (3329, 120, 791)], 1.0566998, 'xrule'), ([(12150, 120, 791), (1134, 154, 2438), (1134, 120, 791)], 1.0029001, 'xrule'), ([(1134, 154, 2438), (32, 87, 12150), (32, 15, 1134)], 0.34459972, 'xrule'), ([(181, 58, 582), (181, 154, 2438), (582, 58, 181), (582, 15, 12150)], 0.30990028, 'xrule'), ([(12150, 120, 791), (3760, 154, 2438), (3760, 120, 791)], 0.11229992, 'xrule'), ([(32, 152, 181), (181, 152, 32), (181, 218, 32), (181, 154, 2438), (32, 87, 12150), (181, 58, 32), (32, 58, 181)], 0.07789993, 'xrule'), ([(12150, 120, 791), (2501, 154, 2438), (2501, 120, 791)], 0.056599617, 'xrule'), ([(7285, 58, 12150)], -0.017827947671891324, -10814.50445687887), ([(32, 87, 12150)], -0.9042977799375798, -10065.71183190637), ([(12150, 120, 791)], -2.0096477503266477, -10723.881806324274)]"
0.51846135,"[1, 1]",3.1848176,"(3683, 172, 1978)",1,13,"[0.35093534, 0.68598735]",1.0,"[([(7316, 101, 594), (7316, 172, 1978), (3683, 101, 594)], 1.9860001, 'xrule'), ([(3683, 101, 1467), (2754, 172, 1978), (2754, 101, 1467)], 1.6067, 'xrule'), ([(447, 172, 1978), (447, 101, 2677), (3683, 101, 2677)], 1.2509003, 'xrule'), ([(4511, 101, 594), (4511, 172, 1978), (3683, 101, 594)], 0.95510006, 'xrule'), ([(1464, 101, 594), (1464, 172, 1978), (3683, 101, 594)], 0.6615, 'xrule'), ([(447, 101, 2367), (447, 172, 1978), (3683, 101, 2367)], 0.17959976, 'xrule'), ([(1799, 101, 2367), (3683, 101, 2367), (1799, 172, 1978)], 0.044599533, 'xrule'), ([(1566, 89, 2754), (1566, 89, 3683), (2754, 172, 1978)], -0.040599823, 'xrule'), ([(1330, 89, 3683)], -0.2999906130811948, 7308.425559767899), ([(447, 172, 1978), (3683, 101, 594), (447, 101, 594)], -0.46710014, 'xrule'), ([(3683, 101, 594), (2754, 101, 594), (2754, 172, 1978)], -0.68239975, 'xrule'), ([(1566, 89, 3683)], -0.8060273655874499, 8919.308737675461), ([(3683, 101, 1650)], -1.9544123683220698, 7333.124073020838)]"
0.30637625,"[1, 4]",2.8549852,"(688, 35, 3840)",2,14,"[0.2683109, 0.3444416]",2.5,"[([(6448, 35, 3840), (6448, 35, 1161), (688, 35, 1161)], 5.4792004, 'xrule'), ([(7979, 15, 3840), (7979, 15, 2527), (688, 35, 2527)], 3.6089, 'xrule'), ([(3840, 219, 90), (688, 35, 2527), (2527, 219, 90)], 2.7807999, 'xrule'), ([(1161, 219, 90), (3840, 219, 90), (688, 35, 1161)], 2.1826, 'xrule'), ([(1695, 58, 3840), (6448, 64, 688), (688, 64, 6448), (6448, 35, 1695)], 2.0677004, 'xrule'), ([(1161, 18, 2436), (3840, 18, 2436), (688, 35, 1161)], 1.7786999, 'xrule'), ([(3840, 18, 1771), (2527, 18, 1771), (688, 35, 2527)], 1.5516005, 'xrule'), ([(6448, 64, 688), (688, 64, 6448), (6448, 35, 3840)], 1.5321999, 'xrule'), ([(1161, 18, 1771), (3840, 18, 1771), (688, 35, 1161)], 1.4830999, 'xrule'), ([(3840, 18, 2436), (688, 35, 2527), (2527, 18, 2436)], 1.2097006, 'xrule'), ([(857, 64, 688)], 0.3700685914674698, 6698.591475542452), ([(7979, 15, 3840), (7979, 15, 1161), (688, 35, 1161)], 0.26040077, 'xrule'), ([(3282, 64, 688)], 0.18855194314413498, 6322.546998817003), ([(688, 64, 6448)], 0.13040069784556135, 7650.532554047497)]"
0.43413845,"[1, 1]",5.5344553,"(5017, 14, 160)",4,13,"[0.27471143, 0.59356546]",1.0,"[([(5017, 31, 1314)], 3.507157202904811, 9507.97089071871), ([(8857, 14, 160), (8857, 28, 32), (5017, 28, 32)], 3.17, 'xrule'), ([(5017, 26, 64)], 2.757621466621485, 11203.940342331243), ([(643, 14, 160), (5017, 31, 4), (643, 31, 4), (4, 2, 643)], 2.4020004, 'xrule'), ([(10865, 26, 342), (10865, 14, 160), (5017, 26, 342)], 2.1969004, 'xrule'), ([(10865, 26, 64), (5017, 26, 64), (10865, 14, 160)], 2.1217003, 'xrule'), ([(2647, 48, 382), (5017, 28, 382), (2647, 100, 160)], 1.7775002, 'xrule'), ([(10865, 26, 1881), (5017, 26, 1881), (10865, 14, 160)], 1.6844997, 'xrule'), ([(2694, 6, 5017)], 1.4908667277653538, 8550.81620831803), ([(643, 14, 160), (5017, 26, 64), (643, 26, 64)], 1.4902, 'xrule'), ([(8857, 14, 160), (4, 2, 8857), (5017, 31, 4)], 0.9981003, 'xrule'), ([(12993, 232, 160), (5017, 28, 32), (12993, 48, 32)], 0.30410004, 'xrule'), ([(5017, 28, 32), (643, 14, 160), (643, 28, 32)], 0.24550056, 'xrule')]"
0.41027308,"[4, 8]",3.6906297,"(9148, 74, 1769)",21,3,"[0.4560656, 0.36448053]",6.0,"[([(8300, 2, 9148)], -1.0059594597655863, -2591.732228674889), ([(7699, 32, 9148)], -1.739988248252598, -2644.8506855827786), ([(9148, 90, 1793)], -1.779940524229817, -2146.8556895316956)]"
1.2125919,"[4, 2]",3.8340824,"(10459, 26, 1098)",2,14,"[1.36135, 1.0638337]",3.0,"[([(10459, 28, 32), (2676, 13, 32), (2676, 26, 1098)], 3.7700996, 'xrule'), ([(10459, 28, 32), (4257, 26, 1098), (4257, 28, 32)], 3.1713, 'xrule'), ([(10459, 28, 32), (5099, 26, 1098), (5099, 28, 32)], 2.7614994, 'xrule'), ([(10459, 28, 32), (257, 26, 1098), (257, 28, 32), (257, 13, 32)], 2.1560993, 'xrule'), ([(10459, 28, 32), (1107, 26, 1098), (1107, 28, 32), (1107, 13, 32)], 1.8979998, 'xrule'), ([(10459, 28, 32), (5050, 13, 32), (5050, 26, 1098)], 1.7620001, 'xrule'), ([(1499, 31, 136), (1499, 26, 1098), (10459, 31, 136)], 1.5328999, 'xrule'), ([(10459, 28, 32), (6701, 26, 1098), (6701, 13, 32)], 1.4811001, 'xrule'), ([(10459, 136, 1917), (5099, 136, 1917), (5099, 26, 1098)], 1.2702999, 'xrule'), ([(371, 7, 10459)], 1.0548439548027655, 11255.741703976044), ([(10459, 28, 32), (1499, 13, 32), (1499, 26, 1098)], 0.23139954, 'xrule'), ([(10459, 74, 524)], -0.10304876130321901, 9572.47426057298), ([(10459, 26, 64), (257, 26, 1098), (257, 26, 64)], -0.82970047, 'xrule'), ([(10459, 116, 1995)], -1.0366410691908856, 7730.2617986116575)]"
