new_scores,new_rank,facts,prediction,new_ranks,new_score,original_rank,original_score,#facts
"[1.132813, 1.206445]",49.0,"[([(12662, 1, 9620)], 1.3773933078488334, -638.2014279822298), ([(12662, 1, 9620), (9620, 1, 12662), (12662, 1, 17657), (17657, 1, 12662), (17657, 0, 3716)], 1.0465002, 'xrule'), ([(9620, 1, 12662)], 0.6026006182078313, -672.3537489489327), ([(21261, 1, 9620)], 0.19691423640309547, 2168.5490700928203), ([(18308, 0, 3716), (12662, 1, 9620), (9620, 1, 12662), (12662, 1, 18308), (18308, 1, 12662)], -0.97749996, 'xrule')]","(9620, 0, 3716)","[10, 88]",1.169629,1,1.701146,5
"[5.2665105, 4.6963496]",6834.5,"[([(27391, 6, 2610), (21026, 6, 27391), (2610, 0, 306)], 1.7403002, 'xrule'), ([(305, 0, 306), (21026, 6, 305)], 0.7695999, 'xrule'), ([(9857, 0, 306), (21026, 1, 9857)], 0.724, 'xrule'), ([(21026, 6, 305)], 0.4132147252820338, -934.3981415514178), ([(27391, 0, 306), (21026, 6, 27391)], 0.063399315, 'xrule'), ([(21026, 6, 23219), (23219, 0, 306)], -0.13679981, 'xrule'), ([(9857, 1, 25064), (25064, 1, 9857), (25064, 0, 306), (21026, 1, 9857)], -0.3118, 'xrule'), ([(21026, 1, 34418), (34418, 1, 21026), (25064, 0, 306), (25064, 1, 34418)], -0.39620018, 'xrule'), ([(21026, 1, 9857)], -0.8190421586972549, 3045.3059670108296), ([(39981, 6, 21026)], -1.550445487395446, 261.17502192525893)]","(21026, 0, 306)","[1315, 12354]",4.98143,1,2.045721,10
"[5.071859, 5.484967]",7053.5,"[([(1122, 9, 1123), (1123, 0, 23212), (1122, 0, 2918), (1123, 9, 1122)], 2.3617, 'xrule'), ([(23212, 9, 1122), (1122, 0, 2918)], 0.9381008, 'xrule'), ([(23212, 1, 13209), (1122, 1, 13209), (13209, 1, 1122), (13209, 1, 23212), (1122, 0, 2918)], 0.59100056, 'xrule'), ([(23212, 9, 1122)], 0.48596767854670797, 2282.619156051464), ([(1123, 0, 23212)], 0.12808040822292008, 3124.531976390684), ([(23212, 1, 13209)], 0.06306842990444342, 5441.5157618732555)]","(23212, 0, 2918)","[237, 13870]",5.278413,1,1.6729352,6
"[4.4735723, 5.109371]",17.0,"[([(35194, 4, 35195)], 1.3815146115422026, 3692.79923413335), ([(35194, 4, 14146)], -0.9802140685573147, 17497.272849299843)]","(35194, 0, 1027)","[5, 29]",4.7914715,1,1.6250241,2
"[5.2292266, 5.060335]",2864.0,"[([(22016, 4, 22017)], 2.6632682534234426, -260.06517593200266), ([(22016, 4, 32466), (32466, 0, 883), (22016, 4, 22017)], 1.2073002, 'xrule'), ([(27376, 0, 883), (22016, 4, 27376), (22016, 4, 22017)], 0.09430027, 'xrule')]","(22017, 0, 883)","[1876, 3852]",5.144781,1,0.9429634,3
"[4.954831, 5.0614877]",29.5,"[([(1038, 4, 29795), (29795, 0, 184), (1038, 4, 40030)], 3.2902002, 'xrule'), ([(9909, 0, 184), (1038, 4, 40030), (1038, 4, 9909)], 2.3133001, 'xrule'), ([(1038, 4, 10518), (1038, 4, 40030), (10518, 0, 184)], 2.2186995, 'xrule'), ([(1038, 4, 5424), (1038, 4, 40030), (5424, 0, 184)], 1.8041, 'xrule'), ([(1905, 0, 184), (1038, 4, 40030), (1038, 4, 1905)], 1.7835999, 'xrule'), ([(1038, 4, 40030)], 1.2530537230023624, 2002.7778280175887), ([(20385, 0, 184), (1038, 4, 20385), (1038, 4, 40030)], 0.99209976, 'xrule'), ([(1038, 4, 13780), (13780, 0, 184), (1038, 4, 40030)], 0.81559944, 'xrule'), ([(7310, 0, 184), (1038, 4, 40030), (1038, 4, 7310)], 0.7623997, 'xrule'), ([(5149, 0, 184), (1038, 4, 40030), (1038, 4, 5149)], 0.6501999, 'xrule'), ([(1038, 4, 40030), (1038, 4, 37195), (37195, 0, 184)], 0.6104994, 'xrule')]","(40030, 0, 184)","[10, 49]",5.0081596,1,1.5084891,11
"[5.890762, 6.242815]",4840.5,"[([(15788, 6, 14768)], -0.18062015312702603, -914.5450326873174), ([(14768, 0, 21985)], -0.2704619953835545, -867.5672063306444), ([(14768, 6, 14769)], -1.019589372771858, -422.73489261654976), ([(21984, 0, 21985), (14768, 0, 21985), (21984, 6, 24252)], -1.7535, 'xrule'), ([(31029, 6, 24252), (14768, 0, 21985), (31029, 0, 21985)], -4.2998, 'xrule')]","(14768, 6, 24252)","[6379, 3302]",6.0667887,1,2.3381553,5
"[1.449143, 1.2839278]",1.0,"[([(4808, 6, 7324), (6798, 2, 12273), (4808, 6, 6798)], 4.0448008, 'xrule'), ([(4808, 6, 7324), (12272, 2, 12273), (4808, 6, 12272)], 3.6732006, 'xrule'), ([(3408, 6, 7324), (3408, 6, 12484), (12484, 2, 12273)], 3.4817, 'xrule'), ([(3408, 6, 7324), (7129, 2, 12273), (3408, 6, 7129)], 3.4373007, 'xrule'), ([(3408, 6, 7324), (1322, 2, 12273), (3408, 6, 1322)], 3.0989008, 'xrule'), ([(3408, 6, 7324), (12272, 2, 12273), (3408, 6, 12272)], 2.7632008, 'xrule'), ([(3408, 6, 7324), (3684, 2, 12273), (3408, 6, 3684)], 2.0460005, 'xrule'), ([(3408, 6, 7324), (1349, 2, 12273), (3408, 6, 1349)], 1.6259003, 'xrule'), ([(7324, 6, 15701)], 1.592611384017925, 152.8309831793662), ([(3408, 6, 7324), (3408, 6, 687), (687, 2, 12273)], 0.58860016, 'xrule'), ([(7324, 6, 26524)], 0.3780775484743057, 48.59340933745051), ([(3408, 6, 7324)], 0.2914047649561671, 384.57233999782096), ([(3408, 6, 7324), (6798, 2, 12273), (3408, 6, 6798)], -0.05629921, 'xrule'), ([(3408, 6, 7324), (8789, 2, 12273), (3408, 6, 8789)], -0.6236992, 'xrule')]","(7324, 2, 12273)","[1, 1]",1.3665354,1,0.8107544,14
"[4.963109, 5.3064513]",448.0,"[([(1864, 4, 31393)], 4.269428034420656, 8441.986203221255), ([(1864, 4, 14095), (1864, 4, 31393), (14095, 0, 292)], 1.6107006, 'xrule'), ([(1864, 4, 6046), (1864, 4, 31393), (6046, 0, 292)], 1.3983002, 'xrule'), ([(1864, 4, 19890), (1864, 4, 31393), (19890, 0, 292)], 1.2804003, 'xrule'), ([(1864, 4, 26575), (26575, 0, 292), (1864, 4, 31393)], 0.46810055, 'xrule'), ([(1864, 4, 26778), (1864, 4, 31393), (26778, 0, 292)], 0.43060017, 'xrule'), ([(18940, 0, 292), (1864, 4, 31393), (1864, 4, 18940)], 0.24359989, 'xrule'), ([(1864, 4, 31393), (1864, 4, 14023), (14023, 0, 292)], -0.35739994, 'xrule'), ([(38359, 0, 292), (1864, 4, 31393), (1864, 4, 38359)], -0.5703001, 'xrule'), ([(1864, 4, 31393), (20645, 0, 292), (1864, 4, 20645)], -0.8104, 'xrule'), ([(2148, 0, 292), (1864, 4, 31393), (1864, 4, 2148)], -1.4146996, 'xrule')]","(31393, 0, 292)","[495, 401]",5.13478,1,1.4777615,11
"[4.720779, 5.7881384]",3377.5,"[([(1038, 4, 3395)], 1.022550634298422, -6726.264530875752), ([(3395, 4, 3396)], 0.20740608441710415, -9882.448333568735), ([(5149, 0, 184), (1038, 4, 5149), (1038, 4, 3395)], 0.11159992, 'xrule'), ([(4508, 0, 184), (1038, 4, 4508), (1038, 4, 3395)], -1.3396997, 'xrule'), ([(1038, 4, 4246), (4246, 0, 184), (1038, 4, 3395)], -1.5054998, 'xrule'), ([(1038, 4, 7423), (7423, 0, 184), (1038, 4, 3395)], -1.8340998, 'xrule'), ([(1038, 4, 1540), (1540, 0, 184), (1038, 4, 3395)], -2.0290003, 'xrule'), ([(1038, 4, 1477), (1477, 0, 184), (1038, 4, 3395)], -2.1148005, 'xrule'), ([(7310, 0, 184), (1038, 4, 7310), (1038, 4, 3395)], -2.1557999, 'xrule'), ([(9131, 0, 184), (1038, 4, 9131), (1038, 4, 3395)], -3.1197996, 'xrule'), ([(1905, 0, 184), (1038, 4, 1905), (1038, 4, 3395)], -3.1209002, 'xrule'), ([(3889, 0, 184), (1038, 4, 3889), (1038, 4, 3395)], -4.3556995, 'xrule')]","(3395, 0, 184)","[63, 6692]",5.2544584,1,1.168735,12
