new_score,new_ranks,prediction,facts,new_scores,exp_length,original_rank,exp,new_rank,original_score
8.52499,[1],"(6427, 9, 7790)","[([(6427, 3, 278), (25155, 9, 7790), (25155, 3, 278)], 0.13230038, 'xrule'), ({(6427, 3, 278)}, 0.12783531388243244, 'baseline'), ([(24248, 9, 7790), (6427, 3, 100), (24248, 3, 100)], 0.12720013, 'xrule'), ([(6427, 3, 278), (24248, 3, 278), (24248, 9, 7790)], 0.12440014, 'xrule'), ([(6427, 3, 2561), (18187, 3, 2561), (18187, 9, 7790)], 0.12440014, 'xrule'), ([(6427, 3, 2561), (11781, 9, 7790), (11781, 3, 2561)], 0.12390041, 'xrule'), ({(6427, 2, 29)}, 0.10035804945555367, 'baseline'), ({(6427, 3, 479)}, 0.04996399111313683, 'baseline'), ({(6427, 3, 40)}, 0.04525474737401932, 'baseline'), ({(6427, 3, 10)}, 0.03935817905445582, 'baseline'), ({(6427, 3, 6)}, 0.036294023479033585, 'baseline'), ({(6427, 3, 9)}, 0.03085426514484299, 'baseline'), ({(6427, 3, 1267)}, 0.024011651933025686, 'baseline'), ({(6427, 3, 7)}, 0.022267381619176085, 'baseline'), ({(6427, 2, 68)}, 0.01540378758883986, 'baseline')]",[8.52499],12,1,"[(24248, 3, 278), (6427, 3, 100), (24248, 9, 7790), (25155, 9, 7790), (24248, 3, 100), (18187, 9, 7790), (6427, 3, 2561), (21346, 3, 278), (21346, 9, 7790), (18187, 3, 2561), (6427, 3, 278), (25155, 3, 278)]",1.0,9.176514
5.426696,[2],"(7125, 11, 8038)","[([(7125, 3, 9), (8416, 3, 9), (8416, 11, 8038)], 1.3860006, 'xrule'), ([(7125, 3, 9), (21341, 3, 9), (21341, 11, 8038)], 1.1704006, 'xrule'), ([(12691, 3, 78), (7125, 3, 78), (12691, 11, 8038)], 1.0356007, 'xrule'), ([(19983, 11, 8038), (7125, 3, 40), (19983, 3, 40)], 1.0355005, 'xrule'), ([(15695, 11, 8038), (7125, 3, 479), (15695, 3, 479)], 1.0150003, 'xrule'), ({(7125, 3, 479)}, 0.15625433178176093, 'baseline'), ({(7125, 3, 476)}, 0.12849764074702888, 'baseline'), ({(7125, 3, 9)}, 0.09029678538024458, 'baseline'), ({(7125, 3, 78)}, 0.09001306727382528, 'baseline'), ({(7125, 3, 10)}, 0.08983616069573405, 'baseline'), ({(7125, 3, 39)}, 0.0868363781101965, 'baseline'), ({(7125, 3, 220)}, 0.08240894511542332, 'baseline'), ({(7125, 3, 40)}, 0.07927803230451083, 'baseline'), ({(7125, 1, 65)}, 0.05781797600540522, 'baseline'), ({(7125, 4, 66)}, 0.05165771673020608, 'baseline')]",[5.426696],14,1,"[(12691, 3, 78), (19983, 3, 40), (8416, 11, 8038), (7125, 3, 479), (21341, 11, 8038), (15695, 3, 479), (19983, 11, 8038), (7125, 3, 9), (15695, 11, 8038), (7125, 3, 40), (8416, 3, 9), (7125, 3, 78), (21341, 3, 9), (12691, 11, 8038)]",2.0,5.990065
6.5330353,[1],"(5822, 11, 7992)","[([(11328, 11, 7992), (11328, 3, 10), (5822, 3, 10)], 0.74090004, 'xrule'), ([(11328, 11, 7992), (5822, 3, 476), (11328, 3, 476)], 0.7325001, 'xrule'), ([(11328, 3, 278), (5822, 3, 278), (11328, 11, 7992)], 0.5142002, 'xrule'), ([(17274, 11, 7992), (17274, 3, 10), (5822, 3, 10)], 0.32999992, 'xrule'), ([(16070, 3, 9), (5822, 3, 9), (16070, 11, 7992)], 0.31299973, 'xrule'), ({(5822, 4, 66)}, 0.08546833230949885, 'baseline'), ({(5822, 3, 476)}, 0.07204822733506717, 'baseline'), ({(5822, 3, 9)}, 0.07117656900909682, 'baseline'), ({(5822, 3, 220)}, 0.04758648109123432, 'baseline'), ({(5822, 3, 6)}, 0.045855562159808835, 'baseline'), ({(5822, 3, 40)}, 0.044381181697750766, 'baseline'), ({(5822, 2, 68)}, 0.03964237400035805, 'baseline'), ({(5822, 3, 369)}, 0.02827552981053835, 'baseline'), ({(5822, 3, 278)}, 0.023800889891991316, 'baseline'), ({(5822, 3, 33)}, 0.02139000126714732, 'baseline')]",[6.5330353],12,1,"[(11328, 3, 10), (16070, 11, 7992), (16070, 3, 9), (17274, 11, 7992), (5822, 3, 9), (11328, 3, 278), (5822, 3, 278), (11328, 11, 7992), (17274, 3, 10), (11328, 3, 476), (5822, 3, 476), (5822, 3, 10)]",1.0,6.493819
6.989563,[1],"(7788, 11, 8038)","[([(7788, 3, 37), (25070, 3, 37), (25070, 11, 8038)], 0.31279945, 'xrule'), ([(7788, 3, 9), (23745, 11, 8038), (23745, 3, 9)], 0.2546997, 'xrule'), ([(23745, 11, 8038), (7788, 3, 78), (23745, 3, 78)], 0.23519993, 'xrule'), ([(23745, 3, 479), (23745, 11, 8038), (7788, 3, 479)], 0.18379974, 'xrule'), ([(23745, 3, 651), (7788, 3, 651), (23745, 11, 8038)], 0.1775999, 'xrule'), ({(7788, 3, 1321)}, 0.08248333166656646, 'baseline'), ({(7788, 3, 651)}, 0.08159927561582186, 'baseline'), ({(7788, 3, 479)}, 0.06545070839834174, 'baseline'), ({(7788, 3, 666)}, 0.05314830966624885, 'baseline'), ({(7788, 3, 37)}, 0.046852151826227664, 'baseline'), ({(7788, 3, 10)}, 0.04352192113828545, 'baseline'), ({(7788, 3, 40)}, 0.040317575426830975, 'baseline'), ({(7788, 3, 9)}, 0.04030040930299944, 'baseline'), ({(7788, 3, 220)}, 0.031000177334365074, 'baseline'), ({(7788, 9, 7790)}, 0.02938369935598939, 'baseline')]",[6.989563],12,1,"[(7788, 3, 78), (23745, 3, 479), (7788, 3, 479), (23745, 3, 651), (23745, 3, 78), (7788, 3, 651), (23745, 11, 8038), (7788, 3, 9), (23745, 3, 9), (7788, 3, 37), (25070, 3, 37), (25070, 11, 8038)]",1.0,7.2885904
6.2909904,[1],"(5279, 11, 7992)","[([(8347, 11, 7992), (5279, 2, 31), (8347, 2, 31)], 0.11139965, 'xrule'), ({(5279, 4, 66)}, 0.10465482910304885, 'baseline'), ({(5279, 3, 40)}, 0.09956316187114463, 'baseline'), ({(5279, 3, 6)}, 0.08792738152948601, 'baseline'), ({(5279, 3, 75)}, 0.08777670102168905, 'baseline'), ({(5279, 3, 20)}, 0.05274252128403027, 'baseline'), ({(5279, 2, 69)}, 0.042331735573759154, 'baseline'), ({(5279, 3, 1964)}, 0.035798589656172615, 'baseline'), ({(5279, 3, 1878)}, 0.029768030147365416, 'baseline'), ({(5279, 3, 891)}, 0.02842859456050111, 'baseline'), ({(5279, 3, 73)}, 0.026139776178222097, 'baseline'), ([(8347, 11, 7992), (5279, 3, 6), (8347, 3, 6)], -0.067100525, 'xrule'), ([(18840, 11, 7992), (5279, 3, 6), (18840, 3, 6)], -0.13720036, 'xrule'), ([(21081, 1, 1054), (21081, 11, 7992), (5279, 1, 1054)], -0.22099972, 'xrule'), ([(25096, 3, 40), (5279, 3, 40), (25096, 11, 7992)], -0.2425003, 'xrule')]",[6.2909904],15,1,"[(13418, 11, 7992), (5279, 3, 40), (23470, 3, 75), (5279, 3, 75), (25766, 3, 6), (25411, 3, 40), (5279, 2, 31), (25411, 11, 7992), (5279, 3, 6), (5279, 4, 66), (8347, 2, 31), (8347, 11, 7992), (13418, 4, 66), (23470, 11, 7992), (25766, 11, 7992)]",1.0,5.8608837
6.0335407,[2],"(6848, 11, 7992)","[([(22529, 11, 7992), (6848, 3, 9), (22529, 3, 9)], 0.45219994, 'xrule'), ([(22529, 11, 7992), (6848, 3, 75), (22529, 3, 75)], 0.37129974, 'xrule'), ([(22529, 11, 7992), (6848, 3, 6), (22529, 3, 6)], 0.1451006, 'xrule'), ({(6848, 4, 66)}, 0.1295919819931266, 'baseline'), ({(6848, 3, 9)}, 0.12434391225068847, 'baseline'), ([(23258, 3, 75), (6848, 3, 75), (23258, 11, 7992)], 0.099900246, 'xrule'), ({(6848, 3, 479)}, 0.08703617290167107, 'baseline'), ({(6848, 1, 65)}, 0.07784847452105632, 'baseline'), ({(6848, 2, 68)}, 0.06394771766625668, 'baseline'), ({(6848, 3, 7)}, 0.05342201420573039, 'baseline'), ({(6848, 3, 75)}, 0.04773525428011384, 'baseline'), ({(6848, 2, 31)}, 0.04748539157156329, 'baseline'), ({(6848, 3, 629)}, 0.02645019715349734, 'baseline'), ({(6848, 3, 748)}, 0.010103265734351196, 'baseline'), ([(22529, 11, 7992), (6848, 3, 39), (22529, 3, 39)], -0.021100044, 'xrule')]",[6.0335407],12,1,"[(25411, 3, 9), (13418, 11, 7992), (22529, 3, 6), (22529, 3, 9), (6848, 3, 6), (6848, 4, 66), (6848, 3, 9), (25411, 11, 7992), (22529, 3, 75), (22529, 11, 7992), (13418, 4, 66), (6848, 3, 75)]",2.0,5.854315
3.6647177,[34],"(7058, 9, 9349)","[([(10310, 3, 7062), (10310, 9, 9349), (7058, 3, 7062)], 0.7322998, 'xrule'), ([(7058, 2, 7059), (10310, 9, 9349), (10310, 2, 7059)], 0.68449974, 'xrule'), ([(20818, 9, 9349), (20818, 3, 7062), (7058, 3, 7062)], 0.6520004, 'xrule'), ([(24095, 9, 9349), (24095, 3, 7062), (7058, 3, 7062)], 0.6451006, 'xrule'), ([(7058, 2, 7059), (20818, 2, 7059), (20818, 9, 9349)], 0.60060024, 'xrule'), ({(7058, 3, 7062)}, 0.5876894432659603, 'baseline'), ({(7058, 2, 7059)}, 0.5314922761529027, 'baseline'), ({(7058, 2, 2083)}, 0.24132255795797586, 'baseline'), ({(7058, 1, 65)}, 0.11090759477413598, 'baseline'), ({(7058, 3, 220)}, 0.03933529086203387, 'baseline'), ({(7058, 3, 40)}, 0.0229168338102349, 'baseline'), ({(7058, 3, 39)}, 0.01674322311288713, 'baseline')]",[3.6647177],10,1,"[(20818, 3, 7062), (10310, 2, 7059), (24095, 3, 7062), (7058, 2, 7059), (7058, 3, 7062), (20818, 9, 9349), (24095, 9, 9349), (10310, 3, 7062), (10310, 9, 9349), (20818, 2, 7059)]",34.0,6.829075
6.0866137,[4],"(5822, 12, 8676)","[([(21752, 12, 8676), (21752, 3, 748), (5822, 3, 748)], 0.30010033, 'xrule'), ([(20591, 3, 748), (20591, 12, 8676), (5822, 3, 748)], 0.28209972, 'xrule'), ([(23237, 12, 8676), (23237, 3, 748), (5822, 3, 748)], 0.27330017, 'xrule'), ([(10818, 12, 8676), (10818, 3, 748), (5822, 3, 748)], 0.2727995, 'xrule'), ({(5822, 3, 748)}, 0.26897434490431055, 'baseline'), ([(9083, 12, 8676), (9083, 3, 748), (5822, 3, 748)], 0.2574997, 'xrule'), ({(5822, 3, 279)}, 0.16523937438492703, 'baseline'), ({(5822, 3, 40)}, 0.11731723986141496, 'baseline'), ({(5822, 3, 220)}, 0.10882190899122131, 'baseline'), ({(5822, 3, 7)}, 0.09978870587303325, 'baseline'), ({(5822, 3, 6)}, 0.09965900618534566, 'baseline'), ({(5822, 3, 39)}, 0.09181026649749152, 'baseline'), ({(5822, 3, 476)}, 0.07288269231539848, 'baseline'), ({(5822, 3, 9)}, 0.06763462254330319, 'baseline'), ({(5822, 3, 278)}, 0.06296924779750177, 'baseline')]",[6.0866137],10,1,"[(21752, 12, 8676), (23237, 12, 8676), (23237, 3, 748), (20591, 3, 748), (10818, 12, 8676), (5822, 3, 748), (21752, 3, 748), (20591, 12, 8676), (8676, 3, 748), (10818, 3, 748)]",4.0,8.200344
7.063811,[1],"(5849, 11, 7869)","[([(5849, 3, 6), (13995, 11, 7869), (13995, 3, 6)], 0.61310005, 'xrule'), ([(8230, 3, 418), (5849, 3, 418), (8230, 11, 7869)], 0.54920006, 'xrule'), ([(10061, 3, 88), (5849, 3, 88), (10061, 11, 7869)], 0.4656, 'xrule'), ([(16337, 3, 39), (16337, 11, 7869), (5849, 3, 39)], 0.4612999, 'xrule'), ([(15227, 3, 88), (15227, 11, 7869), (5849, 3, 88)], 0.45680046, 'xrule'), ({(5849, 3, 6)}, 0.08073333932962327, 'baseline'), ({(5849, 3, 88)}, 0.06865028570816975, 'baseline'), ({(5849, 3, 149)}, 0.051236192697179585, 'baseline'), ({(5849, 3, 40)}, 0.04584602541199408, 'baseline'), ({(5849, 3, 7)}, 0.04396442599176912, 'baseline'), ({(5849, 3, 39)}, 0.03679947086490344, 'baseline'), ({(5849, 3, 1328)}, 0.026438753098465443, 'baseline'), ({(5849, 3, 220)}, 0.020637552224687696, 'baseline'), ({(5849, 3, 91)}, 0.02004436679233661, 'baseline'), ({(5849, 3, 418)}, 0.01790622898478651, 'baseline')]",[7.063811],14,2,"[(5849, 3, 418), (10061, 3, 88), (15227, 11, 7869), (5849, 3, 6), (8230, 3, 418), (8230, 11, 7869), (13995, 3, 6), (16337, 11, 7869), (15227, 3, 88), (5849, 3, 88), (10061, 11, 7869), (16337, 3, 39), (13995, 11, 7869), (5849, 3, 39)]",1.0,6.2528124
6.6175375,[1],"(5696, 11, 7992)","[([(24925, 11, 7992), (24925, 12, 7992), (5696, 3, 75), (24925, 3, 75)], 1.4561005, 'xrule'), ([(24925, 11, 7992), (5696, 3, 6), (24925, 12, 7992), (24925, 3, 6)], 1.2075005, 'xrule'), ([(24925, 12, 7992), (24925, 11, 7992), (24925, 3, 40), (5696, 3, 40)], 1.1346998, 'xrule'), ([(23597, 3, 75), (23597, 11, 7992), (5696, 3, 75)], 1.0871, 'xrule'), ([(23597, 11, 7992), (5696, 3, 40), (23597, 3, 40)], 1.0417004, 'xrule'), ({(5696, 3, 78)}, 0.08795265391861176, 'baseline'), ({(5696, 3, 10)}, 0.06791404914195794, 'baseline'), ({(5696, 3, 40)}, 0.04917053410531313, 'baseline'), ({(5696, 3, 706)}, 0.03343872254635506, 'baseline'), ({(5696, 3, 279)}, 0.033096353459808124, 'baseline'), ({(5696, 3, 7)}, 0.031753580064254945, 'baseline'), ({(5696, 2, 30)}, 0.029515306420643598, 'baseline'), ({(5696, 2, 27)}, 0.019782106376502923, 'baseline'), ({(5696, 3, 20)}, 0.014758150033000702, 'baseline'), ({(5696, 3, 276)}, 0.004653017002863087, 'baseline')]",[6.6175375],11,1,"[(23597, 3, 75), (23597, 11, 7992), (24925, 3, 40), (24925, 3, 75), (24925, 11, 7992), (24925, 12, 7992), (5696, 3, 6), (24925, 3, 6), (23597, 3, 40), (5696, 3, 40), (5696, 3, 75)]",1.0,6.5734153
