exp,original_score,new_ranks,exp_length,new_rank,new_score,prediction,original_rank,facts,new_scores
"[(6451, 13, 32), (11020, 113, 5770), (11761, 129, 90), (11761, 143, 9277), (11761, 150, 32), (11761, 25, 62), (11020, 83, 9277), (11761, 213, 90), (10787, 25, 62), (3529, 208, 90), (10787, 113, 5770), (3529, 150, 32), (3529, 113, 5770), (3529, 213, 90), (6451, 26, 5770)]",0.393696665763855,[2],15,2.0,0.4177055358886719,"(11761, 113, 5770)",1,"[([(3529, 150, 32), (11761, 150, 32), (3529, 113, 5770)], 0.048899997, 'xrule'), ({(11761, 143, 9277)}, 0.03752157367978488, 'baseline'), ({(11761, 25, 62)}, 0.03589149843137975, 'baseline'), ([(6451, 13, 32), (11761, 150, 32), (6451, 26, 5770)], 0.032499995, 'xrule'), ([(11761, 129, 90), (3529, 208, 90), (11761, 213, 90), (3529, 113, 5770), (3529, 213, 90)], 0.030799996, 'xrule'), ({(11761, 150, 32)}, 0.024775604689121426, 'baseline'), ({(11761, 172, 5721)}, 0.024191032139606626, 'baseline'), ({(11761, 199, 9277)}, 0.023949104339826756, 'baseline'), ([(11761, 213, 90), (11761, 129, 90), (6054, 26, 5770), (6054, 34, 90)], 0.023099996, 'xrule'), ([(11761, 113, 737), (3529, 113, 5770), (3529, 113, 737)], 0.020299993, 'xrule'), ({(11761, 129, 90)}, 0.009181979080914874, 'baseline'), ({(11761, 83, 9277)}, 0.005265007676844617, 'baseline'), ({(11761, 113, 737)}, -0.0001498768577615575, 'baseline'), ({(11761, 213, 90)}, -0.006938741605339409, 'baseline'), ({(4413, 63, 11761)}, -0.04582525512922496, 'baseline')]",[0.4177055358886719]
"[(5064, 137, 2463), (8017, 137, 10608), (5100, 137, 1074), (5914, 137, 7372), (5914, 137, 10608), (5914, 137, 2463), (8017, 137, 9633), (5064, 137, 9633), (5100, 137, 9633), (5100, 137, 7372), (5914, 137, 1074), (9450, 137, 9633), (9450, 137, 5178), (5914, 137, 5178)]",0.987588107585907,[2],14,2.0,0.9065678119659424,"(5914, 137, 9633)",1,"[({(5914, 137, 1074)}, 0.05158553551926858, 'baseline'), ({(5914, 137, 7372)}, 0.04901562163801808, 'baseline'), ({(5914, 137, 10608)}, 0.030282179784530582, 'baseline'), ({(5914, 137, 2463)}, 0.022845785088225923, 'baseline'), ({(5914, 137, 5178)}, 0.010663310941050105, 'baseline'), ({(5914, 137, 1804)}, 0.009635846075954706, 'baseline'), ({(5914, 137, 5101)}, 0.007944802702981856, 'baseline'), ([(5100, 137, 4738), (5914, 137, 4738), (5100, 137, 9633)], 0.0056000003, 'xrule'), ({(5914, 137, 2954)}, 0.004437963439424427, 'baseline'), ([(5914, 137, 9084), (1073, 137, 9633), (1073, 137, 9084)], 0.0038000005, 'xrule'), ({(5914, 137, 7082)}, 0.003711740451680965, 'baseline'), ([(7439, 137, 9633), (7439, 137, 7440), (5914, 137, 7440)], 0.0037000002, 'xrule'), ([(5914, 137, 2463), (1073, 137, 9633), (1073, 137, 2463)], 0.0028, 'xrule'), ([(2462, 137, 9633), (5914, 137, 7440), (2462, 137, 7440)], 0.0027, 'xrule'), ({(5914, 137, 11475)}, 0.0017390650886004117, 'baseline')]",[0.9065678119659424]
"[(2269, 48, 32), (2960, 7, 5900), (2269, 8, 2937), (2937, 6, 6945), (6945, 13, 32), (2937, 38, 2144), (2144, 13, 32), (2937, 19, 2960), (4353, 15, 13460), (5900, 30, 2960), (2937, 143, 4353), (5900, 28, 32), (32, 15, 13460)]",0.9600799083709717,[1],13,1.0,0.9008131623268127,"(2937, 48, 32)",1,"[({(2937, 38, 2144)}, 0.3212466650111249, 'baseline'), ({(2937, 6, 6945)}, 0.09642849401220727, 'baseline'), ({(2269, 8, 2937)}, 0.0873035592975789, 'baseline'), ([(4353, 15, 13460), (32, 15, 13460), (2937, 143, 4353)], 0.07960001, 'xrule'), ([(5900, 28, 32), (2960, 7, 5900), (2937, 19, 2960), (5900, 30, 2960)], 0.07370001, 'xrule'), ([(7642, 48, 32), (7642, 19, 559), (2937, 19, 559)], 0.05770001, 'xrule'), ([(5900, 28, 32), (863, 7, 5900), (863, 47, 2937), (2937, 19, 863)], 0.054399997, 'xrule'), ([(5900, 28, 32), (2937, 19, 2610), (5900, 30, 2610), (2610, 7, 5900)], 0.051100016, 'xrule'), ({(2937, 6, 10523)}, 0.013246635843676288, 'baseline'), ({(2144, 12, 2937)}, 0.008913020539084542, 'baseline'), ({(1174, 8, 2937)}, -0.009020824959464166, 'baseline'), ({(1892, 12, 2937)}, -0.017363865899791244, 'baseline'), ({(2937, 24, 5108)}, -0.02062292864889839, 'baseline'), ({(2937, 6, 71)}, -0.025162656818169354, 'baseline'), ({(2279, 71, 2937)}, -0.025758047646187398, 'baseline')]",[0.9008131623268127]
"[(2222, 119, 8617), (2222, 60, 90), (1959, 34, 90), (5065, 60, 90), (8617, 6, 1959), (5065, 119, 8617), (8297, 34, 90), (8617, 6, 8297), (281, 60, 90), (8617, 8, 281)]",0.947867214679718,[1],10,1.0,0.9978578686714172,"(8617, 60, 90)",1,"[({(8617, 6, 1959)}, 0.04791734642418371, 'baseline'), ({(5065, 119, 8617)}, 0.026877979697991036, 'baseline'), ({(8617, 8, 281)}, 0.007650594185604181, 'baseline'), ({(8617, 6, 8297)}, 0.0049640340333110405, 'baseline'), ({(2222, 119, 8617)}, 0.004150311435974507, 'baseline'), ({(281, 8, 8617)}, 0.003294627146867461, 'baseline'), ({(8617, 6, 8350)}, 0.0019833249601022046, 'baseline'), ({(11197, 22, 8617)}, 0.0007859868282645299, 'baseline'), ({(8297, 109, 8617)}, -0.00010098987298005096, 'baseline'), ({(8617, 38, 8297)}, -0.0003921585676478602, 'baseline')]",[0.9978578686714172]
"[(4083, 156, 6317), (7098, 163, 4994), (4083, 120, 791), (4994, 156, 6317), (1803, 133, 32), (4083, 133, 32), (5963, 24, 5812), (846, 106, 518), (846, 106, 1803), (518, 156, 6317), (5812, 156, 6317), (5963, 66, 1803), (1803, 120, 791), (7098, 163, 1803)]",0.9039296507835388,[1],14,1.0,0.7407038807868958,"(1803, 156, 6317)",1,"[({(1803, 133, 32)}, 0.46975664550009827, 'baseline'), ({(5963, 66, 1803)}, 0.2976542524105418, 'baseline'), ({(7098, 163, 1803)}, 0.27600426577562454, 'baseline'), ({(846, 106, 1803)}, 0.22681726099103808, 'baseline'), ({(1803, 120, 791)}, 0.19912598599528686, 'baseline'), ({(8246, 163, 1803)}, 0.17200605128374763, 'baseline'), ({(9674, 163, 1803)}, 0.15927968472234943, 'baseline'), ({(2197, 66, 1803)}, 0.1330404683618288, 'baseline'), ({(3695, 24, 1803)}, 0.1309370800052535, 'baseline'), ({(1803, 156, 4922)}, 0.09226457312277314, 'baseline'), ([(1803, 156, 1503), (1652, 156, 6317), (1652, 156, 1503)], 0.012200001, 'xrule'), ([(1803, 156, 4922), (4994, 156, 6317), (4994, 156, 4922)], 0.0112000005, 'xrule'), ([(1803, 156, 1503), (2635, 156, 6317), (2635, 156, 1503)], 0.010800001, 'xrule'), ([(1803, 156, 4922), (518, 156, 4922), (518, 156, 6317)], 0.010400001, 'xrule'), ([(1803, 156, 4922), (4921, 156, 4922), (4921, 156, 6317)], 0.0096, 'xrule')]",[0.7407038807868958]
"[(7051, 85, 434), (5949, 122, 2742), (9201, 224, 5949), (9201, 85, 434), (5949, 122, 2458), (5949, 122, 7051), (2458, 85, 434), (2742, 85, 434), (920, 85, 434), (5949, 122, 920)]",0.9906078577041626,[12],10,12.0,0.6961331963539124,"(434, 161, 5949)",1,"[({(2742, 85, 434)}, 0.01012895529498636, 'baseline'), ({(9201, 85, 434)}, 0.007798652120027631, 'baseline'), ({(920, 85, 434)}, 0.006307880366197465, 'baseline'), ({(2458, 85, 434)}, 0.005305866655157505, 'baseline'), ({(7051, 85, 434)}, 0.001964847502220028, 'baseline'), ({(434, 161, 4921)}, 0.0018771095005700978, 'baseline'), ({(1686, 85, 434)}, 0.001834670956945542, 'baseline'), ({(434, 161, 8909)}, 0.001788060144703632, 'baseline'), ({(3032, 85, 434)}, 0.0016673011024469322, 'baseline'), ({(3166, 85, 434)}, 0.0010322732134699492, 'baseline'), ([(5949, 122, 4359), (4027, 8, 4359), (4359, 8, 4027), (4027, 85, 434)], -0.0025000002, 'xrule')]",[0.6961331963539124]
"[(1627, 17, 1002), (2123, 181, 1002), (2202, 27, 2592), (3876, 17, 2123), (10740, 20, 2592), (2202, 27, 4199), (4199, 17, 2123), (10740, 20, 52), (52, 17, 2123), (2592, 21, 4603), (4603, 17, 2123), (1627, 196, 2592), (3876, 21, 2592)]",0.7389125823974609,[2],13,2.0,0.30166754126548767,"(2592, 17, 2123)",1,"[({(1627, 196, 2592)}, 0.14590256959927575, 'baseline'), ({(3876, 21, 2592)}, 0.13818230771305354, 'baseline'), ({(2202, 27, 2592)}, 0.133119533889366, 'baseline'), ({(2592, 21, 4603)}, 0.12906670114760085, 'baseline'), ({(10740, 20, 2592)}, 0.12079530500956596, 'baseline'), ({(2592, 196, 52)}, 0.11557094294376351, 'baseline'), ({(2592, 8, 6104)}, 0.10933712408738396, 'baseline'), ({(5933, 20, 2592)}, 0.10050580933706643, 'baseline'), ({(2592, 177, 1987)}, 0.09273937629471904, 'baseline'), ({(6104, 3, 2592)}, 0.09050670550504965, 'baseline'), ([(5933, 20, 10154), (10154, 17, 2123), (5933, 20, 2592)], 0.066900015, 'xrule'), ({(2592, 25, 62)}, 0.0651129288578878, 'baseline'), ({(1300, 42, 2592)}, 0.022542904089253055, 'baseline'), ([(6013, 17, 1415), (2592, 17, 1415), (6013, 17, 2123)], 0.018900007, 'xrule'), ({(2592, 85, 434)}, 0.009793232128436495, 'baseline'), ({(52, 196, 2592)}, 0.006324659066425487, 'baseline'), ({(1987, 42, 2592)}, 0.005431438772283459, 'baseline'), ({(2592, 17, 1415)}, 0.003080303724703031, 'baseline'), ([(2592, 17, 1415), (198, 17, 2123), (198, 17, 1415)], -0.0038000047, 'xrule'), ({(2592, 43, 141)}, -0.004206393866259237, 'baseline'), ([(2279, 71, 9730), (2279, 71, 2592), (9730, 17, 2123)], -0.041500002, 'xrule'), ({(12341, 50, 2592)}, -0.0464349137968512, 'baseline'), ({(2279, 71, 2592)}, -0.06054503191390282, 'baseline'), ([(2279, 71, 6659), (2279, 71, 2592), (6659, 17, 2123)], -0.065999985, 'xrule'), ({(3121, 21, 2592)}, -0.4360323129125151, 'baseline')]",[0.30166754126548767]
"[(160, 70, 382), (7024, 14, 160), (6054, 34, 90), (2299, 6, 6054), (6054, 147, 382), (2299, 100, 160), (6054, 230, 7024), (2030, 34, 90), (2030, 14, 160), (2573, 34, 90), (2573, 14, 160)]",0.9868510365486145,[1],11,1.0,0.940955400466919,"(6054, 14, 160)",1,"[({(6054, 230, 7024)}, 0.08310763077223876, 'baseline'), ({(2299, 6, 6054)}, 0.02306554743361862, 'baseline'), ({(6054, 147, 382)}, 0.003462473839967035, 'baseline'), ([(2573, 34, 90), (2573, 14, 160), (6054, 34, 90)], -0.0022999942, 'xrule'), ([(2030, 34, 90), (2030, 14, 160), (6054, 34, 90)], -0.0031999946, 'xrule'), ({(2146, 6, 6054)}, -0.007559736278404445, 'baseline'), ([(268, 32, 6054), (268, 32, 2573), (2573, 86, 268), (2573, 14, 160)], -0.0075999945, 'xrule'), ([(825, 34, 90), (825, 14, 160), (6054, 34, 90)], -0.010799997, 'xrule'), ([(5602, 25, 62), (5602, 100, 160), (6054, 25, 62)], -0.014599994, 'xrule'), ({(6054, 97, 7025)}, -0.017470141008077675, 'baseline'), ({(6054, 31, 1211)}, -0.02888317873651155, 'baseline'), ({(2694, 6, 6054)}, -0.029185851165354052, 'baseline'), ({(2625, 97, 6054)}, -0.03225650361762779, 'baseline'), ({(6054, 34, 90)}, -0.04216059021368279, 'baseline'), ({(6054, 97, 1792)}, -0.048667271660933736, 'baseline')]",[0.940955400466919]
"[(32, 234, 90), (10512, 6, 2538), (2607, 133, 32), (5840, 8, 5839), (5840, 24, 2607), (6838, 24, 3825), (2520, 17, 2044), (32, 139, 90), (3825, 133, 32), (10512, 48, 32), (2538, 183, 5839), (32, 15, 2607), (5839, 38, 2538), (2538, 34, 90), (5839, 8, 6838), (2520, 48, 32), (32, 206, 90), (5839, 8, 5840), (5839, 17, 2044)]",0.846180260181427,[1],19,1.0,0.8635208010673523,"(5839, 48, 32)",1,"[([(32, 139, 90), (2538, 183, 5839), (2538, 34, 90), (32, 206, 90), (32, 234, 90), (5839, 38, 2538)], 0.11649999, 'xrule'), ([(10512, 48, 32), (5839, 38, 2538), (2538, 183, 5839), (10512, 6, 2538)], 0.10949999, 'xrule'), ([(3825, 133, 32), (6838, 24, 3825), (5839, 8, 6838)], 0.0952, 'xrule'), ([(5840, 24, 2607), (2607, 133, 32), (5840, 8, 5839), (32, 15, 2607), (5839, 8, 5840)], 0.073599994, 'xrule'), ([(2520, 17, 2044), (2520, 48, 32), (5839, 17, 2044)], 0.04549998, 'xrule'), ({(5839, 19, 1060)}, 0.015016953421605814, 'baseline'), ({(2538, 183, 5839)}, -0.008431811876622121, 'baseline'), ({(5839, 38, 3044)}, -0.06223328876903181, 'baseline'), ({(5839, 8, 5840)}, -0.14479108602487387, 'baseline'), ({(5839, 38, 2538)}, -0.17867161769369713, 'baseline'), ({(5839, 8, 7257)}, -0.18497385518514528, 'baseline'), ({(3044, 183, 5839)}, -0.19327380197741253, 'baseline'), ({(8902, 183, 5839)}, -0.19366802705613098, 'baseline'), ({(5840, 8, 5839)}, -0.21831252100979137, 'baseline'), ({(5839, 17, 2044)}, -0.22377409463803605, 'baseline')]",[0.8635208010673523]
"[(11620, 120, 791), (9607, 120, 791), (7268, 154, 2438), (12125, 120, 791), (12125, 33, 90), (11620, 154, 2438), (7268, 33, 90), (9607, 33, 90), (10375, 120, 791), (11950, 120, 791), (10375, 33, 90), (11950, 33, 90)]",0.9878473281860352,[1],12,1.0,0.9918035268783569,"(7268, 120, 791)",1,"[([(9607, 120, 791), (7268, 33, 90), (9607, 33, 90)], 0.13010001, 'xrule'), ([(10375, 120, 791), (7268, 33, 90), (10375, 33, 90)], 0.1067, 'xrule'), ([(11950, 120, 791), (7268, 33, 90), (11950, 33, 90)], 0.09570001, 'xrule'), ([(12125, 33, 90), (7268, 33, 90), (12125, 120, 791)], 0.07650001, 'xrule'), ([(11620, 120, 791), (7268, 154, 2438), (11620, 154, 2438)], 0.0759, 'xrule'), ({(7268, 154, 2438)}, 0.006894203328994222, 'baseline'), ({(7268, 15, 3684)}, 0.004623423312192176, 'baseline'), ({(7268, 127, 1234)}, -0.057867978700231804, 'baseline'), ({(3684, 83, 7268)}, -0.06429599690496678, 'baseline'), ({(1234, 15, 7268)}, -0.09742446706417245, 'baseline'), ({(32, 87, 7268)}, -0.10666504215988061, 'baseline'), ({(7268, 33, 90)}, -0.10839356938964315, 'baseline')]",[0.9918035268783569]
